year,date,plot,treatment,lys.no3,lys.nh4,volume
1991,1991-08-13,8,H,0,0,NA
1991,1991-08-13,10,DC,0,0.137,NA
1991,1991-08-13,13,DC,0,0,NA
1991,1991-08-18,2,C,0.1908,0,NA
1991,1991-08-18,7,C,0.1856,0,NA
1991,1991-08-18,8,H,0,0.1053,NA
1991,1991-08-18,10,DC,0,2.0487,NA
1991,1991-08-18,13,DC,0,0.4081,NA
1991,1991-08-20,1,H,0,0,28
1991,1991-08-20,2,C,0,0,37
1991,1991-08-20,4,C,0,0.1244,37
1991,1991-08-20,7,C,0,0,37
1991,1991-08-20,8,H,0,0,40
1991,1991-08-20,9,DC,0,0.2231,18
1991,1991-08-20,10,DC,0,0.6889,28
1991,1991-08-20,11,C,0,0,5
1991,1991-08-20,12,H,0,0.1045,37
1991,1991-08-20,13,DC,0,0,18
1991,1991-08-20,17,DC,0,0,18
1991,1991-08-21,1,H,0,0,25.5
1991,1991-08-21,2,C,0,0,22
1991,1991-08-21,4,C,0,0,20
1991,1991-08-21,5,DC,0,0,22
1991,1991-08-21,6,H,0,0,22
1991,1991-08-21,7,C,0,0,23
1991,1991-08-21,8,H,0,0,25
1991,1991-08-21,9,DC,0,0,22
1991,1991-08-21,10,DC,0,0.7114,24
1991,1991-08-21,11,C,0,0,8
1991,1991-08-21,12,H,0,0.1563,24
1991,1991-08-21,13,DC,0,0,24
1991,1991-08-21,14,C,0,0,24
1991,1991-08-21,15,H,0,0,15
1991,1991-08-21,16,H,0,0,27
1991,1991-08-21,17,DC,0,0,23
1991,1991-08-21,18,C,0,0,23
1991,1991-08-23,10,DC,0,1.6823,NA
1991,1991-08-23,11,C,0,0.2858,NA
1991,1991-08-23,13,DC,0,0.1237,NA
1991,1991-08-23,18,C,0,0,NA
1991,1991-09-06,1,H,0,0,25
1991,1991-09-06,2,C,0,0,11
1991,1991-09-06,3,DC,0,0,27
1991,1991-09-06,4,C,0,0,29
1991,1991-09-06,5,DC,0,0,33
1991,1991-09-06,6,H,0,0,27
1991,1991-09-06,7,C,0,0,31
1991,1991-09-06,8,H,0,0,31
1991,1991-09-06,9,DC,0,0,19
1991,1991-09-06,10,DC,0.5785,0,37
1991,1991-09-06,12,H,0,0,39
1991,1991-09-06,13,DC,0,0,38
1991,1991-09-06,14,C,0,0,30
1991,1991-09-06,15,H,0,0,37
1991,1991-09-06,16,H,0,0,34
