Date,JD,DOY,Flux,SE,SoilT,VSM,Time,Site,drainage class
6/9/1995,160,160,NA,NA,NA,NA,NA,Charlton,well drained
6/9/1995,160,160,NA,NA,NA,NA,NA,Dry Down,well drained
6/9/1995,160,160,NA,NA,NA,NA,NA,Montauk,well drained
6/9/1995,160,160,111.51,16.16,NA,0.69,NA,NWF,swamp
6/9/1995,160,160,159.08,20,NA,0.47,NA,NWM,moderately well drained
6/9/1995,160,160,188.89,25.87,NA,0.33,NA,NWN,well drained
6/9/1995,160,160,201.4,8.29,NA,0.34,NA,SWF,very well drained
6/9/1995,160,160,159.17,13.8,NA,0.53,NA,SWM,moderately well drained
6/9/1995,160,160,146.82,28.78,NA,0.63,NA,SWN,poorly drained
6/13/1995,164,164,NA,NA,NA,NA,NA,Charlton,well drained
6/13/1995,164,164,NA,NA,NA,NA,NA,Dry Down,well drained
6/13/1995,164,164,NA,NA,NA,NA,NA,Montauk,well drained
6/13/1995,164,164,100.37,18.43,13,0.67,NA,NWF,swamp
6/13/1995,164,164,149.04,8.68,12.1,0.48,NA,NWM,moderately well drained
6/13/1995,164,164,186.87,13.24,13,0.32,NA,NWN,well drained
6/13/1995,164,164,240.28,26.96,13.5,0.35,NA,SWF,very well drained
6/13/1995,164,164,182.46,20.32,13.1,0.51,NA,SWM,moderately well drained
6/13/1995,164,164,171.51,33.64,13.1,0.67,NA,SWN,poorly drained
6/23/1995,174,174,NA,NA,NA,NA,NA,Charlton,well drained
6/23/1995,174,174,NA,NA,NA,NA,NA,Dry Down,well drained
6/23/1995,174,174,NA,NA,NA,NA,NA,Montauk,well drained
6/23/1995,174,174,142.21,10.72,14.5,0.55,NA,NWF,swamp
6/23/1995,174,174,132.52,25.33,13.2,0.36,NA,NWM,moderately well drained
6/23/1995,174,174,169.33,81.54,11.9,0.22,NA,NWN,well drained
6/23/1995,174,174,173.1,2.07,15.6,0.21,NA,SWF,very well drained
6/23/1995,174,174,163.43,88.45,15.2,0.37,NA,SWM,moderately well drained
6/23/1995,174,174,221.94,34.48,14.6,0.44,NA,SWN,poorly drained
6/28/1995,179,179,NA,NA,NA,NA,NA,Charlton,well drained
6/28/1995,179,179,NA,NA,NA,NA,NA,Dry Down,well drained
6/28/1995,179,179,NA,NA,NA,NA,NA,Montauk,well drained
6/28/1995,179,179,129.41,30.63,13.4,0.54,NA,NWF,swamp
6/28/1995,179,179,111.8,5.7,12.2,0.34,NA,NWM,moderately well drained
6/28/1995,179,179,156.47,16.59,13.3,0.15,NA,NWN,well drained
6/28/1995,179,179,189.72,22.77,14.2,0.17,NA,SWF,very well drained
6/28/1995,179,179,144.71,22.66,13.7,0.41,NA,SWM,moderately well drained
6/28/1995,179,179,165.26,18.86,13.7,0.41,NA,SWN,poorly drained
7/5/1995,186,186,NA,NA,NA,NA,NA,Charlton,well drained
7/5/1995,186,186,NA,NA,NA,NA,NA,Dry Down,well drained
7/5/1995,186,186,NA,NA,NA,NA,NA,Montauk,well drained
7/5/1995,186,186,172.98,22.07,16,0.5,NA,NWF,swamp
7/5/1995,186,186,149.18,19.66,14.2,0.33,NA,NWM,moderately well drained
7/5/1995,186,186,202.06,25.25,15.8,0.13,NA,NWN,well drained
7/5/1995,186,186,270.69,20.25,17.1,0.14,NA,SWF,very well drained
7/5/1995,186,186,172.38,10.03,16.6,0.36,NA,SWM,moderately well drained
7/5/1995,186,186,258.46,54.79,15.5,0.35,NA,SWN,poorly drained
7/10/1995,191,191,NA,NA,NA,NA,NA,Charlton,well drained
7/10/1995,191,191,NA,NA,NA,NA,NA,Dry Down,well drained
7/10/1995,191,191,NA,NA,NA,NA,NA,Montauk,well drained
7/10/1995,191,191,117.61,21.2,15.3,0.65,NA,NWF,swamp
7/10/1995,191,191,184.46,9.57,14.2,0.26,NA,NWM,moderately well drained
7/10/1995,191,191,202.84,18,15.2,0.17,NA,NWN,well drained
7/10/1995,191,191,211.98,26.12,15.4,0.17,NA,SWF,very well drained
7/10/1995,191,191,198.09,12.91,15.1,0.32,NA,SWM,moderately well drained
7/10/1995,191,191,269.32,40.68,15.1,0.36,NA,SWN,poorly drained
7/18/1995,199,199,NA,NA,NA,NA,NA,Charlton,well drained
7/18/1995,199,199,NA,NA,NA,NA,NA,Dry Down,well drained
7/18/1995,199,199,NA,NA,NA,NA,NA,Montauk,well drained
7/18/1995,199,199,116.47,29.42,15.8,0.54,NA,NWF,swamp
7/18/1995,199,199,163.59,14.71,14.7,0.22,NA,NWM,moderately well drained
7/18/1995,199,199,195.38,25.82,16.1,0.12,NA,NWN,well drained
7/18/1995,199,199,208.24,34.88,16.8,0.16,NA,SWF,very well drained
7/18/1995,199,199,194.89,17.46,16.5,0.11,NA,SWM,moderately well drained
7/18/1995,199,199,246.39,36.58,16.4,0.22,NA,SWN,poorly drained
7/24/1995,205,205,NA,NA,NA,NA,NA,Charlton,well drained
7/24/1995,205,205,NA,NA,NA,NA,NA,Dry Down,well drained
7/24/1995,205,205,NA,NA,NA,NA,NA,Montauk,well drained
7/24/1995,205,205,199.15,41.81,18,0.53,NA,NWF,swamp
7/24/1995,205,205,273,27.8,16.9,0.17,NA,NWM,moderately well drained
7/24/1995,205,205,237.46,15.4,18.6,0.11,NA,NWN,well drained
7/24/1995,205,205,223.95,28.01,18.7,0.11,NA,SWF,very well drained
7/24/1995,205,205,246.66,20,18,0.22,NA,SWM,moderately well drained
7/24/1995,205,205,288.73,47.26,18.4,0.18,NA,SWN,poorly drained
7/31/1995,212,212,NA,NA,NA,NA,NA,Charlton,well drained
7/31/1995,212,212,NA,NA,NA,NA,NA,Dry Down,well drained
7/31/1995,212,212,NA,NA,NA,NA,NA,Montauk,well drained
7/31/1995,212,212,200.16,45.7,17.4,0.54,NA,NWF,swamp
7/31/1995,212,212,272.65,28.41,16.4,0.19,NA,NWM,moderately well drained
7/31/1995,212,212,230.21,18.14,18.4,0.14,NA,NWN,well drained
7/31/1995,212,212,231.01,29.85,20.7,0.12,NA,SWF,very well drained
7/31/1995,212,212,259.66,21.63,19.4,0.18,NA,SWM,moderately well drained
7/31/1995,212,212,295.16,44.89,18.2,0.17,NA,SWN,poorly drained
8/10/1995,222,222,NA,NA,NA,NA,NA,Charlton,well drained
8/10/1995,222,222,NA,NA,NA,NA,NA,Dry Down,well drained
8/10/1995,222,222,NA,NA,NA,NA,NA,Montauk,well drained
8/10/1995,222,222,157.69,33.91,16.9,0.53,NA,NWF,swamp
8/10/1995,222,222,246.24,25.71,16.1,0.24,NA,NWM,moderately well drained
8/10/1995,222,222,228,35.09,17.1,0.16,NA,NWN,well drained
8/10/1995,222,222,195.42,24.29,17.4,0.15,NA,SWF,very well drained
8/10/1995,222,222,213.8,19.76,17,0.27,NA,SWM,moderately well drained
8/10/1995,222,222,277.13,45.54,17,0.18,NA,SWN,poorly drained
8/15/1995,227,227,NA,NA,NA,NA,NA,Charlton,well drained
8/15/1995,227,227,NA,NA,NA,NA,NA,Dry Down,well drained
8/15/1995,227,227,NA,NA,NA,NA,NA,Montauk,well drained
8/15/1995,227,227,191.24,43.86,17.5,0.48,NA,NWF,swamp
8/15/1995,227,227,231.08,19.73,16.6,0.18,NA,NWM,moderately well drained
8/15/1995,227,227,227.74,24.88,17.9,0.11,NA,NWN,well drained
8/15/1995,227,227,245.02,30.79,19.1,0.12,NA,SWF,very well drained
8/15/1995,227,227,235.01,24.76,18.3,0.21,NA,SWM,moderately well drained
8/15/1995,227,227,258.9,26.5,17.6,0.12,NA,SWN,poorly drained
