Date,JD,Mean Flux,S.E.,Mean Flux,S.E.,soil tempFlux,Mean soil temp
5/9/2001,129,48.67,4.24,55.05,4.67,10.5,11.5
5/17/2001,137,47.4,4.77,39.49,3.93,8.8,8.7
5/24/2001,144,79.23,3.63,75.57,6.25,NA,NA
5/31/2001,151,64.41,3.08,65.3,4.34,10.5,10.2
6/5/2001,156,108.32,5.48,107.92,7.15,11.3,11.1
6/13/2001,164,162.53,4.86,160.13,12.64,13.7,13.5
6/21/2001,172,164.16,8.01,154.51,12.96,16,15.9
6/27/2001,178,169.18,6.82,179.66,13.93,17.1,17.2
7/3/2001,184,148,8.13,144.8,12.76,14.6,14.4
7/11/2001,192,196.73,11.85,264.7,19.12,15.7,16
7/18/2001,199,148.39,10.4,205.76,14.7,15.3,15.624
7/24/2001,205,159.97,25.46,172.2,14.01,18.5,18
7/31/2001,212,124.99,10.72,142.54,12.37,16.6,16.8
8/7/2001,219,156.55,10.78,250.83,19.8,18.2,20.6
8/16/2001,228,112.3,9.47,208.71,20.92,17.2,17.5
8/21/2001,233,121.79,11.64,173.99,14.65,17.9,18.2
8/29/2001,241,78.14,5.94,112.23,10.25,16.9,17
9/5/2001,248,53.14,4.65,98.48,6.74,15,15.1
9/12/2001,255,56.67,3.81,118.39,10.91,15,15.3
9/19/2001,262,43.78,3.56,88.84,8.59,16.7,16.8
9/26/2001,269,110.34,7.61,131.03,11.66,14.8,15
10/4/2001,277,80.3,4.9,105.78,7.43,13.8,13.7
10/12/2001,285,66.15,4.21,83.04,7,12.2,12.3
10/24/2001,297,81.13,4.7,92.52,9.08,12.6,12.7
11/7/2001,311,56.62,3.73,52.07,4.21,7.2,7.3
11/28/2001,332,59.58,3.32,55.79,3.52,7.6,7.7
12/10/2001,344,NA,NA,38.94,2.97,5.1,4.9
1/14/2002,14,NA,NA,10.27,0.7,NA,NA
2/19/2002,50,NA,NA,10.93,0.88,NA,NA
3/21/2002,80,NA,NA,17.2,3.34,NA,NA
4/4/2002,94,26.05,2.36,26.65,4.49,4,4.2
4/15/2002,105,88.95,5.12,87.42,4.06,9.7,10.2
4/30/2002,120,47.12,2.35,47.56,2.17,5,5.2
5/7/2002,127,47.46,2.61,55.02,4.59,10.2,10.6
5/16/2002,136,41.27,2.8,74.05,5.96,8.3,8.2
5/24/2002,144,44.15,3.87,52.58,2.93,9.7,9.6
5/30/2002,150,60.04,4.65,88.4,4.74,12.2,12.8
6/4/2002,155,50.85,3.12,67.65,4.44,11,11.1
6/11/2002,162,68.47,6.25,132.07,13.56,13.7,13.1
6/19/2002,170,73.54,5.45,133.75,12.48,12.3,12.1
6/26/2002,177,117.59,9.46,163.83,14.24,14.3,15.3
7/1/2002,182,127.61,11.51,215.26,22.03,15.8,16.7
7/9/2002,190,135.71,14.37,175.32,20.59,18.1,19.7
7/19/2002,200,138.07,9.78,246.86,22.7,NA,NA
7/23/2002,204,119.45,12.52,261.21,21.25,20.3,20.5
7/24/2002,205,103.85,9.1,199.51,15.55,16.5,17.5
7/30/2002,211,113.07,13.81,264.87,25.42,17.3,18.4
8/7/2002,219,94.18,13.19,163.5,14.61,NA,NA
8/15/2002,227,99.85,10.26,164.18,17.04,18.9,19.7
8/20/2020,232,105.16,13.63,209.68,20.18,17.9,18.4
9/4/2002,247,104.71,22.55,220.85,20.3,15.7,16.1
9/11/2002,254,83.88,20.09,132.23,10.86,17,17.5
9/17/2002,260,137.34,12.89,147.66,11.48,16,16.1
9/24/2002,267,131.84,9.78,120.51,11.75,15.4,15.5
10/1/2002,274,138.96,12.78,123.32,7.38,13.8,13.8
10/10/2002,284,82.21,6.18,77.18,7.85,11.3,11.2
10/22/2002,295,53.54,2.48,44.2,3.4,7.9,7.7
12/30/2002,364,NA,NA,25.15,3.77,NA,NA
2/12/2003,43,NA,NA,12.95,7.84,NA,NA
3/7/2003,66,NA,NA,21.51,4.89,NA,NA
4/15/2003,105,69.98,4.54,66.63,3.99,4.2,4.5
5/6/2003,126,44.15,2.44,42.6,3.55,8.6,8.5
5/29/2003,149,114.82,7.89,102.63,9.64,11.8,11.5
6/4/2003,155,99.68,6.83,92.84,8.75,12,11.8
6/10/2003,161,129.2,8.19,114.47,9.08,13.1,13.1
6/16/2003,167,117.32,9.39,108.85,10.84,13.5,13.5
6/25/2003,176,218.47,12.05,193.29,28.88,16.8,16.7
7/1/2003,182,157.48,9.31,158.53,17.74,16.4,16.1
7/9/2003,190,175.63,10.35,162.62,21.44,18.8,18.7
7/14/2003,195,197.09,16.17,185.78,13.11,17.3,17.1
7/23/2003,204,276.55,27.3,230.9,19.36,19.3,19.1
7/28/2003,209,211.88,12.87,202.32,24.97,19.5,19.3
8/5/2003,217,304.44,25.44,307.5,27.46,19.7,19.5
8/11/2003,223,286.96,28,271.52,20.06,20.3,20
8/18/2003,230,231.41,16.89,216.23,14.5,18.3,18.2
8/26/2003,238,169.94,18.28,162.02,11.51,17.2,17
9/3/2003,246,136.98,7.39,156.73,12.12,15,14.9
9/22/2003,265,133.34,10.45,132.35,10.25,15.6,15.3
10/2/2003,275,90.48,4.73,84.96,4.8,11,11.1
10/14/2003,287,89.8,5.69,82.46,5.19,11.4,11.6
11/10/2003,314,29.86,1.62,29.07,2.26,4.6,4.3
11/26/2003,330,25.08,1.73,23.99,2.33,4.3,4.4
12/16/2003,350,NA,NA,20.56,2.31,2.6,2.3
