YR,DOY,Time,Flux-1,Flux-2,Flux-3,Flux-4,Flux-5,Flux-6,Temp-LL,Temp-3,Temp-4.5,Temp-7,Temp-8.5,Temp-12,Temp-14,Temp-36,Mois-5
2003,137,431,66.25,58.70,NA,47.50,35.96,54.70,5.94,6.45,7.95,8.50,8.56,8.56,8.79,8.31,0.37
2003,137,501,59.38,43.26,47.36,48.80,45.47,NA,5.86,6.40,7.88,8.45,8.51,8.52,8.76,8.30,0.37
2003,137,531,62.93,52.39,48.28,44.82,36.63,56.96,5.81,6.38,7.84,8.43,8.49,8.51,8.75,8.31,0.37
2003,137,601,65.22,56.89,54.88,46.72,35.02,63.12,5.78,6.45,7.85,8.44,8.48,8.50,8.74,8.35,0.37
2003,137,631,60.29,48.79,49.97,42.82,41.62,NA,5.76,6.60,7.87,8.43,8.49,8.51,8.76,8.39,0.37
2003,137,701,56.84,49.96,50.82,39.17,42.09,42.33,5.96,6.78,7.86,8.42,8.47,8.49,8.76,8.39,0.37
2003,137,731,60.48,56.93,55.86,36.27,45.63,47.12,6.06,7.08,7.90,8.44,8.48,8.50,8.78,8.45,0.37
2003,137,801,53.69,52.82,49.96,34.10,41.64,39.72,6.31,7.54,8.08,8.55,8.58,8.63,8.88,8.58,0.37
2003,137,831,58.89,47.10,54.74,48.07,NA,43.92,6.74,8.26,8.27,8.67,8.68,8.73,8.96,8.72,0.37
2003,137,901,57.38,56.30,48.99,52.48,41.28,39.83,7.30,9.90,8.94,9.24,9.18,9.26,9.48,9.25,0.37
2003,137,931,65.33,49.16,48.14,48.09,48.04,57.43,8.07,11.60,8.83,8.95,8.88,8.95,9.14,8.92,0.37
2003,137,1001,65.39,67.23,54.26,61.11,59.22,51.66,9.55,14.08,9.55,9.31,9.23,9.28,9.42,9.26,0.37
2003,137,1031,63.91,67.15,45.32,66.65,58.03,54.62,10.82,13.38,9.05,8.58,8.52,8.48,8.60,8.41,0.37
2003,137,1101,53.18,74.39,53.11,64.27,58.89,56.81,11.65,13.17,9.46,8.78,8.73,8.63,8.68,8.49,0.37
2003,137,1131,63.45,72.68,62.33,68.10,63.54,62.29,14.01,14.76,10.32,9.43,9.36,9.24,9.18,9.00,0.37
2003,137,1201,73.83,87.78,60.33,60.50,67.39,65.55,14.99,16.82,10.88,9.77,9.72,9.51,9.37,9.20,0.37
2003,137,1231,63.63,77.30,53.03,59.82,62.66,51.75,14.56,16.48,11.11,9.64,9.63,9.34,9.08,8.91,0.37
2003,137,1301,78.61,86.15,74.07,56.35,64.06,57.76,16.58,16.74,11.59,9.85,9.87,9.49,9.13,8.93,0.37
2003,137,1331,82.99,87.95,67.60,55.59,67.49,55.06,17.88,16.42,11.56,9.61,9.73,9.23,8.81,8.57,0.36
