year,treat,species,n,av.n,sd.n,av.lig,sd.lig,av.cel,sd.cel
1988,HC,ACRU,4,1.63,0.05,21.5,0.72,31.99,1.76
1988,HC,BELE,4,1.69,0.27,24.1,1.08,38.09,2.3
1988,HC,QUVE,4,1.94,0.03,26.52,1.84,43.17,0.68
1988,HH,ACRU,4,1.64,0.17,19.81,0.66,34.02,0.79
1988,HH,BELE,4,2.08,0.19,23.55,0.69,40.21,1.14
1988,HH,QUVE,4,1.95,0.15,25.58,1.81,40.83,1.39
1988,HL,ACRU,4,1.6,0.08,20.4,0.29,34.08,1.12
1988,HL,BELE,4,1.93,0.18,25,0.31,42.4,2.23
1988,HL,QUVE,4,2,0.15,24.69,0.7,44.07,0.43
1988,HNS,ACRU,4,1.75,0.03,21.29,0.3,32.16,1.07
1988,HNS,BELE,4,1.98,0.12,23.4,0.7,39.24,1.44
1988,HNS,QUVE,4,1.82,0.18,25.16,1.19,41.14,1.8
1988,PC,PIRE,5,1.014,0.082,25.11,0.997,40.352,0.868
1988,PH,PIRE,5,1.208,0.068,24.718,1.218,42.504,1.821
1988,PL,PIRE,3,1.193,0.035,26.147,0.686,42.387,1.163
1988,PNS,PIRE,4,1.153,0.09,25.86,0.824,39.145,1.012
1989,HC,ACRU,4,1.75,0.13,20.11,0.4,36.32,1.75
1989,HC,BELE,4,2.43,0.12,24.14,0.43,41.74,0.71
1989,HC,QUVE,4,2.1,0.09,24.49,1.29,43.54,2.24
1989,HH,ACRU,4,2.01,0.06,20.87,0.48,35.59,0.56
1989,HH,BELE,4,2.65,0.09,24.5,0.46,42.33,0.88
1989,HH,QUVE,4,2.31,0.12,27.05,1.17,41.46,1.09
1989,HL,ACRU,4,1.81,0.07,20.07,0.34,38.44,0.23
1989,HL,BELE,4,2.37,0.02,22.73,0.74,42.04,1.35
1989,HL,QUVE,4,2.21,0.04,24.55,1.02,43.2,1.58
1989,HNS,ACRU,4,1.92,0.15,21.16,0.51,34.85,0.62
1989,HNS,BELE,4,2.38,0.1,23.58,0.76,41.2,0.7
1989,HNS,QUVE,4,2.27,0.06,26.08,1.08,43.57,0.57
1989,PC,PIRE,5,1.118,0.108,26.045,1.297,40.237,1.626
1989,PH,PIRE,4,1.428,0.08,24.798,1.292,42.645,0.684
1989,PL,PIRE,5,1.27,0.027,26.406,0.864,41.786,0.965
1989,PNS,PIRE,5,1.202,0.066,25.476,0.485,41.726,0.634
1990,HC,ACRU,4,1.68,0.03,18.95,0.81,31.74,0.64
1990,HC,BELE,3,2.3,0.08,22.28,1.07,40.51,1.79
1990,HC,QUVE,4,2.37,0.01,24.62,0.51,42.33,0.73
1990,HH,ACRU,4,2,0.07,21.19,0.63,34.16,1.73
1990,HH,BELE,4,2.66,0.1,24.86,0.86,40.87,0.45
1990,HH,QUVE,4,2.64,0.3,25.48,0.84,43.67,1.07
1990,HL,ACRU,4,1.62,0.07,18.46,0.39,32.14,0.7
1990,HL,BELE,4,2.52,0.1,24.47,0.83,38.41,0.42
1990,HL,QUVE,4,2.41,0.08,23.86,0.3,43.58,1.33
1990,HNS,ACRU,4,1.9,0.02,20.85,0.33,32.79,1.14
1990,HNS,BELE,4,2.48,0.07,24.87,0.6,38.91,0.72
