year,treat,species,n,av.n,sd.n,av.lig,sd.lig,av.cel,sd.cel
1988,HC,ACRU,7,0.777,0.087,22.943,1.066,32.367,1.102
1988,HC,QUVE,15,0.92,0.068,32.195,0.8,41.797,0.988
1988,HH,ACRU,8,0.895,0.059,24.22,1.44,34.096,0.92
1988,HH,QUVE,10,0.947,0.079,32.671,1.163,42.984,0.989
1988,HL,ACRU,5,0.852,0.076,24.786,0.934,34.802,2.188
1988,HL,QUVE,12,0.876,0.046,31.138,2.527,43.338,2.948
1988,HNS,ACRU,10,0.89,0.209,26.283,4.043,33.841,3.254
1988,HNS,QUVE,20,0.889,0.108,31.613,1.052,42.367,1.473
1988,PC,PIRE-B,9,0.326,0.048,29.742,0.733,41.394,0.435
1988,PH,PIRE-B,10,0.496,0.067,29.381,0.412,41.064,0.659
1988,PH,PIRE-G,1,0.68,NA,30.25,NA,38.84,NA
1988,PL,PIRE-B,9,0.441,0.065,29.657,0.423,40.098,0.337
1988,PNS,PIRE-B,9,0.433,0.078,30.298,0.973,40.592,0.636
1988,PNS,PIRE-G,1,0.5,NA,29.45,NA,41.31,NA
1989,HC,ACRU,8,1.103,0.199,25.769,2.148,36.135,0.548
1989,HC,QUVE,8,0.943,0.062,32.714,0.616,40.703,0.948
1989,HH,ACRU,9,1.184,0.272,25.378,2.241,39.821,1.648
1989,HH,QUVE,9,1.043,0.252,32.159,0.915,42.981,1.238
1989,HL,ACRU,7,0.974,0.084,26.044,1.916,38.187,1.397
1989,HL,QUVE,7,0.996,0.04,32.337,0.983,42.044,0.52
1989,HNS,ACRU,8,1.013,0.115,26.296,0.887,35.888,1.627
1989,HNS,QUVE,9,0.947,0.051,32.239,0.811,41.477,0.695
1989,PC,PIRE-B,8,0.501,0.094,32.198,1.033,42.438,0.47
1989,PC,PIRE-G,8,1.218,0.058,30.748,0.611,38.98,1.301
1989,PH,PIRE-B,8,0.764,0.098,32.928,1.113,43.115,0.484
1989,PH,PIRE-G,9,1.549,0.054,31.742,0.702,40.173,1.411
1989,PL,PIRE-B,9,0.684,0.131,32.827,0.297,42.764,0.726
1989,PL,PIRE-G,9,1.369,0.055,32.622,0.631,39.968,1.172
1989,PNS,PIRE-B,7,0.63,0.064,32.389,0.838,42.964,0.88
1989,PNS,PIRE-G,7,1.407,0.049,32.569,0.563,38.731,1.495
1990,HC,ACRU,7,1.013,0.058,30.844,1.44,35.181,1.998
1990,HC,QUVE,8,0.98,0.052,34.12,0.497,43.253,1.073
1990,HH,ACRU,8,1.209,0.181,31.073,1.787,37.883,1.257
1990,HH,QUVE,10,1.162,0.107,34.833,0.97,42.956,0.99
1990,HL,ACRU,9,1.012,0.193,31.554,2.181,36.999,1.671
1990,HL,QUVE,10,1.125,0.36,34.63,1.772,43.603,0.859
1990,HNS,ACRU,9,1.062,0.129,32.327,1.602,35.171,1.968
1990,HNS,QUVE,8,0.983,0.077,33.451,1.176,43.035,0.403
1990,PC,PIRE-B,9,0.543,0.097,32.262,0.597,43.023,0.51
1990,PC,PIRE-G,9,1.29,0.206,32.148,0.546,39.092,1.811
1990,PH,PIRE-B,9,0.943,0.192,32.249,0.61,43.823,0.557
1990,PH,PIRE-G,9,1.744,0.03,31.978,0.472,40.32,0.905
1990,PL,PIRE-B,8,0.843,0.249,32.141,0.231,42.883,1.682
1990,PL,PIRE-G,8,1.475,0.025,31.621,0.537,38.968,0.826
1990,PNS,PIRE-B,9,0.748,0.132,32.507,0.755,43.401,0.311
1990,PNS,PIRE-G,7,1.477,0.063,31.647,0.423,38.559,0.659
1991,HC,ACRU,8,0.935,0.082,30.384,1.113,34.823,2.269
1991,HC,QUVE,7,0.91,0.077,35.961,0.944,43.03,0.823
1991,HH,ACRU,9,1.324,0.106,32.722,2.594,39.441,1.268
1991,HH,QUVE,9,1.214,0.164,38.224,1.542,43.253,0.799
1991,HL,ACRU,9,0.989,0.106,31.28,1.621,37.789,1.577
1991,HL,QUVE,9,0.969,0.105,36.634,0.736,43.407,0.685
1991,HNS,ACRU,9,1.016,0.12,31.957,2.162,37.732,2.822
1991,HNS,QUVE,9,0.974,0.075,35.65,2.697,42.529,3.655
1991,PC,PIRE-B,9,0.848,0.336,29.851,3.924,44.013,4.086
1991,PC,PIRE-G,5,1.092,0.309,30.518,1.345,38.836,2.247
1991,PH,PIRE-B,9,1.116,0.201,32.454,0.782,43.004,0.492
1991,PH,PIRE-G,9,1.904,0.057,32.6,0.633,39.331,0.973
1991,PL,PIRE-B,9,0.744,0.134,31.458,0.802,42.519,0.481
1991,PL,PIRE-G,9,1.59,0.054,31.938,1.168,39.831,1.952
1991,PNS,PIRE-B,9,0.809,0.193,31.761,1.025,42.679,0.629
1991,PNS,PIRE-G,9,1.57,0.107,32.39,1.08,38.844,0.734
1992,HC,ACRU,7,0.693,0.035,27.866,1.081,37.579,1.145
1992,HC,QUVE,11,0.931,0.115,35.275,0.971,43.174,1.457
1992,HH,ACRU,9,1.189,0.141,29.943,1.18,41.524,1.337
1992,HH,QUVE,9,1.12,0.118,36.254,0.771,41.711,0.858
1992,HL,ACRU,9,0.938,0.25,28.281,0.981,40.62,1.003
1992,HL,QUVE,9,0.883,0.075,35.598,0.657,41.584,0.829
1992,HNS,ACRU,9,0.856,0.119,28.731,1.806,37.647,2.293
1992,HNS,QUVE,9,0.959,0.086,35.641,1.19,41.899,0.822
1992,PC,PIRE-B,7,0.554,0.126,32.731,1.117,43.013,0.553
1992,PC,PIRE-G,7,1.324,0.062,31.919,1.115,41.121,1.4
1992,PH,PIRE-B,9,1.068,0.218,31.128,1.008,43.119,0.653
1992,PH,PIRE-G,9,1.889,0.071,30.977,1.319,40.897,2.149
1992,PL,PIRE-B,9,0.829,0.097,32.374,1.005,43.191,0.601
1992,PL,PIRE-G,9,1.576,0.046,32.189,0.694,40.741,1.537
1992,PNS,PIRE-B,9,0.716,0.101,31.609,1.028,43.15,0.582
1992,PNS,PIRE-G,9,1.529,0.13,32.793,0.586,42.793,1.414
1993,HC,ACRU,8,0.758,0.086,23.46,2.291,33.798,1.495
1993,HC,QUVE,9,0.864,0.085,32.762,0.995,43.181,0.628
1993,HH,ACRU,9,1.189,0.171,25.453,2.32,38.367,1.315
1993,HH,QUVE,9,1.007,0.072,33.289,1.888,41.472,1.558
1993,HL,ACRU,9,0.739,0.083,22.996,2.124,36.987,1.336
1993,HL,QUVE,9,0.921,0.124,31.886,0.706,42.537,1.467
1993,HNS,ACRU,9,0.897,0.07,26.076,1.621,33.391,1.817
1993,HNS,QUVE,9,0.946,0.152,31.949,1.354,42.442,1.143
1993,PC,PIRE-B,8,0.603,0.083,31.904,0.606,42.693,0.796
1993,PC,PIRE-G,8,1.313,0.058,31.491,0.465,39.23,1.019
1993,PH,PIRE-B,8,1.155,0.061,30.128,1.373,42.163,1.513
1993,PH,PIRE-G,7,1.844,0.121,31.141,0.998,40.836,1.459
1993,PL,PIRE-B,9,0.789,0.078,31.233,0.974,42.798,0.92
1993,PL,PIRE-G,7,1.553,0.043,31.444,0.489,40.773,1.842
1993,PNS,PIRE-B,9,0.766,0.117,30.332,1.632,42.419,1.214
1993,PNS,PIRE-G,4,1.545,0.052,31.2,0.741,41.18,3.284
1994,HC,ACRU,9,0.789,0.174,19.607,2.706,34.853,1.594
1994,HC,QUVE,9,0.891,0.119,31.043,0.932,43.772,0.887
1994,HH,ACRU,9,1.05,0.185,23.111,2.326,38.273,1.722
1994,HH,QUVE,9,1.103,0.099,32.976,0.759,43.299,0.752
1994,HL,ACRU,9,0.852,0.203,21.65,1.841,38.134,1.81
1994,HL,QUVE,9,0.934,0.091,30.684,1.08,43.903,1.21
