plot,subplot,treetag,species,dbh.10.1988,dbh.11.1990,dbh.11.1993,dbh.2.1997,dbh.03.2000,dbh.04.2003,dbh.04.2006,dbh.10.2008
PC ,A1 ,1,PIRE ,31.4,32.4,33.4,34.2,35.5,35.5,35,35
PC ,A1 ,2,ACRU ,6.3,7,8,9.3,10.3,12.3,14.5,16.8
PC ,A1 ,126,BELE ,0,0,0,0,0,0,9.1,10.3
PC ,A2 ,3,PIRE ,21.2,21.7,21.8,22,22,22,21.8,0
PC ,A2 ,4,PIRE ,31.6,32.4,33.1,33.8,34,34.2,34.2,34.3
PC ,A2 ,5,PIRE ,17.8,17.8,18,18,18,18,18,0
PC ,A2 ,6,PIRE ,31.2,32.3,33,33.5,34,34.8,34.8,34.8
PC ,A2 ,,ACPE ,0,0,0,0,0,0,0,5.4
PC ,A3 ,7,PIRE ,33,34.1,35.1,36,36,36.2,36.1,36.2
PC ,A3 ,,BELE ,0,0,0,0,0,0,0,5.4
PC ,A4 ,8,PIRE ,29.3,30.1,30.4,30.9,30.9,31.1,31,31.3
PC ,A4 ,10,PIRE ,24.5,25,25.4,25.5,25.5,25.5,25.6,25.6
PC ,A4 ,11,PIRE ,20.9,21.3,21.5,21.5,21.5,21.5,21.3,0
PC ,A4 ,12,BELE ,11.6,12.4,13.2,14.1,14.9,16.8,18.3,19.7
PC ,A4 ,13,PIRE ,19.2,19.6,19.9,20.1,20,20,19.8,0
PC ,A4 ,101,BELE ,0,0,0,6.8,7.5,9,10.7,12.6
PC ,A5 ,9,PIRE ,18.7,19,19,19.4,19.4,19.4,19.4,0
PC ,A5 ,14,PIRE ,22.9,23.7,24.5,24.8,24.8,25.2,25.2,25.4
PC ,A5 ,15,PIRE ,21.6,22.4,23.3,23.9,24.2,24.5,24.7,24.9
PC ,A5 ,16,PIRE ,27.7,28.8,30.3,30.8,31,31.3,31.5,31.5
PC ,A5 ,17,PIRE ,20.9,21.3,21.6,21.6,21.9,21.9,21.5,0
PC ,A5 ,137,BELE ,0,0,0,0,0,0,5.6,6.3
PC ,A5 ,377,ACPE ,0,0,0,0,0,5.4,6.9,8.3
PC ,A6 ,19,PIRE ,16.8,17,17.1,17.1,17.1,17.1,17.1,0
PC ,A6 ,20,PIRE ,14.3,14.5,14.5,14.5,14.4,14.4,14.4,0
PC ,A6 ,21,PIRE ,26.4,27.2,28,28.2,28.3,28.5,28.7,28.7
PC ,A6 ,22,PIRE ,24.8,26,27,27.3,27.2,27.2,27.2,0
PC ,A6 ,24,PIRE ,25.5,26.6,27.7,28.5,29.2,30,30.2,30.5
PC ,A6 ,25,PIRE ,22,23,24.1,25.3,25.8,26.7,27,27.4
PC ,A6 ,,PRSE2 ,0,0,0,0,0,0,0,5
PC ,B1 ,36,PIRE ,20.9,21.1,21.1,21.1,21.1,21.1,21.1,0
PC ,B1 ,37,PIRE ,39.2,40,41.2,41.5,41.8,41.9,42.3,42.5
PC ,B1 ,38,PIRE ,16.6,16.8,16.8,16.9,16.9,16.9,16.9,0
PC ,B1 ,107,BELE ,0,0,0,6.2,7.2,9.3,11.6,13.8
PC ,B1 ,108,PRSE2 ,0,0,0,8.5,9.8,11,13,14.9
PC ,B2 ,33,PIRE ,27.3,28.9,29.7,31.3,31.4,32.2,32.9,33.7
PC ,B2 ,34,PIRE ,25,26,26.8,27,27.5,27.9,27.9,28
PC ,B2 ,35,PIRE ,30.7,31.9,33.2,34.5,34.8,35.6,36.3,36.5
PC ,B3 ,30,PIRE ,27.4,28.1,29,30,30.1,30.9,31,31.5
PC ,B3 ,31,PIRE ,24.8,25.3,25.4,25.8,25.9,25.9,25.6,25.6
PC ,B3 ,32,PIRE ,20.3,20.4,21,21.1,20.9,21.1,21.2,21.1
PC ,B3 ,143,ACPE ,0,0,0,0,0,0,7.1,8.2
PC ,B3 ,,ACPE ,0,0,0,0,0,0,0,5.6
PC ,B4 ,29,PIRE ,23.5,24.3,24.5,25,25,25,24.9,0
PC ,B4 ,106,PRSE2 ,0,0,0,6.4,6.4,6.4,6.4,0
PC ,B4 ,146,FAGR ,0,0,0,0,0,0,8.6,10.2
PC ,B5 ,27,PIRE ,26.2,26.9,27.6,28,28.2,28.5,28.7,28.7
PC ,B5 ,28,PIRE ,17.1,17.4,17.5,17.5,17.1,17.3,0,0
PC ,B5 ,139,BELE ,0,0,0,0,0,0,5.7,6.2
PC ,B5 ,,FAGR ,0,0,0,0,0,0,0,5.3
PC ,B5 ,,BELE ,0,0,0,0,0,0,0,5.3
PC ,B5 ,,BELE ,0,0,0,0,0,0,0,6.4
PC ,B6 ,26,PIRE ,33.5,34.5,36.1,37,37.8,37.9,38,38
PC ,B6 ,102,ACPE ,0,0,0,7.7,8.9,10.3,12.4,14.2
PC ,B6 ,103,ACPE ,0,0,0,7.1,8,8.8,10,11.1
PC ,B6 ,104,BELE ,0,0,0,6.6,7.4,8.3,9.5,10.7
PC ,C1 ,39,PIRE ,18.7,19,19.1,19.2,19.1,19.9,19.9,0
PC ,C1 ,40,PIRE ,18.8,19,19.2,19.3,19.3,19.3,19.3,0
PC ,C1 ,145,ACPE ,0,0,0,0,0,0,5,6.4
PC ,C2 ,41,PIRE ,15.1,15.4,15.6,15.6,15.6,15.6,15.6,0
PC ,C2 ,42,NYSY ,13.3,13.9,15,15.8,16.5,17.3,18.1,18.5
PC ,C2 ,96,NYSY ,11.4,11.7,12.1,12.1,12,12.3,12.1,12
PC ,C2 ,135,PRSE2 ,0,0,0,0,0,0,8.6,9.7
PC ,C3 ,98,ACPE ,5.1,5.9,6.5,7.2,7.8,8.4,9.2,9.8
PC ,C3 ,109,ACPE ,0,0,0,5.2,5.8,5.9,6.3,6.5
PC ,C3 ,110,PRSE2 ,0,0,0,6.3,6.8,6.9,7.7,7.9
PC ,C3 ,133,BELE ,0,0,0,0,0,0,6.6,7.6
PC ,C4 ,43,PIRE ,26.5,28.1,30,31.1,32.2,33,33,33.8
PC ,C4 ,495,BELE ,0,0,0,0,0,6.7,7.8,8.6
