year,date,plot,n.mls,avmls,sdmls,n.n,avno3,sdno3,avnh4,sdnh4
1988,1988-08-30,HC,0,NA,NA,0,NA,NA,NA,NA
1988,1988-08-30,HH,0,NA,NA,0,NA,NA,NA,NA
1988,1988-08-30,HL,0,NA,NA,0,NA,NA,NA,NA
1988,1988-08-30,HNS,0,NA,NA,0,NA,NA,NA,NA
1988,1988-08-30,PC,0,NA,NA,4,0.137,0.152,0.167,0.098
1988,1988-08-30,PH,0,NA,NA,3,2.275,2.177,0.797,0.462
1988,1988-08-30,PL,0,NA,NA,4,0.05,0.018,0.082,0.02
1988,1988-08-30,PNS,0,NA,NA,1,0.418,0.418,0.118,0.118
1988,1988-08-31,HC,0,NA,NA,4,0.081,0.133,0.224,0.371
1988,1988-08-31,HH,0,NA,NA,4,0.461,0.717,0.181,0.188
1988,1988-08-31,HL,0,NA,NA,4,0.288,0.287,0.188,0.146
1988,1988-08-31,HNS,0,NA,NA,3,0.058,0.1,0.046,0.026
1988,1988-08-31,PC,0,NA,NA,5,0.032,0.026,0.085,0.051
1988,1988-08-31,PH,0,NA,NA,5,0.911,1.06,0.318,0.429
1988,1988-08-31,PL,0,NA,NA,5,0.114,0.174,0.11,0.198
1988,1988-08-31,PNS,0,NA,NA,4,0.144,0.162,0.225,0.244
1989,1989-04-18,HC,5,32.4,9.3,5,0.015,0.027,0,0
1989,1989-04-18,HH,5,29.8,16.8,4,0.013,0.02,0,0
1989,1989-04-18,HL,5,35,2.6,5,0.015,0.031,0,0
1989,1989-04-18,HNS,5,29,9.2,5,0,0,0,0
1989,1989-04-18,PC,0,NA,NA,0,NA,NA,NA,NA
1989,1989-04-18,PH,0,NA,NA,0,NA,NA,NA,NA
1989,1989-04-18,PL,0,NA,NA,0,NA,NA,NA,NA
1989,1989-04-18,PNS,0,NA,NA,0,NA,NA,NA,NA
1989,1989-05-16,HC,5,34.8,7.9,5,0,0,0.001,0.002
1989,1989-05-16,HH,5,30.6,15,5,0.147,0.33,0.033,0.025
1989,1989-05-16,HL,5,32,9.7,5,0,0,0.013,0.005
1989,1989-05-16,HNS,5,29.4,15.1,4,0.019,0.038,0.011,0.003
1989,1989-05-16,PC,5,32.4,5.6,5,0,0,0,0
1989,1989-05-16,PH,5,30.6,10.5,5,0.235,0.525,0,0
1989,1989-05-16,PL,5,39.2,2.2,5,0,0,0,0
1989,1989-05-16,PNS,5,35.8,3.8,5,0.056,0.126,0,0
1989,1989-06-13,HC,5,40.5,0.6,5,0,0,0,0
1989,1989-06-13,HH,5,36.6,8.7,5,0.002,0.006,0.035,0.079
1989,1989-06-13,HL,5,35,4,4,0,0,0.006,0.01
1989,1989-06-13,HNS,5,33.6,6.1,5,0,0,0,0
