year,plot,min.organic,min.mineral,min.org+min,nit.organic,nit.mineral,nit.org+min
1988,HC,45.46,25.39,70.85,0.07,-0.24,-0.17
1988,HH,68.89,31.04,99.93,5.05,-0.72,4.33
1988,HL,53.2,30.16,83.36,0.7,0.55,1.25
1988,HNS,14.18,16.28,30.46,0.04,0.46,0.5
1988,PC,45.57,39.85,85.42,1.68,9.4,11.08
1988,PH,80.78,69.69,150.47,9.35,15.72,25.07
1988,PL,63.34,44.31,107.65,5.12,16.91,22.03
1988,PNS,15.49,28.52,44.01,2.13,10.27,12.39
1990,HC,44.92,25.11,70.03,-0.08,0.11,0.03
1990,HH,63.95,28.16,92.11,0.08,2.34,2.42
1990,HL,45.42,20.17,65.59,0.09,2.06,2.15
1990,HNS,39.21,16.24,55.45,0,1.95,1.95
1990,PC,41.96,33.05,75.01,5.02,20.42,25.44
1990,PH,50.26,57.52,107.78,7.88,33.04,40.92
1990,PL,48.15,35.77,83.92,7.16,23.22,30.38
1990,PNS,32.79,20.94,53.73,5.78,19.56,25.35
1991,HC,40.7,31.75,72.44,0.03,1.85,1.88
1991,HH,86.95,56.88,143.83,-0.72,0.6,-0.12
1991,HL,35.57,18.84,54.4,0.15,1.23,1.38
1991,HNS,42.04,34.06,76.1,0.42,1.96,2.38
1991,PC,38.24,36.16,74.4,1.35,20.97,22.32
1991,PH,39.43,63.51,102.94,8.05,45.97,54.03
1991,PL,48.76,59.27,108.03,7.34,33.88,41.21
1991,PNS,36.04,59.17,95.21,6.21,35.44,41.65
1993,HC,56.79,24.17,80.96,0,0.18,0.18
1993,HH,116.03,80.72,196.76,1.19,6.61,7.8
1993,HL,74.57,28.94,103.51,0.15,0.43,0.58
1993,HNS,71.83,31.68,103.51,1.75,0.71,2.45
1993,PC,48.05,33.35,81.4,1.41,15.34,16.75
1993,PH,43.27,52.37,95.64,10.11,38.65,48.77
1993,PL,55.64,55.18,110.82,8.45,30.52,38.97
1993,PNS,60.03,59.62,119.65,6.54,34.41,40.95
1996,HC,73.82,26.47,100.29,0,0,0
1996,HH,125.01,90.88,215.89,10.75,39.24,50
1996,HL,119.05,50.77,169.83,0.12,1.28,1.4
1996,HNS,70.53,33.79,104.32,0,0.97,0.97
1996,PC,71.81,53.8,125.61,2.62,22.25,24.88
1996,PH,72.08,80.88,152.96,25.86,63.6,89.46
1996,PL,62.53,57.9,120.43,23.2,47.68,70.88
1996,PNS,81.69,63.01,144.69,19.17,51.97,71.14
