collection,month,year,species,plot,n.wt,avg.m.remain,sd.m.remain,n,avg.per.n,sd.per.n,avg.per.lignin,sd.per.lignin,avg.per.cellulose,sd.per.cellulose
1,8,1989,ACRU,HC,4,66.23,1.08,2,1.22,0.03,44.05,0.18,32.97,0.08
2,11,1989,ACRU,HC,4,58.11,1.42,2,1.36,0.03,46.48,0.13,33.01,0.41
3,8,1990,ACRU,HC,4,48.39,1.42,2,1.64,0.04,47.43,0.36,33.58,0.02
4,11,1990,ACRU,HC,4,44.98,3.23,2,1.75,0.06,49.22,0.44,32.57,0.51
5,8,1991,ACRU,HC,4,34.01,8.72,2,1.93,0.03,48.5,0.88,33.87,0.84
6,11,1991,ACRU,HC,4,30.01,8.24,2,2.15,0.09,47.14,0.02,33.6,1.15
7,8,1992,ACRU,HC,4,30.89,4.08,2,2.14,0.12,49,1.25,33.15,0.51
8,11,1992,ACRU,HC,4,31.64,6.78,2,2.07,0.02,48.56,1.92,32.5,0.58
9,8,1993,ACRU,HC,4,28.08,10.93,2,2.01,0.01,51,0.48,31.57,0.08
10,11,1993,ACRU,HC,4,23.06,8.37,2,2.06,0.03,52.16,0.76,30.62,0.14
11,8,1994,ACRU,HC,8,28.93,8.56,4,2.14,0.09,49.71,2.85,31.7,0.56
12,11,1994,ACRU,HC,8,28.54,8.98,4,2.07,0.02,52.41,0.94,30.45,0.43
1,8,1989,ACRU,HH,4,67.62,2.41,2,1.3,0.06,43.4,0.61,32.9,0.06
2,11,1989,ACRU,HH,4,59.27,2.62,2,1.47,0.05,46.28,0.21,32.22,0.05
3,8,1990,ACRU,HH,4,53.68,5.1,2,1.72,0.02,48.42,0.25,32.76,0.04
4,11,1990,ACRU,HH,4,54.08,6.36,2,1.74,0.01,49.43,0.29,32.61,0.57
5,8,1991,ACRU,HH,4,50.14,3.42,2,1.95,0.03,50.49,0.25,33.6,0.24
6,11,1991,ACRU,HH,4,55.09,1.75,2,1.92,0.07,50.46,0.08,32.18,0.68
7,8,1992,ACRU,HH,4,53.58,7.3,2,1.99,0.1,51.58,0.28,32.23,0.39
8,11,1992,ACRU,HH,4,54.86,4.03,2,1.92,0.02,51.75,0.74,31.75,0.02
9,8,1993,ACRU,HH,4,53.56,5,2,1.97,0.03,51.58,0.63,31.25,0.38
10,11,1993,ACRU,HH,4,56.3,5.65,2,2.08,0.01,53.43,0.77,31.46,0.53
11,8,1994,ACRU,HH,8,56.5,16.14,4,2.18,0.13,55.41,2.16,30.79,0.51
12,11,1994,ACRU,HH,8,49.36,7.39,4,2.17,0.04,54.55,1.23,30.57,0.55
1,8,1989,ACRU,HL,4,65.05,2.13,2,1.29,0.03,44.18,0.85,33.39,0.2
2,11,1989,ACRU,HL,4,51.75,4.79,2,1.57,0.02,47.16,0.17,32.8,0.42
