plot,year,nbasket,mean,sd
HC,2003,9,463.81,31.12
HH,2003,9,489.87,8.42
HL,2003,9,449.43,18.16
HNS,2003,9,437.54,24.08
PC,2003,9,402.9,14.54
PH,2003,9,487.18,25.02
PL,2003,9,518.22,50.88
PNS,2003,9,478.16,13.32
HC,2004,9,432.73,23.54
HH,2004,9,437.49,12.94
HL,2004,9,520.37,32.32
HNS,2004,9,465.47,28.72
PC,2004,9,408.03,18.32
PH,2004,9,392.91,36.72
PL,2004,9,531.36,27.85
PNS,2004,9,509.72,26.68
HC,2006,9,417.07,17.08
HH,2006,9,420.58,15.31
HL,2006,9,410.74,31.49
HNS,2006,9,403.89,27.35
PC,2006,9,400.55,17.72
PH,2006,9,464.13,25.87
PL,2006,9,442.58,18.56
PNS,2006,9,536.89,25.84
HC,2007,9,402.74,14.37
HH,2007,9,402.96,10.82
HL,2007,9,396.52,13.41
HNS,2007,9,423.84,10.83
PC,2007,9,602.18,33.04
PH,2007,9,363.61,25.53
PL,2007,9,611.36,22.38
PNS,2007,9,542,21.42
HC,2008,9,465.39,21.93
HH,2008,9,503.35,33.65
HL,2008,9,488.32,12.95
HNS,2008,9,459.55,30.92
PC,2008,9,482.76,15.81
PH,2008,9,497.67,73.35
PL,2008,9,730.24,89.92
PNS,2008,9,734.39,53.91
HC,2009,9,406.32,12.54
HH,2009,9,460,24.4
HL,2009,9,447.51,16.64
HNS,2009,9,440.24,18.8
PC,2009,9,423.3,21.79
PH,2009,9,352.39,43.13
PL,2009,9,314.41,13.77
PNS,2009,9,422.3,14.11
HC,2010,9,473.88,21.19
HH,2010,9,496.95,27.76
HL,2010,9,479.57,19.24
HNS,2010,9,526.31,25.58
PC,2010,9,447.13,21
PH,2010,9,385.38,46
PL,2010,9,550.77,33.36
PNS,2010,9,473.91,26.35
