date,treat,subfamily,ant.genus,ant.species,code,collection,vial,collector
2003-06-15,HC,Myrmicinae,Aphenogaster,picea,aphpic,HFR,5073,Chen/Lau/Diaz
2003-06-15,HC,Formicinae,Camponotus,pennsylvanicus,campen,HFR,5074,Chen/Lau/Diaz
2003-06-15,HC,Myrmicinae,Myrmica,punctiventris,myrpun,HFR,5075,Chen/Lau/Diaz
2003-06-15,HC,Myrmicinae,Temnothorax,lognispinosus,temlon,HFR,5076,Chen/Lau/Diaz
2003-06-15,HC,Myrmicinae,Aphenogaster,picea,aphpic,HFR,5077,Chen/Lau/Diaz
2003-06-15,HC,Myrmicinae,Myrmica,punctiventris,myrpun,HFR,5078,Chen/Lau/Diaz
2003-06-15,HC,Formicinae,Camponotus,pennsylvanicus,campen,HFR,5079,Chen/Lau/Diaz
2003-06-15,HC,Formicinae,Formica,subsericea,forsub3,HFR,5080,Chen/Lau/Diaz
2003-06-15,HC,Formicinae,Formica,subsericea,forsub3,HFR,5081,Chen/Lau/Diaz
2003-06-15,HC,Formicinae,Formica,subsericea,forsub3,HFR,5082,Chen/Lau/Diaz
2003-06-15,HC,Dolichoderinae,Tapinoma,sessile,tapses,HFR,5085,Chen/Lau/Diaz
2003-06-15,HC,Myrmicinae,Aphenogaster,picea,aphpic,HFR,5086,Chen/Lau/Diaz
2003-06-15,HC,Formicinae,Formica,subsericea,forsub3,HFR,5087,Chen/Lau/Diaz
2003-06-15,HC,Myrmicinae,Aphenogaster,picea,aphpic,HFR,5089,Chen/Lau/Diaz
2003-06-15,HC,Myrmicinae,Myrmica,punctiventris,myrpun,HFR,5090,Chen/Lau/Diaz
2003-06-15,HC,Formicinae,Lasius,alienus,lasali,HFR,5092,Chen/Lau/Diaz
2003-06-15,HC,Myrmicinae,Aphenogaster,picea,aphpic,HFR,5093,Chen/Lau/Diaz
2003-06-15,HC,Formicinae,Lasius,nearcticus,lasnea,HFR,5095,Chen/Lau/Diaz
2003-06-15,HC,Myrmicinae,Myrmica,punctiventris,myrpun,HFR,5096,Chen/Lau/Diaz
2003-06-15,HC,Formicinae,Camponotus,pennsylvanicus,campen,HFR,5097,Chen/Lau/Diaz
2003-06-15,HC,Formicinae,Formica,subsericea,forsub3,HFR,5098,Chen/Lau/Diaz
2003-06-15,HC,Formicinae,Formica,neogagates,forneo1,HFR,5099,Chen/Lau/Diaz
2003-06-15,HC,Myrmicinae,Stenamma,impar,steimp,HFR,5101,Chen/Lau/Diaz
2003-06-15,HC,Formicinae,Formica,subsericea,forsub3,HFR,5102,Chen/Lau/Diaz
2003-06-15,HC,Formicinae,Formica,neogagates,forneo1,HFR,5103,Chen/Lau/Diaz
2003-06-15,HC,Formicinae,Formica,subsericea,forsub3,HFR,5104,Chen/Lau/Diaz
2003-06-15,HC,Myrmicinae,Myrmica,punctiventris,myrpun,HFR,5105,Chen/Lau/Diaz
2003-06-15,HH,Formicinae,Camponotus,pennsylvanicus,campen,HFR,5137,Chen/Lau/Diaz
2003-06-15,HH,Formicinae,Formica,subsericea,forsub3,HFR,5138,Chen/Lau/Diaz
2003-06-15,HH,Formicinae,Camponotus,pennsylvanicus,campen,HFR,5139,Chen/Lau/Diaz
2003-06-15,HH,Myrmicinae,Myrmica,punctiventris,myrpun,HFR,5140,Chen/Lau/Diaz
2003-06-15,HH,Formicinae,Lasius,alienus,lasali,HFR,5141,Chen/Lau/Diaz
