PLOT,ASPECT,SLOPE,POSITION,RELIEF,ROCKS,HURRICANE,FIRE1957,ABANDON,SERIES,USE,DRAINAGE,PLANTATION,SCS,MOSS
1,310,1,LOW,2,3,3,2,1885,1,4,2,0,1,1
2,0,0,MID LOW,3,4,5,2,1880,3,3,2,0,1,1
3,282,4,LOW,3,3,3,2,1865,3,4,5,0,1,0
4,113,1,LOW,3,4,3,2,1865,2,4,6,0,0,0
5,0,0,LOW,3,0,3,2,NA,7,4,6,0,0,0
6,246,10,MID,2,7,1,2,1870,1,4,3,0,1,0
7,0,0,LOW,3,0,3,2,NA,7,4,6,0,0,0
8,54,7,MID,4,4,6,2,1870,1,3,2,0,1,0
9,66,8,MID LOW,2,5,2,2,1870,2,3,2,0,1,0
10,47,9,MID,2,5,2,2,1880,14,3,2,0,1,1
11,55,14,MID,3,3,3,2,1880,14,3,2,0,1,1
12,70,10,MID,2,5,2,2,1880,14,3,2,0,1,1
13,291,6,MID,3,4,5,2,1880,2,4,3,0,1,1
14,119,1,MID LOW,3,4,3,2,1880,2,4,3,0,1,1
15,210,8,MID,3,3,5,2,1870,1,3,4,0,1,0
16,100,6,MID,2,4,2,2,1880,3,3,2,0,1,1
17,71,5,MID,2,4,3,2,1880,3,3,2,0,1,0
18,130,3,MID,3,4,5,2,1900,3,3,2,0,1,0
19,133,4,MID,3,4,4,2,NA,1,2,2,0,1,0
20,56,2,LOW,3,4,3,2,1880,2,4,4,0,1,1
21,50,5,MID LOW,3,4,3,2,1880,2,4,2,0,1,0
22,127,4,MID,2,4,5,2,1900,3,3,2,0,1,0
23,109,8,MID,2,4,4,2,1880,14,3,2,0,1,1
24,250,13,MID,3,6,5,2,1880,14,3,3,0,1,0
25,306,6,UPPER,1,0,6,2,1900,1,3,2,0,1,1
26,280,12,MID,2,2,4,2,1900,1,3,2,0,1,1
27,316,12,MID,1,4,4,2,1880,2,3,3,0,1,0
28,32,7,MID,2,4,6,2,1880,14,3,3,0,1,1
29,25,2,LOW,2,4,4,2,NA,2,4,6,0,0,0
30,165,1,UPPER,4,1,6,2,1860,1,3,4,0,1,0
31,300,3,MID LOW,3,3,3,2,1860,1,3,4,0,1,0
32,240,2,MID,2,3,3,2,1870,1,3,5,0,1,0
33,0,0,LOW,3,3,3,2,1870,2,3,6,0,0,1
34,149,1,MID,4,2,4,2,1870,1,2,2,0,0,1
35,228,2,MID LOW,2,4,4,2,1870,1,3,5,0,1,0
36,300,1,LOW,4,3,3,2,1870,2,3,5,0,0,1
37,0,0,LOW,2,2,0,2,1915,2,1,3,0,1,0
38,170,2,MID,2,3,3,2,1860,1,3,4,0,1,1
39,235,11,MID,2,2,4,2,1860,1,3,2,0,1,1
40,203,3,MID LOW,2,3,3,2,1850,2,3,4,0,1,0
41,196,7,MID LOW,2,5,2,2,1850,2,4,5,0,1,0
42,0,0,LOW,4,0,3,2,1850,13,4,6,0,1,0
43,220,1,MID LEV,3,2,6,2,1850,1,3,1,0,0,0
44,110,2,LOW,2,3,4,2,1850,13,3,5,0,0,0
45,298,8,MID,3,4,2,2,1850,1,3,4,0,1,0
46,176,3,UPPER,3,2,3,2,NA,1,4,2,0,1,0
47,90,16,MID,2,4,4,2,NA,1,3,2,0,1,1
48,326,5,MID,2,5,3,2,1870,1,4,2,0,1,0
49,0,0,LOW,4,4,2,2,NA,2,4,5,0,0,0
50,248,2,UPPER,3,2,1,2,1850,1,2,2,0,1,0
51,261,2,MID,4,3,1,2,1850,1,2,1,0,1,0
52,122,10,MID LOW,2,6,2,2,1880,1,4,4,0,1,0
53,198,4,MID LOW,1,7,2,2,1880,3,4,5,0,0,1
54,330,7,MID,3,2,2,1,1850,1,2,2,0,0,1
55,254,18,MID,2,3,2,2,1905,3,3,3,0,1,0
56,145,6,UPPER,2,3,6,1,1875,1,1,2,0,1,1
57,256,14,MID,2,6,2,2,1880,3,4,2,0,1,1
58,234,18,MID,1,6,2,2,1880,3,3,1,0,1,1
59,234,14,MID,2,4,1,2,1880,3,3,2,0,1,0
60,196,8,MID,4,2,3,2,1880,5,3,3,0,1,0
61,214,6,MID,1,3,3,2,1905,5,3,3,0,1,1
62,306,8,MID,1,4,1,2,1905,4,3,2,0,1,0
63,240,6,MID,1,3,1,2,1905,5,3,2,0,1,0
64,198,5,MID,2,4,3,2,1905,5,3,4,0,1,0
65,210,7,MID,1,3,3,2,1905,5,3,2,0,1,1
66,180,6,MID,3,4,6,2,NA,5,3,2,0,1,1
67,304,3,MID,3,2,6,1,1875,1,2,2,0,1,1
68,168,2,MID LEV,1,2,4,1,1913,1,2,2,0,1,1
69,198,6,MID,1,6,4,2,1905,5,3,1,0,0,0
70,192,4,MID LOW,3,6,2,2,1905,2,3,3,0,1,0
71,215,6,MID LOW,2,5,4,2,NA,3,3,2,0,1,0
72,200,3,MID LOW,2,4,3,2,1895,2,3,5,0,1,1
73,140,2,MID LOW,1,3,3,2,1895,4,1,5,0,1,1
74,160,10,MID,1,5,3,2,1870,14,3,2,0,1,0
75,234,10,MID,1,3,3,2,1905,3,3,2,0,1,0
76,345,1,LOW,2,6,3,2,NA,1,4,2,0,1,1
77,280,6,MID,2,2,0,2,1895,1,3,2,0,1,1
78,85,28,MID,2,4,3,2,1870,14,3,2,0,1,1
79,0,0,LOW,1,2,0,2,1895,2,3,6,0,0,0
80,322,2,MID LOW,2,2,3,2,1885,1,4,3,0,1,1
81,0,0,MID LEV,2,3,0,2,NA,1,2,2,0,1,
82,0,0,MID LOW,2,3,0,2,1885,1,3,4,0,1,1
83,0,0,LOW,2,4,1,2,1850,2,4,5,0,0,0
84,0,0,MID LOW,4,3,0,2,1895,2,3,5,0,1,1
85,90,20,MID,2,6,2,2,1870,14,3,2,0,0,1
86,55,2,UPPER,4,2,5,2,1895,1,2,3,0,1,1
87,220,2,MID,3,2,6,2,1895,1,2,2,0,1,0
88,222,1,MID LEV,1,2,2,2,1860,2,3,4,0,1,0
89,120,14,MID,2,6,2,2,1870,14,3,2,0,1,1
90,0,0,LOW,1,0,2,2,1895,2,3,5,0,1,1
91,85,2,MID,4,2,5,2,1895,1,3,2,0,1,1
92,242,4,MID,2,4,3,2,1860,2,3,3,0,1,0
93,106,1,MID,3,2,6,2,1920,1,1,3,0,1,1
94,0,0,MID LOW,4,3,5,2,1895,1,3,2,0,1,1
95,314,6,MID,2,4,2,2,1850,4,4,4,0,1,0
96,350,1,LOW,3,2,2,2,1850,11,3,5,0,1,0
97,0,0,MID LOW,3,4,4,2,1870,2,3,5,0,1,1
