PLOT,SPECIES,SOIL,MOUND,DEAD,BASE,LIVE,ROCK,TOTAL
1,BATR,1,0,0,2,0,1,3
1,BRRE,2,0,0,2,0,2,4
1,CAFI,1,0,0,1,0,0,2
1,CAHA,0,0,0,0,0,1,1
1,DIFL,0,0,2,0,0,1,2
1,DIFU,0,0,0,0,0,2,2
1,DIMO,0,0,1,2,0,0,2
1,DISC,1,0,0,0,0,2,2
1,HYIM,0,1,1,1,0,2,3
1,LEGL,2,0,0,0,0,0,2
1,LERE,1,0,0,0,0,1,2
1,NOCU,0,0,2,0,0,0,2
1,PLLA,0,0,0,1,0,2,2
1,POCO,2,0,0,0,0,0,2
1,PTSP,0,0,2,2,0,0,3
1,SUBS,1,1,1,2,2,1,4
1,TEPE,0,0,2,2,0,0,3
2,BRRE,0,0,0,0,0,2,2
2,CAFI,2,0,1,0,0,0,2
2,CAHA,0,0,1,2,2,0,3
2,CESP,0,0,1,0,0,0,1
2,DIFL,0,0,2,2,0,0,3
2,DIHE,1,0,0,0,0,0,1
2,DIMO,0,0,0,1,1,0,2
2,DISC,0,0,0,0,0,2,2
2,FRSP,0,0,0,0,1,0,1
2,HYIM,0,0,2,2,0,2,4
2,HYPA,0,0,2,2,0,0,3
2,LEGL,0,0,2,1,0,0,2
2,LOSP,2,0,0,0,0,0,2
2,NOCU,0,0,1,0,0,0,1
2,PLLA,0,0,0,2,0,0,2
2,PLRE,0,0,0,0,2,0,2
2,POCO,1,0,0,0,0,0,1
2,PONU,1,0,0,0,0,0,1
2,PTSP,0,0,1,1,0,0,2
2,SUBS,1,0,2,2,2,1,4
2,TEPE,1,0,2,0,0,0,2
2,ULCR,0,0,0,0,1,0,1
10,BATR,0,1,0,0,0,0,1
10,CAFI,0,1,0,0,0,0,1
10,CAHA,0,1,1,0,0,2,3
10,DIFL,0,0,2,0,0,0,2
10,DIFO,2,0,0,0,0,0,2
10,DIFU,0,0,0,1,0,2,2
10,DIHE,1,0,0,0,0,0,1
10,DIMO,0,0,0,1,1,1,2
10,DISC,0,0,0,0,0,2,2
10,GRAP,0,0,0,0,0,1,1
10,HYIM,0,0,1,0,0,2,2
10,HYPA,0,0,1,2,0,1,3
10,LEGL,1,0,0,0,0,0,1
10,LOSP,0,0,0,1,0,0,1
10,ODDE,0,0,1,0,0,1,2
10,PALO,0,0,0,0,0,1,1
10,PLLA,1,0,0,1,0,0,2
10,PLRE,0,0,1,0,2,1,3
10,PLSC,0,0,0,0,0,1,1
10,POCO,1,0,0,0,0,1,2
10,PTSP,0,0,0,0,0,2,2
10,SUBS,1,1,2,2,2,2,4
10,THDE,0,0,1,0,0,0,1
10,ULCR,0,0,0,0,2,0,2
11,CAHA,0,0,0,2,0,2,3
11,DIFL,0,0,1,0,0,0,1
11,DIFU,0,0,0,0,0,1,1
11,DIHE,2,0,0,0,0,0,2
11,DIMO,0,0,0,2,2,1,3
11,DISC,1,0,0,0,0,0,1
11,FRSP,0,0,0,0,1,0,1
11,HYIM,0,0,1,0,0,2,2
11,HYPA,0,0,0,2,0,2,3
11,LEGL,2,0,0,1,0,2,3
11,LOSP,0,0,1,1,0,1,2
11,NOCU,0,0,1,0,0,0,1
11,PALO,0,0,0,0,0,1,1
11,PLLA,0,0,0,2,0,0,2
11,PLRE,0,0,1,0,2,0,2
11,POCO,2,0,0,0,0,0,2
11,RACO,0,0,0,1,0,0,1
11,STSE,1,0,0,1,0,0,2
11,SUBS,1,0,1,2,2,2,4
11,ULCR,0,0,1,0,2,0,2
12,BROX,0,0,0,1,0,0,1
12,BRRE,0,0,0,0,0,1,1
12,BRRF,0,0,0,1,0,0,1
12,CAHA,1,0,0,1,0,1,2
12,DIFO,1,0,0,0,0,0,1
12,DIFU,0,0,0,1,0,2,2
12,DIHE,1,0,0,0,0,0,1
12,DIMO,0,0,0,1,1,1,2
12,HECI,0,0,0,0,0,1,1
12,HYPA,0,0,0,2,0,2,3
12,LEGL,1,0,0,0,0,0,1
12,LOSP,0,0,0,1,0,1,2
12,ORRU,0,0,0,0,0,1,1
12,PLLA,1,0,0,0,0,0,1
12,PLRE,0,0,0,2,2,0,3
12,POCO,1,0,0,0,0,0,1
12,PTSP,0,0,1,1,0,2,3
12,SUBS,1,0,1,2,2,2,4
12,ULCR,0,0,0,0,1,0,1
13,ATAN,0,2,0,0,0,0,2
13,CAHA,0,0,0,1,0,1,2
13,DIFL,0,0,2,0,0,0,2
13,DIFO,0,2,0,0,0,0,2
13,DIFU,0,0,0,0,0,2,2
13,DIHE,0,0,1,0,0,0,1
13,DIMO,0,0,1,1,1,1,3
13,FRSP,0,0,0,0,1,0,1
13,HYIM,1,0,2,0,0,2,3
13,HYPA,0,0,0,2,0,2,3
13,LEGL,0,0,0,0,0,1,1
13,LOSP,0,0,1,1,0,0,2
13,NOCU,0,0,2,0,0,0,2
13,ORRU,0,0,0,0,0,1,1
13,PLRE,0,0,1,1,1,0,2
13,POCO,1,0,0,0,0,0,1
13,PONU,0,1,0,0,0,0,1
13,PTSP,0,0,0,0,0,2,2
13,SUBS,1,1,2,2,2,2,4
13,TEPE,0,0,2,0,0,0,2
13,THHI,0,0,0,1,0,0,1
13,ULCR,0,0,0,0,1,0,1
14,ATAN,0,1,0,0,0,0,1
14,BRCU,0,0,0,0,0,1,1
14,CAFI,1,1,0,0,0,0,2
14,CAHA,0,0,0,0,0,1,1
14,CASA,0,0,0,0,0,1,1
14,DIFL,0,0,2,0,0,0,2
14,DIFO,0,1,0,0,0,0,1
14,DIFU,0,0,0,0,0,2,2
14,DIHE,0,1,0,0,0,0,1
14,DIMO,0,0,0,1,0,1,2
14,DISC,0,0,0,0,0,1,1
14,FRSP,0,0,0,0,1,0,1
14,HYIM,0,0,0,0,0,2,2
14,HYPA,0,0,1,1,0,2,3
14,LEGL,1,0,0,0,0,1,2
14,LOSP,0,0,0,0,0,1,1
14,PLLA,1,0,0,1,0,0,2
14,PLRE,0,0,1,0,2,0,2
14,POCO,1,0,0,0,0,0,1
14,SUBS,1,1,2,2,2,2,4
14,TEPE,0,0,1,0,0,1,2
14,ULCO,0,0,0,0,1,0,1
14,ULCR,0,0,0,0,2,0,2
16,ATAN,0,1,0,0,0,0,1
16,BROX,0,0,0,2,0,0,2
16,CAHA,1,0,1,2,0,0,3
16,DIFU,0,0,0,1,0,2,2
16,DIHE,1,1,0,0,0,0,2
16,DIMO,0,0,1,0,1,0,2
