PIT,CLAY,SILT,SAND,FSi,CoSi,VFS,FS,MS,CoS,VCoS,CECCL,CAX,MGX,NaX,KX,SUMB,CEC,BSAT
100a,5.5,22.3,72.2,11.4,10.9,10.2,20.6,18.6,13.2,9.6,4.5,0.4,0.3,-1,0.1,0.8,24.8,3.2
100b,7.7,34.8,57.5,17.1,17.7,10.9,19.4,13.2,8.9,5.1,3,0.3,0.2,-1,0.1,0.6,22.9,2.6
100c,10.3,33.3,56.4,16.6,16.7,12.9,17.8,13.2,7,5.5,1.5,0.3,0.1,-1,0.1,0.5,15.1,3.3
101a,5.5,24.1,70.4,12.7,11.4,11.1,20,18.4,13.8,7.1,1.8,0.3,0.1,-1,0.1,0.5,9.7,5.2
101b,5.8,25.4,68.8,13.1,12.3,11.5,20.1,17.7,12.6,6.9,1.8,0.3,0.1,-1,0.1,0.5,10.5,4.8
101c,6.6,25.7,67.7,13.6,12.1,10.3,18.1,17.8,13.8,7.7,2,0.4,0.1,-1,0.1,0.6,13.2,4.5
103a,10.1,33.6,56.3,17,16.6,12.9,15.9,14,9.1,4.4,1.8,0.3,0.2,-1,0.1,0.6,18.2,3.3
103b,10.5,36.1,53.4,18.2,17.9,11.4,16.9,13.7,7.8,3.6,1.6,0.4,0.1,-1,0.1,0.6,17,3.5
103c,8.6,34.2,57.2,19.5,14.7,11.3,17.7,14.6,9.1,4.5,1.9,0.3,0.1,-1,0.1,0.5,16,3.1
104a,6,43.4,50.6,23.7,19.7,10.2,16.3,14,6.6,3.5,4.3,0.3,0.1,-1,0.1,0.5,25.6,2
104b,8,38.8,53.2,18.2,20.6,11.5,15.6,14,7.6,4.5,2.3,0.4,0.1,-1,0.2,0.7,18.2,3.8
104c,7.9,26.6,65.5,13.1,13.5,12,21,17,10.3,5.2,1.7,0.4,0.1,-1,0.1,0.6,13.3,4.5
105a,5.9,30.7,63.4,16.8,13.9,10.8,19.4,17.1,10.6,5.5,3.2,0.4,0.1,0.2,0.1,0.8,19,4.2
105b,5.1,27.9,67,9.7,18.2,10.9,19.7,19.5,11.1,5.8,7.2,0.4,0.2,-1,0.2,0.8,36.9,2.2
105c,7.3,29.7,63,12.9,16.8,11.8,21.4,18.6,8.1,3.1,4.9,0.3,0.2,0.1,0.1,0.7,35.7,2
106a,7.1,27.2,65.7,10.7,16.5,10.7,17.1,16.2,13,8.7,1.5,0.3,0.1,0.1,0.1,0.6,10.6,5.7
106b,7.7,26.6,65.7,11.7,14.9,12.3,20.4,15.8,10.9,6.3,2.8,0.3,0.2,0.1,0.1,0.7,21.5,3.3
106c,3.7,29.7,66.6,12.7,17,10.8,15.8,19.9,14.3,5.8,3,0.2,0.1,0.1,-1,0.4,11.2,3.6
107a,2.4,11.4,86.2,3.1,8.3,16.9,40.7,19.2,6.8,2.6,2.3,0.3,0.1,-1,-1,0.5,5.6,8.9
107b,8.9,22,69.1,8.8,13.2,10.7,27.8,19.5,8.1,3,2.4,0.3,0.2,0.1,0.1,0.7,20.9,3.4
107c,8.3,24.7,67,9.3,15.4,11,23.5,19.5,9.9,3.1,2.2,0.3,0.1,0.1,0.1,0.6,18,3.3
108a,6,23.6,70.4,9.9,13.7,8,16.6,23,14.6,8.2,1.4,0.2,-1,-1,-1,0.3,8.6,3.5
108b,6.2,29.3,64.5,13.5,15.8,10.7,19.1,18.5,11,5.2,1.8,0.2,0.1,-1,0.1,0.5,10.9,4.6
108c,6.6,29.5,63.9,11.9,17.6,12.6,20.8,16.8,9.7,4,2,0.3,0.1,-1,0.1,0.5,13.2,3.8
109a,10.3,45.3,44.4,21.2,24.1,10.5,13.3,11,6.5,3.1,2.1,0.7,1.4,-1,0.1,2.3,21.3,10.8
109b,8.1,33.3,58.6,15.6,17.7,12.2,17.4,15.3,9.1,4.6,1.4,0.3,0.1,-1,0.1,0.5,10.9,4.6
109c,8.6,32,59.4,14.9,17.1,12.2,18.3,15.5,9.2,4.2,1.4,0.3,-1,-1,0.1,0.4,12,3.3
10a,5.3,35.2,59.5,18.9,16.3,10.9,16.9,15,9.7,7,2.6,0.3,0.1,0.1,0.1,0.6,14,4.3
10b,7.6,37,55.4,20.2,16.8,11.1,17.1,13.2,8.3,5.7,2.1,0.2,-1,0.1,0.1,0.4,15.6,2.6
10c,6.7,32.6,60.7,18.1,14.5,10.4,17.8,15.7,11.2,5.6,2.8,0.8,0.2,1,0.1,2.1,18.8,11.2
110a,7.8,25.4,66.8,10.7,14.7,10.9,20.8,18.2,11.2,5.7,1.3,0.2,0.1,-1,0.1,0.4,10.2,3.9
110b,7.6,33.2,59.2,15.4,17.8,10.1,16.6,16.9,10.8,4.8,2,0.2,0.1,-1,0.1,0.4,15.4,2.6
110c,7.1,37.4,55.5,16.5,20.9,11.4,12.2,13.1,10.7,8.1,1.8,0.3,-1,-1,0.1,0.5,12.5,4
111a,9.1,44.5,46.4,19.8,24.7,9.6,11.8,12.7,7.6,4.7,1.8,0.4,0.1,-1,0.1,0.6,16.6,3.6
111b,9,28.2,62.8,13.4,14.8,7,14.1,17.3,14.9,9.5,2.9,0.4,0.2,-1,0.2,0.8,26.1,3.1
111c,7.1,24.9,68,11.4,13.5,9.6,18.8,18.8,12.4,8.4,2.3,0.3,0.1,-1,0.1,0.5,16.2,3.1
112a,12.5,50.4,37.1,22.8,27.6,9.5,7.7,10.8,6.5,2.6,2.8,0.4,0.1,-1,0.1,0.6,34.8,1.7
112b,7.5,49.1,43.4,21.9,27.2,12,11.8,11,6.3,2.3,2,0.3,0.1,-1,0.1,0.5,14.8,3.4
112c,6.1,26.9,67,11.8,15.1,11.5,20.1,18.3,11.7,5.4,2,0.4,0.1,-1,0.1,0.7,12,5.8
113a,5.7,31.6,62.7,15.4,16.2,9.5,16.2,18,12.6,6.4,3.1,0.3,0.2,-1,0.1,0.6,17.8,3.4
113b,7.6,32.4,60,15.9,16.5,11.5,16.3,16.3,10.9,5,1.8,0.3,-1,-1,0.1,0.5,14,3.6
113c,3.3,24.6,72.1,10.7,13.9,11.1,20.6,20.8,13.1,6.5,3.6,0.4,0.1,0.1,0.1,0.7,12,5.8
114a,5.5,30.1,64.4,14.7,15.4,11.5,18,17.5,12.3,5.1,2.7,0.4,-1,-1,0.1,0.5,15,3.3
114b,8.7,36.5,54.8,18.4,18.1,10.8,14.6,14.1,10,5.3,2.8,0.3,-1,-1,0.1,0.5,23.9,2.1
114c,6.4,34.6,59,18,16.6,13.3,16.6,16,8.7,4.4,2.8,0.4,0.1,0.1,0.1,0.7,17.7,4
116a,5,28.9,66.1,15,13.9,10.4,18.6,18.4,12.5,6.2,2.5,0.3,-1,-1,0.1,0.4,12.6,3.2
116b,5.6,43,51.4,21.2,21.8,10.7,12.4,12.8,9.8,5.7,2.9,0.3,-1,-1,0.1,0.4,16.1,2.5
116c,4.7,49.8,45.5,22.9,26.9,14.9,12.7,11.2,5.3,1.4,3.3,0.4,-1,-1,0.1,0.6,15.5,3.9
117a,6.6,27.8,65.6,16.1,11.7,11.5,18.8,16.7,10.8,7.8,1.8,0.1,0.1,0.2,-1,0.4,12.1,3.3
117b,6.6,31,62.4,16.8,14.2,11.2,17.8,15.3,10.9,7.2,2.2,0.1,0.1,0.1,-1,0.3,14.5,2.1
117c,3.5,30.1,66.4,15.9,14.2,13.2,19.3,14.7,11.4,7.8,3.9,0.1,-1,0.1,0.1,0.3,13.6,2.2
118a,4.4,31.4,64.2,15.7,15.7,11,14.8,18.8,12.4,7.2,4.7,0.1,0.1,0.1,0.1,0.4,20.8,1.9
118b,5.5,25.8,68.7,12.5,13.3,11.5,17.8,19.9,13.6,5.9,2,0.1,0.1,0.1,-1,0.3,11.1,2.7
118c,2.3,23.2,74.5,10,13.2,12.4,22.2,18.1,12.2,9.6,2.8,0.2,-1,-1,-1,0.3,6.4,4.7
11a,5.1,35.9,59,18.8,17.1,11.4,14.9,15.2,10.6,6.9,4.5,0.3,0.2,0.1,0.2,0.8,23.1,3.5
11b,3.7,32.7,63.6,17,15.7,11.6,16.7,15.3,11.5,8.5,3.7,0.3,0.1,0.1,0.1,0.6,13.7,4.4
11c,4,30.8,65.2,16.3,14.5,12,17.2,14.5,10.1,11.4,4.9,0.3,0.1,-1,0.1,0.5,19.6,2.6
121a,5.9,31.7,62.4,15.8,15.9,13.4,20.5,16.1,8.7,3.7,2,0.1,0.1,0.1,0.1,0.4,12,3.3
121b,5.3,33.5,61.2,17.1,16.4,14.8,18.2,15.4,8.5,4.3,2.7,0.1,-1,0.1,0.1,0.3,14.4,2.1
121c,3.8,32.4,63.8,15.7,16.7,14.8,19.6,15.7,10.1,3.6,2.6,0.1,-1,0.1,-1,0.2,9.9,2
122a,5,25,70,12,13,10.6,20.5,18.1,13,7.8,4,0.7,0.2,-1,0.1,1,20.2,5
122b,6.7,25.8,67.5,12.3,13.5,11.6,21.1,17.7,11.6,5.5,2.5,0.5,0.1,0.1,0.1,0.8,16.7,4.8
122c,7.2,32,60.8,16.9,15.1,12.2,16.3,15.9,10.3,6.1,2.2,0.1,0.1,0.1,0.1,0.4,16.1,2.5
123a,6.1,32,61.9,17.3,14.8,11.2,18.4,17.2,10.5,4.6,2.5,0.1,0.1,0.1,0.1,0.4,15.5,2.6
123b,7.2,29.6,63.2,14.5,15.1,9.8,17,16.5,11.9,8,2.3,0.1,-1,0.1,0.1,0.3,16.3,1.8
125a,7.7,31.5,60.8,17,14.5,10,16.9,17,11.3,5.6,2,1.1,0.2,1.7,0.1,3.1,15.3,20.3
125b,5.8,21.6,72.6,11.8,9.8,6,10.8,18.6,21.8,15.4,2.6,0.6,0.1,0.1,0.2,1,15.2,6.6
125c,10.9,34.5,54.6,19.9,14.6,10.4,14.8,15.3,9.7,4.4,2.2,0.6,0.2,0.1,0.2,1.1,24.4,4.5
126a,4.2,26.5,69.3,12.1,14.4,14.7,24.2,16.3,9.3,4.8,2.3,0.1,0.1,0.1,-1,0.3,9.7,3.1
126b,4.4,23.9,71.7,11.2,12.7,19.1,30.7,12.7,6,3.2,2.4,0.2,0.1,-1,-1,0.4,10.4,3.8
126c,3.1,23.4,73.5,11.8,11.6,17.2,24.5,15.1,10.5,6.2,3,1.2,0.2,0.1,-1,1.5,9.3,16.1
127a,9,27.7,63.3,16.6,11.1,9.6,15.8,14.4,13.6,9.9,2.4,0.3,0.2,0.1,0.1,0.7,21.2,3.3
127b,14.7,36,49.3,22.2,13.8,9.7,14.3,11.4,8.5,5.4,1.1,0.4,0.3,0.1,0.2,1,15.7,6.4
127c,10,32.6,57.4,16.4,16.2,11.4,15,14.2,9.3,7.5,1.6,0.1,0.1,0.1,0.1,0.4,15.5,2.6
128a,8.5,31.7,59.8,18.6,13.1,11,18.7,15.2,9.4,5.5,1.9,0.6,0.2,-1,-1,0.9,16,5.6
128b,7,29.8,63.2,16.8,13,11.5,20.2,15.7,9.8,6,2.2,0.3,0.2,3.1,0.1,3.7,15.6,23.7
128c,6.1,31.4,62.5,16.7,14.7,11.6,20.8,15.5,8.4,6.2,2.9,0.2,0.1,0.1,0.1,0.5,17.5,2.9
