STAND,PLOT,TREE,SPECIES,DBH,PIECES,FORM,CROWN,NOTE
P101,1,1,RP,1,5,1,1,NA
P101,1,2,RP,1,5,1,1,NA
P101,1,3,RM,3,0,NA,3,NA
P101,1,4,RP,1,3,1,1,NA
P101,1,5,WS,1,5,1,1,NA
P101,1,6,WP,1,2,1,1,NA
P101,1,7,WP,1,5,NA,NA,D
P101,1,8,WP,1,2,1,1,NA
P101,1,9,WP,1,3,1,1,NA
P101,1,10,WP,1,9,2,1,X
P101,1,11,WP,2,4,NA,NA,D
P101,1,12,WP,1,4,1,1,NA
P101,1,13,WP,1,2,1,1,NA
P101,1,14,WP,1,3,1,1,NA
P101,1,15,WP,1,2,1,1,NA
P101,1,16,WP,1,3,1,1,NA
P101,1,17,WP,1,4,1,1,NA
P101,1,18,WP,1,4,1,1,NA
P101,1,19,WP,1,5,1,1,NA
P101,1,20,WP,1,1,1,1,NA
P101,1,21,WP,1,2,2,1,NA
P101,2,1,RO,2,4,1,1,NA
P101,2,2,RP,2,5,NA,2,NA
P101,2,3,RP,3,2,NA,3,NA
P101,2,4,WP,1,7,2,1,X
P101,2,5,WP,1,2,1,1,NA
P101,2,6,WP,3,0,NA,NA,D
P101,2,7,WP,1,2,1,1,NA
P101,2,8,WP,2,5,1,1,NA
P101,2,9,RO,1,2,1,1,NA
P101,2,10,GB,3,3,NA,2,NA
P101,2,11,RM,2,2,NA,2,NA
P101,2,12,WP,3,1,NA,3,NA
P101,3,1,WP,1,3,1,1,NA
P101,3,2,WP,2,1,NA,NA,D
P101,3,3,WP,2,3,NA,NA,D
P101,3,4,WP,1,4,1,1,NA
P101,3,5,WP,1,8,2,1,X
P101,3,6,WP,2,4,NA,2,NA
P101,3,7,WP,1,7,2,1,X
P101,3,8,WP,2,4,NA,2,X
P101,3,9,RO,1,2,2,1,NA
P101,3,10,WP,1,3,1,1,NA
P101,3,11,WP,1,2,1,1,NA
P101,3,12,WP,1,6,2,1,X
P101,3,13,RO,2,3,NA,3,NA
P102,1,1,RM,3,1,NA,1,NA
P102,1,2,RM,3,0,NA,3,NA
P102,1,3,RM,2,1,NA,3,NA
P102,1,4,GB,3,0,NA,1,NA
P102,1,5,RM,2,2,NA,1,NA
P102,2,1,GB,3,1,NA,1,NA
P102,2,2,WB,3,2,NA,1,NA
P102,2,3,WB,3,0,NA,NA,D
P102,2,4,WB,3,1,NA,1,NA
P102,2,5,BC,2,1,NA,1,NA
P102,2,6,WB,3,3,NA,1,NA
P102,2,7,GB,3,2,NA,1,NA
P102,2,8,GB,3,1,NA,1,NA
P102,2,9,RO,2,3,NA,1,NA
P102,2,10,RO,2,3,NA,1,NA
P102,2,11,WB,3,0,NA,1,NA
P102,2,12,WB,3,0,NA,1,NA
P102,3,1,RM,2,2,1,1,NA
P102,3,2,RM,2,2,1,1,NA
P102,3,3,RM,3,0,1,3,NA
P102,3,4,GB,3,0,1,1,NA
P102,3,5,RO,3,0,2,1,NA
P102,3,6,RO,2,2,2,1,NA
P104,1,1,WA,1,1,2,1,NA
P104,1,2,RO,1,1,2,1,NA
P104,1,3,BC,1,3,1,1,NA
P104,1,4,WP,2,0,NA,3,NA
P104,2,1,RM,1,3,1,1,NA
P104,2,2,RM,2,5,NA,1,NA
P104,2,3,RM,1,3,1,1,NA
P104,2,4,WP,1,5,2,1,NA
P104,2,5,RM,1,3,1,2,NA
P104,2,6,RM,2,3,NA,2,NA
P104,2,7,RM,2,4,NA,1,NA
P104,2,8,RM,1,2,1,1,NA
