STAND,ACRES,PLOTS,TYPE,SIZE,FORM,SPEC1,SPEC2,SPEC3,SPEC4,SPEC5,BAREA1,BAREA2,CUBFT,CFSAL,BOARDFT,CORDS,MBFTOT,CDSTOT,STDERRV,STDERRB
P101,2.3,3,S,S, F,WP,RP,--,--, --,123,137,2503,223,6717,17,15,39,25,20
P102,1.9,3,H,P, -,GB,WB,RM,RO, --,63,73,333,0,0,4,0,8,20,25
P104,5.8,5,H,S, G,RM,--,--,--, --,80,86,1474,26,4780,10,28,58,34,27
P105,2.5,3,H,P, -,RM,RO,--,--, --,83,83,1813,303,2533,15,6,36,26,26
P107,7.3,7,H,P, -,RM,RO,--,--, --,77,97,1074,100,636,11,5,81,20,22
P109,2.7,3,H,P, -,RM,RO,--,--, --,107,120,857,0,283,10,1,28,21,21
P112,8.2,7,S,S, G,RP,--,--,--, --,200,231,4694,41,16600,30,136,246,11,8
P115,2.4,3,M,S, G,WP,RM,--,--, --,167,170,3410,113,10217,24,25,57,11,7
P117,2.2,3,S,S, G,RP,--,--,--, --,177,187,4450,307,18433,20,41,45,9,7
P118,2.4,3,M,S, G,RP,RM,GB,WB, --,100,110,1240,0,4917,7,12,17,46,29
P121,2.8,3,H,S, G,RO,--,--,--, --,93,110,1660,57,6933,8,19,23,15,19
P122,1.4,3,M,S, G,RO,RM,WP,--, --,100,103,2067,157,7583,11,11,15,3,3
P124,1.5,3,H,S, G,RO,RM,--,--, --,137,147,2417,157,8567,14,13,21,9,13
P125,2.3,3,M,S, G,WP,RM,RO,WA, --,110,133,2400,250,8850,12,20,27,16,7
P126,2,3,H,S, G,RO,BB,RM,WP, --,77,127,1707,0,3783,15,8,30,6,30
P127,1.9,3,S,S, G,WS,--,--,--, --,137,140,3493,400,12983,17,25,32,10,11
P130,2.4,3,S,S, F,WP,--,--,--, --,123,130,2330,0,9067,14,22,33,19,12
P131,1.9,3,H,S, F,RM,RO,--,--, --,117,123,1983,57,4700,16,9,31,17,7
P133,2.5,3,H,P, -,RO,RM,--,--, --,60,80,970,0,1350,10,3,25,22,19
P135,3.3,3,H,S, G,RM,WA,--,--, --,103,117,2380,233,9417,11,31,36,23,17
P203,4.9,4,M,P, -,TS,RM,RO,--, --,110,123,2108,60,3313,20,16,98,12,15
