comp,plot37,size
1,5,0.13
1,10,0.13
1,12,0.25
1,15,0.13
1,324,0.25
1,325,0.25
1,343,0.25
1,344,0.25
1,348,0.25
1,350,0.25
1,356,0.13
1,359,0.25
1,368,0.13
1,369,0.25
1,370,0.13
1,371,0.13
1,372,0.25
1,375,0.13
1,382,0.25
1,383,0.25
1,387,0.13
1,388,0.25
1,394,0.13
1,960,0.25
1,963,0.25
2,  A,0.25
2,  B,0.25
2,  C,0.25
2,  D,0.13
2,  E,0.13
2,  F,0.13
2, GA,0.13
2,  G,0.25
2,  H,0.25
2,  I,0.25
2,  J,0.25
2,  K,0.25
2,1,0.25
2, 1A,0.25
2,2,0.25
2,3,0.13
2,4,NA
2,5,0.25
2,6,0.25
2,7,0.25
2,8,0.25
2,9,0.25
2,10,0.25
2,11,0.25
2,345,0.25
2,346,0.13
2,347,0.13
2,349,0.13
2,351,0.13
2,353,0.13
2,354,0.25
2,357,0.25
2,358,0.13
3,126,0.13
3,185,0.25
3,362,0.06
3,364,0.13
3,366,0.13
3,373,0.13
3,374,0.25
3,376,0.06
3,377,0.13
3,379,0.25
3,381,0.13
3,384,0.25
3,389,0.13
3,391,0.25
3,392,0.13
3,393,0.13
3,395,0.25
3,396,0.25
4,1,0.06
4,2,0.13
4,3,0.13
4,4,0.25
4,5,0.13
4,6,0.25
4,7,0.25
4,8,0.13
4,9,0.06
4,10,0.25
4,11,0.25
4,12,0.25
4,13,0.25
4,14,0.25
4,15,0.25
4,16,0.25
5,17,0.13
5,18,0.25
5,19,0.13
5,20,0.25
5,21,0.25
5,22,0.25
5,23,0.25
5,24,0.13
5,25,0.13
5,26,0.25
5,27,0.25
5,28,0.25
5,29,0.25
5,30,0.25
5,31,0.25
5,32,0.13
5,33,0.25
5,34,0.13
5,35,0.25
5,36,0.25
5,37,0.25
5,38,0.25
5,39,0.13
5,40,0.25
5,41,0.25
5,42,0.25
5,43,0.25
5,61,0.06
6,121,0.25
6,122,0.25
6,123,0.13
6,124,0.25
6,125,0.13
6,126,0.13
6,127,0.13
6,128,0.25
6,129,0.06
6,131,0.25
6,132,0.13
6,133,0.06
6,134,0.13
6,135,0.13
6,136,0.06
6,137,0.06
6,138,0.25
6,139,0.13
7,70,0.06
7,71,0.25
7,72,0.25
7,73,0.25
7,74,0.06
7,75,0.25
7,76,0.25
7,77,0.13
7,78,0.25
7,79,0.25
7,80,0.13
7,81,0.25
7,82,0.25
7,83,0.25
7,84,0.25
7,85,0.25
7,86,0.25
7,87,0.13
7,88,0.13
7,89,0.13
7,90,0.13
7,91,0.25
7,92,0.13
7,93,0.25
7,94,0.06
7,95,0.13
7,96,0.13
7,97,0.13
7,98,0.25
7,99,0.13
7,100,0.06
7,101,0.13
7,117,0.25
8,140,0.06
8,141,0.06
8,142,0.06
8,143,0.06
8,144,0.13
8,145,0.25
8,146,0.06
8,147,0.25
8,148,0.25
8,149,0.25
8,150,0.06
8,151,0.25
8,152,0.25
8,153,0.13
8,154,0.25
8,155,0.13
8,156,0.25
8,157,0.06
8,158,0.13
8,159,0.25
8,160,0.25
8,161,0.13
8,162,0.13
9,44,0.25
9,45,0.25
9,46,0.25
9,47,0.13
9,48,0.13
9,49,0.25
9,50,0.13
9,51,0.25
9,52,0.25
9,53,0.25
9,54,0.13
9,55,0.13
9,56,0.13
9,57,0.06
9,58,0.25
9,59,0.13
9,60,0.13
9,61,0.25
9,62,0.25
9,63,0.06
9,64,0.25
9,65,0.13
9,66,0.25
9,67,0.25
9,68,0.25
9,69,0.25
