comp,plot37,species,dbh,ht,no.stem,gis92
1,10,QUVE,7,50,1,NA
1,10,QUVE,6,45,1,NA
1,10,BEPO,6,45,1,NA
1,10,BEPO,5,40,1,NA
1,10,QURU,10,50,1,NA
1,10,QURU,12,55,1,NA
1,10,QURU,5,50,1,NA
1,10,QURU,4,45,1,NA
1,10,QURU,4,35,1,NA
1,10,PIST,6,30,1,NA
1,10,BEAL,7,40,1,NA
1,10,BEAL,7,50,1,NA
1,10,BEAL,4,45,1,NA
1,10,BEAL,4,35,1,NA
1,10,BEAL,7,45,1,NA
1,10,ACRU,9,50,1,NA
1,10,ACRU,8,45,2,NA
1,10,ACRU,7,50,1,NA
1,10,ACRU,6,50,4,NA
1,10,ACRU,6,45,3,NA
1,10,ACRU,6,40,1,NA
1,10,ACRU,5,45,3,NA
1,10,ACRU,5,40,1,NA
1,10,ACRU,4,45,2,NA
1,10,ACRU,4,40,3,NA
1,10,ACRU,4,30,2,NA
1,10,ACRU,3,40,5,NA
1,10,ACRU,3,35,3,NA
1,12,BEAL,3,20,1,NA
1,12,BEPO,3,25,1,NA
1,12,PIST,11,45,1,NA
1,12,PIST,3,20,1,NA
1,12,PIST,10,45,1,NA
1,12,PIST,6,25,1,NA
1,12,BEAL,2,15,1,NA
1,12,BEAL,9,35,1,NA
1,12,BEAL,2,25,1,NA
1,12,BEAL,2,20,1,NA
1,12,BEAL,6,25,1,NA
1,12,ACRU,10,45,2,NA
1,12,ACRU,10,35,1,NA
1,12,ACRU,9,40,1,NA
1,12,ACRU,9,30,2,NA
1,12,ACRU,8,40,1,NA
1,12,ACRU,8,35,1,NA
1,12,ACRU,8,30,1,NA
1,12,ACRU,7,40,2,NA
1,12,ACRU,7,35,1,NA
1,12,ACRU,7,25,1,NA
1,12,ACRU,6,40,1,NA
1,12,ACRU,6,30,1,NA
1,12,ACRU,6,25,2,NA
1,12,ACRU,5,35,3,NA
1,12,ACRU,5,30,1,NA
1,12,ACRU,5,25,1,NA
1,12,ACRU,4,35,1,NA
1,12,ACRU,4,30,1,NA
1,12,ACRU,2,20,4,NA
1,12,ACRU,2,25,4,NA
1,12,ACRU,2,35,1,NA
1,12,ACRU,3,25,4,NA
