case,year,plot,species,pres.abs
1,1937,C,ACMI,0
2,1937,E,ACMI,0
3,1937,F,ACMI,0
4,1937,G,ACMI,0
5,1937,H,ACMI,0
6,1937,I,ACMI,0
7,1937,J,ACMI,0
8,1937,K,ACMI,0
9,1937,L,ACMI,0
10,1937,M,ACMI,0
11,1937,N,ACMI,0
12,1940,B,ACMI,0
13,1940,C,ACMI,0
14,1940,D,ACMI,0
15,1940,E,ACMI,0
16,1940,F,ACMI,0
17,1940,G,ACMI,1
18,1940,H,ACMI,0
19,1940,I,ACMI,0
20,1940,J,ACMI,0
21,1940,K,ACMI,0
22,1940,L,ACMI,0
23,1940,M,ACMI,0
24,1940,N,ACMI,0
25,1948,B,ACMI,1
26,1948,C,ACMI,0
27,1948,D,ACMI,0
28,1948,E,ACMI,0
29,1948,F,ACMI,0
30,1948,G,ACMI,0
31,1948,H,ACMI,1
32,1948,I,ACMI,0
33,1948,J,ACMI,0
34,1948,K,ACMI,0
35,1948,L,ACMI,0
36,1948,M,ACMI,0
37,1948,N,ACMI,0
38,1991,B,ACMI,0
39,1991,C,ACMI,0
40,1991,D,ACMI,0
41,1991,E,ACMI,0
42,1991,F,ACMI,0
43,1991,G,ACMI,0
44,1991,H,ACMI,0
45,1991,I,ACMI,0
46,1991,J,ACMI,0
47,1991,K,ACMI,0
48,1991,L,ACMI,0
49,1991,M,ACMI,0
50,1991,N,ACMI,0
1,1937,C,ACPA,0
2,1937,E,ACPA,0
3,1937,F,ACPA,0
4,1937,G,ACPA,0
5,1937,H,ACPA,0
6,1937,I,ACPA,0
7,1937,J,ACPA,0
8,1937,K,ACPA,0
9,1937,L,ACPA,0
10,1937,M,ACPA,0
11,1937,N,ACPA,0
12,1940,B,ACPA,0
13,1940,C,ACPA,0
14,1940,D,ACPA,0
15,1940,E,ACPA,0
16,1940,F,ACPA,0
17,1940,G,ACPA,0
18,1940,H,ACPA,0
19,1940,I,ACPA,0
20,1940,J,ACPA,0
21,1940,K,ACPA,0
22,1940,L,ACPA,0
23,1940,M,ACPA,0
24,1940,N,ACPA,0
25,1948,B,ACPA,0
26,1948,C,ACPA,0
27,1948,D,ACPA,0
28,1948,E,ACPA,0
29,1948,F,ACPA,0
30,1948,G,ACPA,0
31,1948,H,ACPA,0
32,1948,I,ACPA,0
33,1948,J,ACPA,0
