plot,year,species,clump,origin,browse,stem,height,stem.id,dbh,comments
11,1990,ACRU,1,SP,0,7,1,NA,NA,NA
11,1990,FRAM,2,SE,0,1,2,NA,NA,NA
11,1990,FRAM,3,SE,0,1,1,NA,NA,NA
12,1990,QURU,1,SE,0,1,1,NA,NA,NA
12,1990,QURU,2,SE,0,1,1,NA,NA,NA
14,1990,ACSA,1,SP,0,13,2,NA,NA,NA
14,1990,FRAM,2,SP,1,1,1,NA,NA,ONE BRANCH CHEWED
14,1990,ACSA,3,SP,0,4,2,NA,NA,NA
14,1990,ACSA,4,SP,0,7,2,NA,NA,NA
14,1990,ACSA,4,SP,0,1,1,NA,NA,NA
14,1990,ACSA,5,SP,1,3,2,NA,NA,NA
14,1990,PRSE,6,SE,0,1,2,NA,NA,MIDRIB HAIRY
15,1990,ILVE,1,SE,0,1,1,NA,NA,NA
15,1990,FRAM,2,SE,1,1,1,NA,NA,TORN/CHEWED
15,1990,FRAM,3,SE,1,1,1,NA,NA,TORN/CHEWED
15,1990,FRAM,4,SE,0,1,1,NA,NA,NA
15,1990,ACRU,5,SP,0,1,1,NA,NA,NA
15,1990,FRAM,6,SP,0,1,1,NA,NA,NA
15,1990,ACRU,7,SP,0,2,1,NA,NA,UNDERNEATH LONICERA BUSH
15,1990,ACRU,8,SP,0,1,1,NA,NA,NA
15,1990,ACRU,9,SP,0,1,1,NA,NA,NA
21,1990,FRAM,1,SP,0,1,1,NA,NA,NA
21,1990,ACRU,2,SP,0,1,1,NA,NA,NA
21,1990,ACRU,3,SP,0,1,1,NA,NA,NA
21,1990,VICA,4,SE,0,1,1,NA,NA,POSSIBLY NANNYBUSH
21,1990,VICA,5,SE,0,1,1,NA,NA,POSSIBLY NANNYBUSH
23,1990,ACRU,1,SE,0,1,1,NA,NA,NA
23,1990,ACRU,2,SE,0,1,1,NA,NA,NA
24,1990,ACRU,1,SE,0,1,1,NA,NA,NA
24,1990,ILVE,2,SP,0,2,2,NA,NA,NA
25,1990,FRAM,1,SP,0,1,1,NA,NA,NA
25,1990,ACRU,2,SP,0,2,1,NA,NA,NA
25,1990,ACRU,3,SP,0,1,3,NA,NA,NA
25,1990,ACRU,4,SP,0,7,2,NA,NA,NA
31,1990,FRAM,1,SP,0,3,2,NA,NA,NA
31,1990,FRAM,2,SE,0,1,1,NA,NA,NA
31,1990,FRAM,3,SE,0,1,1,NA,NA,NA
32,1990,ACRU,1,SE,0,1,2,NA,NA,NA
32,1990,ACRU,2,SP,0,2,3,NA,NA,NA
32,1990,ACRU,3,SP,0,8,2,NA,NA,NA
32,1990,ACRU,4,SE,0,1,2,NA,NA,NA
32,1990,FRAM,5,SP,0,1,2,NA,NA,NA
32,1990,FRAM,6,SP,0,1,1,NA,NA,NA
33,1990,PRSE,1,SP,0,1,1,NA,NA,NA
33,1990,PRSE,2,SP,0,1,1,NA,NA,NA
33,1990,ACRU,3,SP,0,1,2,NA,NA,NA
33,1990,QURU,4,SE,0,1,1,NA,NA,NA
33,1990,PRSE,5,SP,0,11,2,NA,NA,NA
34,1990,FRAM,1,SE,0,1,1,NA,NA,NA
34,1990,ACSA,2,SE,0,1,1,NA,NA,NA
34,1990,ACSA,3,SP,0,2,2,NA,NA,NA
34,1990,QURU,4,SP,0,1,2,NA,NA,DOWNED BRANCH; 2 BIG EPICOR.SP
35,1990,FRAM,1,SP,0,1,1,NA,NA,NA
35,1990,FRAM,2,SE,0,1,1,NA,NA,NA
35,1990,QURU,3,SE,0,1,1,NA,NA,NA
41,1990,ACRU,1,SP,0,1,2,NA,NA,BRANCH LEAFING FROM DOWNED STM
41,1990,ACRU,2,SP,0,3,2,NA,NA,NA
41,1990,PRSE,3,SP,0,2,1,NA,NA,NA
42,1990,NEMU,1,SE,0,1,1,NA,NA,NA
42,1990,FRAM,2,SP,0,5,3,NA,NA,NA
42,1990,FRAM,2,SP,0,6,2,NA,NA,NA
42,1990,ACRU,3,SE,0,1,1,NA,NA,NA
43,1990,FRAM,1,SE,0,1,1,NA,NA,NA
43,1990,FRAM,2,SE,0,1,1,NA,NA,NA
43,1990,FRAM,3,SE,0,1,1,NA,NA,NA
43,1990,ACRU,4,SE,0,1,1,NA,NA,NA
44,1990,ACRU,1,SP,0,1,2,NA,NA,NA
44,1990,ACRU,1,SP,0,1,1,NA,NA,NA
44,1990,ACRU,2,SP,0,1,4,NA,NA,STANDING OLD BRANCH; EP. SPROUTS
44,1990,NEMU,3,SE,0,1,2,NA,NA,FLAGGED--#1 SHRUB
44,1990,NEMU,4,SE,0,1,2,NA,NA,NA
45,1990,PRSE,1,SE,0,1,2,NA,NA,NA
45,1990,PRSE,2,SE,0,1,1,NA,NA,NA
45,1990,ACRU,3,SP,0,3,2,NA,NA,NA
45,1990,ACRU,4,SP,0,3,2,NA,NA,NA
45,1990,ACRU,5,SP,0,1,1,NA,NA,NA
51,1990,BEAL,1,SP,0,2,2,NA,NA,NA
51,1990,FRAM,2,SP,0,1,2,NA,NA,NA
51,1990,FRAM,3,SP,0,1,3,NA,NA,NA
51,1990,FRAM,4,SP,0,3,2,NA,NA,NA
51,1990,ACRU,5,SP,0,6,2,NA,NA,NA
51,1990,BEAL,6,SP,0,4,1,NA,NA,NA
52,1990,ACRU,1,SP,0,6,2,NA,NA,NA
52,1990,ACRU,2,SE,0,1,1,NA,NA,NA
52,1990,FRAM,3,SP,0,3,2,NA,NA,NA
52,1990,PRSE,4,SP,0,14,2,NA,NA,NA
52,1990,ILVE,5,SP,0,2,2,NA,NA,NA
52,1990,FRAM,6,SE,0,1,1,NA,NA,NA
52,1990,ACRU,7,SP,0,2,1,NA,NA,NA
53,1990,QURU,1,SE,0,1,1,NA,NA,NA
53,1990,ACRU,2,SE,0,1,1,NA,NA,NA
54,1990,ILVE,1,SP,0,5,1,NA,NA,NA
54,1990,ILVE,2,SP,0,2,1,NA,NA,NA
54,1990,ACRU,3,SE,0,1,1,NA,NA,NA
54,1990,FRAM,5,SE,0,1,1,NA,NA,NA
54,1990,FRAM,6,SE,0,1,2,NA,NA,NA
61,1990,FRAM,1,SE,2,1,1,NA,NA,CHEWED NOT SNIPPED
61,1990,FRAM,2,SE,2,1,1,NA,NA,CHEWED NOT SNIPPED
61,1990,ACRU,3,SP,0,5,1,NA,NA,NA
61,1990,ILVE,4,SP,0,2,1,NA,NA,NA
61,1990,ILVE,5,SE,0,1,1,NA,NA,NA
61,1990,ACRU,6,SP,0,5,1,NA,NA,NA
61,1990,ACRU,7,SP,0,5,1,NA,NA,NA
61,1990,ACRU,8,SP,0,6,1,NA,NA,NA
61,1990,ACRU,9,SE,0,1,1,NA,NA,NA
62,1990,VICA,1,SE,0,9,1,NA,NA,NA
62,1990,ACRU,2,SE,0,1,1,NA,NA,NA
62,1990,PRSE,3,SP,0,7,2,NA,NA,NA
63,1990,ILVE,1,SP,0,3,1,NA,NA,NA
63,1990,FRAM,2,SE,0,1,2,NA,NA,NA
63,1990,FRAM,3,SE,0,1,2,NA,NA,NA
63,1990,ACRU,4,SP,0,4,1,NA,NA,NA
63,1990,ILVE,5,SP,0,1,1,NA,NA,NA
63,1990,ACRU,6,SP,0,1,3,NA,NA,NA
63,1990,PRPE,7,SP,0,9,2,NA,NA,NA
63,1990,ILVE,8,SP,0,3,2,NA,NA,NA
64,1990,FRAM,1,SP,0,4,2,NA,NA,NA
64,1990,ACRU,2,SP,0,6,2,NA,NA,NA
64,1990,ACRU,3,SP,0,4,2,NA,NA,NA
64,1990,PRSE,4,SP,0,7,2,NA,NA,NA
65,1990,FRAM,1,SE,0,1,1,NA,NA,NA
65,1990,FRAM,2,SE,0,1,1,NA,NA,NA
65,1990,ACRU,3,SE,0,1,1,NA,NA,NA
65,1990,ACRU,4,SE,0,1,1,NA,NA,NA
71,1990,PRSE,1,SP,0,4,2,NA,NA,NA
71,1990,PRSE,2,SP,0,6,1,NA,NA,NA
71,1990,FRAM,3,SP,0,6,2,NA,NA,NA
72,1990,NEMU,1,SE,0,1,1,NA,NA,NA
72,1990,FRAM,2,SP,0,4,3,NA,NA,NA
72,1990,FRAM,3,SP,0,4,3,NA,NA,NA
72,1990,FRAM,4,SE,0,1,1,NA,NA,NA
72,1990,FRAM,5,SE,0,1,1,NA,NA,NA
72,1990,FRAM,6,SE,0,1,1,NA,NA,NA
73,1990,FRAM,1,SP,0,1,1,NA,NA,NA
73,1990,BEPO,2,SP,0,1,1,NA,NA,NA
73,1990,FRAM,3,SP,0,2,3,NA,NA,NA
73,1990,FRAM,4,SP,0,4,2,NA,NA,NA
73,1990,PRSE,5,SP,0,4,2,NA,NA,NA
74,1990,ILVE,1,SP,0,1,1,NA,NA,NA
74,1990,FRAM,2,SP,0,1,1,NA,NA,NA
74,1990,FRAM,3,SP,2,4,1,NA,NA,CHEWED
75,1990,ACRU,1,SE,0,1,1,NA,NA,NA
75,1990,FRAM,2,SE,0,1,1,NA,NA,NA
75,1990,FRAM,3,SE,0,1,2,NA,NA,NA
82,1990,FRAM,1,SP,0,4,2,NA,NA,NA
82,1990,PRSE,2,SE,0,1,2,NA,NA,NA
82,1990,QURU,3,SE,0,1,1,NA,NA,NA
83,1990,FRAM,1,SP,0,1,1,NA,NA,NA
83,1990,FRAM,2,SP,0,2,1,NA,NA,NA
83,1990,FRAM,3,SP,0,1,1,NA,NA,NA
83,1990,FRAM,4,SE,0,1,1,NA,NA,NA
