plot,tree,species,cc95,cond95,dbh95,dbh02,vigor02,dbh12,vigor12,hwa12,x,y,notes,sigeo.num
PH2,1,PIST,D,L,62,64.4,1,68.4,1,NA,1.44,28.42,NA,03-1374
PH2,2,TSCA,D,L,31,32.1,1,35,1,NA,4.64,26.92,NA,03-1375
PH2,3,TSCA,NA,D,21.7,NA,5,NA,5,NA,5.37,28.23,dead; 12 rootbreak,NA
PH2,4,PIST,C,L,21.5,21.2,5,NA,5,NA,5.98,28.92,02 wp?; 12 PIST not TSCA,NA
PH2,5,TSCA,D,L,35.5,36.7,1,40,1,NA,14.71,27.3,NA,03-1381
PH2,6,TSCA,S,L,8.7,9.6,1,10,2,NA,15.66,27.02,02 top broken,03-1382
PH2,7,TSCA,D,L,40.7,41.9,1,44.5,1,NA,23.49,26.73,NA,04-1364
PH2,8,TSCA,S,L,2.6,3.7,1,5.2,2,1,24.87,29.17,02 bark damaged,04-1448
PH2,9,TSCA,NA,D,14,NA,5,NA,5,NA,9.91,29.37,dead; 12 3m snag,03-1378
PH2,10,PIST,D,L,31.7,33.3,1,36,1,NA,24.7,27.07,NA,04-1365
PH2,11,TSCA,C,L,16.1,16.9,5,NA,5,NA,25.14,26,12 snap at 1.5m,04-1366
PH2,12,TSCA,NA,D,15.4,15.9,5,NA,5,NA,25.71,27.14,dead; 12 snap,NA
PH2,13,FAGR,S,L,5.6,5.8,1,NA,5,NA,24.95,24.73,12 snap,NA
PH2,14,TSCA,I,L,18.4,18.7,1,19.6,2,NA,27.66,27.24,NA,04-1546
PH2,15,PIST,NA,D,19.7,19.9,5,NA,5,NA,28.42,27.9,dead; 12 snap,NA
PH2,16,PIST,D,L,42.6,45.5,1,50.4,1,NA,28.71,25.4,NA,04-1376
PH2,17,TSCA,NA,D,19.9,18.5,5,NA,5,NA,25.9,24.43,dead; 12 snap,NA
PH2,18,TSCA,S,L,3.1,3.6,1,5.5,2,1,29.07,24.5,NA,04-1377
PH2,19,TSCA,S,L,3,3.7,1,4.4,2,1,28.44,22.84,NA,04-1378
PH2,20,ACRU,D,L,30.7,30.7,1,31,1,NA,28.29,22.5,NA,04-1380
PH2,21,TSCA,D,L,26.4,27.6,1,29.9,2,NA,24.96,19.12,NA,04-1370
PH2,22,TSCA,S,L,4.3,4.4,1,4.9,2,1,25.06,18.78,NA,04-1371
PH2,23,TSCA,D,L,43.3,44.5,1,48.1,1,NA,22.85,23.54,NA,04-1367
PH2,24,TSCA,C,L,21.9,21.9,2,22.2,5,NA,21.26,21.74,12 fungus,04-1368
PH2,25,TSCA,NA,D,12.4,NA,5,NA,5,NA,20.73,18.04,dead/leaning; 02 on ground; 12 gone,NA
PH2,26,TSCA,S,L,2,2.9,1,3.7,1,1,18.83,18.83,TOO SMALL,04-1345
PH2,27,TSCA,D,L,52.4,53.4,1,57.3,1,NA,15.26,19.31,NA,04-1340
PH2,28,TSCA,D,L,36.3,37.7,1,40.3,1,NA,16.04,22.11,NA,04-1355
PH2,29,TSCA,C,L,22.8,22.9,1,24,5,NA,13.66,22.92,NA,03-1384
PH2,30,TSCA,C,L,26.9,29,1,32.9,1,NA,11.15,20.42,NA,NA
PH2,31,TSCA,D,L,52.6,52,5,52.3,5,NA,9.04,22.38,02 crown blown over,NA
PH2,32,TSCA,D,L,59.2,NA,1,61.9,1,NA,3,16.44,02 dbh was 5.8 on sheet changed to NA,03-1403
PH2,33,TSCA,NA,D,54,NA,5,NA,5,NA,2.33,18.19,dead; 02 rot; 12 4m snag,NA
PH2,34,TSCA,S,L,4.5,4.8,1,5.3,1,1,8.32,17.13,NA,03-1397
PH2,35,TSCA,NA,D,3.4,NA,5,NA,5,NA,9.02,15.39,dead; 02 on ground,NA
PH2,36,TSCA,NA,D,4.5,NA,5,NA,5,NA,9.5,17.31,dead; 02 gone,NA
PH2,37,TSCA,S,L,2.7,NA,5,NA,5,NA,7.96,14.37,02 gone,NA
PH2,38,TSCA,S,L,4.2,4.5,1,4.7,2,NA,7.13,13.87,NA,03-1401
PH2,39,TSCA,S,L,3.1,3,1,NA,5,NA,8.79,14.33,02 prostrate; 12 on ground,NA
PH2,40,TSCA,NA,D,16.6,16.7,5,NA,5,NA,8.53,13.24,dead; 12 snag,NA
PH2,41,TSCA,S,L,4.4,4.5,1,5.2,1,1,6.41,12.2,NA,03-1319
PH2,42,TSCA,S,L,3.7,3.8,1,3.7,5,NA,7.1,12.96,NA,03-1320
PH2,43,TSCA,S,L,2.8,2.8,1,3.4,2,1,7.69,12,NA,03-1321
PH2,44,PIST,D,L,58.1,59.6,1,64.3,1,NA,9.16,11.77,NA,03-1322
PH2,45,TSCA,S,L,5.8,6.2,1,6.9,2,NA,9.81,13.66,NA,03-1398
PH2,46,TSCA,I,L,10.5,10.5,1,11.6,2,NA,10.13,12.67,NA,03-1399
PH2,47,TSCA,NA,D,2.5,NA,5,NA,5,NA,10.24,12.81,dead; 12 gone,NA
PH2,48,TSCA,NA,D,3.5,NA,5,NA,5,NA,11.53,12.97,dead; 02 gone,NA
PH2,49,TSCA,S,L,4.1,3.8,5,NA,5,NA,11.76,14.16,12gone,NA
PH2,50,TSCA,S,L,3.5,3.4,1,3.3,5,NA,11.57,15.81,bent,NA
PH2,51,TSCA,S,L,3.3,3.2,1,3.2,5,NA,12.38,16.05,NA,NA
PH2,52,TSCA,S,L,4.9,4.9,1,4.9,5,NA,12.07,12.02,12 bent,NA
PH2,53,TSCA,NA,D,2.8,NA,5,NA,5,NA,NA,NA,dead; 02 gone,NA
PH2,54,TSCA,S,L,5.5,5.7,1,6.5,2,1,14.65,13.41,NA,04-1354
PH2,55,TSCA,I,L,8.9,9.3,1,10.9,2,NA,14.86,12.25,NA,04-1352
PH2,56,TSCA,NA,D,3.8,NA,5,NA,5,NA,14.93,12.76,dead; 02 gone,NA
PH2,57,TSCA,I,L,7,6.8,1,7.5,2,NA,15.19,13.16,NA,04-1353
PH2,58,TSCA,S,L,6.3,5.9,1,6.7,2,NA,15.92,14.47,NA,04-1341
PH2,59,TSCA,S,L,3.4,3.6,1,4,2,1,16.36,15.13,NA,04-1342
PH2,60,TSCA,D,L,35.1,37.2,1,41.3,1,NA,19.29,16.21,NA,04-1344
PH2,61,ACRU,D,L,25.5,25.6,5,NA,5,NA,18.79,14.89,12 5m snag,04-1346
PH2,62,TSCA,NA,D,15.7,15.4,5,NA,5,NA,23.11,16.97,dead; 02 still has a few fine twigs; 12 snap,NA
PH2,63,TSCA,D,L,29.1,30,1,32.4,2,NA,22.1,15.26,NA,04-1413
PH2,64,TSCA,D,L,73.6,74.6,1,73.6,2,NA,28.64,14.06,12 dbh above lumps,04-1414
PH2,65,TSCA,S,L,11.6,13.2,2,12.1,5,NA,26.69,10.92,NA,04-1415
PH2,66,TSCA,D,L,47.4,47.3,1,47.9,5,NA,25.43,9.64,NA,04-1417
PH2,67,TSCA,S,L,4.1,4.2,1,4.6,2,1,22.47,9.24,NA,04-1419
PH2,68,TSCA,S,L,3.4,3.5,1,4,2,NA,21.84,10.44,NA,04-1399
PH2,69,TSCA,S,L,4,4,1,5,2,1,21.14,10.05,NA,04-1398
PH2,70,TSCA,S,L,2.5,2.9,1,3.5,2,1,20.52,12.63,NA,04-1410
PH2,71,TSCA,I,L,20.9,22,1,22.2,2,NA,19.93,12.29,NA,04-1347
PH2,72,BELE,C,L,14,14.4,1,16.1,1,NA,19.31,11.27,12 bent crown,04-1348
PH2,73,TSCA,S,L,3.3,3.1,1,NA,5,NA,20.11,9.82,12 snap,NA
PH2,74,TSCA,S,L,3,3.1,1,NA,5,NA,20.39,8.14,12 snap,NA
PH2,75,TSCA,S,L,3.8,3.5,5,NA,5,NA,19.96,7.99,12 snap,NA
PH2,76,TSCA,S,L,2.7,2.7,1,2.9,2,1,18.38,10.4,NA,04-1349
PH2,77,TSCA,S,L,5.4,4.9,1,5.2,2,NA,17.63,10.67,NA,04-1350
PH2,78,TSCA,I,L,7.6,7.2,1,7.5,5,NA,16.81,11.24,NA,04-1351
PH2,79,TSCA,S,L,5.8,5.5,1,5.7,5,NA,15.26,7.41,12 snag,04-1264
PH2,80,TSCA,I,L,15,14.9,5,NA,5,NA,14.52,8.1,02 top broken; 12 snag,04-1263
PH2,81,TSCA,I,L,9.1,8.9,5,NA,5,NA,14.3,6.53,12 gone,NA
PH2,82,TSCA,NA,D,2.6,NA,5,NA,5,NA,13.92,11.28,dead; 02 on ground; 12 gone,NA
PH2,83,TSCA,NA,D,4.5,NA,5,NA,5,NA,14.02,11.18,dead; 02 on ground; 12 gone,NA
PH2,84,TSCA,NA,D,NA,NA,5,NA,5,NA,NA,NA,dead; 12 gone,NA
PH2,85,TSCA,NA,D,6.2,NA,5,NA,5,NA,12.95,8.68,dead; 02 gone,NA
PH2,86,TSCA,S,L,6.5,6.5,1,6.7,2,1,11.89,7.1,12 lean,04-1260
PH2,87,TSCA,NA,D,3.4,NA,5,NA,5,NA,12,6.82,dead; 02 on ground; 12 gone,NA
PH2,88,TSCA,S,L,4.6,4.6,1,5,1,NA,11.62,8.79,NA,04-1259
PH2,89,TSCA,I,L,8.5,8.5,1,10.2,2,NA,11.37,10.94,NA,04-1258
PH2,90,TSCA,NA,D,2.9,NA,5,NA,5,NA,10.36,9.82,dead; 02 gone,NA
PH2,91,TSCA,NA,D,3.2,NA,5,NA,5,NA,9.56,8.29,dead; 12 gone,NA
PH2,92,TSCA,NA,D,3.5,NA,5,NA,5,NA,9.13,8.53,dead; 02 gone,NA
PH2,93,TSCA,S,L,3.3,NA,5,NA,5,NA,8.47,8.9,02 on ground; 12 gone,NA
PH2,94,TSCA,NA,D,2.9,NA,5,NA,5,NA,9.34,10.07,dead; 02 on ground; 12 gone,NA
PH2,95,TSCA,NA,D,2.5,NA,5,NA,5,NA,8.25,10.2,dead; 12 gone,NA
PH2,96,TSCA,S,L,7.9,8.3,1,9.2,2,NA,7.57,8.85,NA,03-1324
PH2,97,TSCA,S,L,4.1,4.2,1,4.6,2,NA,8.19,11.21,NA,03-1323
PH2,98,TSCA,D,L,62,61.1,1,63.7,1,NA,4.14,8.73,NA,03-1327
PH2,99,TSCA,NA,D,17.1,NA,5,NA,5,NA,3.47,8.41,dead; 12 3m snag,NA
PH2,100,TSCA,NA,D,16.3,NA,5,NA,5,NA,0.07,10.33,dead; ; 12 gone,NA
PH2,200,TSCA,D,L,66.9,68.7,1,72.2,2,NA,2.12,1.66,NA,03-1336
PH2,201,BELE,I,L,6.1,6.5,5,NA,5,NA,3.75,0.65,12 gone,NA
PH2,202,TSCA,D,L,63.1,63.1,1,65.4,2,NA,6.13,4.24,NA,03-1329
PH2,203,TSCA,S,L,6.1,6.5,1,7.9,2,1,2.38,1.87,NA,03-1330
PH2,204,TSCA,S,L,2.9,2.5,1,2.9,2,NA,10.6,3.92,NA,04-1254
PH2,205,TSCA,S,L,5.8,5.4,2,6.5,2,1,11.71,5.04,NA,04-1255
PH2,206,TSCA,S,L,4.6,NA,5,NA,5,NA,6.67,4.42,on ground; 12 gone,NA
PH2,207,TSCA,D,L,42.6,43.8,1,45.7,2,NA,14.88,0.81,02 shares base with 207a,04-1271
PH2,208,TSCA,S,L,5.2,5.2,1,5.8,2,NA,12.98,5.7,NA,04-1261
PH2,209,BELE,I,L,7.9,7.8,1,8.2,5,NA,12.84,2.65,12 2.5m snag,04-1273
PH2,210,BELE,NA,D,NA,NA,5,NA,5,NA,NA,NA,dead; 02 gone,NA
PH2,211,TSCA,S,L,6.1,6.3,1,7.3,2,NA,12.18,3.69,NA,04-1274
PH2,212,BELE,I,L,7.6,NA,5,NA,5,NA,12.61,4.43,02 stub bark falling off; 12 gone,NA
PH2,213,TSCA,NA,D,5.4,NA,5,NA,5,NA,14.17,5.99,dead; 12 gone,NA
PH2,214,TSCA,I,L,8.8,8.9,1,8.8,5,NA,14.45,5.34,12 snag,04-1262
PH2,215,TSCA,S,L,8.5,8.4,1,9.1,2,1,15.04,4.49,NA,04-1268
PH2,216,TSCA,S,L,3,NA,5,NA,5,NA,13.87,3.25,02 gone,NA
PH2,217,TSCA,S,L,4.8,5.1,1,5,5,NA,15.1,2.8,NA,NA
PH2,218,TSCA,S,L,4.3,4.8,1,4.8,5,NA,15.56,1.46,NA,NA
PH2,219,TSCA,S,L,2.8,2.6,5,NA,5,NA,11.29,0.61,12 gone,NA
PH2,220,TSCA,S,L,7.1,7.1,5,NA,5,NA,15.65,2.24,12 0.5m snag,NA
PH2,221,TSCA,NA,D,9.7,NA,5,NA,5,NA,17.88,5.45,dead; 12 0.5m snag,NA
PH2,222,TSCA,D,L,62.8,63,1,65.4,2,NA,18.22,2.07,NA,04-1276
PH2,223,TSCA,I,L,13,12.7,3,12.9,5,NA,19.46,3.15,NA,04-1277
PH2,224,TSCA,I,L,11.9,12,4,12.3,5,NA,19.63,4.11,NA,04-1278
PH2,225,TSCA,S,L,3.3,3.4,1,3.6,5,NA,20.28,6.23,NA,NA
PH2,226,TSCA,S,L,2.9,2.3,5,NA,5,NA,20.87,6.41,12 on ground,NA
PH2,227,TSCA,S,L,3.3,3.5,1,4.1,1,1,20.41,7.16,NA,04-1285
PH2,228,TSCA,NA,D,13,12.8,5,NA,5,NA,21.93,3,dead,04-1287
PH2,229,TSCA,S,L,2.9,3.4,1,4.6,1,NA,23.35,6.71,NA,04-1289
PH2,230,TSCA,S,L,2.9,3.3,1,4.4,2,1,23.57,4.5,NA,04-1288
PH2,231,TSCA,I,L,10,10.8,2,10.8,3,NA,24.29,0.56,NA,04-1295
PH2,232,TSCA,S,L,5,5.4,1,6,2,1,26.79,4.58,NA,04-1294
PH2,233,TSCA,D,L,81.9,82.9,1,84.3,1,NA,27.04,5.32,NA,04-1416
PH2,234,TSCA,S,L,5.5,5.3,5,NA,5,NA,27.62,0.28,12 gone,NA
PH2,235,TSCA,S,L,4,4.2,2,4.8,5,NA,28.51,0.57,NA,05-1253
PH2,236,TSCA,D,L,61.5,63.4,1,65.1,3,NA,29.88,0.61,NA,05-1254
PH2,237,TSCA,S,L,6.1,6.5,1,7.6,1,1,30,2.83,NA,05-1255
PH2,238,TSCA,S,L,6.4,6.6,1,7.6,2,NA,29.25,5.1,NA,05-1383
PH2,2071,TSCA,NA,miss,NA,30.2,1,31,3,NA,NA,NA,02 shares base w/ 207,04-1272
PH7,160,TSCA,S,L,4,3.6,5,NA,5,NA,9.58,15.17,12 gone,NA
PH7,167,TSCA,S,L,2.8,3,1,3,2,0,17.29,19.07,12 lean,NA
PH7,208,TSCA,C,L,13.6,14,1,14.5,1,NA,15.45,18.01,NA,NA
