date,tower,height,species,rep,hour,psn,cond,par,lpar,co2,ci,e,ci.ca,tleaf,tair,rh,esleaf,eair,vpd
1991-07-16,1,L,OAK,1,9.71,5.12,0.06,365.47,5.9,281.6,142.6,NA,0.51,27.63,26.97,44.54,3.71,3.57,2.12
1991-07-16,1,L,OAK,1,11.95,1.3,0.08,43.5,3.77,325.3,289.9,NA,0.89,27.77,28.42,49.75,3.75,3.89,1.81
1991-07-16,1,L,OAK,1,14.86,3.27,0.07,323.03,5.78,296.37,207.57,NA,0.7,29.69,30.01,37.43,4.19,4.26,2.59
1991-07-16,1,L,OAK,1,15.66,4.77,0.12,44.97,3.81,312.5,229.8,NA,0.74,29.84,30.08,13.12,4.22,4.28,3.66
1991-07-16,1,L,OAK,1,18.58,-0.21,0.02,9.69,2.27,391.6,389.67,NA,1,27.52,27.96,33.69,3.69,3.79,2.42
1991-07-16,1,T,OAK,1,9.4,14.99,0.28,1884,7.54,325.9,215.33,NA,0.66,31.16,29.91,44.48,4.55,4.24,2.67
1991-07-16,1,T,OAK,1,11.35,15.67,0.41,1785,7.49,289.83,202.83,NA,0.7,34.3,34.56,45.71,5.43,5.51,2.91
1991-07-16,1,T,OAK,1,14.56,13.41,0.27,1819.67,7.51,311.83,199.07,NA,0.64,38.57,36.48,28.12,6.87,6.13,5.14
1991-07-16,1,T,OAK,1,16.22,12.47,0.24,1803.33,7.5,261.27,155.6,NA,0.6,36.37,34.22,42.21,6.09,5.41,3.81
1991-07-16,1,T,OAK,1,18.2,3.11,0.06,763.07,6.64,352.1,254.23,NA,0.72,29.26,29.7,28.01,4.08,4.19,2.91
1991-07-16,1,L,RM,1,9,5.47,0.04,52.83,3.97,329.27,102,NA,0.31,23.07,23.51,47.94,2.83,2.91,1.44
1991-07-16,1,L,RM,1,10.87,1.33,0.03,29.92,3.4,330.87,254.53,NA,0.77,27.54,27.96,37.99,3.7,3.79,2.26
1991-07-16,1,L,RM,1,13.75,3.37,0.07,337.63,5.82,302.07,209.67,NA,0.69,29.29,29.55,34.11,4.09,4.15,2.67
1991-07-16,1,L,RM,1,16.59,1.22,0.04,33.61,3.51,330.83,261.37,NA,0.79,28.55,28.95,35.85,3.92,4.01,2.48
1991-07-16,1,L,RM,1,17.82,1.12,0.01,149.57,5.01,429.73,227.4,NA,0.53,27.88,27.87,32.11,3.77,3.77,2.56
1991-07-16,1,T,RM,1,9.66,7.81,0.09,1972.33,7.59,311.43,155.27,NA,0.5,34.13,30.55,40.44,5.38,4.4,3.6
1991-07-16,1,T,RM,1,11,7.06,0.1,1867,7.53,288.47,155.17,NA,0.54,36.56,34.34,25.24,6.16,5.45,4.78
1991-07-16,1,T,RM,1,14.16,4.65,0.06,1674.33,7.42,313.4,156.57,NA,0.5,36.97,34.46,32.41,6.3,5.48,4.52
1991-07-16,1,T,RM,1,16.66,4.34,0.05,985.97,6.89,293.7,134.57,NA,0.46,34.78,32.99,30.99,5.58,5.05,4.02
1991-07-16,1,T,RM,1,18.53,1.71,0.02,126.33,4.84,332.73,182.24,NA,0.55,28.2,28.14,27.23,3.84,3.83,2.8
1991-07-16,1,L,YB,1,9.53,3.69,0.08,319.27,5.77,326.9,246.5,NA,0.75,25.81,26.25,52.36,3.34,3.43,1.54
1991-07-16,1,L,YB,1,11.52,6.21,0.09,213.53,5.36,332.6,201.07,NA,0.6,29.88,27.62,52.39,4.23,3.71,2.29
1991-07-16,1,L,YB,1,14.42,0.57,0.06,26.92,3.29,316.23,288.17,NA,0.91,28.68,29.33,31.76,3.95,4.1,2.65
1991-07-16,1,L,YB,1,16.2,2.85,0.05,81.03,4.39,308.83,211.83,NA,0.69,29.21,29.39,42.2,4.07,4.11,2.34
1991-07-16,1,L,YB,1,18.19,0.33,0.08,14.32,2.66,372.17,350.87,NA,0.94,27.41,28.35,32.83,3.67,3.87,2.4
1991-07-16,1,T,YB,1,9.02,14.78,0.34,1597,7.38,307.7,212.73,NA,0.69,29.46,27.6,33.36,4.13,3.71,2.89
1991-07-16,1,T,YB,1,10.71,14.58,0.37,1977.33,7.59,309.17,220.63,NA,0.71,34.78,32.62,54.62,5.58,4.95,2.88
1991-07-16,1,T,YB,1,13.72,10.9,0.24,1850.33,7.52,311.3,208.1,NA,0.67,38.69,38.11,28.47,6.91,6.7,5
1991-07-16,1,T,YB,1,15.86,11.37,0.15,1671.67,7.42,333.3,184.97,NA,0.55,36.36,35.1,47.89,6.09,5.68,3.37
1991-07-16,1,T,YB,1,17.82,10.71,0.22,1023.33,6.93,307.23,207.83,NA,0.68,30.65,30.01,42.29,4.42,4.26,2.62
1991-07-16,1,L,OAK,2,9.79,1.17,0.05,16.32,2.79,335.6,287.77,NA,0.86,25.69,26.12,43.94,3.31,3.4,1.82
1991-07-16,1,L,OAK,2,12.03,1.36,0.08,37.24,3.62,359.9,319.63,NA,0.89,27.67,28.41,46.97,3.72,3.89,1.9
1991-07-16,1,L,OAK,2,14.93,4.51,0.09,357.6,5.88,276.13,182.17,NA,0.66,30.32,30.36,31.75,4.34,4.35,2.96
1991-07-16,1,L,OAK,2,15.77,4.22,0.15,103.6,4.64,369.33,305.13,NA,0.83,27.62,29.47,19.42,3.71,4.13,2.91
1991-07-16,1,L,OAK,2,18.65,-0.2,0.01,5.7,1.74,349.37,361.57,NA,1.03,27.48,27.89,31.04,3.68,3.77,2.51
1991-07-16,1,T,OAK,2,9.46,15.12,0.37,1653,7.41,274.67,188.87,NA,0.69,31.26,29.76,57.99,4.58,4.2,2.14
