plot,species,lat,lon,elev,year,cellulose,lignin,carbon,hydrogen,nitrogen
HFR1,ACRU,42.5412,-72.185,382,1992,34.75,18.22,49.6,6,1.58
HFR11,ACRU,42.5422,-72.1797,384,1992,29.83,18.11,50,6,1.79
HFR14,ACRU,42.5411,-72.1839,388,1992,30.75,18.14,50,6,1.73
HFR16,ACRU,42.5275,-72.1816,348,1992,32.61,18.67,50,6,2.14
HFR18,ACRU,42.5368,-72.1758,365,1992,32.9,18.66,50,6,1.87
HFR19,ACRU,42.5352,-72.1761,369,1992,29.7,16.65,50.2,6,1.68
HFR2,ACRU,42.5363,-72.1737,355,1992,30.28,18.29,50.2,6,1.81
HFR20,ACRU,42.5358,-72.1765,365,1992,27.48,17.42,49.4,6,1.68
HFR3,ACRU,42.5407,-72.1805,363,1992,29.96,18.26,50.2,6,1.8
HFR4,ACSA3,42.5293,-72.1789,307,1992,33.92,17.29,49.5,6,1.86
HFR18,BELE,42.5368,-72.1758,365,1992,40.98,18.31,49,6,2.2
HFR1,BEPA,42.5412,-72.185,382,1992,32.97,20.2,50.2,6.6,2.07
HFR14,BEPA,42.5411,-72.1839,388,1992,34.19,21.96,50.4,6.6,2.26
HFR18,BEPA,42.5368,-72.1758,365,1992,35.59,22.79,50.33,6.67,2.45
HFR19,BEPA,42.5352,-72.1761,369,1992,34.46,19.92,50,6,2.23
HFR18,BEPO,42.5368,-72.1758,365,1992,34.4,25.66,52,7,2.98
HFR18,FAGR,42.5368,-72.1758,365,1992,44.25,14.77,49,6,2.36
HFR2,FRAM2,42.5363,-72.1737,355,1992,54.44,17.81,48.2,7,2.05
HFR4,FRAM2,42.5293,-72.1789,307,1992,58.22,17.84,48.5,7,2.26
HFR6,LALA,42.5042,-72.2122,300,1992,33.23,31.97,51.2,7,2.48
HFR12,PIAB,42.5439,-72.1745,408,1992,41.85,23.7,50.2,7,1.34
HFR13,PIAB,42.5443,-72.1817,382,1992,40.63,25.59,51,7,1.2
HFR7,PIAB,42.5436,-72.1823,385,1992,41.38,23.31,50.6,7,1.16
HFR8,PIAB,42.5467,-72.174,403,1992,38.95,25.71,51,7,1.24
HFR12,PIGL,42.5439,-72.1745,408,1992,40.82,24.33,51,7,1.09
HFR15,PIRE,42.539,-72.1864,369,1992,39.08,26.17,52,7,1.05
HFR17,PIRE,42.5304,-72.1784,363,1992,39.76,26.02,52,7,1.14
HFR21,PIRE,42.5296,-72.1844,341,1992,38,25.76,51.2,7,1
HFR7,PIRE,42.5436,-72.1823,385,1992,37.78,28.2,52.2,7,1.27
HFR10,PIST,42.4494,-72.1735,300,1992,36.93,24.93,51.8,7,1.31
HFR16,PRSE2,42.5275,-72.1816,348,1992,40.2,17.18,49.6,7,2.61
HFR2,PRSE2,42.5363,-72.1737,355,1992,42.23,18.78,50,7,2.51
HFR6,PRSE2,42.5042,-72.2122,300,1992,40.77,17.42,49.6,7,2.77
HFR1,QURU,42.5412,-72.185,382,1992,41.2,26.38,50.6,6.8,2.08
HFR11,QURU,42.5422,-72.1797,384,1992,41.78,26.46,50.2,6.4,2.38
HFR14,QURU,42.5411,-72.1839,388,1992,37.25,26.05,50.4,6.4,2.1
HFR16,QURU,42.5275,-72.1816,348,1992,42.06,25.5,51,7,2.4
HFR18,QURU,42.5368,-72.1758,365,1992,44,23.58,50.2,7,2.53
HFR19,QURU,42.5352,-72.1761,369,1992,37.19,27.91,51,6.75,2.01
HFR3,QURU,42.5407,-72.1805,363,1992,41.05,27.52,50.8,7,2.36
HFR10,TSCA,42.4494,-72.1735,300,1992,28.53,14.62,50.2,7,1.2
HFR9,TSCA,42.5455,-72.1789,375,1992,25.23,15.02,51.2,7,1.12
