plot,sample.id,species,lat,lon,elev,year,cellulose,cellulose.method,lignin,lignin.method,carbon,carbon.method,hydrogen,hydrogen.method,nitrogen,nitrogen.method
HFR11,92HFS11RM1,ACRU,42.5422,-72.1797,384,1992,30.16,1,19.27,1,50,6,6,6,2.04,1
HFR11,92HFS11RM2,ACRU,42.5422,-72.1797,384,1992,28.07,1,16.1,1,50,6,6,6,1.72,1
HFR11,92HFS11RM3,ACRU,42.5422,-72.1797,384,1992,32.77,1,17.75,1,50,6,6,6,1.84,1
HFR11,92HFS11RM4,ACRU,42.5422,-72.1797,384,1992,29.35,1,20.26,1,50,6,6,6,1.58,1
HFR11,92HFS11RM5,ACRU,42.5422,-72.1797,384,1992,28.8,1,17.15,1,50,6,6,6,1.76,1
HFR14,92HFS14RM1,ACRU,42.5411,-72.1839,388,1992,30.94,1,17.69,1,50,6,6,6,2.11,1
HFR14,92HFS14RM2,ACRU,42.5411,-72.1839,388,1992,33.34,1,19.22,1,50,6,6,6,1.49,1
HFR14,92HFS14RM3,ACRU,42.5411,-72.1839,388,1992,26.81,1,18.33,1,51,6,6,6,1.59,1
HFR14,92HFS14RM4,ACRU,42.5411,-72.1839,388,1992,30.53,1,17.78,1,50,6,6,6,1.62,1
HFR14,92HFS14RM5,ACRU,42.5411,-72.1839,388,1992,32.13,1,17.69,1,49,6,6,6,1.85,1
HFR16,92HFS16RM1,ACRU,42.5275,-72.1816,348,1992,32.05,1,17.65,1,50,6,6,6,2.02,1
HFR16,92HFS16RM2,ACRU,42.5275,-72.1816,348,1992,31.74,1,17.09,1,50,6,6,6,1.94,1
HFR16,92HFS16RM3,ACRU,42.5275,-72.1816,348,1992,32.85,1,19.27,1,50,6,6,6,2.27,1
HFR16,92HFS16RM4,ACRU,42.5275,-72.1816,348,1992,30.72,1,20.15,1,50,6,6,6,2.2,1
HFR16,92HFS16RM5,ACRU,42.5275,-72.1816,348,1992,35.71,1,19.2,1,50,6,6,6,2.29,1
HFR18,92HFS18RM1,ACRU,42.5368,-72.1758,365,1992,34.51,1,17.38,1,50,6,6,6,1.76,1
HFR18,92HFS18RM2,ACRU,42.5368,-72.1758,365,1992,37.5,1,20.74,1,50,6,6,6,2.15,1
HFR18,92HFS18RM3,ACRU,42.5368,-72.1758,365,1992,32.98,1,17.79,1,50,6,6,6,1.68,1
HFR18,92HFS18RM4,ACRU,42.5368,-72.1758,365,1992,29.91,1,17.04,1,50,6,6,6,1.61,1
HFR18,92HFS18RM5,ACRU,42.5368,-72.1758,365,1992,29.58,1,20.36,1,50,6,6,6,2.14,1
HFR19,92HFS19RM1,ACRU,42.5352,-72.1761,369,1992,25.79,1,15.98,1,51,6,6,6,1.32,1
HFR19,92HFS19RM2,ACRU,42.5352,-72.1761,369,1992,29.84,1,17.39,1,50,6,6,6,1.9,1
HFR19,92HFS19RM3,ACRU,42.5352,-72.1761,369,1992,33.01,1,17.48,1,50,6,6,6,2.16,1
HFR19,92HFS19RM4,ACRU,42.5352,-72.1761,369,1992,28.18,1,15.29,1,50,6,6,6,1.39,1
HFR19,92HFS19RM5,ACRU,42.5352,-72.1761,369,1992,31.66,1,17.1,1,50,6,6,6,1.62,1
HFR1,92HFS1RM1,ACRU,42.5412,-72.185,382,1992,34.04,1,18.93,1,49,6,6,6,1.64,1
HFR1,92HFS1RM2,ACRU,42.5412,-72.185,382,1992,33.2,1,18.96,1,50,6,6,6,1.81,1
HFR1,92HFS1RM3,ACRU,42.5412,-72.185,382,1992,34.86,1,18.29,1,50,6,6,6,1.54,1
HFR1,92HFS1RM4,ACRU,42.5412,-72.185,382,1992,33.98,1,18,1,50,6,6,6,1.57,1
HFR1,92HFS1RM5,ACRU,42.5412,-72.185,382,1992,37.66,1,16.94,1,49,6,6,6,1.36,1
HFR20,92HFS20RM1,ACRU,42.5358,-72.1765,365,1992,25.96,1,17.76,1,50,6,6,6,1.65,1
HFR20,92HFS20RM2,ACRU,42.5358,-72.1765,365,1992,25.23,1,17.98,1,50,6,6,6,1.52,1
HFR20,92HFS20RM3,ACRU,42.5358,-72.1765,365,1992,29.34,1,17.47,1,49,6,6,6,1.75,1
HFR20,92HFS20RM4,ACRU,42.5358,-72.1765,365,1992,27.95,1,16.96,1,49,6,6,6,1.7,1
HFR20,92HFS20RM5,ACRU,42.5358,-72.1765,365,1992,28.92,1,16.95,1,49,6,6,6,1.77,1
HFR2,92HFS2RM1,ACRU,42.5363,-72.1737,355,1992,29.89,1,21.1,1,51,6,6,6,2,1
HFR2,92HFS2RM2,ACRU,42.5363,-72.1737,355,1992,29.06,1,19.22,1,50,6,6,6,1.61,1
HFR2,92HFS2RM3,ACRU,42.5363,-72.1737,355,1992,28.64,1,16.98,1,50,6,6,6,1.71,1
HFR2,92HFS2RM4,ACRU,42.5363,-72.1737,355,1992,31.87,1,17.17,1,50,6,6,6,1.84,1
HFR2,92HFS2RM5,ACRU,42.5363,-72.1737,355,1992,31.92,1,16.98,1,50,6,6,6,1.9,1
