year,doy,hour,seq.day,pan.ppt,sd.pan,n.obs
2000,98,00:00,98,310,56,6
2000,98,01:00,98.0417,374,44,7
2000,98,02:00,98.0833,371,53,5
2000,98,03:00,98.125,421,57,6
2000,98,04:00,98.1667,375,49,7
2000,98,05:00,98.2083,350,57,5
2000,98,06:00,98.25,346,28,6
2000,98,07:00,98.2917,294,37,7
2000,98,08:00,98.3333,NA,NA,4
2000,98,09:00,98.375,279,234,3
2000,98,18:00,98.75,564,95,4
2000,98,19:00,98.7917,470,65,7
2000,98,20:00,98.8333,445,57,5
2000,98,21:00,98.875,527,41,6
2000,98,22:00,98.9167,638,53,7
2000,98,23:00,98.9583,642,66,5
2000,99,00:00,99,750,28,6
2000,99,01:00,99.0417,709,20,7
2000,99,02:00,99.0833,659,62,5
2000,99,03:00,99.125,604,59,6
2000,99,04:00,99.1667,577,49,7
2000,99,05:00,99.2083,582,29,5
2000,99,06:00,99.25,541,65,6
2000,99,07:00,99.2917,448,36,7
2000,99,08:00,99.3333,368,80,5
2000,99,09:00,99.375,518,64,6
2000,99,10:00,99.4167,680,80,7
2000,99,11:00,99.4583,861,23,5
2000,99,12:00,99.5,909,64,6
2000,99,13:00,99.5417,621,126,7
2000,99,14:00,99.5833,389,33,5
2000,99,15:00,99.625,284,66,6
2000,99,16:00,99.6667,222,67,7
2000,99,17:00,99.7083,125,29,5
2000,99,18:00,99.75,84,49,6
2000,99,19:00,99.7917,48,43,7
2000,99,20:00,99.8333,41,13,5
2000,99,21:00,99.875,33,33,6
2000,99,22:00,99.9167,61,59,7
2000,99,23:00,99.9583,47,28,5
2000,100,00:00,100,40,38,6
2000,100,01:00,100.0417,46,39,7
2000,100,02:00,100.0833,58,33,5
2000,100,03:00,100.125,66,61,6
2000,100,04:00,100.1667,43,32,7
2000,100,05:00,100.2083,27,52,5
2000,100,06:00,100.25,34,29,6
2000,100,07:00,100.2917,47,36,7
2000,100,08:00,100.3333,69,110,5
2000,100,09:00,100.375,221,55,6
2000,100,10:00,100.4167,490,52,7
2000,100,11:00,100.4583,493,33,5
2000,100,12:00,100.5,456,31,6
2000,100,13:00,100.5417,337,76,7
2000,100,14:00,100.5833,218,14,5
2000,100,15:00,100.625,228,25,6
2000,100,16:00,100.6667,241,48,7
2000,100,17:00,100.7083,209,120,5
2000,100,18:00,100.75,277,117,6
2000,100,19:00,100.7917,304,30,7
2000,100,20:00,100.8333,342,56,5
