year,doy,no2.29m,no2.24.1m,no2.18.3m,no2.12.7m,no2.7.5m,no2.4.5m,no2.0.8m,no2.0.3m
1990,1.104,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.146,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.188,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.229,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.271,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.312,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.354,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.396,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.438,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.479,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.521,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.562,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.604,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.646,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.688,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.729,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.771,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.812,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.854,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.896,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.938,NA,NA,NA,NA,NA,NA,NA,NA
1990,1.979,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.021,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.062,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.104,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.146,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.188,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.229,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.271,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.312,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.354,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.396,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.438,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.479,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.521,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.562,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.604,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.646,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.688,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.729,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.771,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.812,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.854,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.896,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.938,NA,NA,NA,NA,NA,NA,NA,NA
1990,2.979,NA,NA,NA,NA,NA,NA,NA,NA
1990,3.021,NA,NA,NA,NA,NA,NA,NA,NA
1990,3.062,NA,NA,NA,NA,NA,NA,NA,NA
1990,3.104,NA,NA,NA,NA,NA,NA,NA,NA
1990,3.146,NA,NA,NA,NA,NA,NA,NA,NA
1990,3.188,NA,NA,NA,NA,NA,NA,NA,NA
1990,3.229,NA,NA,NA,NA,NA,NA,NA,NA
1990,3.271,NA,NA,NA,NA,NA,NA,NA,NA
1990,3.312,NA,NA,NA,NA,NA,NA,NA,NA
