year,doy,tcl.l,tcl.os,tcl.od,tcl.m,tcm.l,tcm.o,tcm.ms,tcm.md,tch.l,tch.o,tch.ms,tch.md,sml.l,sml.os,sml.od,sml.m,smm.l,smm.o,smm.ms,smm.md,smh.l,smh.o,smh.ms,smh.md,wcl.l,wcl.os,wcl.od,wcl.m,wcm.l,wcm.o,wcm.ms,wcm.md,wch.l,wch.o,wch.ms,wch.md
2004,139.04,15.75,16.05,11.47,11.07,13.9,14.62,NA,10.35,14.39,14.56,NA,12.08,12.09,30.15,34.55,27.01,-3.34,2.85,10.59,34.13,0.27,4.96,-15.09,6.84,0.12,0.3,0.35,0.27,NA,0.03,0.11,0.34,0,0.05,NA,0.07
2004,139.08,15.37,15.69,11.48,11.1,13.41,14.41,NA,10.37,14.1,14.36,NA,12.1,12.12,30.15,34.55,27,-3.33,2.85,10.59,34.13,0.27,4.94,-15.08,6.84,0.12,0.3,0.35,0.27,NA,0.03,0.11,0.34,0,0.05,NA,0.07
2004,139.13,14.94,15.24,11.49,11.1,13.13,14.16,NA,10.41,13.81,14.13,NA,12.15,12.14,30.08,34.54,27.02,-3.32,2.85,10.63,34.15,0.27,4.92,-15.09,6.84,0.12,0.3,0.35,0.27,NA,0.03,0.11,0.34,0,0.05,NA,0.07
2004,139.17,14.66,14.87,11.49,11.14,13.05,13.92,NA,10.43,13.65,13.95,NA,12.16,12.17,29.98,34.54,27.02,-3.32,2.82,10.66,34.15,0.24,4.92,-15.09,6.85,0.12,0.3,0.35,0.27,NA,0.03,0.11,0.34,0,0.05,NA,0.07
2004,139.21,14.42,14.57,11.48,11.14,12.92,13.72,NA,10.44,13.52,13.8,NA,12.16,12.2,29.89,34.54,27.02,-3.32,2.8,10.69,34.15,0.23,4.92,-15.09,6.85,0.12,0.3,0.35,0.27,NA,0.03,0.11,0.34,0,0.05,NA,0.07
2004,139.25,14.21,14.29,11.46,11.17,12.97,13.54,NA,10.46,13.44,13.67,NA,12.16,12.24,29.88,34.56,27.02,-3.31,2.76,10.76,34.15,0.2,4.91,-15.09,6.82,0.12,0.3,0.35,0.27,NA,0.03,0.11,0.34,0,0.05,NA,0.07
2004,139.29,14.16,14.09,11.43,11.12,13.31,13.42,NA,10.47,13.48,13.6,NA,12.18,12.24,29.88,34.55,27.02,-3.3,2.76,10.79,34.15,0.18,4.88,-15.1,6.8,0.12,0.3,0.35,0.27,NA,0.03,0.11,0.34,0,0.05,NA,0.07
2004,139.33,14.27,13.97,11.4,11.13,13.78,13.33,NA,NA,13.63,13.58,NA,12.17,12.24,29.88,34.54,27.02,-3.3,2.76,10.81,34.15,0.18,4.87,-15.11,6.8,0.12,0.3,0.35,0.27,NA,0.03,0.11,0.34,0,0.05,NA,0.07
2004,139.38,14.53,14,11.36,11.1,14.24,13.3,NA,NA,13.89,13.63,NA,12.15,12.29,29.88,34.55,27.03,-3.21,2.86,11.05,34.15,0.51,4.9,-15.1,6.72,0.12,0.3,0.35,0.27,NA,0.03,0.11,0.34,0.01,0.05,NA,0.07
2004,139.42,14.88,14.12,11.33,11.09,15.05,13.33,NA,NA,14.27,13.74,NA,12.14,12.35,29.88,34.56,27.02,-2.97,3.79,11.48,34.14,3.06,4.99,-15.08,6.61,0.12,0.3,0.35,0.27,NA,0.04,0.11,0.34,0.03,0.05,NA,0.07
2004,139.46,15.78,14.4,11.3,11.07,16.35,13.43,NA,NA,14.85,13.97,NA,12.14,12.2,29.91,34.56,27.03,-2.96,4.08,11.39,34.13,2.56,5.01,-15.08,6.64,0.12,0.3,0.35,0.27,NA,0.04,0.11,0.34,0.03,0.05,NA,0.07
