year,jday,plot,LAI,SE
1998,105,A1,0.77,0.02
1998,105,A2,0.8,0
1998,105,A3,0.89,0.04
1998,105,A4,0.79,0.02
1998,105,A5,1.02,0.03
1998,105,B1,0.82,0.03
1998,105,B2,0.83,0.03
1998,105,B3,0.84,0.02
1998,105,B4,0.87,0.01
1998,105,B5,0.89,0.01
1998,105,C1,0.84,0.02
1998,105,C2,0.95,0.04
1998,105,C3,1,0
1998,105,C4,1.9,0.05
1998,105,C5,0.78,0.02
1998,105,D1,0.99,0.02
1998,105,D2,0.76,0.01
1998,105,D3,0.78,0
1998,105,D4,0.94,0.03
1998,105,D5,0.79,0.03
1998,105,E1,1.02,0.06
1998,105,E2,1.44,0.02
1998,105,E3,0.89,0
1998,105,E4,2.22,0.06
1998,105,E5,3.7,0.11
1998,105,F1,2.3,0.08
1998,105,F2,1.61,0.06
1998,105,F3,1.3,0.08
1998,105,F4,1.63,0.06
1998,105,F5,2.33,0.23
1998,105,G1,2.25,0.04
1998,105,G2,3.78,0.11
1998,105,G3,0.95,0.06
1998,105,G4,1.09,0.08
1998,105,G5,2.89,0.26
1998,105,H1,2.02,0.21
1998,105,H2,3.82,0.03
1998,105,H3,0.62,0.03
1998,105,H4,0.2,0
1998,105,H5,3.58,0.07
1998,114,A1,0.88,0.02
1998,114,A2,1.22,0.07
1998,114,A3,0.82,0.07
1998,114,A4,0.88,0.04
1998,114,A5,1.07,0.03
1998,114,B1,0.91,0.03
1998,114,B2,0.66,0.07
1998,114,B3,0.87,0.01
1998,114,B4,0.93,0.01
1998,114,B5,0.8,0.01
1998,114,C1,0.85,0.03
1998,114,C2,0.95,0.05
1998,114,C3,0.94,0.03
1998,114,C4,1.91,0.05
1998,114,C5,0.74,0.02
1998,114,D1,0.93,0.03
1998,114,D2,0.83,0.02
1998,114,D3,0.69,0.02
1998,114,D4,1.05,0.05
1998,114,D5,0.77,0.02
1998,114,E1,1.05,0.09
1998,114,E2,1.33,0.02
1998,114,E3,1.02,0.03
1998,114,E4,2.48,0.05
1998,114,E5,3.57,0.13
1998,114,F1,2.22,0.08
1998,114,F2,1.67,0.06
1998,114,F3,1.59,0.17
1998,114,F4,1.78,0.08
1998,114,F5,2.43,0.2
1998,114,G1,2.17,0.05
1998,114,G2,3.82,0.08
1998,114,G3,0.85,0.04
1998,114,G4,1.15,0.09
1998,114,G5,3.08,0.28
1998,114,H1,2,0.21
1998,114,H2,3.82,0.05
1998,114,H3,0.7,0.03
1998,114,H4,0.26,0
1998,114,H5,3.65,0.07
1998,124,A1,1.13,0.01
1998,124,A2,1.02,0.03
1998,124,A3,1.33,0.04
1998,124,A4,1.17,0.02
1998,124,A5,1.27,0.06
1998,124,B1,1.04,0.04
1998,124,B2,1.05,0.03
1998,124,B3,1.39,0.05
1998,124,B4,1.29,0.13
1998,124,B5,0.85,0.15
1998,124,C1,1.19,0.02
1998,124,C2,1.28,0.04
1998,124,C3,1.37,0.03
1998,124,C4,2.48,0.15
1998,124,C5,1.18,0.12
1998,124,D1,1.07,0.03
1998,124,D2,1.15,0.03
1998,124,D3,1.21,0.01
1998,124,D4,1.55,0.15
1998,124,D5,1.75,0.15
1998,124,E1,1.46,0.06
1998,124,E2,1.67,0.02
1998,124,E3,1.12,0.01
1998,124,E4,2.67,0.07
1998,124,E5,3.91,0.14
1998,124,F1,2.35,0.11
1998,124,F2,2.02,0.1
1998,124,F3,1.84,0.24
1998,124,F4,1.82,0.05
1998,124,F5,2.58,0.22
1998,124,G1,2.47,0.06
1998,124,G2,4.06,0.11
1998,124,G3,1.03,0.06
1998,124,G4,1.22,0.1
1998,124,G5,3.15,0.36
1998,124,H1,2.1,0.13
1998,124,H2,4.09,0.05
1998,124,H3,0.77,0.04
1998,124,H4,0.27,0
1998,124,H5,3.94,0.07
1998,128,A1,1.51,0.06
1998,128,A2,1.4,0.03
1998,128,A3,1.96,0.07
1998,128,A4,2.24,0.05
1998,128,A5,2.02,0.04
1998,128,B1,1.59,0.08
1998,128,B2,1.47,0.05
1998,128,B3,1.7,0.06
1998,128,B4,1.61,0.02
1998,128,B5,1.38,0.04
1998,128,C1,1.56,0.06
1998,128,C2,1.6,0.04
1998,128,C3,1.94,0.02
1998,128,C4,2.83,0.06
1998,128,C5,1.51,0.03
1998,128,D1,1.35,0.01
1998,128,D2,1.5,0.03
1998,128,D3,1.45,0.02
1998,128,D4,1.94,0.13
1998,128,D5,1.54,0.05
1998,128,E1,1.6,0.11
1998,128,E2,1.94,0.03
1998,128,E3,1.48,0.07
1998,128,E4,2.91,0.07
1998,128,E5,4.25,0.11
1998,128,F1,2.64,0.07
1998,128,F2,2.47,0.06
1998,128,F3,2.42,0.2
1998,128,F4,2.21,0.08
1998,128,F5,2.66,0.22
1998,128,G1,2.59,0.04
1998,128,G2,4.23,0.09
1998,128,G3,1.15,0.03
1998,128,G4,1.58,0.15
1998,128,G5,3.38,0.31
1998,128,H1,2.54,0.11
1998,128,H2,4.15,0.04
1998,128,H3,0.55,0.03
1998,128,H4,0.37,0.02
1998,128,H5,4.29,0.04
1998,133,A1,1.65,0.02
1998,133,A2,1.51,0.03
1998,133,A3,1.87,0.09
1998,133,A4,2.11,0.05
1998,133,A5,1.99,0.04
1998,133,B1,1.72,0.08
1998,133,B2,1.65,0.04
1998,133,B3,1.66,0.07
1998,133,B4,1.87,0.05
1998,133,B5,1.6,0.04
1998,133,C1,1.75,0.07
1998,133,C2,1.67,0.03
1998,133,C3,2.16,0.06
1998,133,C4,2.74,0.04
1998,133,C5,1.7,0.05
1998,133,D1,1.64,0.04
1998,133,D2,1.56,0.03
1998,133,D3,1.47,0.05
1998,133,D4,2.18,0.09
1998,133,D5,1.92,0.03
1998,133,E1,1.81,0.1
1998,133,E2,2.01,0.03
1998,133,E3,1.6,0.06
1998,133,E4,2.92,0.04
1998,133,E5,4.35,0.09
1998,133,F1,2.89,0.09
1998,133,F2,2.88,0.08
1998,133,F3,2.63,0.21
1998,133,F4,2.3,0.09
1998,133,F5,2.86,0.21
1998,133,G1,2.59,0.03
1998,133,G2,4.38,0.11
1998,133,G3,1.27,0.05
1998,133,G4,1.58,0.18
1998,133,G5,3.49,0.28
1998,133,H1,2.79,0.23
1998,133,H2,4.38,0.03
1998,133,H3,0.94,0.05
1998,133,H4,0.26,0.02
1998,133,H5,4.18,0.05
1998,138,A1,2.86,0.04
1998,138,A2,2.81,0.04
1998,138,A3,3.16,0.07
1998,138,A4,3.14,0.13
1998,138,A5,3.2,0.05
1998,138,B1,3.01,0.13
1998,138,B2,3.07,0.06
1998,138,B3,3.08,0.08
1998,138,B4,3.16,0.08
1998,138,B5,2.71,0.04
1998,138,C1,3,0.11
1998,138,C2,2.94,0.04
1998,138,C3,3.48,0.05
1998,138,C4,3.8,0.1
1998,138,C5,3.3,0.08
1998,138,D1,2.61,0.02
1998,138,D2,2.78,0.05
1998,138,D3,2.74,0.02
1998,138,D4,3.02,0.18
1998,138,D5,3.15,0.06
1998,138,E1,3.25,0.09
1998,138,E2,3.12,0.04
1998,138,E3,2.78,0.06
1998,138,E4,4.09,0.04
1998,138,E5,5.13,0.1
1998,138,F1,3.68,0.13
1998,138,F2,4.33,0.09
1998,138,F3,3.88,0.15
1998,138,F4,3.15,0.06
1998,138,F5,4,0.19
1998,138,G1,3.43,0.04
1998,138,G2,5.26,0.09
1998,138,G3,1.8,0.04
1998,138,G4,2.39,0.23
1998,138,G5,4.44,0.27
1998,138,H1,3.98,0.24
1998,138,H2,5.29,0.03
1998,138,H3,1.47,0.05
1998,138,H4,0.63,0.02
1998,138,H5,5.03,0.07
1998,148,A1,3.62,0.03
1998,148,A2,3.44,0.03
1998,148,A3,3.8,0.08
1998,148,A4,3.18,0.11
1998,148,A5,3.49,0.08
1998,148,B1,3.69,0.24
1998,148,B2,3.8,0.08
1998,148,B3,3.93,0.16
1998,148,B4,3.56,0.13
1998,148,B5,3,0.13
1998,148,C1,3.84,0.14
1998,148,C2,3.66,0.04
1998,148,C3,4.36,0.07
1998,148,C4,4.16,0.18
1998,148,C5,3.62,0.12
1998,148,D1,3.5,0.03
1998,148,D2,3.64,0.06
1998,148,D3,3.27,0.04
1998,148,D4,4.04,0.16
1998,148,D5,3.64,0.06
1998,148,E1,4.05,0.15
1998,148,E2,3.78,0.04
1998,148,E3,3.55,0.08
1998,148,E4,4.8,0.04
1998,148,E5,5.51,0.11
1998,148,F1,4.09,0.07
1998,148,F2,5.31,0.11
1998,148,F3,4.81,0.14
1998,148,F4,3.75,0.08
1998,148,F5,4.73,0.2
1998,148,G1,3.55,0.05
1998,148,G2,5.65,0.05
1998,148,G3,2.22,0.12
1998,148,G4,2.63,0.31
1998,148,G5,4.99,0.25
1998,148,H1,4.47,0.15
1998,148,H2,5.67,0.02
1998,148,H3,1.71,0.07
1998,148,H4,0.64,0.04
1998,148,H5,5.59,0.09
1998,160,A1,3.59,0.08
1998,160,A2,3.64,0.07
1998,160,A3,3.86,0.06
1998,160,A4,3.51,0.06
1998,160,A5,3.75,0.06
1998,160,B1,3.8,0.17
1998,160,B2,3.87,0.08
1998,160,B3,3.59,0.12
1998,160,B4,3.61,0.07
1998,160,B5,3.77,0.05
1998,160,C1,3.68,0.19
1998,160,C2,3.63,0.06
1998,160,C3,4.46,0.07
1998,160,C4,4.85,0.06
1998,160,C5,3.82,0.17
1998,160,D1,3.36,0.1
1998,160,D2,3.56,0.14
1998,160,D3,3.53,0.1
1998,160,D4,4.62,0.21
1998,160,D5,3.5,0.04
1998,160,E1,4.1,0.22
1998,160,E2,3.62,0.06
1998,160,E3,3.38,0.05
1998,160,E4,4.64,0.02
1998,160,E5,5.27,0.15
1998,160,F1,3.99,0.14
1998,160,F2,5.25,0.11
1998,160,F3,4.94,0.21
1998,160,F4,3.59,0.06
1998,160,F5,4.32,0.26
1998,160,G1,3.46,0.05
1998,160,G2,5.6,0.07
1998,160,G3,2.35,0.09
1998,160,G4,2.94,0.35
1998,160,G5,5.34,0.35
1998,160,H1,4.62,0.3
1998,160,H2,5.71,0.02
1998,160,H3,1.79,0.1
1998,160,H4,0.83,0.05
1998,160,H5,5.65,0.04
1998,189,A1,3.54,0.11
1998,189,A2,3.71,0.07
1998,189,A3,3.96,0.12
1998,189,A4,3.69,0.07
1998,189,A5,4.29,0.05
1998,189,B1,3.61,0.22
1998,189,B2,4.1,0.11
1998,189,B3,4.09,0.13
1998,189,B4,4.07,0.08
1998,189,B5,3.88,0.09
1998,189,C1,3.98,0.19
1998,189,C2,3.79,0.05
1998,189,C3,4.59,0.1
1998,189,C4,4.96,0.09
1998,189,C5,4.12,0.19
1998,189,D1,3.54,0.05
1998,189,D2,3.79,0.05
1998,189,D3,3.34,0.06
1998,189,D4,4.74,0.21
1998,189,D5,4.02,0.05
1998,189,E1,4.37,0.15
1998,189,E2,3.76,0.08
1998,189,E3,3.61,0.04
1998,189,E4,4.93,0.03
1998,189,E5,5.76,0.09
1998,189,F1,4.49,0.1
1998,189,F2,5.55,0.11
1998,189,F3,5.11,0.24
1998,189,F4,3.96,0.08
1998,189,F5,4.93,0.19
1998,189,G1,3.7,0.07
1998,189,G2,5.91,0.09
1998,189,G3,2.24,0.04
1998,189,G4,3.22,0.37
1998,189,G5,5.67,0.27
1998,189,H1,4.81,0.2
1998,189,H2,5.91,0.05
1998,189,H3,2.14,0.18
1998,189,H4,0.92,0.08
1998,189,H5,6.15,0.08
1998,231,A1,3.78,0.04
1998,231,A2,3.55,0.04
1998,231,A3,3.91,0.07
1998,231,A4,3.94,0.07
1998,231,A5,4.13,0.06
1998,231,B1,4.05,0.17
1998,231,B2,4.08,0.08
1998,231,B3,3.96,0.03
1998,231,B4,4.14,0.05
1998,231,B5,3.66,0.05
1998,231,C1,4.1,0.11
1998,231,C2,4.04,0.05
1998,231,C3,4.62,0.06
1998,231,C4,4.81,0.09
1998,231,C5,4.13,0.12
1998,231,D1,3.92,0.04
1998,231,D2,3.9,0.06
1998,231,D3,3.47,0.07
1998,231,D4,4.91,0.24
1998,231,D5,3.98,0.08
1998,231,E1,4.74,0.12
1998,231,E2,3.96,0.06
1998,231,E3,3.7,0.03
1998,231,E4,5.19,0.05
1998,231,E5,5.91,0.12
1998,231,F1,4.64,0.09
1998,231,F2,5.58,0.1
1998,231,F3,5.19,0.12
1998,231,F4,4.12,0.1
1998,231,F5,4.81,0.09
1998,231,G1,3.92,0.04
1998,231,G2,6.06,0.06
1998,231,G3,2.25,0.04
1998,231,G4,3,0.31
1998,231,G5,5.7,0.32
1998,231,H1,5.18,0.2
1998,231,H2,6.05,0.04
1998,231,H3,2.07,0.16
1998,231,H4,0.9,0.07
1998,231,H5,6.1,0.06
1998,259,A1,3.9,0.04
1998,259,A2,3.24,0.07
1998,259,A3,3.38,0.06
1998,259,A4,4.02,0.08
1998,259,A5,3.55,0.06
1998,259,B1,4.03,0.17
1998,259,B2,4.05,0.1
1998,259,B3,3.9,0.12
1998,259,B4,4.36,0.05
1998,259,B5,3.36,0.04
1998,259,C1,4.2,0.13
1998,259,C2,3.66,0.05
1998,259,C3,4.52,0.08
1998,259,C4,5.04,0.04
1998,259,C5,3.73,0.21
1998,259,D1,3.61,0.03
1998,259,D2,3.37,0.06
1998,259,D3,3.36,0.05
1998,259,D4,4.35,0.23
1998,259,D5,3.67,0.03
1998,259,E1,4.34,0.08
1998,259,E2,3.9,0.03
1998,259,E3,3.68,0.06
1998,259,E4,5.1,0.05
1998,259,E5,5.72,0.09
1998,259,F1,4.82,0.15
1998,259,F2,5.44,0.1
1998,259,F3,4.6,0.07
1998,259,F4,4.14,0.05
1998,259,F5,5.04,0.21
1998,259,G1,4.04,0.03
1998,259,G2,6.07,0.06
1998,259,G3,2.29,0.06
1998,259,G4,2.82,0.24
1998,259,G5,5.35,0.27
1998,259,H1,4.98,0.15
1998,259,H2,6.22,0.02
1998,259,H3,2.01,0.12
1998,259,H4,0.85,0.03
1998,259,H5,5.83,0.04
1998,275,A1,3.16,0.03
1998,275,A2,2.87,0.05
1998,275,A3,2.97,0.06
1998,275,A4,3.16,0.07
1998,275,A5,3.06,0.02
1998,275,B1,3.17,0.09
1998,275,B2,3.38,0.07
1998,275,B3,3.31,0.09
1998,275,B4,2.93,0.04
1998,275,B5,2.75,0.03
1998,275,C1,3.3,0.1
1998,275,C2,3.11,0.05
1998,275,C3,3.71,0.05
1998,275,C4,4.27,0.03
1998,275,C5,2.92,0.13
1998,275,D1,3.07,0.04
1998,275,D2,3.15,0.03
1998,275,D3,2.78,0.07
1998,275,D4,3.31,0.13
1998,275,D5,3.27,0.11
1998,275,E1,3.44,0.1
1998,275,E2,3.16,0.02
1998,275,E3,2.91,0.04
1998,275,E4,4.59,0.04
1998,275,E5,5.2,0.09
1998,275,F1,3.71,0.07
1998,275,F2,4.25,0.15
1998,275,F3,3.83,0.16
1998,275,F4,3.7,0.05
1998,275,F5,4.17,0.17
1998,275,G1,3.3,0.05
1998,275,G2,5.35,0.07
1998,275,G3,1.57,0.04
1998,275,G4,2.16,0.21
1998,275,G5,4.59,0.25
1998,275,H1,4.34,0.15
1998,275,H2,5.4,0.03
1998,275,H3,1.42,0.09
1998,275,H4,0.44,0.03
1998,275,H5,5.17,0.05
1998,282,A1,2.52,0.03
1998,282,A2,2.5,0.1
1998,282,A3,2.33,0.1
1998,282,A4,2.45,0.06
1998,282,A5,2.41,0.04
1998,282,B1,2.61,0.06
1998,282,B2,2.86,0.03
1998,282,B3,2.68,0.06
1998,282,B4,1.87,0.07
1998,282,B5,2.01,0.06
1998,282,C1,2.76,0.08
1998,282,C2,2.85,0.11
1998,282,C3,2.82,0.08
1998,282,C4,3.56,0.05
1998,282,C5,1.91,0.05
1998,282,D1,2.48,0.02
1998,282,D2,2.56,0.03
1998,282,D3,2.16,0.05
1998,282,D4,2.62,0.11
1998,282,D5,2.38,0.04
1998,282,E1,2.77,0.05
1998,282,E2,2.66,0.03
1998,282,E3,2.31,0.03
1998,282,E4,4.05,0.06
1998,282,E5,4.76,0.08
1998,282,F1,3.35,0.11
1998,282,F2,3.29,0.07
1998,282,F3,3.09,0.22
1998,282,F4,3.05,0.07
1998,282,F5,3.83,0.21
1998,282,G1,2.93,0.04
1998,282,G2,4.71,0.06
1998,282,G3,1.07,0.02
1998,282,G4,1.95,0.26
1998,282,G5,4.53,0.29
1998,282,H1,3.63,0.11
1998,282,H2,4.92,0.01
1998,282,H3,1.08,0.09
1998,282,H4,0.24,0.02
1998,282,H5,4.86,0.04
1998,289,A1,2.14,0.03
1998,289,A2,2.32,0.04
1998,289,A3,2.4,0.05
1998,289,A4,2.53,0.05
1998,289,A5,2.56,0.02
1998,289,B1,2.17,0.06
1998,289,B2,2.26,0.04
1998,289,B3,2.27,0.05
1998,289,B4,2.08,0.03
1998,289,B5,2.1,0.02
1998,289,C1,2.44,0.07
1998,289,C2,2.25,0.09
1998,289,C3,2.05,0.03
1998,289,C4,3.54,0.03
1998,289,C5,1.9,0.06
1998,289,D1,2.44,0.03
1998,289,D2,2.11,0.08
1998,289,D3,1.82,0.07
1998,289,D4,1.79,0.11
1998,289,D5,1.75,0.05
1998,289,E1,2.29,0.06
1998,289,E2,2.49,0.02
1998,289,E3,2.22,0.04
1998,289,E4,3.76,0.03
1998,289,E5,4.66,0.08
1998,289,F1,2.87,0.14
1998,289,F2,2.76,0.14
1998,289,F3,2.59,0.2
1998,289,F4,3.01,0.04
1998,289,F5,3.47,0.16
1998,289,G1,2.76,0.04
1998,289,G2,4.58,0.1
1998,289,G3,0.98,0.04
1998,289,G4,1.64,0.18
1998,289,G5,4,0.29
1998,289,H1,3.52,0.11
1998,289,H2,4.87,0.02
1998,289,H3,0.89,0.05
1998,289,H4,0.33,0.02
1998,289,H5,4.64,0.09
1998,301,A1,1.07,0
1998,301,A2,1.15,0.03
1998,301,A3,1.36,0.04
1998,301,A4,1.34,0.06
1998,301,A5,1.19,0.04
1998,301,B1,1.1,0.02
1998,301,B2,1.22,0.03
1998,301,B3,1.47,0.03
1998,301,B4,1.12,0.01
1998,301,B5,0.85,0.03
1998,301,C1,1.22,0.03
1998,301,C2,1.36,0.04
1998,301,C3,1.2,0.02
1998,301,C4,2.32,0.05
1998,301,C5,0.88,0.04
1998,301,D1,1.41,0.01
1998,301,D2,1.18,0.01
1998,301,D3,1.04,0.06
1998,301,D4,1.07,0.02
1998,301,D5,1.1,0.03
1998,301,E1,1.34,0.06
1998,301,E2,1.6,0.03
1998,301,E3,1.21,0.03
1998,301,E4,2.56,0.06
1998,301,E5,4.04,0.09
1998,301,F1,2.6,0.13
1998,301,F2,1.97,0.13
1998,301,F3,1.7,0.15
1998,301,F4,1.94,0.09
1998,301,F5,2.5,0.19
1998,301,G1,2.33,0.04
1998,301,G2,3.93,0.11
1998,301,G3,0.81,0.01
1998,301,G4,1.15,0.17
1998,301,G5,3.15,0.31
1998,301,H1,2.18,0.19
1998,301,H2,4.08,0.05
1998,301,H3,0.63,0.03
1998,301,H4,0.21,0.03
1998,301,H5,3.81,0.03
1998,320,A1,0.93,0.03
1998,320,A2,0.9,0.02
1998,320,A3,0.98,0.03
1998,320,A4,0.94,0.03
1998,320,A5,1.01,0.02
1998,320,B1,0.91,0.03
1998,320,B2,0.94,0
1998,320,B3,0.99,0.03
1998,320,B4,0.89,0
1998,320,B5,0.79,0.01
1998,320,C1,0.95,0.02
1998,320,C2,1.06,0.04
1998,320,C3,1.13,0.02
1998,320,C4,2.05,0.02
1998,320,C5,0.76,0
1998,320,D1,1.11,0.02
1998,320,D2,0.86,0
1998,320,D3,0.86,0.02
1998,320,D4,0.9,0.02
1998,320,D5,0.82,0.02
1998,320,E1,1.25,0.07
1998,320,E2,1.49,0.02
1998,320,E3,1.04,0.01
1998,320,E4,2.51,0.05
1998,320,E5,3.79,0.11
1998,320,F1,2.5,0.11
1998,320,F2,1.93,0.15
1998,320,F3,1.54,0.14
1998,320,F4,1.81,0.04
1998,320,F5,2.51,0.16
1998,320,G1,2.35,0.04
1998,320,G2,3.93,0.12
1998,320,G3,0.91,0.02
1998,320,G4,1.26,0.13
1998,320,G5,2.91,0.27
1998,320,H1,2.13,0.18
1998,320,H2,3.87,0.07
1998,320,H3,0.79,0.05
1998,320,H4,0.28,0.01
1998,320,H5,3.63,0.05
1999,103,A1,0.83,0.01
1999,103,A2,0.78,0.01
1999,103,A3,0.91,0.03
1999,103,A4,0.79,0.03
1999,103,A5,0.85,0.04
1999,103,B1,0.83,0.03
1999,103,B2,0.85,0.02
1999,103,B3,0.86,0.03
1999,103,B4,0.76,0.03
1999,103,B5,0.66,0.03
1999,103,C1,0.94,0.03
1999,103,C2,1,0.05
1999,103,C3,1.02,0.01
1999,103,C4,1.85,0.03
1999,103,C5,0.72,0.02
1999,103,D1,1.03,0.01
1999,103,D2,0.79,0.01
1999,103,D3,0.78,0
1999,103,D4,0.82,0.02
1999,103,D5,0.81,0.02
1999,103,E1,1.18,0.08
1999,103,E2,1.46,0.02
1999,103,E3,0.97,0.01
1999,103,E4,2.34,0.04
1999,103,E5,3.64,0.07
1999,103,F1,2.54,0.1
1999,103,F2,1.86,0.13
1999,103,F3,1.49,0.13
1999,103,F4,1.66,0.04
1999,103,F5,2.33,0.17
1999,103,G1,2.34,0.03
1999,103,G2,3.84,0.09
1999,103,G3,0.83,0.04
1999,103,G4,1.09,0.08
1999,103,G5,2.67,0.25
1999,103,H1,2.01,0.17
1999,103,H2,3.64,0.02
1999,103,H3,0.7,0.03
1999,103,H4,0.25,0
1999,103,H5,3.56,0.04
1999,103,X1,1.87,0.16
1999,103,X2,2.05,0.02
1999,103,X3,2.7,0.14
1999,103,X5,3,0.15
1999,103,X6,1.81,0.11
1999,117,A1,0.94,0.02
1999,117,A2,0.93,0.01
1999,117,A3,1,0.05
1999,117,A4,0.88,0.04
1999,117,A5,1,0.01
1999,117,B1,0.99,0.03
1999,117,B2,0.94,0.02
1999,117,B3,1,0.06
1999,117,B4,0.86,0
1999,117,B5,0.77,0.01
1999,117,C1,1.02,0
1999,117,C2,1.18,0.05
1999,117,C3,1.07,0.03
1999,117,C4,1.99,0.06
1999,117,C5,0.76,0.01
1999,117,D1,1.24,0.01
1999,117,D2,0.92,0.01
1999,117,D3,0.8,0.01
1999,117,D4,0.96,0.04
1999,117,D5,0.84,0.02
1999,117,E1,1.21,0.03
1999,117,E2,1.47,0.02
1999,117,E3,0.97,0
1999,117,E4,2.28,0.06
1999,117,E5,3.71,0.05
1999,117,F1,2.75,0.12
1999,117,F2,1.67,0.06
1999,117,F3,1.57,0.12
1999,117,F4,1.72,0.03
1999,117,F5,2.24,0.2
1999,117,G1,2.37,0.02
1999,117,G2,3.9,0.07
1999,117,G3,0.79,0.01
1999,117,G4,1.17,0.09
1999,117,G5,2.66,0.23
1999,117,H1,2.2,0.17
1999,117,H2,3.93,0.04
1999,117,H3,0.72,0.05
1999,117,H4,0.29,0.01
1999,117,H5,3.59,0
1999,117,X1,1.71,0.09
1999,117,X2,2.34,0.13
1999,117,X3,2.95,0.14
1999,117,X4,2.52,0.15
1999,117,X5,2.42,0.19
1999,117,X6,2.08,0.18
1999,125,A1,1.01,0.01
1999,125,A2,0.91,0.04
1999,125,A3,1.08,0.05
1999,125,A4,0.85,0.01
1999,125,A5,0.78,0.02
1999,125,B1,1,0.03
1999,125,B2,0.99,0.03
1999,125,B3,1.07,0.03
1999,125,B4,1.06,0.02
1999,125,B5,0.56,0.04
1999,125,C1,1.02,0.02
1999,125,C2,1.15,0.05
1999,125,C3,1.12,0.02
1999,125,C4,2.14,0.06
1999,125,C5,1.06,0.03
1999,125,D1,1.18,0.03
1999,125,D2,1.04,0.03
1999,125,D3,0.83,0.01
1999,125,D4,1.12,0.05
1999,125,D5,0.95,0.02
1999,125,E1,1.07,0.1
1999,125,E2,1.45,0.03
1999,125,E3,0.98,0.01
1999,125,E4,2.36,0.05
1999,125,E5,3.37,0.08
1999,125,F1,2.42,0.06
1999,125,F2,1.8,0.04
1999,125,F3,1.55,0.17
1999,125,F4,1.58,0.05
1999,125,F5,2.16,0.19
1999,125,G1,2.47,0.03
1999,125,G2,3.97,0.09
1999,125,G3,0.92,0.03
1999,125,G4,1.21,0.09
1999,125,G5,2.92,0.32
1999,125,H1,2.06,0.15
1999,125,H2,3.99,0.02
1999,125,H3,0.68,0.04
1999,125,H4,0.38,0.01
1999,125,H5,3.7,0.07
1999,125,X1,1.91,0.09
1999,125,X2,2.4,0.2
1999,125,X3,3.24,0.13
1999,125,X4,2.89,0.12
1999,125,X5,2.59,0.19
1999,125,X6,2.21,0.18
1999,130,A1,1.32,0.01
1999,130,A2,1.42,0.04
1999,130,A3,1.45,0.03
1999,130,A4,1.77,0.07
1999,130,A5,1.45,0.02
1999,130,B1,1.42,0.06
1999,130,B2,1.36,0.04
1999,130,B3,1.44,0.03
1999,130,B4,1.37,0.01
1999,130,B5,1.14,0.02
1999,130,C1,1.5,0.05
1999,130,C2,1.61,0.03
1999,130,C3,1.74,0.04
1999,130,C4,2.53,0.04
1999,130,C5,1.38,0.03
1999,130,D1,1.46,0
1999,130,D2,1.32,0.02
1999,130,D3,1.27,0.01
1999,130,D4,1.87,0.04
1999,130,D5,1.33,0.04
1999,130,E1,1.46,0.07
1999,130,E2,1.78,0.03
1999,130,E3,1.36,0.02
1999,130,E4,2.75,0.04
1999,130,E5,4.11,0.07
1999,130,F1,2.99,0.12
1999,130,F2,2.26,0.03
1999,130,F3,2.22,0.11
1999,130,F4,2.2,0.05
1999,130,F5,2.67,0.21
1999,130,G1,2.56,0.01
1999,130,G2,4.26,0.07
1999,130,G3,1.16,0.03
1999,130,G4,1.55,0.13
1999,130,G5,3.48,0.22
1999,130,H1,2.57,0.13
1999,130,H2,4.08,0.03
1999,130,H3,0.96,0.04
1999,130,H4,0.42,0.02
1999,130,H5,4.06,0.06
1999,130,X1,2.57,0.11
1999,130,X2,3.32,0.15
1999,130,X3,3.63,0.05
1999,130,X4,3.38,0.15
1999,130,X5,2.96,0.12
1999,130,X6,2.8,0.2
1999,133,A1,1.66,0.02
1999,133,A2,1.67,0.04
1999,133,A3,1.88,0.07
1999,133,A4,2.19,0.07
1999,133,A5,1.78,0.02
1999,133,B1,1.77,0.08
1999,133,B2,1.74,0.05
1999,133,B3,1.84,0.03
1999,133,B4,1.73,0.02
1999,133,B5,1.4,0.02
1999,133,C1,1.82,0.05
1999,133,C2,1.92,0.05
1999,133,C3,2.15,0.04
1999,133,C4,2.84,0.05
1999,133,C5,1.73,0.03
1999,133,D1,1.67,0
1999,133,D2,1.63,0.02
1999,133,D3,1.57,0.02
1999,133,D4,2.41,0.11
1999,133,D5,1.65,0.03
1999,133,E1,1.84,0.07
1999,133,E2,2.04,0.03
1999,133,E3,1.65,0.03
1999,133,E4,3.04,0.03
1999,133,E5,4.35,0.09
1999,133,F1,3.21,0.11
1999,133,F2,2.53,0.04
1999,133,F3,2.68,0.11
1999,133,F4,2.43,0.05
1999,133,F5,2.83,0.17
1999,133,G1,2.74,0.01
1999,133,G2,4.34,0.03
1999,133,G3,1.29,0.03
1999,133,G4,1.82,0.16
1999,133,G5,3.69,0.25
