"year","jday","site","all.plots","all.mean","all.stdev","all.conf.int","decid.mean","decid.stdev","decid.conf.int"
1999,103,"cut",1,1.716,0.885,0.74,0.114,0.198,0.165
1999,117,"cut",1,1.769,0.813,0.68,0.166,0.119,0.099
1999,125,"cut",1,1.818,0.98,0.819,0.215,0.199,0.166
1999,130,"cut",1,2.455,0.904,0.756,0.852,0.245,0.205
1999,133,"cut",1,2.82,0.942,0.787,1.218,0.323,0.27
1999,145,"cut",1,4.336,0.775,0.648,2.734,0.295,0.246
1999,222,"cut",1,5.056,0.849,0.709,3.454,0.216,0.181
1999,278,"cut",1,4.461,0.834,0.697,2.859,0.24,0.201
1999,294,"cut",1,3.24,0.759,0.635,1.638,0.287,0.24
2005,234,"cut",1,4.206,0.505,0.422,2.532,0.747,0.625
2005,354,"cut",1,1.674,0.897,0.75,0,0,NA
2006,107,"cut",1,1.755,0.89,0.744,0.214,0.322,0.269
2006,124,"cut",1,1.79,0.896,0.749,0.249,0.343,0.287
2006,137,"cut",1,2.254,0.788,0.658,0.712,0.31,0.259
2006,145,"cut",1,2.92,0.707,0.591,1.379,0.437,0.365
2006,172,"cut",1,4.039,0.616,0.515,2.498,0.521,0.436
2006,186,"cut",1,4.065,0.592,0.495,2.524,0.502,0.419
2006,198,"cut",1,4.045,0.681,0.57,2.504,0.534,0.447
2006,234,"cut",1,3.916,0.613,0.512,2.375,0.554,0.463
2006,276,"cut",1,3.465,0.564,0.472,1.924,0.528,0.441
2006,289,"cut",1,3.004,0.651,0.544,1.462,0.417,0.349
2006,303,"cut",1,1.851,0.76,0.636,0.31,0.247,0.207
2006,337,"cut",1,1.789,0.893,0.747,0.248,0.397,0.332
2007,101,"cut",1,1.75,0.87,0.728,0.003,0.007,0.006
2007,127,"cut",1,1.842,0.851,0.711,0.095,0.06,0.05
2007,137,"cut",1,3.124,0.811,0.678,1.376,0.507,0.424
2007,148,"cut",1,4.128,0.597,0.499,2.38,0.99,0.828
2007,169,"cut",1,4.461,0.641,0.536,2.714,0.862,0.721
2007,191,"cut",1,4.58,0.64,0.535,2.832,0.885,0.74
2007,218,"cut",1,4.718,0.628,0.525,2.97,0.866,0.724
2007,249,"cut",1,4.496,0.61,0.51,2.749,0.747,0.625
2007,274,"cut",1,4.224,0.694,0.58,2.476,0.939,0.785
2007,289,"cut",1,3.952,0.559,0.467,2.205,0.773,0.646
2007,303,"cut",1,2.726,0.687,0.574,0.979,0.586,0.49
2007,323,"cut",1,2.216,0.872,0.729,0.469,0.108,0.09
2007,348,"cut",1,1.918,0.926,0.774,0.17,0.074,0.062
1998,105,"ems",1,1.586,0.996,0.353,0.029,0.046,0.016
1998,114,"ems",1,1.625,0.999,0.354,0.069,0.1,0.036
1998,124,"ems",1,1.931,0.958,0.34,0.375,0.173,0.061
