year,jday,plot,spp,N.percent,C.percent
1998,NA,A1,beech,0.605043,49.0311
1998,NA,A1,beech,0.57893,48.9416
1998,NA,A1,cherry,0.73305,50.3156
1998,NA,A1,cherry,0.7866,50.7955
1998,NA,A2,wp,0.410232,55.53827
1998,NA,A2,wp,0.395878,55.82619
1998,NA,A3,birch,0.97608,51.64
1998,NA,A3,birch,0.98921,51.3926
1998,NA,A3,unknown,0.597684,50.09534
1998,NA,A3,unknown,0.608641,51.07942
1998,NA,A4,beech,0.8747,48.076
1998,NA,A4,beech,0.8995,49.862
1998,NA,A4,oak,0.7926,48.1339
1998,NA,A4,oak,0.8434,51.6772
1998,NA,A4,rm,0.756757,54.2501
1998,NA,A4,rm,0.62877,48.35149
1998,NA,A4,wp,0.49396,55.0655
1998,NA,A4,wp,0.479166,54.6364
1998,NA,A5,beech,0.789913,49.71602
1998,NA,A5,beech,0.85577,51.42683
1998,NA,B1,cherry,0.7662,53.274
1998,NA,B1,cherry,0.7357,52.844
1998,NA,B1,wh,0.6048,45.6397
1998,NA,B1,wh,0.596,46.4396
1998,NA,B1,wp,0.5555,54.24147
1998,NA,B1,wp,0.52043,54.2004
1998,NA,B2,cherry,0.4467,45.176
1998,NA,B2,cherry,0.539,52.2618
1998,NA,B2,rm,0.5082,50.2242
1998,NA,B2,rm,0.5443,51.243
1998,NA,B3,ash,0.2592,47.3187
1998,NA,B3,ash,0.2461,44.9217
1998,NA,B3,birch,1.0436,48.0377
1998,NA,B3,birch,0.9349,47.7087
1998,NA,B3,cherry,0.7403,51.6984
1998,NA,B3,cherry,0.6746,49.9048
1998,NA,B3,oak,1.0729,49.967
1998,NA,B3,oak,0.9773,48.4583
1998,NA,B4,beech,0.91037,50.1568
1998,NA,B4,beech,0.97654,55.4732
1998,NA,B4,birch,1.0258,52.4496
1998,NA,B4,birch,1.1053,53.2178
1998,NA,B5,sm,0.4088,48.1799
1998,NA,B5,sm,0.4022,48.0245
1998,NA,B5,wh,0.654121,48.26577
1998,NA,B5,wh,0.625085,48.26748
1998,NA,C1,oak,0.9783,52.3876
1998,NA,C1,oak,1.03085,53.2034
1998,NA,C3,cherry,0.6232,52.26287
1998,NA,C3,cherry,0.62456,52.6727
1998,NA,C4,beech,0.87158,49.9515
1998,NA,C4,beech,0.97484,50.05273
1998,NA,C4,oak,0.932967,51.06284
1998,NA,C4,oak,0.851386,49.4186
1998,NA,C4,ws,0.9591,51.5609
1998,NA,C4,ws,0.87737,51.5105
1998,NA,C5,rm,0.6477,52.1711
1998,NA,C5,rm,0.64946,52.01361
1998,NA,C5,unknown,0.5905,51.3313
1998,NA,C5,unknown,0.6027,51.5963
1998,NA,D1,beech,0.735109,50.18694
1998,NA,D1,beech,0.756741,49.98535
1998,NA,D1,rm,0.73507,47.17258
1998,NA,D1,rm,0.845052,53.58898
1998,NA,D4,sm,0.54222,48.4112
1998,NA,D4,sm,0.53163,48.2288
1998,NA,D5,rm,0.5195,47.3491
1998,NA,D5,rm,0.567,51.5705
1998,NA,D5,sm,0.496164,51.5657
1998,NA,D5,sm,0.478133,49.09571
1998,NA,E1,hem,0.423974,51.81239
1998,NA,E1,hem,0.416547,52.80904
1998,NA,E2,cherry,0.554484,47.92949
1998,NA,E2,cherry,0.62277,53.69656
1998,NA,E2,rm,0.63469,54.76252
1998,NA,E2,rm,0.679877,50.92289
1998,NA,E2,rp,0.399388,50.5645
1998,NA,E2,rp,0.349354,51.26181
1998,NA,E2,wh,0.474996,48.11451
1998,NA,E2,wh,0.538567,49.66333
1998,NA,E3,cherry,0.566258,48.31709
1998,NA,E3,cherry,0.555329,43.98537
1998,NA,E3,wh,0.5653,49.7834
1998,NA,E3,wh,0.5586,49.782
1998,NA,E4,wp,0.48435,54.4304
1998,NA,E4,wp,0.52156,54.5019
1998,NA,E4,ws,0.630361,48.60022
1998,NA,E4,ws,0.642012,47.85694
1998,NA,E5,hem,0.647568,54.76376
1998,NA,E5,hem,0.642374,52.57705
1998,NA,E5,rm,0.6279,52.3127
1998,NA,E5,rm,0.62026,52.4983
1998,NA,E5,wp,0.369385,53.8225
1998,NA,E5,wp,0.347758,53.11668
1998,NA,F1,ash,0.885344,51.19271
1998,NA,F1,ash,0.83517,47.66726
1998,NA,F1,rp,0.41106,54.7418
1998,NA,F1,rp,0.41052,54.3418
1998,NA,F2,birch,0.787394,50.31384
1998,NA,F2,birch,0.832709,52.06233
1998,NA,F2,oak,0.664,49.2175
1998,NA,F2,oak,0.6914,50.2283
1998,NA,F3,beech,0.7472,52.4222
1998,NA,F3,oak,0.89222,52.8996
1998,NA,F3,oak,0.90771,53.0837
1998,NA,F3,unknown,0.62189,50.1447
1998,NA,F3,unknown,0.62363,49.7887
1998,NA,F4,oak,1.0668,52.1549
1998,NA,F4,oak,1.10423,52.4764
1998,NA,F4,rm,0.95894,49.6378
1998,NA,F4,rm,0.948,49.7234
1998,NA,F4,ws,0.994046,53.82088
1998,NA,F4,ws,0.904457,51.04235
1998,NA,F5,birch,0.870138,54.09002
1998,NA,F5,birch,0.827789,50.2009
1998,NA,F5,cherry,0.73891,50.15157
1998,NA,F5,cherry,0.806659,50.59917
1998,NA,F5,hem,0.44206,53.5841
1998,NA,F5,hem,0.4371,53.4506
1998,NA,G1,hem,0.66535,53.6148
1998,NA,G1,hem,0.2323,53.3541
1998,NA,G1,rp,0.386548,55.14358
1998,NA,G1,rp,0.366092,54.11381
1998,NA,G1,unknown,0.791,50.4875
1998,NA,G1,unknown,0.829,51.0389
1998,NA,G1,unknown,0.88417,51.384
1998,NA,G1,unknown,0.82023,51.0922
1998,NA,G1,wp,0.528339,49.98232
1998,NA,G1,wp,0.522286,50.68321
1998,NA,G2,hem,0.846843,55.18193
1998,NA,G2,hem,0.892056,57.88388
1998,NA,G3,birch,1.020603,50.86514
1998,NA,G3,birch,0.966356,48.58549
1998,NA,G4,hem,0.5399,53.1652
1998,NA,G4,hem,0.85712,53.2978
1998,NA,G4,wh,0.5128,46.1121
1998,NA,G4,wh,0.498,46.6285
1998,NA,G5,hem,0.69694,53.2372
1998,NA,G5,hem,0.63945,53.4218
1998,NA,G5,wp,0.570846,54.8
1998,NA,G5,wp,0.594534,54.806
1998,NA,H1,hem,0.7398,50.2461
1998,NA,H1,hem,0.7373,52.061
1998,NA,H2,cherry,0.4201,52.021
1998,NA,H2,cherry,0.4186,52.7107
1998,NA,H3,unknown,0.982094,51.27977
1998,NA,H3,unknown,0.906144,48.33989
1998,NA,H4,birch,0.907421,50.67676
1998,NA,H4,birch,0.904241,53.08354
1998,NA,H4,wp,0.354872,53.78204
1998,NA,H4,wp,0.298575,49.96866
1998,NA,H5,beech,0.705548,51.416
1998,NA,H5,beech,0.769118,51.6678
1998,NA,H5,birch,0.88996,52.649
1998,NA,H5,birch,0.88844,53.0148
1999,292,A1,oak,1.24504447,51.67814636
1999,292,A1,oak,1.283761859,52.20778656
1999,292,A2,beech,0.681963623,51.03229141
1999,292,A2,beech,0.693908811,50.59764862
1999,291,A2,wp,0.72456193,53.3234024
1999,291,A2,wp,0.666861355,54.79896927
1999,291,A4,beech,1.128030658,50.5145874
1999,291,A4,beech,1.251037836,50.92362976
1999,305,A4,beech,0.886548042,50.32133484
1999,305,A4,beech,0.880582869,51.65105438
1999,291,A4,birch,1.153956532,51.48988724
1999,291,A4,birch,1.158272266,51.93595123
1999,305,A4,birch,1.493699074,50.71368027
1999,305,A4,birch,1.35713768,50.14022827
1999,291,A4,oak,1.335527539,52.2923851
1999,291,A4,oak,1.419184566,52.6729393
1999,291,A4,rm,0.646937013,50.65496445
1999,291,A4,rm,0.625909746,50.63843536
1999,292,A5,beech,1.004843116,50.73711014
1999,292,A5,beech,0.85598135,49.67424393
1999,291,A5,birch,1.349461198,52.07656479
1999,291,A5,birch,1.305401921,53.11354828
1999,169,A5,oak,1.172710896,54.11404419
1999,169,A5,oak,1.15039289,53.36518097
1999,292,A5,rm,0.611295104,53.23304749
1999,292,A5,rm,0.598931313,53.4830246
1999,291,B2,birch,1.27537775,50.38626862
1999,291,B2,birch,1.234380245,50.68006516
1999,291,B3,beech,0.705299139,49.11356354
1999,291,B3,beech,0.695346594,50.04675674
1999,291,B3,oak,1.310585499,51.73007584
1999,291,B3,oak,1.338605404,50.88906097
1999,291,B5,beech,0.851576924,53.40260315
1999,291,B5,beech,0.836148083,52.64570236
1999,291,B5,birch,0.978693485,51.89413071
1999,291,B5,birch,0.961090147,52.40501022
1999,291,B5,oak,1.228112817,52.12577057
1999,291,B5,oak,1.219947577,52.39923859
1999,305,B5,oak,0.915772378,54.11793137
1999,305,B5,oak,0.918572664,54.78497696
1999,305,B5,rm,0.452849537,50.74118805
1999,305,B5,rm,0.449697256,50.56346893
1999,291,C2,beech,1.02554822,50.34291077
1999,291,C2,beech,0.965139925,48.68596649
1999,291,C2,beech,0.897615194,47.64240646
1999,291,C2,wp,0.819249451,54.9840126
1999,291,C2,wp,0.721146703,55.2689476
1999,291,C3,oak,0.931108415,55.66423035
1999,291,C3,oak,0.890422642,54.58509827
1999,291,C5,rm,0.664167345,53.02770615
1999,291,C5,rm,0.654869378,52.90792084
1999,291,C5,rp,0.414693534,54.45619583
1999,291,C5,rp,0.409224242,52.62578201
1999,291,D4,beech,0.780274987,49.93563461
1999,291,D4,beech,0.789049387,51.0776825
1999,291,D5,oak,1.058424711,54.03427124
1999,291,D5,oak,0.987835824,53.08723831
1999,292,D5,rm,0.582969964,50.80464172
1999,292,D5,rm,0.571198702,51.66450882
1999,292,E1,hem,0.735508442,54.746521
1999,292,E1,hem,0.689764321,54.96860504
1999,292,E1,oak,1.112251282,52.21562576
1999,292,E1,oak,1.057392478,51.93994141
1999,292,E2,birch,1.186313033,53.21675491
1999,292,E2,birch,1.150244713,52.65323639
1999,299,E2,oak,1.046455026,52.36581039
