sample.date,plot,sample.number,tree.tag,spp,N.percent,C.percent,vial.label
1998-08-14,A1,NA,2,rm,1.59,51.2,NA
1998-08-14,A1,NA,2,rm,1.66,51.22,NA
1998-08-14,A1,NA,6,rm,1.54,51.71,NA
1998-08-14,A1,NA,6,rm,1.56,51.65,NA
1998-08-14,A1,NA,11,rm,1.88,51.14,NA
1998-08-14,A1,NA,11,rm,2.01,51.51,NA
1998-08-14,A1,NA,12,rm,1.8356,51.3011,NA
1998-08-14,A1,NA,12,rm,1.8195,51.1693,NA
1998-08-14,A1,NA,18,rm,1.93,50.51,NA
1998-08-14,A1,NA,18,rm,2,50.66,NA
1998-08-27,A3,NA,54,ro,2.32,51.22,NA
1998-08-27,A3,NA,54,ro,2.55,51.61,NA
1998-08-27,A3,NA,57,ro,1.96899,50.15819,NA
1998-08-27,A3,NA,57,ro,1.95468,49.76342,NA
1998-08-27,A3,NA,58,ro,2.2,51.27,NA
1998-08-27,A3,NA,58,ro,2.24,51.09,NA
1998-08-27,A3,NA,60,rm,1.7309,51.15,NA
1998-08-27,A3,NA,60,rm,1.82,52.22,NA
1998-08-27,A3,NA,61,ro,2.19,51.71,NA
1998-08-27,A3,NA,61,ro,2.28,51.88,NA
1998-08-27,A3,NA,66,rm,1.9564,51.607,NA
1998-08-27,A3,NA,66,rm,1.9075,51.4539,NA
1998-08-27,A3,NA,67,rm,1.82962,49.64247,NA
1998-08-27,A3,NA,67,rm,1.70409,49.58495,NA
1998-08-27,A3,NA,69,rm,1.626,51.0434,NA
1998-08-27,A3,NA,69,rm,1.7027,51.2425,NA
1998-08-27,A3,NA,70,ro,1.96,50.77,NA
1998-08-27,A3,NA,70,ro,2.01,51.49,NA
1998-08-16,A5,NA,105,ro,1.91685,50.89974,NA
1998-08-16,A5,NA,105,ro,1.97255,51.39398,NA
1998-08-04,A5,NA,109,ro,2.22,51.31,NA
1998-08-04,A5,NA,109,ro,2.24,51.77,NA
1998-08-16,A5,NA,112,ro,2.01,50.86,NA
1998-08-16,A5,NA,112,ro,2.06,50.85,NA
1998-08-16,A5,NA,132,ro,1.84,50.91,NA
1998-08-16,A5,NA,132,ro,1.85,50.92,NA
1998-08-16,A5,NA,134,ro,2.16,50.63,NA
1998-08-16,A5,NA,134,ro,2.23,50.95,NA
1998-08-16,B2,NA,180,rm,1.77,50.12,NA
1998-08-16,B2,NA,180,rm,1.8,50.58,NA
1998-08-16,B2,NA,185,rm,1.79569,50.237,NA
1998-08-16,B2,NA,185,rm,1.81641,49.64395,NA
1998-08-16,B2,NA,187,rm,1.8,51.58,NA
1998-08-16,B2,NA,187,rm,1.85,51.41,NA
1998-08-16,B2,NA,194,rm,2.2,51.24,NA
1998-08-16,B2,NA,194,rm,2.32,51.5,NA
1998-08-27,B4,NA,251,ro,2.20401,50.78618,NA
1998-08-27,B4,NA,251,ro,2.20052,51.0238,NA
1998-08-16,B4,NA,255,rm,1.57,50.58,NA
1998-08-16,B4,NA,255,rm,1.58,50.42,NA
1998-08-16,B4,NA,257,rm,1.83,51.14,NA
1998-08-16,B4,NA,257,rm,1.87,50.93,NA
NA,B4,NA,258,rm,1.38,50.42,NA
NA,B4,NA,258,rm,1.57,50.38,NA
1998-08-16,B4,NA,259,rm,1.73,50.55,NA
1998-08-16,B4,NA,259,rm,1.82,50.85,NA
1998-08-16,B4,NA,261,rm,1.95,51.38,NA
1998-08-16,B4,NA,261,rm,1.97,51.14,NA
1998-08-13,B4,NA,265,gb,2.46,51.96,NA
1998-08-13,B4,NA,265,gb,2.56,50.98,NA
1998-08-13,B4,NA,266,gb,2.04,49.37,NA
1998-08-13,B4,NA,266,gb,2.07,49.4,NA
1998-08-13,B4,NA,267,gb,2.02,50.78,NA
1998-08-13,B4,NA,267,gb,2.03,51.14,NA
1998-08-13,B4,NA,269,gb,2.04109,50.03328,NA
1998-08-13,B4,NA,269,gb,2.06458,50.44894,NA
1998-08-16,B4,NA,272,rm,1.55,51.23,NA
1998-08-16,B4,NA,272,rm,1.58,51.15,NA
1998-08-13,B4,NA,274,gb,2,49.41,NA
1998-08-13,B4,NA,274,gb,2.12,49.99,NA
1998-08-27,B4,NA,275,ro,2.298506975,51.2455864,NA
1998-08-27,B4,NA,275,ro,2.295606852,51.26248932,NA
1998-08-27,B4,NA,277,ro,2.09785,50.78724,NA
1998-08-27,B4,NA,277,ro,2.2198,51.10209,NA
1998-08-27,B4,NA,280,ro,2.319,50.5604,NA
1998-08-27,B4,NA,280,ro,2.128,50.0765,NA
1998-08-27,C1,NA,353,ro,2.7151,51.4247,NA
1998-08-27,C1,NA,353,ro,2.6602,51.4416,NA
1998-08-27,C1,NA,361,ro,1.912723422,50.26383591,NA
1998-08-27,C1,NA,361,ro,2.012773514,50.35509109,NA
1998-08-27,C1,NA,361,ro,2.244507074,50.73960876,NA
1998-08-27,C1,NA,361,ro,2.291076183,51.03009796,NA
1998-08-27,C1,NA,361,ro,2.175111055,50.64852524,NA
1998-08-27,C1,NA,361,ro,2.213707209,50.83971024,NA
NA,C1,NA,362,ro,2.1,50.92,NA
NA,C1,NA,362,ro,2.28,51.33,NA
1998-08-17,C1,NA,363,ro,2.222109556,51.03382874,NA
1998-08-17,C1,NA,363,ro,2.24,51.61,NA
1998-08-27,C3,NA,404,rm,1.89,50.84,NA
1998-08-27,C3,NA,404,rm,1.89,51.13,NA
1998-08-27,C3,NA,407,rm,1.5708,50.7032,NA
1998-08-27,C3,NA,407,rm,1.6418,50.8163,NA
1998-08-27,C3,NA,410,ash,2.02,48.16,NA
1998-08-27,C3,NA,410,ash,2.04,48.34,NA
1998-08-27,C3,NA,411,rm,1.7758,50.6839,NA
1998-08-27,C3,NA,411,rm,1.8033,50.8328,NA
