year,doy,site,plot,spp,wt-g
1998,266,ems,A1,oak,0
1998,266,ems,A1,w.oak,0
1998,266,ems,A1,r.maple,9.7
1998,266,ems,A1,str.maple,0
1998,266,ems,A1,beech,0
1998,266,ems,A1,birch,0
1998,266,ems,A1,hemlock,0.068
1998,266,ems,A1,spruce,0
1998,266,ems,A1,r.pine,0
1998,266,ems,A1,w.pine,0
1998,266,ems,A1,cherry,0
1998,266,ems,A1,w.hazel,0
1998,266,ems,A1,chestnut,0
1998,266,ems,A1,ash,0
1998,266,ems,A1,unknown,0.11
1998,266,ems,A2,oak,4.76
1998,266,ems,A2,w.oak,0
1998,266,ems,A2,r.maple,3.9
1998,266,ems,A2,str.maple,0
1998,266,ems,A2,beech,1.27
1998,266,ems,A2,birch,0
1998,266,ems,A2,hemlock,0
1998,266,ems,A2,spruce,0
1998,266,ems,A2,r.pine,0
1998,266,ems,A2,w.pine,0
1998,266,ems,A2,cherry,0
1998,266,ems,A2,w.hazel,0
1998,266,ems,A2,chestnut,0
1998,266,ems,A2,ash,0
1998,266,ems,A2,unknown,0
1998,266,ems,A3,oak,0
1998,266,ems,A3,w.oak,0
1998,266,ems,A3,r.maple,2.02
1998,266,ems,A3,str.maple,0
1998,266,ems,A3,beech,0
1998,266,ems,A3,birch,1.38
1998,266,ems,A3,hemlock,0
1998,266,ems,A3,spruce,0
1998,266,ems,A3,r.pine,0
1998,266,ems,A3,w.pine,0
1998,266,ems,A3,cherry,0
1998,266,ems,A3,w.hazel,0
1998,266,ems,A3,chestnut,0
1998,266,ems,A3,ash,0
1998,266,ems,A3,unknown,0
1998,266,ems,A4,oak,0
1998,266,ems,A4,w.oak,0
1998,266,ems,A4,r.maple,1.19
1998,266,ems,A4,str.maple,0
1998,266,ems,A4,beech,4.84
1998,266,ems,A4,birch,0
1998,266,ems,A4,hemlock,0
1998,266,ems,A4,spruce,0
1998,266,ems,A4,r.pine,0
1998,266,ems,A4,w.pine,0
1998,266,ems,A4,cherry,0
1998,266,ems,A4,w.hazel,0
1998,266,ems,A4,chestnut,0
1998,266,ems,A4,ash,0
1998,266,ems,A4,unknown,0
1998,266,ems,A5,oak,0
1998,266,ems,A5,w.oak,0
1998,266,ems,A5,r.maple,3.76
1998,266,ems,A5,str.maple,0
1998,266,ems,A5,beech,0
1998,266,ems,A5,birch,0
1998,266,ems,A5,hemlock,0
1998,266,ems,A5,spruce,0
1998,266,ems,A5,r.pine,0
1998,266,ems,A5,w.pine,0
1998,266,ems,A5,cherry,0
1998,266,ems,A5,w.hazel,0
1998,266,ems,A5,chestnut,0
1998,266,ems,A5,ash,0
1998,266,ems,A5,unknown,0
1998,266,ems,B1,oak,0
1998,266,ems,B1,w.oak,0
1998,266,ems,B1,r.maple,7.59
1998,266,ems,B1,str.maple,0
1998,266,ems,B1,beech,0
1998,266,ems,B1,birch,0.623
1998,266,ems,B1,hemlock,0
1998,266,ems,B1,spruce,0
1998,266,ems,B1,r.pine,0
1998,266,ems,B1,w pine,0
1998,266,ems,B1,cherry,0
1998,266,ems,B1,witch hazel,0
1998,266,ems,B1,chestnut,0
1998,266,ems,B1,ash,0
1998,266,ems,B1,unknown,0
1998,266,ems,B2,oak,0.88
1998,266,ems,B2,w.oak,0
1998,266,ems,B2,r.maple,3.04
1998,266,ems,B2,str.maple,0
1998,266,ems,B2,beech,0
1998,266,ems,B2,birch,1.92
1998,266,ems,B2,hemlock,0
1998,266,ems,B2,spruce,0
1998,266,ems,B2,r.pine,0
1998,266,ems,B2,w.pine,0
1998,266,ems,B2,cherry,0
1998,266,ems,B2,w.hazel,0
1998,266,ems,B2,chestnut,0
1998,266,ems,B2,ash,2.25
1998,266,ems,B2,unknown,0
1998,266,ems,B3,oak,1.36
1998,266,ems,B3,w.oak,0
1998,266,ems,B3,r.maple,1.3
1998,266,ems,B3,str.maple,0
1998,266,ems,B3,beech,0
1998,266,ems,B3,birch,1.48
1998,266,ems,B3,hemlock,0
1998,266,ems,B3,spruce,0
1998,266,ems,B3,r.pine,0
1998,266,ems,B3,w.pine,0
1998,266,ems,B3,cherry,0
1998,266,ems,B3,w.hazel,0
1998,266,ems,B3,chestnut,0
1998,266,ems,B3,ash,0
1998,266,ems,B3,unknown,0
1998,266,ems,B4,oak,2.77
1998,266,ems,B4,w.oak,0
1998,266,ems,B4,r.maple,0
1998,266,ems,B4,str.maple,0
1998,266,ems,B4,beech,0
1998,266,ems,B4,birch,1.65
1998,266,ems,B4,hemlock,0
1998,266,ems,B4,spruce,0
1998,266,ems,B4,r.pine,0
1998,266,ems,B4,w.pine,0
1998,266,ems,B4,cherry,0
1998,266,ems,B4,w.hazel,0
1998,266,ems,B4,chestnut,0
1998,266,ems,B4,ash,0
1998,266,ems,B4,unknown,0
1998,266,ems,B5,oak,0
1998,266,ems,B5,w.oak,0
1998,266,ems,B5,r.maple,2.46
1998,266,ems,B5,str.maple,0
1998,266,ems,B5,beech,0
1998,266,ems,B5,birch,0
1998,266,ems,B5,hemlock,0
1998,266,ems,B5,spruce,0
1998,266,ems,B5,r.pine,0
1998,266,ems,B5,w.pine,0
1998,266,ems,B5,cherry,0
1998,266,ems,B5,w.hazel,0
1998,266,ems,B5,chestnut,0
1998,266,ems,B5,ash,0
1998,266,ems,B5,unknown,0
1998,266,ems,C1,oak,2.92
1998,266,ems,C1,w.oak,0
1998,266,ems,C1,r.maple,0.59
1998,266,ems,C1,str.maple,0
1998,266,ems,C1,beech,0
1998,266,ems,C1,birch,0
1998,266,ems,C1,hemlock,0
1998,266,ems,C1,spruce,0
1998,266,ems,C1,r.pine,0
1998,266,ems,C1,w.pine,0
1998,266,ems,C1,cherry,0
1998,266,ems,C1,w.hazel,0
1998,266,ems,C1,chestnut,0
1998,266,ems,C1,ash,0
1998,266,ems,C1,unknown,0.254
1998,266,ems,C2,oak,2.53
1998,266,ems,C2,w.oak,0
1998,266,ems,C2,r.maple,0.733
1998,266,ems,C2,str.maple,0
1998,266,ems,C2,beech,0
1998,266,ems,C2,birch,0.24
1998,266,ems,C2,hemlock,0
1998,266,ems,C2,spruce,0
1998,266,ems,C2,r.pine,0
1998,266,ems,C2,w.pine,0.16
1998,266,ems,C2,cherry,0
1998,266,ems,C2,w.hazel,0
1998,266,ems,C2,chestnut,0
1998,266,ems,C2,ash,0
1998,266,ems,C2,unknown,0
1998,266,ems,C3,oak,0.462
1998,266,ems,C3,w.oak,0
1998,266,ems,C3,r.maple,5.98
1998,266,ems,C3,str.maple,0
1998,266,ems,C3,beech,0
1998,266,ems,C3,birch,1.2
1998,266,ems,C3,hemlock,0
1998,266,ems,C3,spruce,0
1998,266,ems,C3,r.pine,0
1998,266,ems,C3,w.pine,0.206
1998,266,ems,C3,cherry,0
1998,266,ems,C3,w.hazel,0
1998,266,ems,C3,chestnut,0
1998,266,ems,C3,ash,0.81
1998,266,ems,C3,unknown,0.118
1998,266,ems,C4,oak,0
1998,266,ems,C4,w.oak,0
1998,266,ems,C4,r.maple,1.8
1998,266,ems,C4,str.maple,0
1998,266,ems,C4,beech,2.14
1998,266,ems,C4,birch,0
1998,266,ems,C4,hemlock,0
1998,266,ems,C4,spruce,0
1998,266,ems,C4,r.pine,0
1998,266,ems,C4,w.pine,0
1998,266,ems,C4,cherry,0
1998,266,ems,C4,w.hazel,0
1998,266,ems,C4,chestnut,0
1998,266,ems,C4,ash,0
1998,266,ems,C4,unknown,0
1998,266,ems,C5,oak,0
1998,266,ems,C5,w.oak,0
1998,266,ems,C5,r.maple,6.68
1998,266,ems,C5,str.maple,0.1
1998,266,ems,C5,beech,0
1998,266,ems,C5,birch,3.13
1998,266,ems,C5,hemlock,0
1998,266,ems,C5,spruce,0
1998,266,ems,C5,r.pine,0
1998,266,ems,C5,w.pine,0
1998,266,ems,C5,cherry,0
1998,266,ems,C5,w.hazel,0
1998,266,ems,C5,chestnut,0
1998,266,ems,C5,ash,0
1998,266,ems,C5,unknown,0
1998,266,ems,D1,oak,1.9
1998,266,ems,D1,w.oak,0
1998,266,ems,D1,r.maple,9.2
1998,266,ems,D1,str.maple,0
