spp,tag,plot,skid.1.yes.0.no,cut.1.heavy.0.light,upland.1.lowland.0,end.doy.yr,start.weight.g,end.weight.g
oak,11,A5,1,1,NA,183.02,2.62,2.18
oak,13,A5,1,1,NA,183.02,3.02,2.54
maple,14,A5,1,1,NA,114.06,3.03,NA
maple,15,A5,1,1,NA,183.02,3,1.68
maple,17,A5,1,1,NA,204.03,3.1,0.888
oak,25,A5,1,1,NA,99.02,3,2.819
beech,28,A5,1,1,NA,204.03,3.03,2.065
oak,28,A5,1,1,NA,114.06,2.94,NA
oak,30,A5,1,1,NA,204.03,3.05,1.765
beech,32,A5,1,1,NA,104.03,3.02,1.943
oak,32,A5,1,1,NA,104.03,3.03,1.777
oak,34,A5,1,1,NA,114.06,3.05,NA
oak,36,A5,1,1,NA,99.02,3.04,2.839
beech,39,A5,1,1,NA,114.06,2.99,NA
oak,42,A5,1,1,NA,204.03,2.98,1.482
beech,48,A5,1,1,NA,99.02,3.09,2.889
beech,49,A5,1,1,NA,204.03,3.1,2.03
beech,55,A5,1,1,NA,114.06,3.04,NA
beech,63,A5,1,1,NA,183.02,3.08,2.63
beech,69,A5,1,1,NA,104.03,3.07,1.942
maple,70,A5,1,1,NA,99.02,3.06,2.119
maple,71,A5,1,1,NA,114.06,3.04,NA
maple,72,A5,1,1,NA,99.02,3,2.156
beech,72,A5,1,1,NA,183.02,3.05,2.55
beech,73,A5,1,1,NA,99.02,3.04,2.739
maple,73,A5,1,1,NA,104.03,2.98,1.232
maple,74,A5,1,1,NA,204.03,2.97,1.169
oak,75,A5,1,1,NA,104.03,3.09,1.657
maple,76,A5,1,1,NA,183.02,3.08,1.7
maple,79,A5,1,1,NA,104.03,3.08,1.178
beech,3,B3,NA,NA,1,99.02,3.02,2.679
maple,3,B3,NA,NA,0,204.03,3.09,1.342
maple,4,B3,NA,NA,0,183.02,3.13,1.59
maple,7,B3,NA,NA,0,99.02,3.03,1.949
beech,7,B3,NA,NA,1,104.03,3.04,2.178
beech,8,B3,NA,NA,1,114.06,3.05,NA
beech,9,B3,NA,NA,0,204.03,3.03,2.056
maple,10,B3,NA,NA,1,183.02,3.06,1.61
beech,11,B3,NA,NA,0,183.02,3.05,2.63
beech,13,B3,NA,NA,0,99.02,3.04,2.786
beech,14,B3,NA,NA,0,99.02,3.05,2.789
beech,17,B3,NA,NA,0,204.03,3.03,1.653
maple,18,B3,NA,NA,0,204.03,3.06,1.228
beech,19,B3,NA,NA,0,183.02,3.05,2.72
maple,20,B3,NA,NA,0,99.02,3.02,1.88
beech,20,B3,NA,NA,1,183.02,3.07,2.77
maple,21,B3,NA,NA,1,99.02,3.04,1.869
beech,21,B3,NA,NA,0,NA,3.04,NA
beech,22,B3,NA,NA,0,104.03,2.99,1.657
beech,25,B3,NA,NA,1,183.02,3.05,2.6
beech,27,B3,NA,NA,1,204.03,3.06,1.418
maple,29,B3,NA,NA,1,183.02,3.13,NA
beech,30,B3,NA,NA,0,NA,3.08,NA
beech,31,B3,NA,NA,1,114.06,3.04,NA
beech,33,B3,NA,NA,1,104.03,3.03,2.243
beech,36,B3,NA,NA,0,104.03,3.08,1.864
oak,38,B3,NA,NA,0,104.03,3.03,1.893
beech,38,B3,NA,NA,1,204.03,3.07,2.079
oak,43,B3,NA,NA,0,NA,2.96,NA
oak,47,B3,NA,NA,1,114.06,3.06,NA
oak,48,B3,NA,NA,1,104.03,2.92,1.646
maple,51,B3,NA,NA,1,99.02,3.05,1.839
maple,53,B3,NA,NA,1,104.03,3.05,1.033
maple,54,B3,NA,NA,0,104.03,3.08,1.313
maple,56,B3,NA,NA,1,204.03,3.07,1.31
oak,57,B3,NA,NA,0,104.03,3.05,1.269
maple,57,B3,NA,NA,1,104.03,3.02,1.665
maple,58,B3,NA,NA,1,114.06,3.04,NA
oak,59,B3,NA,NA,1,99.02,3.05,2.629
maple,59,B3,NA,NA,1,114.06,3.04,NA
oak,60,B3,NA,NA,0,183.02,3.11,2.56
oak,61,B3,NA,NA,1,204.03,3.04,1.606
oak,62,B3,NA,NA,1,204.03,3.07,1.723
oak,63,B3,NA,NA,1,104.03,3.03,1.349
maple,64,B3,NA,NA,1,204.03,3.06,0.967
oak,64,B3,NA,NA,1,114.06,3.02,NA
beech,65,B3,NA,NA,1,99.02,3.06,2.789
oak,65,B3,NA,NA,1,183.02,3.06,2.49
maple,65,B3,NA,NA,0,NA,3.04,NA
maple,66,B3,NA,NA,0,NA,3.04,NA
oak,66,B3,NA,NA,0,NA,3.09,NA
maple,69,B3,NA,NA,0,183.02,2.98,1.59
oak,69,B3,NA,NA,0,183.02,3.01,2.31
oak,70,B3,NA,NA,1,99.02,3,2.529
oak,71,B3,NA,NA,0,204.03,3.06,1.398
oak,73,B3,NA,NA,1,183.02,3.04,2.46
oak,74,B3,NA,NA,0,99.02,3.02,3.569
maple,75,B3,NA,NA,0,104.03,3.03,1.129
oak,76,B3,NA,NA,0,99.02,3.05,2.709
oak,78,B3,NA,NA,0,204.03,2.99,0.995
oak,2,B5,1,1,NA,99.02,2.98,2.589
maple,2,B5,0,0,NA,183.02,3.12,1.53
beech,2,B5,1,1,NA,204.03,3.03,2.299
maple,5,B5,0,0,NA,104.03,3.02,1.225
maple,6,B5,1,1,NA,NA,3.06,NA
oak,9,B5,1,1,NA,183.02,3.02,2.43
maple,9,B5,1,1,NA,204.03,3.06,1.209
oak,10,B5,1,1,NA,104.03,3.17,1.578
beech,10,B5,0,0,NA,104.03,3.06,2.257
oak,12,B5,1,1,NA,104.03,3.04,1.688
beech,12,B5,0,0,NA,204.03,3.05,1.994
maple,13,B5,1,1,NA,NA,3.02,NA
oak,15,B5,1,1,NA,99.02,3.16,2.882
beech,15,B5,0,0,NA,183.02,3.05,2.81
beech,16,B5,0,0,NA,183.02,3.04,2.59
beech,18,B5,0,0,NA,99.02,3.04,2.819
maple,23,B5,1,1,NA,204.03,3.02,0.787
beech,24,B5,0,0,NA,99.02,3.08,3.188
oak,24,B5,1,1,NA,204.03,2.93,1.628
maple,25,B5,0,0,NA,183.02,3.06,1.62
maple,26,B5,1,1,NA,99.02,3.02,1.969
beech,26,B5,1,1,NA,NA,3.03,NA
maple,28,B5,1,1,NA,104.03,3.03,1.373
beech,29,B5,0,0,NA,204.03,3.08,1.768
oak,29,B5,0,0,NA,114.06,2.98,NA
maple,30,B5,1,1,NA,183.02,3.1,1.86
maple,32,B5,1,1,NA,183.02,3.02,1.95
maple,34,B5,1,1,NA,183.02,3.04,2.07
beech,34,B5,0,0,NA,114.06,3.07,NA
beech,35,B5,0,0,NA,104.03,3.06,2.273
maple,37,B5,1,1,NA,104.03,3.03,1.404
beech,37,B5,0,0,NA,114.06,3.07,NA
oak,37,B5,1,1,NA,NA,3,NA
maple,38,B5,1,1,NA,204.03,3.1,0.933
oak,39,B5,0,0,NA,99.02,3.05,2.739
oak,41,B5,0,0,NA,204.03,3.01,1.755
oak,44,B5,0,0,NA,183.02,2.97,2.41
oak,45,B5,0,0,NA,104.03,3.07,1.777
oak,49,B5,0,0,NA,99.02,3.05,2.759
beech,51,B5,1,1,NA,204.03,3.02,2.158
maple,52,B5,0,0,NA,99.02,3.04,1.939
oak,53,B5,1,1,NA,99.02,3.06,2.739
maple,55,B5,0,0,NA,104.03,3.04,1.318
beech,56,B5,1,1,NA,104.03,3.03,2.092
oak,56,B5,0,0,NA,114.06,3.02,NA
oak,58,B5,1,1,NA,204.03,3.02,1.031
beech,59,B5,1,1,NA,99.02,3.03,2.729
maple,60,B5,0,0,NA,204.03,3.05,0.926
maple,61,B5,0,0,NA,99.02,3.06,1.956
beech,67,B5,1,1,NA,183.02,3.07,2.6
oak,67,B5,0,0,NA,204.03,3.01,1.467
beech,68,B5,1,1,NA,99.02,3.02,2.769
oak,68,B5,0,0,NA,104.03,3.01,1.657
maple,68,B5,0,0,NA,114.06,3.04,NA
oak,72,B5,0,0,NA,183.02,3.06,2.41
beech,78,B5,1,1,NA,183.02,3.03,2.54
maple,78,B5,0,0,NA,114.06,2.97,NA
beech,79,B5,1,1,NA,104.03,3.02,2.004
oak,80,B5,1,1,NA,NA,3.04,NA
oak,1,X2,0,0,NA,183.02,3.09,2.35
oak,3,X2,NA,NA,NA,114.06,2.92,NA
beech,4,X2,1,0,NA,183.02,3.06,2.44
oak,4,X2,0,0,NA,183.02,3.11,2.63
oak,5,X2,0,0,NA,204.03,3.07,1.268
oak,6,X2,0,0,NA,104.03,3.04,2.01
oak,7,X2,1,0,NA,204.03,3.09,1.379
oak,8,X2,0,0,NA,204.03,3.13,1.538
oak,16,X2,1,0,NA,183.02,2.94,2.52
oak,17,X2,NA,NA,NA,114.06,3.15,NA
oak,18,X2,1,0,NA,99.02,2.97,2.499
maple,19,X2,0,0,NA,99.02,3.02,2.039
oak,19,X2,1,0,NA,104.03,3.15,1.979
oak,20,X2,0,0,NA,99.02,2.95,2.653
oak,21,X2,1,0,NA,183.02,3.1,2.61
oak,23,X2,1,0,NA,99.02,2.85,2.619
maple,24,X2,0,0,NA,183.02,3.06,1.7
oak,26,X2,0,0,NA,104.03,2.92,1.736
maple,27,X2,0,0,NA,204.03,3.1,0.867
oak,31,X2,0,0,NA,99.02,3.04,2.529
maple,31,X2,NA,NA,NA,114.06,3.1,NA
maple,33,X2,1,0,NA,99.02,3.02,2.092
maple,35,X2,NA,NA,NA,114.06,3.1,NA
oak,35,X2,1,0,NA,NA,3.03,NA
maple,36,X2,1,0,NA,204.03,3.03,1.446
maple,39,X2,0,0,NA,104.03,3.07,1.527
maple,40,X2,1,0,NA,183.02,3.06,1.93
maple,41,X2,0,0,NA,204.03,3.02,1.318
beech,41,X2,1,0,NA,NA,3,NA
maple,42,X2,1,0,NA,NA,3.05,NA
beech,43,X2,1,0,NA,183.02,2.93,2.41
maple,43,X2,0,0,NA,104.03,3.01,1.538
maple,44,X2,0,0,NA,183.02,3.06,2.07
beech,44,X2,1,0,NA,104.03,2.93,2.061
maple,45,X2,0,0,NA,99.02,3.03,2.319
beech,45,X2,0,0,NA,183.02,3.07,2.57
beech,46,X2,1,0,NA,104.03,3.1,2.12
maple,46,X2,1,0,NA,104.03,3.05,1.405
beech,47,X2,1,0,NA,99.02,3.11,2.759
maple,47,X2,1,0,NA,NA,3.05,NA
maple,48,X2,1,0,NA,99.02,3.07,2.089
maple,49,X2,1,0,NA,204.03,3.07,1.118
beech,50,X2,0,0,NA,99.02,3.03,2.786
oak,50,X2,1,0,NA,204.03,3.08,1.503
oak,51,X2,1,0,NA,104.03,3.02,1.642
beech,52,X2,1,0,NA,204.03,3.03,1.876
oak,52,X2,1,0,NA,NA,3.03,NA
beech,53,X2,1,0,NA,204.03,3.07,1.724
beech,54,X2,NA,NA,NA,114.06,3.07,NA
beech,60,X2,0,0,NA,99.02,3.01,2.519
beech,61,X2,0,0,NA,204.03,3.06,1.14
maple,62,X2,1,0,NA,104.03,3.05,1.167
beech,66,X2,0,0,NA,104.03,3.03,1.996
maple,67,X2,1,0,NA,183.02,3.05,1.51
beech,70,X2,0,0,NA,204.03,3.04,1.976
beech,74,X2,0,0,NA,183.02,3.07,2.58
beech,75,X2,1,0,NA,NA,3.07,NA
beech,76,X2,0,0,NA,104.03,3.04,1.973
beech,77,X2,1,0,NA,99.02,3.04,2.829
beech,80,X2,NA,NA,NA,114.06,3.01,NA
beech,1,X1,1,1,NA,104.03,3.07,2.778
maple,1,X1,1,1,NA,104.03,3.06,1.764
beech,5,X1,1,1,NA,114.06,3.03,NA
beech,6,X1,1,1,NA,183.02,3.04,2.83
maple,8,X1,1,1,NA,NA,3.04,NA
maple,11,X1,1,1,NA,114.06,3.07,NA
maple,12,X1,1,1,NA,183.02,3.04,1.92
oak,14,X1,1,1,NA,99.02,3.11,2.859
maple,16,X1,1,1,NA,NA,3.11,NA
oak,22,X1,1,1,NA,99.02,2.97,2.839
maple,22,X1,1,1,NA,114.06,3.03,NA
beech,23,X1,1,1,NA,NA,3.07,NA
oak,27,X1,1,1,NA,183.02,3.05,2.75
oak,33,X1,1,1,NA,204.03,3.03,2.94
oak,40,X1,1,1,NA,NA,3.12,NA
beech,42,X1,1,1,NA,NA,2.98,NA
oak,46,X1,1,1,NA,114.06,3,NA
maple,50,X1,1,1,NA,183.02,3.09,1.92
oak,54,X1,1,1,NA,NA,3.04,NA
oak,55,X1,1,1,NA,NA,3.11,NA
beech,57,X1,1,1,NA,183.02,3.01,2.82
beech,58,X1,1,1,NA,NA,3.04,NA
beech,62,X1,1,1,NA,99.02,3.02,2.839
maple,63,X1,1,1,NA,99.02,3.05,1.919
beech,64,X1,1,1,NA,99.02,3.05,2.879
beech,71,X1,1,1,NA,114.06,3.08,NA
maple,77,X1,1,1,NA,99.02,2.99,2.079
oak,77,X1,1,1,NA,114.06,3.06,NA
oak,79,X1,1,1,NA,183.02,3.06,2.76
maple,80,X1,1,1,NA,NA,3.12,NA
beech,40,NA,NA,NA,NA,NA,2.94,NA
