date,plot.probe,Ka,WC
1999-09-23,B3.1,NA,NA
1999-09-23,B3.2,NA,NA
1999-09-23,B4.3,NA,NA
1999-09-23,B4.4,NA,NA
1999-09-23,C3.5,NA,NA
1999-09-23,C3.6,NA,NA
1999-09-23,D5.7,NA,NA
1999-09-23,D5.8,NA,NA
1999-09-23,E3.9,NA,NA
1999-09-23,E3.10,NA,NA
1999-09-23,G5.11,NA,NA
1999-09-23,G5.12,NA,NA
1999-09-23,A4.13,16.89,0.3
1999-09-23,A4.14,13.97,0.26
1999-09-23,A5.15,14.42,0.27
1999-09-23,A5.16,NA,NA
1999-09-23,B5.17,13.58,0.25
1999-09-23,B5.18,13.08,0.24
1999-09-23,X5.19,12.82,0.24
1999-09-23,X5.20,15.02,0.28
1999-09-23,X6.21,11.62,0.22
1999-09-23,X6.22,10.6,0.2
1999-09-23,X2.23,13.81,0.26
1999-09-23,X2.24,15.51,0.28
1999-09-23,X4.25,20.88,0.36
1999-09-23,X4.26,17.41,0.31
1999-09-23,X1.27,19.24,0.34
1999-09-23,X1.28,14.72,0.27
1999-09-23,X3.29,19.46,0.34
1999-09-23,X3.30,9.79,0.18
1999-10-06,B3.1,NA,NA
1999-10-06,B3.2,NA,NA
1999-10-06,B4.3,NA,NA
1999-10-06,B4.4,NA,NA
1999-10-06,C3.5,NA,NA
1999-10-06,C3.6,NA,NA
1999-10-06,D5.7,NA,NA
1999-10-06,D5.8,NA,NA
1999-10-06,E3.9,NA,NA
1999-10-06,E3.10,NA,NA
1999-10-06,G5.11,NA,NA
1999-10-06,G5.12,NA,NA
1999-10-06,A4.13,16.18,0.29
1999-10-06,A4.14,13.78,0.26
1999-10-06,A5.15,13.12,0.25
1999-10-06,A5.16,NA,NA
1999-10-06,B5.17,12.68,0.24
1999-10-06,B5.18,12.43,0.23
1999-10-06,X5.19,13.08,0.24
1999-10-06,X5.20,14.38,0.27
1999-10-06,X6.21,11.07,0.21
1999-10-06,X6.22,12.25,0.23
1999-10-06,X2.23,13.63,0.25
1999-10-06,X2.24,14.55,0.27
1999-10-06,X4.25,18.92,0.33
1999-10-06,X4.26,NA,NA
1999-10-06,X1.27,17.71,0.32
1999-10-06,X1.28,12.48,0.23
1999-10-06,X3.29,18.4,0.32
1999-10-06,X3.30,9.98,0.19
1999-10-13,B3.1,NA,NA
1999-10-13,B3.2,NA,NA
1999-10-13,B4.3,NA,NA
1999-10-13,B4.4,NA,NA
1999-10-13,C3.5,NA,NA
1999-10-13,C3.6,NA,NA
1999-10-13,D5.7,NA,NA
1999-10-13,D5.8,NA,NA
1999-10-13,E3.9,NA,NA
1999-10-13,E3.10,NA,NA
1999-10-13,G5.11,NA,NA
1999-10-13,G5.12,NA,NA
1999-10-13,A4.13,15.42,0.28
1999-10-13,A4.14,13.11,0.24
1999-10-13,A5.15,12.1,0.23
1999-10-13,A5.16,12.62,0.24
1999-10-13,B5.17,12.29,0.23
1999-10-13,B5.18,11.92,0.22
1999-10-13,X5.19,13,0.24
1999-10-13,X5.20,13.98,0.26
1999-10-13,X6.21,10.66,0.2
1999-10-13,X6.22,11.86,0.22
1999-10-13,X2.23,12.35,0.23
1999-10-13,X2.24,13.63,0.25
1999-10-13,X4.25,18.27,0.32
1999-10-13,X4.26,15.4,0.28
1999-10-13,X1.27,16.62,0.3
1999-10-13,X1.28,11.87,0.22
1999-10-13,X3.29,19.24,0.34
1999-10-13,X3.30,8.92,0.17
1999-10-29,B3.1,NA,NA
1999-10-29,B3.2,NA,NA
1999-10-29,B4.3,NA,NA
1999-10-29,B4.4,NA,NA
1999-10-29,C3.5,NA,NA
1999-10-29,C3.6,NA,NA
1999-10-29,D5.7,NA,NA
1999-10-29,D5.8,NA,NA
1999-10-29,E3.9,NA,NA
1999-10-29,E3.10,NA,NA
1999-10-29,G5.11,NA,NA
1999-10-29,G5.12,NA,NA
1999-10-29,A4.13,15.21,0.28
1999-10-29,A4.14,13.37,0.25
1999-10-29,A5.15,11.93,0.22
1999-10-29,A5.16,13.66,0.25
1999-10-29,B5.17,12.03,0.23
1999-10-29,B5.18,11.62,0.22
1999-10-29,X5.19,13,0.24
1999-10-29,X5.20,13.79,0.26
1999-10-29,X6.21,10.46,0.2
1999-10-29,X6.22,11.79,0.22
1999-10-29,X2.23,12.21,0.23
1999-10-29,X2.24,12.91,0.24
1999-10-29,X4.25,18.91,0.33
1999-10-29,X4.26,15.36,0.28
1999-10-29,X1.27,17.83,0.32
1999-10-29,X1.28,12.2,0.23
1999-10-29,X3.29,19.19,0.34
1999-10-29,X3.30,8.63,0.16
1999-11-10,B3.1,NA,NA
1999-11-10,B3.2,NA,NA
1999-11-10,B4.3,NA,NA
1999-11-10,B4.4,NA,NA
1999-11-10,C3.5,NA,NA
1999-11-10,C3.6,NA,NA
1999-11-10,D5.7,NA,NA
1999-11-10,D5.8,NA,NA
1999-11-10,E3.9,NA,NA
1999-11-10,E3.10,NA,NA
1999-11-10,G5.11,NA,NA
1999-11-10,G5.12,NA,NA
1999-11-10,A4.13,14.69,0.27
1999-11-10,A4.14,13.76,0.26
1999-11-10,A5.15,12.04,0.23
1999-11-10,A5.16,13.13,0.25
1999-11-10,B5.17,12.09,0.23
1999-11-10,B5.18,11.37,0.21
1999-11-10,X5.19,12.39,0.23
1999-11-10,X5.20,NA,NA
1999-11-10,X6.21,8.49,0.16
1999-11-10,X6.22,11.31,0.21
1999-11-10,X2.23,12.12,0.23
1999-11-10,X2.24,12.51,0.23
1999-11-10,X4.25,18.76,0.33
1999-11-10,X4.26,14.73,0.27
1999-11-10,X1.27,18.49,0.33
1999-11-10,X1.28,12.54,0.24
1999-11-10,X3.29,19.23,0.34
1999-11-10,X3.30,8.28,0.15
1999-11-23,B3.1,NA,NA
1999-11-23,B3.2,NA,NA
1999-11-23,B4.3,NA,NA
1999-11-23,B4.4,NA,NA
1999-11-23,C3.5,NA,NA
1999-11-23,C3.6,NA,NA
1999-11-23,D5.7,NA,NA
1999-11-23,D5.8,NA,NA
1999-11-23,E3.9,NA,NA
1999-11-23,E3.10,NA,NA
1999-11-23,G5.11,NA,NA
1999-11-23,G5.12,NA,NA
1999-11-23,A4.13,15.18,0.28
1999-11-23,A4.14,13.73,0.26
1999-11-23,A5.15,12.34,0.23
1999-11-23,A5.16,NA,NA
1999-11-23,B5.17,11.93,0.22
1999-11-23,B5.18,11.43,0.22
1999-11-23,X5.19,12.53,0.23
1999-11-23,X5.20,15.21,0.28
1999-11-23,X6.21,8.76,0.16
1999-11-23,X6.22,11.07,0.21
1999-11-23,X2.23,11.91,0.22
1999-11-23,X2.24,12.73,0.24
1999-11-23,X4.25,18.24,0.32
1999-11-23,X4.26,14.94,0.27
1999-11-23,X1.27,18.56,0.33
1999-11-23,X1.28,13.09,0.24
1999-11-23,X3.29,19.35,0.34
1999-11-23,X3.30,NA,NA
2000-04-06,B3.1,NA,NA
2000-04-06,B3.2,NA,NA
2000-04-06,B4.3,NA,NA
2000-04-06,B4.4,NA,NA
2000-04-06,C3.5,NA,NA
2000-04-06,C3.6,NA,NA
2000-04-06,D5.7,NA,NA
2000-04-06,D5.8,NA,NA
2000-04-06,E3.9,NA,NA
2000-04-06,E3.10,NA,NA
2000-04-06,G5.11,NA,NA
