date,jday,time,plot,collar,range.min,range.max,x.cutoff,mean.slope,stdev.slope,N.pts,flag.stdev,Tair,Tsoil,collar.height.m,flux
1998-06-25,176,1140,B3,1,391.31,534.73,223.8,0.52,0.01,12,0,26.1,17.1,0.16,3.26
1998-06-25,176,1145,B3,2,424.17,635.8,223.22,0.74,0.02,12,0,25.2,18.4,0.16,4.79
1998-06-25,176,1150,B3,3,395.9,608.14,228.85,0.89,0.04,11,0,25,17.7,0.15,5.29
1998-06-25,176,1155,B3,4,404.15,734.78,213.29,1.09,0.05,12,0,25.2,17.2,0.15,6.58
1998-06-25,176,1352,B3,5,354.41,689.97,238.12,1.14,0.01,7,0,26.2,16.7,0.16,7.11
1998-06-25,176,1048,B4,6,280.4,562.88,101.42,0.72,0.03,35,0,26.3,17.1,0.18,5.05
1998-06-25,176,1053,B4,7,376.87,540.57,182.18,0.81,0.03,21,0,26,18.5,0.17,5.55
1998-06-25,176,1058,B4,8,380.62,529.01,198.4,0.43,0.02,17,0,26.5,17.4,0.17,2.97
1998-06-25,176,1103,B4,9,393.47,578.57,213.29,1.09,0.03,14,0,26.8,17.4,0.15,6.66
1998-06-25,176,1108,B4,10,376.17,545.4,233.15,0.94,0.06,10,0,27.9,17.6,0.16,5.94
1998-06-25,176,1409,C3,11,358.64,603.06,107.05,0.77,0.07,35,0,25.6,17.1,0.15,4.65
1998-06-25,176,1414,C3,12,378.74,624.13,312.09,NA,NA,0,NA,25.3,16.6,0.14,NA
1998-06-25,176,1419,C3,13,371.46,583.12,228.85,0.58,0.02,14,0,25.9,14.1,0.17,3.81
1998-06-25,176,1424,C3,14,362.32,544.03,241.84,0.61,0.01,8,0,26.2,16.3,0.16,3.93
1998-06-25,176,1429,C3,15,372.32,519.4,122.52,0.55,0.02,32,0,25.9,17.8,0.16,3.45
1998-06-25,176,1000,D5,16,343.32,510.54,182.18,0.67,0.03,21,0,24.4,17.2,0.16,4.17
1998-06-25,176,1005,D5,17,388.13,493.03,152.97,0.5,0.02,27,0,24.2,17.8,0.15,3.03
1998-06-25,176,1010,D5,18,373.69,509.98,192.77,0.66,0.02,18,0,24.8,17.3,0.15,4
1998-06-25,176,1015,D5,19,375.34,567.07,152.97,0.81,0.05,27,0,25.7,17.2,0.16,5.21
1998-06-25,176,1020,D5,20,378.83,533.68,151.73,0.72,0.04,26,0,25.6,19.7,0.16,4.46
