year,site,Plot,tag,log,log.snag,whole.tree.snag,stump,spp,length.m,baseD,midD,DBH,topD,decay,bark,ground,phys.char,biol.char
1999,harv,A4,629,0,0,1,0,ro,17.3,10.25,NA,9.5,NA,1,95,NA,2345,NA
1999,harv,A4,630,1,0,0,0,ro,4.6,10.25,7.5,NA,6.5,4,15,NA,567,2
1999,harv,A4,633,1,0,0,0,ro,1.57,16.7,14.25,NA,14,3,0,NA,6,2
1999,harv,A4,634,1,0,0,0,wb,7.5,38.25,30,NA,22,4,40,NA,567,1257
1999,harv,A4,635,1,0,0,0,birch,1.4,4.5,8,NA,5.2,4,0,NA,678,7
1999,harv,A4,636,0,1,0,0,rm,5.9,9,6.5,7,5.25,2,95,NA,35,237
1999,harv,A5,102,0,1,0,0,wb,1.5,18.75,NA,15,15,4,95,NA,567,12
1999,harv,A5,103,0,1,0,0,wb,4.35,16.5,NA,14.4,12,3,40,NA,56,267
1999,harv,A5,104,0,1,0,0,wb,15.85,20,NA,17.8,8,3,95,NA,56,7
1999,harv,A5,117,0,1,0,0,wb,21.7,19.8,NA,16.4,7,2,100,NA,5,2
1999,harv,A5,124,1,0,0,0,wb,8.3,17.6,17.25,NA,10.25,3,85,NA,5,NA
1999,harv,A5,128,0,1,0,0,wb,22.1,17.1,NA,18.8,8,2,100,NA,5,37
1999,harv,A5,129,0,1,0,0,wb,23.3,22.2,NA,17.5,6,3,100,NA,5,37
1999,harv,A5,130,0,1,0,0,wb,17.05,16.6,NA,14.5,6,2,100,NA,5,37
1999,harv,A5,637,1,0,0,0,wb,9.5,12,9.75,NA,5.75,2,95,NA,5,4
1999,harv,A5,638,0,0,0,1,wb,0.54,20.25,NA,NA,NA,4,95,NA,578,23
1999,harv,A5,639,0,0,0,1,wb,0.6,19.5,NA,NA,NA,4,90,NA,578,23
1999,harv,A5,640,1,0,0,0,wb,9.6,12,13.5,NA,10.75,3,85,NA,5,267
1999,harv,A5,641,1,0,0,0,wb,5.6,17.25,16.5,NA,14.25,3,85,NA,5,267
1999,harv,A5,642,1,0,0,0,wb,0.98,10,10.75,NA,8.2,4,75,NA,5678,7
1999,harv,A5,643,1,0,0,0,wb,0.38,8.2,8.7,NA,7.2,4,80,NA,5678,7
1999,harv,A5,644,1,0,0,0,wb,1.2,8,8,NA,8.5,4,80,NA,5678,7
1999,harv,A5,645,0,0,0,1,wb,0.23,8,NA,NA,NA,4,60,NA,5678,NA
1999,harv,A5,646,1,0,0,0,wb,2.65,7.75,8.5,NA,5.2,5,80,NA,5678,NA
1999,harv,A5,647,1,0,0,0,ro,11.2,11.5,7.25,NA,5.2,3,1,NA,6,NA
1999,harv,A5,648,1,0,0,0,wb,1.7,9.25,6.5,NA,6.6,3,80,NA,56,23
1999,harv,A5,649,1,0,0,0,wb,3.87,11.75,10.5,NA,9.5,4,90,NA,567,12
1999,harv,A5,650,1,0,0,0,wb,1.5,9.5,10.75,NA,4.5,5,85,NA,5678,127
1999,harv,A5,651,1,0,0,0,wb,0.45,11.5,10.25,NA,9,5,75,NA,5678,12
1999,harv,A5,652,1,0,0,0,wb,3.03,13.5,14.25,NA,11.5,4,85,NA,567,12
1999,harv,A5,653,1,0,0,0,wb,1.55,11.5,11.5,NA,14,3,40,NA,5,67
1999,harv,A5,654,1,0,0,0,wb,4.09,11,9.5,NA,7.6,3,20,NA,5,6
1999,harv,A5,655,1,0,0,0,ro,9.9,10.9,7.75,NA,3,2,15,NA,35,26
1999,harv,A5,656,1,0,0,0,ro,5.75,12.6,8.1,NA,5.75,3,0,NA,NA,NA
1999,harv,A5,657,1,0,0,0,wb,4.5,7.75,5.5,NA,2,2,5,NA,NA,3
1999,harv,A5,658,0,1,0,0,wb,12.5,11.5,NA,9.5,4,2,100,NA,5,27
1999,harv,A5,660,1,0,0,0,wb,0.8,13.6,12.5,NA,12.75,4,100,NA,567,12
1999,harv,A5,661,1,0,0,0,wb,7.8,16.5,12.25,NA,10.25,3,95,NA,567,2
1999,harv,A5,662,1,0,0,0,wb,5.25,12.5,7.6,NA,4.6,3,5,NA,NA,6
1999,harv,A5,663,1,0,0,0,wb,4.15,8.5,7,NA,2.5,3,95,NA,56,24
1999,harv,B5,319,0,1,0,0,gb,22.8,24.7,24.7,NA,4,1,NA,NA,35,NA
1999,harv,B5,601,1,0,0,0,rm,9.6,13.5,9.5,NA,1.5,4,NA,NA,8,1
1999,harv,B5,602,1,0,0,0,bb,11.1,11,5.75,NA,2.5,3,5,NA,6,NA
1999,harv,B5,603,1,0,0,0,wp,3.4,8,6.5,NA,3.7,3,0,NA,36,NA
1999,harv,B5,604,1,0,0,0,gb,1.9,11.5,11.5,NA,5.2,5,NA,NA,8,NA
1999,harv,B5,607,0,1,0,0,wp,5.9,8,7.65,7.7,7.3,3,5,NA,3,NA
1999,harv,B5,608,1,0,0,0,bb,7.7,6.75,6,NA,4,3,NA,NA,6,NA
1999,harv,B5,609,1,0,0,0,gb,1.9,10,10.7,NA,12,5,NA,NA,58,NA
1999,harv,B5,610,0,1,0,0,gb,1.5,12.5,12.5,NA,12.5,4,NA,NA,58,NA
1999,harv,B5,611,1,0,0,0,rm,10.4,12.5,9,NA,1.5,4,0,NA,67,NA
1999,harv,B5,614,0,1,0,0,hem,1.6,12.5,11,9.5,9.5,2,80,NA,6,NA
1999,harv,B5,615,0,1,0,0,hem,1.7,12.2,9.85,8.2,7.5,2,80,NA,6,NA
1999,harv,B5,616,1,0,0,0,NA,8.2,7.6,6.9,NA,2.4,3,0,NA,6,NA
1999,harv,B5,617,1,0,0,0,gb,0.6,10,9.5,NA,9.4,5,NA,NA,58,NA
1999,harv,B5,618,1,0,0,0,rm,9.2,22,14.5,NA,11.4,4,0,NA,6,NA
1999,harv,B5,619,1,0,0,0,rm,7,9.5,8.6,NA,5.3,4,NA,NA,6,NA
1999,harv,B5,621,0,1,0,0,rm,1.6,9.3,7.9,6.7,6.5,4,40,NA,8,1
1999,harv,B5,622,1,0,0,0,rm,10.9,10,7.3,NA,4,3,0,NA,6,NA
1999,harv,B5,623,1,0,0,0,rm,6.2,8,6.2,NA,3.1,3,0,NA,6,NA
1999,harv,B5,624,0,1,0,0,rm,13.65,7,4,5.1,1,1,0,NA,6,NA
1999,harv,B5,625,1,0,0,0,gb,5.6,13.1,12.75,NA,8.75,5,NA,NA,58,NA
1999,harv,B5,627,1,0,0,0,gb,0.85,14.3,13.65,NA,13,4,0,NA,7,NA
1999,harv,B5,628,1,0,0,0,gb,2.2,12.6,10.9,NA,4.5,4,NA,NA,5,NA
1999,harv,X1,664,1,0,0,0,ro,11.1,9.75,11.5,NA,5.25,3,0,NA,6,237
1999,harv,X1,665,1,0,0,0,ro,14.8,11.1,8.5,NA,8,3,5,NA,5,2
1999,harv,X1,666,1,0,0,0,ro,5.1,10.25,7.25,NA,5.9,3,10,NA,5,2
1999,harv,X1,667,0,1,0,0,ro,15,18.4,10,13.7,5,3,3,NA,56,2
1999,harv,X1,668,0,1,0,0,hem,1.2,11.5,8.9,NA,8.4,3,30,NA,5,NA
1999,harv,X1,669,0,0,0,1,ro,0.7,16.5,NA,NA,11.5,4,0,NA,67,NA
1999,harv,X1,670,1,0,0,0,ro,6.6,9.7,7.8,NA,5.5,3,0,NA,6,2
1999,harv,X1,671,1,0,0,0,ro,3.05,8,8,NA,6,3,0,NA,NA,36
1999,harv,X1,673,1,0,0,0,ro,14.5,20.5,13.25,NA,4,4,0,NA,6,23
