year,site,transect,segment,diameter.mm,decay
2001,ems,1,1,28.9,3
2001,ems,1,2,54.88,3
2001,ems,1,3,23.35,2
2001,ems,1,3,21.46,2
2001,ems,1,4,29.4,2
2001,ems,1,5,22.7,2
2001,ems,1,6,45.36,4
2001,ems,1,6,25.21,1
2001,ems,1,6,26.57,2
2001,ems,1,6,20.7,2
2001,ems,1,7,41.36,5
2001,ems,1,7,22.87,4
2001,ems,1,8,61.98,3
2001,ems,1,8,22,1
2001,ems,1,8,72.6,3
2001,ems,1,9,21.3,3
2001,ems,1,10,31.12,3
2001,ems,1,10,27,2
2001,ems,1,11,24.7,2
2001,ems,1,11,26.9,1
2001,ems,1,12,0,0
2001,ems,1,13,22.75,2
2001,ems,1,13,63.99,5
2001,ems,1,14,25.3,4
2001,ems,1,15,33.8,2
2001,ems,1,15,22.7,2
2001,ems,1,15,32.8,4.5
2001,ems,2,1,61.03,3
2001,ems,2,1,42.1,2
2001,ems,2,1,44.4,2
2001,ems,2,2,39.6,4
2001,ems,2,2,31.6,3
2001,ems,2,2,41.6,5
2001,ems,2,2,46,5
2001,ems,2,3,57.5,3
2001,ems,2,3,58,2
2001,ems,2,3,40.7,3
2001,ems,2,3,23.2,2
2001,ems,2,4,30.8,2
2001,ems,2,4,30,4
2001,ems,2,4,25.7,3
2001,ems,2,4,39,3
2001,ems,2,4,27.6,3
2001,ems,2,4,26,3
2001,ems,2,4,55.8,3
2001,ems,2,4,21.5,3
2001,ems,2,4,26.1,2
2001,ems,2,4,24.6,2
2001,ems,2,5,30.5,4
2001,ems,2,5,31.1,2
2001,ems,2,5,70,3
2001,ems,2,5,36.3,3
2001,ems,2,5,69.2,5
2001,ems,2,6,47.3,5
2001,ems,2,6,34.9,3
2001,ems,2,6,34.6,3
2001,ems,2,6,54,4
2001,ems,2,6,58.3,5
2001,ems,2,7,27.1,3
2001,ems,2,7,27.3,3
2001,ems,2,7,25.9,3
2001,ems,2,8,58.1,2
2001,ems,2,8,24.9,2
2001,ems,2,9,34.3,3
2001,ems,2,9,57.5,3
2001,ems,2,9,28.2,2
2001,ems,2,10,31,4
2001,ems,2,10,25.1,2
2001,ems,2,11,29,3
2001,ems,2,11,28.3,3
2001,ems,2,11,23.6,4
2001,harv,1,1,25.9,1
2001,harv,1,1,43.8,1
2001,harv,1,1,26.7,3
2001,harv,1,1,32.9,1
2001,harv,1,1,25.4,1
2001,harv,1,1,31.1,2
2001,harv,1,1,23.1,2
2001,harv,1,2,32.6,3
2001,harv,1,2,47.4,3.5
2001,harv,1,2,34.2,1
2001,harv,1,2,24.1,3
2001,harv,1,2,28,2
2001,harv,1,2,28.4,4
2001,harv,1,2,29.4,1
2001,harv,1,2,54,3
2001,harv,1,2,42.8,5
2001,harv,1,2,54.5,3.5
2001,harv,1,2,32,1
2001,harv,1,2,25.3,5
2001,harv,1,3,27.4,2
2001,harv,1,3,21.9,3
2001,harv,1,3,27.7,3
2001,harv,1,3,48,3
2001,harv,1,3,26.4,1
2001,harv,1,3,29.4,1
2001,harv,1,3,22.8,1
2001,harv,1,3,22,1
2001,harv,1,3,32.2,1
2001,harv,1,3,31,3
2001,harv,1,3,30.4,1
2001,harv,1,3,36.4,1
2001,harv,1,3,36.1,1
2001,harv,1,3,23.9,1
2001,harv,1,3,37,1
2001,harv,1,3,28.5,1
2001,harv,1,4,32,4
2001,harv,1,4,35.8,3
2001,harv,1,4,32.2,3
2001,harv,1,4,23.8,3
2001,harv,1,4,62.3,3
2001,harv,1,4,23.4,3
2001,harv,1,4,35.8,3
2001,harv,1,4,52.4,2
2001,harv,1,5,24.5,1
2001,harv,1,5,32.3,4
2001,harv,1,5,27.3,4
2001,harv,1,5,41.4,4
2001,harv,1,5,59.1,3
2001,harv,1,5,32.4,2
2001,harv,1,5,38,2
2001,harv,1,5,28.4,2
2001,harv,1,5,28.2,1
2001,harv,1,5,50,3
2001,harv,1,5,43.8,1
2001,harv,1,5,29.4,1
2001,harv,1,5,35.1,3
2001,harv,1,5,32.2,1
2001,harv,1,5,29.2,1
2001,harv,1,5,27.1,1
2001,harv,1,5,32.6,1
2001,harv,1,6,22.3,2
2001,harv,1,6,31.9,1
2001,harv,1,6,55.2,1
2001,harv,1,6,44.5,1
2001,harv,1,6,33.6,1
2001,harv,1,6,27.4,1
2001,harv,1,6,25,1
2001,harv,1,6,65.2,1
2001,harv,1,6,55.2,2
2001,harv,1,6,71.8,3
2001,harv,1,6,28.1,1
2001,harv,1,6,60.1,4
2001,harv,1,6,24.9,4
2001,harv,1,6,26.9,1
2001,harv,1,6,38,1
2001,harv,1,6,45.4,2
2001,harv,1,6,36,1
2001,harv,2,1,36.7,2
2001,harv,2,1,53.5,1.5
2001,harv,2,1,41.8,1.5
2001,harv,2,1,41.1,1.5
2001,harv,2,1,69.9,1.5
2001,harv,2,1,62.5,1
2001,harv,2,1,62.4,1
2001,harv,2,1,27.6,1
2001,harv,2,1,20.9,1
2001,harv,2,1,69.1,3.5
2001,harv,2,1,20.1,1
2001,harv,2,1,21.47,1
2001,harv,2,1,71,2
2001,harv,2,1,20.5,1
2001,harv,2,1,42.6,1
2001,harv,2,2,36.6,3
2001,harv,2,2,25.8,5
2001,harv,2,3,23,3
2001,harv,2,3,35,2
2001,harv,2,3,20,1
2001,harv,2,3,43.4,1
2001,harv,2,3,60.8,1
2001,harv,2,3,20.6,1
2001,harv,2,3,20.2,2
2001,harv,2,3,24.8,5
2001,harv,2,4,73.2,2
2001,harv,2,4,47.7,2
2001,harv,2,4,32.8,1.5
2001,harv,2,4,21.6,1.5
2001,harv,2,4,23,1
2001,harv,2,4,32.9,1
2001,harv,2,4,40,4
2001,harv,2,4,33.8,3
2001,harv,2,4,33.9,1
2001,harv,2,4,30.4,1
2001,harv,2,4,25,1
2001,harv,2,4,51.6,1
2001,harv,2,4,40.1,1
2001,harv,2,5,22.3,1
2001,harv,2,5,35.6,1
2001,harv,2,5,20,1
2001,harv,2,5,21.7,1
2001,harv,2,5,21.2,1
2001,harv,2,5,30.4,2
2001,harv,2,5,32.9,3
2001,harv,2,5,36,2
2001,harv,2,5,33,2.5
2001,harv,2,5,33,2.5
2001,harv,2,5,41.1,3
2001,harv,2,5,34.3,4
2001,harv,2,5,26.1,1
2001,harv,2,5,43.8,2.5
2001,harv,2,6,50.4,5
2001,harv,2,6,62.9,3
2001,harv,2,6,21.5,1
2001,harv,2,6,61.5,1
2001,harv,2,6,35.5,3
2001,harv,2,6,45,1
2001,harv,2,6,39.6,1
2001,harv,2,6,32,1
2001,harv,2,6,24,1
2001,harv,2,6,25.8,1
2001,harv,2,6,66.6,1
2001,harv,2,6,28.1,2.5
2001,harv,2,6,56.8,1
2001,harv,2,7,35,1
2001,harv,2,7,30.9,2
2001,harv,2,7,53.7,1.5
2001,harv,2,7,25.3,2
2001,harv,2,7,49.65,1
2001,harv,2,7,25.7,1
2001,harv,2,7,48,3
2001,harv,2,7,46.3,3
2001,harv,3,1,32.6,2
2001,harv,3,1,37.5,1.5
2001,harv,3,1,56.7,2
2001,harv,3,1,66.3,2
2001,harv,3,1,29.8,1
2001,harv,3,1,54.6,1
2001,harv,3,1,50.2,2
2001,harv,3,1,51.2,3
2001,harv,3,1,29.8,2
2001,harv,3,1,66.2,2
2001,harv,3,1,74,4
2001,harv,3,2,27.2,1.5
2001,harv,3,2,38.5,3
2001,harv,3,2,44.6,3
2001,harv,3,2,41.3,2
2001,harv,3,3,39.2,1
2001,harv,3,3,57.3,1
2001,harv,3,3,32.9,1
2001,harv,3,3,54.6,1
2001,harv,3,3,38.8,1
2001,harv,3,3,40.7,1
2001,harv,3,3,32.7,1
2001,harv,3,3,35,1
2001,harv,3,3,21.3,1
2001,harv,3,3,33,1
2001,harv,3,3,51.8,1
2001,harv,3,3,33.1,1
2001,harv,3,3,34.1,1
2001,harv,3,3,24.8,1
2001,harv,3,3,24.8,1
2001,harv,3,3,38.2,3
2001,harv,3,3,64.1,4
2001,harv,3,3,62.7,4
2001,harv,3,3,71.2,3
2001,harv,3,4,30.1,3
2001,harv,3,4,29.6,2
2001,harv,3,5,59.3,3
2001,harv,3,5,60.2,3
2001,harv,3,5,31.4,3
2001,harv,3,5,38.4,3
2001,harv,3,5,36.6,1
2001,harv,3,5,40.7,1
2001,harv,3,5,50.4,1
2001,harv,3,6,21.5,1
2001,harv,3,6,69.7,3
2001,harv,3,6,28.1,4
2001,harv,3,6,69.6,1
2001,harv,3,6,40.3,1
2001,harv,3,6,72.6,4.5
2001,harv,3,6,54.3,1
2001,harv,3,6,56.1,4
2001,harv,3,6,43.4,1
2001,harv,3,6,26.3,1
2001,harv,3,6,21.3,1
2001,harv,3,6,44.5,1
2001,harv,3,6,45.7,1
2001,harv,3,6,24,1
2001,harv,3,6,25.3,1
2001,harv,4,1,49.1,1
2001,harv,4,1,21.2,1
2001,harv,4,1,24.1,1
2001,harv,4,1,30.6,1
2001,harv,4,1,29.3,3
2001,harv,4,1,47.4,2
2001,harv,4,1,62.7,1
2001,harv,4,1,56.3,1
2001,harv,4,1,56.1,1
2001,harv,4,1,62,1
2001,harv,4,1,52.5,1
2001,harv,4,1,34,1
2001,harv,4,1,25,1
2001,harv,4,1,20.7,2
2001,harv,4,1,53,1
2001,harv,4,1,29.6,1
2001,harv,4,1,33.4,1
2001,harv,4,1,21.4,2
2001,harv,4,1,35.2,2
2001,harv,4,1,51.4,1
2001,harv,4,1,25.8,1
2001,harv,4,1,35.7,1
2001,harv,4,1,42.6,1
2001,harv,4,1,28.3,1
2001,harv,4,1,20.9,1
2001,harv,4,1,40.3,1
2001,harv,4,1,29,1
2001,harv,4,1,32.1,1
2001,harv,4,1,46.5,1
2001,harv,4,1,44.2,1
2001,harv,4,1,40,1
2001,harv,4,1,23.6,1
2001,harv,4,1,47.4,1
2001,harv,4,1,34.1,1
2001,harv,4,1,25.9,1
2001,harv,4,1,35.4,1
2001,harv,4,1,29.1,1
2001,harv,4,1,34.7,1
2001,harv,4,1,29.6,2.5
2001,harv,4,1,41.2,1
2001,harv,4,1,20,1
2001,harv,4,1,25,1
2001,harv,4,1,30.9,1
2001,harv,4,1,20.1,1
2001,harv,4,1,31.4,1
2001,harv,4,1,31.7,1
2001,harv,4,1,38.7,4
2001,harv,4,1,28.4,1
2001,harv,4,1,72,1
2001,harv,4,1,34.2,1
2001,harv,4,1,44.5,1
2001,harv,4,1,27.5,1
2001,harv,4,1,38.5,1
2001,harv,4,1,37.8,1
2001,harv,4,2,36,1
2001,harv,4,2,49.3,1
2001,harv,4,2,40,1
2001,harv,4,2,25.7,1
2001,harv,4,2,73.1,2
2001,harv,4,2,31.6,1
