species,year,x,y,group,notes
Alliaria petiolata,2005,730709,4712684,1,big population
Alliaria petiolata,2005,730703,4712665,1,one plant
Alliaria petiolata,2005,730715,4712700,1,one plant
Alliaria petiolata,2005,730843,4712709,1,big pop. Along stream
Alliaria petiolata,2005,730901,4712701,1,two plants. 25m S of t
Alliaria petiolata,2005,731101,4712813,1,one plant
Alliaria petiolata,2005,730776,4712770,1,one plant
Alliaria petiolata,2005,731143,4712317,2,
Alliaria petiolata,2005,731144,4712314,2,
Alliaria petiolata,2005,730715,4712692,3,big population
Alliaria petiolata,2005,730718,4712852,3,small plant
Alliaria petiolata,2005,730839,4712924,3,several patches
Alliaria petiolata,2005,730833,4712951,3,large patches
Alliaria petiolata,2005,730828,4712951,3,large patches
Alliaria petiolata,2005,730875,4712982,3,small patch
Alliaria petiolata,2005,730801,4712900,3,big population
Alliaria petiolata,2005,730773,4712883,3,medium patch
Alliaria petiolata,2005,730727,4712726,3,big population
Berberis thunbergii,2005,730603,4713181,4,
Berberis thunbergii,2005,730503,4713437,4,left of road uph
Berberis thunbergii,2005,730594,4713068,4,
Berberis thunbergii,2005,731680,4714686,5,one plant
Berberis thunbergii,2005,731765,4714741,5,three plants
Berberis thunbergii,2005,731765,4714727,5,ten plants
Berberis thunbergii,2005,731778,4714745,5,one plant
Berberis thunbergii,2005,731749,4714770,5,seven plants
Berberis thunbergii,2005,731758,4714771,5,four plants
Berberis thunbergii,2005,731715,4714759,5,large population
Celastrus Orbiculata,2005,730711,4712666,1,
Celastrus Orbiculata,2005,730856,4712706,1,1 plant
Celastrus Orbiculata,2005,730909,4712713,1,20 m south. medium pop
Celastrus Orbiculata,2005,731325,4713002,1,5 m south. 1 plant
Celastrus Orbiculata,2005,730891,4712720,1,
Celastrus Orbiculata,2005,730885,4712725,1,3 plants
Celastrus Orbiculata,2005,730883,4712725,1,
Celastrus Orbiculata,2005,730728,4712848,3,new plant
Celastrus Orbiculata,2005,730739,4712871,3,several small plants
Celastrus Orbiculata,2005,730777,4712928,3,sprouts by rock wall
Celastrus Orbiculata,2005,730779,4712950,3,small clumps
Celastrus Orbiculata,2005,730583,4713161,4,
Celastrus Orbiculata,2005,730576,4713495,4,both sides of road
Celastrus Orbiculata,2005,731788,4714744,5,asiatic patch
Lonicera spp,2005,730681,4712639,1,big pop
Lonicera spp,2005,730707,4712653,1,small pop
Lonicera spp,2005,730848,4712703,1,big pop along stream going south
Lonicera spp,2005,730890,4712715,1,next stream
Lonicera spp,2005,730926,4712703,1,1 plant
Lonicera spp,2005,730943,4712757,1,10 meters south. 1 plant
Lonicera spp,2005,730989,4712726,1,15-20 m south. up 50m E to W. large pop
Lonicera spp,2005,731051,4712827,1,small patch past clearing
Lonicera spp,2005,730892,4712730,1,
Lonicera spp,2005,730885,4712725,1,
Lonicera spp,2005,730883,4712725,1,
Lonicera spp,2005,730878,4712721,1,
Lonicera spp,2005,730872,4712721,1,
Lonicera spp,2005,731041,4712773,2,
Lonicera spp,2005,731028,4712771,2,2 plants
Lonicera spp,2005,731038,4712764,2,3 plants
Lonicera spp,2005,731027,4712739,2,3 plants
Lonicera spp,2005,731022,4712741,2,2 plants
Lonicera spp,2005,731047,4712745,2,many
Lonicera spp,2005,731043,4712748,2,many
Lonicera spp,2005,731039,4712757,2,many
Lonicera spp,2005,731033,4712766,2,many
Lonicera spp,2005,731027,4712748,2,many
Lonicera spp,2005,731036,4712738,2,many
Lonicera spp,2005,731022,4712689,2,
Lonicera spp,2005,731019,4712689,2,
Lonicera spp,2005,731033,4712686,2,many
Lonicera spp,2005,731055,4712683,2,2 plants
Lonicera spp,2005,731060,4712684,2,many
Lonicera spp,2005,731060,4712676,2,many
Lonicera spp,2005,731052,4712670,2,
Lonicera spp,2005,731053,4712682,2,4 plants
Lonicera spp,2005,731045,4712671,2,
Lonicera spp,2005,731040,4712668,2,many
Lonicera spp,2005,731080,4712673,2,
Lonicera spp,2005,731077,4712667,2,many
Lonicera spp,2005,731057,4712652,2,
Lonicera spp,2005,731070,4712662,2,
Lonicera spp,2005,731070,4712666,2,
Lonicera spp,2005,731070,4712668,2,
Lonicera spp,2005,731071,4712656,2,
Lonicera spp,2005,731065,4712648,2,
Lonicera spp,2005,731074,4712657,2,
Lonicera spp,2005,731067,4712657,2,
Lonicera spp,2005,731068,4712650,2,many
Lonicera spp,2005,731067,4712647,2,many
Lonicera spp,2005,731086,4712648,2,
Lonicera spp,2005,731088,4712611,2,many
Lonicera spp,2005,731088,4712610,2,many
Lonicera spp,2005,731101,4712659,2,
Lonicera spp,2005,731087,4712567,2,
Lonicera spp,2005,731106,4712689,2,
Lonicera spp,2005,731113,4712459,2,many
Lonicera spp,2005,731139,4712318,2,
Lonicera spp,2005,731133,4712322,2,many
Lonicera spp,2005,731107,4712569,2,3 plants
Lonicera spp,2005,731122,4712564,2,
Lonicera spp,2005,731126,4712555,2,
Lonicera spp,2005,731126,4712551,2,
Lonicera spp,2005,731124,4712562,2,
Lonicera spp,2005,731124,4712563,2,
Lonicera spp,2005,731122,4712565,2,many
Lonicera spp,2005,731120,4712578,2,
Lonicera spp,2005,731113,4712582,2,many
Lonicera spp,2005,731109,4712600,2,many
Lonicera spp,2005,731099,4712616,2,many
Lonicera spp,2005,731095,4712620,2,
Lonicera spp,2005,731102,4712627,2,
Lonicera spp,2005,731103,4712633,2,many
