year,ddy,day,hour,Sup,Sdn,Lup,Ldn,soilheat,Rnsum,PARup,PARdn,Lup(thermopile),Ldw(thermopile)
2006,1.02083,1,0.5,0.26,0,289.19,-285.54,3.25,3.91,0,0,NA,NA
2006,1.0625,1,1.5,0.26,0,289.35,-284.79,3.25,4.82,0,0,1.86,2.45
2006,1.10417,1,2.5,0.26,0,288.74,-284.27,3.25,4.73,0,0,1.68,2.78
2006,1.14583,1,3.5,0.26,0.02,288.25,-284.58,3.25,3.95,0,0,1.4,2.22
2006,1.1875,1,4.5,0.26,0.02,287.36,-282.61,3.25,5.03,0,0,1.31,3.43
2006,1.22917,1,5.5,0.13,0,286.27,-281.95,3.26,4.45,0,0,1.37,2.84
2006,1.27083,1,6.5,0.26,0,285.92,-282.21,3.26,3.97,0,0,1.55,2.25
2006,1.3125,1,7.5,0.26,0,285.7,-281.21,3.26,4.75,0,0,1.58,2.84
2006,1.35417,1,8.5,0.26,0.24,284.86,-277.11,3.25,8.25,0,0,1.57,5.8
2006,1.39583,1,9.5,0.26,0.35,283.46,-275.55,3.25,8.52,0,0,1.68,6.23
2006,1.4375,1,10.5,0.26,0,283.24,-277.63,3.26,5.87,0,0,1.86,3.98
2006,1.47917,1,11.5,0.26,-0.41,283.31,-279.17,3.26,3.99,0,-0.87,1.88,2.39
2006,1.52083,1,12.5,3.41,-16.68,283.26,-280.73,3.26,-10.75,5.03,-32.59,1.83,0.83
2006,1.5625,1,13.5,8.42,-43.81,284,-282.19,3.26,-33.57,13.86,-88.79,1.59,0.26
2006,1.60417,1,14.5,14.01,-73.8,285.78,-282.15,3.26,-56.16,23.31,-149.85,1.1,2.39
2006,1.64583,1,15.5,18.31,-96.19,287.37,-283.15,3.26,-73.66,30.23,-195.23,0.88,3.34
2006,1.6875,1,16.5,14.75,-78.8,288.55,-282.15,3.26,-57.65,25.27,-163.78,0.4,6.01
2006,1.72917,1,17.5,16.96,-92.25,290.56,-285.59,3.26,-70.32,28.85,-188.34,0.01,4.95
2006,1.77083,1,18.5,23.05,-124.63,293,-283.22,3.25,-91.8,36.61,-244.14,0.17,9.08
2006,1.8125,1,19.5,15.91,-87.95,293.76,-271.66,3.25,-49.94,25.42,-173.88,0.04,21.89
2006,1.85417,1,20.5,5.95,-30.2,293.76,-279.06,3.24,-9.55,8.76,-59.27,0.68,13.95
2006,1.89583,1,21.5,0.92,-1.43,293.12,-279.29,3.23,13.33,0.71,-4.19,1.14,12.77
2006,1.9375,1,22.5,0.74,0.52,292.96,-279.26,3.23,14.96,0,0,1.15,12.74
2006,1.97917,1,23.5,0.61,0.2,293.81,-280.76,3.23,13.86,0,0,0.9,12.19
2006,2.02083,2,0.5,0.66,0.22,294.17,-281.56,3.23,13.49,0,0,0.76,11.8
2006,2.0625,2,1.5,0.52,0.16,294.38,-283.95,3.24,11.11,0,0,0.72,9.96
2006,2.10417,2,2.5,0.48,0.14,295.14,-285.32,3.24,10.44,0,0,0.59,9.14
2006,2.14583,2,3.5,0.68,0.22,295.35,-282.5,3.23,13.74,0,0,0.39,12.56
2006,2.1875,2,4.5,0.65,0.14,296.11,-283.55,3.24,13.34,0,0,0.17,12.27
2006,2.22917,2,5.5,0.54,0.2,296.77,-285.25,3.24,12.26,0,0,-0.15,11.79
2006,2.27083,2,6.5,0.67,0.2,297.49,-282.44,3.24,15.92,0,0,-0.48,15.51
2006,2.3125,2,7.5,1.06,1.14,296.46,-263.2,3.24,35.46,0,0,-1.64,33.76
2006,2.35417,2,8.5,1.74,2.74,292.6,-248.51,3.24,48.57,0,0,-2.76,46.99
2006,2.39583,2,9.5,1.39,1.13,294.34,-283.34,3.24,13.52,0,0,-2.72,16.04
2006,2.4375,2,10.5,1.63,1.85,294.7,-286.09,3.25,12.09,0,0,-2.47,10.18
2006,2.47917,2,11.5,2.38,1.34,294.03,-288.91,3.27,8.84,0,-0.93,-1.86,7.11
2006,2.52083,2,12.5,20.99,-54.25,296.8,-293.72,3.28,-30.18,8.61,-81.6,-2.03,5.06
2006,2.5625,2,13.5,40.56,-226.5,302.87,-287.11,3.3,-170.19,38.32,-379.24,-3.14,17.74
2006,2.60417,2,14.5,24.4,-133.15,306.38,-291.45,3.31,-93.82,36.66,-275.8,-4.31,19.65
2006,2.64583,2,15.5,22.2,-129.89,310.09,-293.69,3.3,-91.29,33.88,-260.01,-3.63,20.23
2006,2.6875,2,16.5,34.43,-221.24,314.37,-290.51,3.28,-162.95,51.88,-435.38,-4.88,27.77
2006,2.72917,2,17.5,24.49,-165.75,315.47,-296.62,3.27,-122.41,37.28,-332.08,-5.3,24.94
2006,2.77083,2,18.5,18.83,-137.21,316.48,-298.42,3.25,-100.32,28.44,-276.68,-5.85,23.77
2006,2.8125,2,19.5,6.64,-52.22,314.87,-298.28,3.24,-28.99,10.75,-108,-5.22,22.12
2006,2.85417,2,20.5,2.79,-18.94,311.49,-293.37,3.24,1.97,3.21,-38.7,-2.58,20.04
2006,2.89583,2,21.5,0.4,0.21,309.1,-294.96,3.23,14.75,-0.69,-0.2,-1.73,16.58
2006,2.9375,2,22.5,0.39,0.3,308.58,-300.14,3.23,9.14,-0.5,0.48,-1.82,10.59
2006,2.97917,2,23.5,0.38,0.53,308.38,-302.72,3.22,6.57,-0.49,0.71,-1.3,7.09
2006,3.02083,3,0.5,0.31,0.29,307.59,-306.13,3.21,2.07,-0.45,0.67,-0.14,1.82
2006,3.0625,3,1.5,-0.17,0.4,307.04,-307.04,3.21,0.23,-0.81,0.6,-0.05,0.11
2006,3.10417,3,2.5,0.06,0.26,306.94,-306.56,3.21,0.71,-0.78,0.57,0.19,0.14
2006,3.14583,3,3.5,0.06,0.27,306.82,-306.48,3.21,0.66,-0.73,0.7,0.2,0.14
2006,3.1875,3,4.5,0.06,0.31,306.2,-305.87,3.2,0.71,-0.7,0.69,0.2,0.14
2006,3.22917,3,5.5,0.08,0.55,305.04,-304.57,3.2,1.1,-0.62,0.72,0.25,0.2
2006,3.27083,3,6.5,0.1,0.56,303.82,-302.91,3.2,1.57,-0.68,0.65,0.38,0.51
2006,3.3125,3,7.5,0.15,0.1,303.19,-302,3.19,1.43,-0.59,0.58,0.5,0.69
2006,3.35417,3,8.5,0.2,0.1,303.06,-301.81,3.2,1.55,-0.57,0.59,0.5,0.8
2006,3.39583,3,9.5,0.34,0.27,303.07,-301.56,3.2,2.11,-0.5,0.53,0.46,1.06
2006,3.4375,3,10.5,0.39,0.19,303.04,-301.28,3.19,2.34,-0.54,0.55,0.44,1.31
2006,3.47917,3,11.5,0.34,0.18,303.37,-301.67,3.19,2.21,-0.44,0.29,0.39,1.3
2006,3.52083,3,12.5,1.32,-4.19,303.96,-302.53,3.19,-1.45,2,-9.25,0.43,1.02
2006,3.5625,3,13.5,6.04,-23.22,305.02,-302.66,3.19,-14.82,11.53,-52.2,0.19,2.09
2006,3.60417,3,14.5,8.17,-32.89,304.98,-302.81,3.18,-22.55,16.51,-73.82,0.12,2.08
2006,3.64583,3,15.5,8.37,-33.84,305.29,-302.5,3.18,-22.68,16.72,-75.7,0.09,2.61
2006,3.6875,3,16.5,11.25,-46.75,304.07,-301.16,3.18,-32.6,22.17,-102.02,0.01,2.89
2006,3.72917,3,17.5,13.03,-54.66,302.37,-298.38,3.18,-37.64,25.32,-117.38,-0.06,3.99
2006,3.77083,3,18.5,9.87,-42.2,300.12,-295.03,3.18,-27.24,19.24,-90.85,0.09,5.03
2006,3.8125,3,19.5,6.36,-27.81,298.57,-293.13,3.18,-16.01,12.28,-58.54,0.34,5.02
2006,3.85417,3,20.5,3.42,-13.18,297.72,-291.38,3.18,-3.42,5.5,-26.81,0.28,7.31
2006,3.89583,3,21.5,1.14,-1.24,294.04,-257.44,3.17,36.5,0.94,-4.59,-0.2,33.42
2006,3.9375,3,22.5,1.46,1.78,288.92,-228.5,3.17,63.66,0,0,-0.42,59.9
2006,3.97917,3,23.5,1.46,1.75,286.15,-225.9,3.17,63.46,0,0,-0.61,60.86
2006,4.02083,4,0.5,1.87,2.32,282.04,-205.37,3.17,80.86,0,0,-1.15,76.53
2006,4.0625,4,1.5,1.75,2.17,279.65,-211.8,3.17,71.77,0,0,-0.96,69.45
2006,4.10417,4,2.5,1.11,0.71,280.27,-244.68,3.17,37.41,0,0,-0.21,33.06
2006,4.14583,4,3.5,1.06,1.71,279.25,-226.47,3.16,55.55,0,0,-0.71,49.91
2006,4.1875,4,4.5,2.21,2.79,273.22,-190.26,3.17,87.95,0,0,-1.41,84.03
2006,4.22917,4,5.5,2.22,2.7,269.41,-187.58,3.17,86.75,0,0,-2.19,84.15
2006,4.27083,4,6.5,2.44,2.7,267.75,-187.62,3.17,85.26,0,0,-2.38,82.45
2006,4.3125,4,7.5,2.24,2.13,268.29,-192.39,3.17,80.27,0,0,-2.14,78.26
2006,4.35417,4,8.5,2.1,2.61,268.03,-191.5,3.16,81.23,0,0,-1.93,78.89
2006,4.39583,4,9.5,2.1,2.31,265.17,-188.54,3.17,81.04,0,0,-2.69,79.18
2006,4.4375,4,10.5,2.22,2.36,265.24,-187.71,3.17,82.1,0,0,-3.34,80.8
2006,4.47917,4,11.5,2.5,2.37,264,-186.79,3.17,82.08,0,0,-3.53,80.83
2006,4.52083,4,12.5,18.07,-62.34,265.59,-193.65,3.18,27.67,13.16,-98.23,-5.48,78.06
2006,4.5625,4,13.5,39.09,-191.92,275.34,-215.92,3.17,-93.41,48.8,-332.12,-4.32,64.32
2006,4.60417,4,14.5,46.19,-244.07,279.04,-215.04,3.18,-133.88,68.11,-446.49,-2.75,66.12
2006,4.64583,4,15.5,70.94,-414.35,286.2,-212.89,3.18,-270.1,104.53,-752.22,-4.38,76.31
2006,4.6875,4,16.5,86.87,-504.43,294.37,-225.67,3.18,-348.86,131.25,-921.79,-6.75,76.75
2006,4.72917,4,17.5,70.41,-460.39,300.11,-217.2,3.18,-307.07,107.81,-851.22,-11.35,93.17
2006,4.77083,4,18.5,48.82,-356.64,301.8,-210,3.17,-216.03,71.14,-663.6,-14.18,105.52
2006,4.8125,4,19.5,19.31,-103.99,298.21,-232.03,3.17,-18.5,29.19,-202.34,-5.86,73.65
2006,4.85417,4,20.5,5.32,-24.78,295.3,-267.09,3.17,8.75,8.24,-48.98,-0.65,30.04
2006,4.89583,4,21.5,0.65,-1.11,291.57,-279.9,3.17,11.21,0.41,-2.84,1.31,12.36
2006,4.9375,4,22.5,0.26,0.05,291.25,-284.98,3.17,6.58,0,0,1.4,4.97
2006,4.97917,4,23.5,0.26,0.18,290.21,-284.82,3.17,5.82,0,0,1.39,3.92
2006,5.02083,5,0.5,0.19,0,289.95,-286.79,3.17,3.34,0,0,1.62,1.76
2006,5.0625,5,1.5,0.21,0,290.02,-287.32,3.16,2.92,0,0,1.65,1.03
2006,5.10417,5,2.5,0.03,0.38,290.55,-287.67,3.16,3.29,0,0,1.33,1.58
2006,5.14583,5,3.5,-0.2,0,290.62,-288.91,3.17,1.52,0,0,1.01,0.81
2006,5.1875,5,4.5,0.02,0,291.21,-289.76,3.16,1.47,0,0,1.03,0.46
2006,5.22917,5,5.5,0.11,0,291.62,-290.68,3.16,1.05,0,0,0.83,0.16
2006,5.27083,5,6.5,0.26,0,292.57,-291.79,3.17,1.04,0,0,0.68,0.1
2006,5.3125,5,7.5,0.16,0,293.28,-292.62,3.16,0.83,0,0,0.55,0.13
2006,5.35417,5,8.5,0.13,-0.09,293.59,-292.89,3.16,0.74,0,0.5,0.61,0.12
2006,5.39583,5,9.5,0.12,-0.12,294.3,-293.65,3.16,0.64,0,0.52,0.53,0.11
2006,5.4375,5,10.5,0.06,-0.38,295.51,-294.96,3.16,0.23,0,0.48,0.54,0.02
2006,5.47917,5,11.5,0.03,-0.51,296.91,-296.37,3.16,0.06,0,0.56,0.57,-0.02
2006,5.52083,5,12.5,0.93,-4.35,297.03,-296.57,3.16,-2.95,1.34,-5.38,0.42,0.03
2006,5.5625,5,13.5,3.47,-14.14,298.26,-298.02,3.15,-10.43,6.02,-19.64,0.27,0.01
2006,5.60417,5,14.5,5.44,-23.49,300.63,-300.65,3.15,-18.07,10.66,-34.55,0.04,-0.08
2006,5.64583,5,15.5,12.24,-49.84,302.99,-303.34,3.15,-37.96,23.11,-68.78,-0.08,-0.3
2006,5.6875,5,16.5,27.66,-111.1,306.31,-307.11,3.15,-84.24,48.01,-140.89,-0.29,-0.4
2006,5.72917,5,17.5,23.49,-99.93,307.36,-306,3.14,-75.08,39.31,-159.18,-0.11,1.29
2006,5.77083,5,18.5,12.67,-57.67,307.59,-305.99,3.14,-43.4,21.44,-108.39,0.08,1.49
2006,5.8125,5,19.5,10.89,-52,308.31,-307.19,3.14,-39.99,17.36,-96.95,0.41,0.76
2006,5.85417,5,20.5,2.99,-14.56,308.07,-305.14,3.13,-8.64,4.76,-28.96,0.13,2.4
