Year,Day_of_year,u,u*,wdir,PAR,Tair,daily_min_Tair,Tsoil,VPD,Measured_CO2_flux,Estimated_CO2_flux,Eddy_covariance_data_(D)_or_estimate_(E)
,,m/s,m/s,degrees,µmol_m-2_s-1,oC,oC,oC,kPa,µmol_m-2_s-1,µmol_m-2_s-1,
2000,306.02,NA,NA,NA,0,3.2,0.19,6.99,NA,NA,1.69,E
2000,306.04,NA,NA,NA,0,3.05,0.19,6.98,NA,NA,1.66,E
2000,306.06,NA,NA,NA,0,2.77,0.19,6.96,NA,NA,1.62,E
2000,306.08,NA,NA,NA,0,2.5,0.19,6.94,NA,NA,1.57,E
2000,306.1,NA,NA,NA,0,2.26,0.19,6.92,NA,NA,1.53,E
2000,306.13,NA,NA,NA,0,1.95,0.19,6.89,NA,NA,1.48,E
2000,306.15,NA,NA,NA,0,1.59,0.19,6.86,NA,NA,1.42,E
2000,306.17,NA,NA,NA,0,1.21,0.19,6.83,NA,NA,1.36,E
2000,306.19,NA,NA,NA,0,0.94,0.19,6.8,NA,NA,1.32,E
2000,306.21,NA,NA,NA,0,0.79,0.19,6.76,NA,NA,1.29,E
2000,306.23,NA,NA,NA,0,0.57,0.19,6.73,NA,NA,1.25,E
2000,306.25,NA,NA,NA,0,0.32,0.19,6.7,NA,NA,1.21,E
2000,306.27,NA,NA,NA,0,0.19,0.19,6.68,NA,NA,1.19,E
2000,306.29,NA,NA,NA,0,0.28,0.19,6.65,NA,NA,1.21,E
2000,306.31,NA,NA,NA,5,0.3,0.19,6.64,NA,NA,-1.62,E
2000,306.33,NA,NA,NA,45,0.5,0.19,6.63,NA,NA,-1.9,E
2000,306.35,NA,NA,NA,174,1.01,0.19,6.63,NA,NA,-2.78,E
2000,306.38,NA,NA,NA,326,2.11,0.19,6.64,NA,NA,-3.86,E
2000,306.4,NA,NA,NA,470,3.16,0.19,6.67,NA,NA,-4.9,E
2000,306.42,NA,NA,NA,609,4.48,0.19,6.7,NA,NA,-5.94,E
2000,306.44,NA,NA,NA,519,4.35,0.19,6.74,NA,NA,-5.37,E
2000,306.46,NA,NA,NA,494,5.04,0.19,6.79,NA,NA,-5.27,E
2000,306.48,NA,NA,NA,724,5.73,0.19,6.84,NA,NA,-6.96,E
2000,306.5,NA,NA,NA,997,6.76,0.19,6.89,NA,NA,-9.03,E
2000,306.52,NA,NA,NA,1030,7.54,0.19,6.95,NA,NA,-9.42,E
2000,306.54,NA,NA,NA,1051,8.13,0.19,7.02,NA,NA,-9.71,E
2000,306.56,NA,NA,NA,1015,8.35,0.19,7.07,NA,NA,-9.55,E
2000,306.58,NA,NA,NA,963,8.23,0.19,7.12,NA,NA,-9.24,E
