genus,species,subclass,family,alien,main.habitat,detailed.habitat,life.form,ldetailed.life.form,sum.2007,status,listed.for.hf,verified,reason.not.listed,current,historical,synonyms,common.name,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,grout,simes
Abies,balsamea,Gymnosperm,Pinaceae,0,F,F,T,TE,2,U,1,1,NA,1,1,NA,Balsam Fir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Abutilon,theophrasti,Rosidae,Malvaceae,1,O,OP,H,HE,2,U,1,1,NA,1,0,NA,Velvet-leaf Mallow,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acalypha ,rhomboidea,Rosidae,Euphorbiaceae,0,O,OD OG,H,HL,2,U,1,1,NA,1,0,NA,Three-seeded mercuiry,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acer,pensylvanicum,Rosidae,Aceraceae,0,F,F,T,T,26,C,1,1,NA,1,1,NA,Striped Maple,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1
Acer,rubrum,Rosidae,Aceraceae,0,F,F,T,T,33,C,1,1,NA,1,1,NA,Red Maple,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acer,saccharum,Rosidae,Aceraceae,0,F,F,T,T,27,C,1,1,NA,1,1,NA,Sugar Maple,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1
Acer,spicatum,Rosidae,Aceraceae,0,F,F,T,T,9,O,1,1,NA,1,1,NA,Mountain Maple,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
Achillea,millefolium,Asteridae,Asteraceae,0,O,OP RP,H,HL,13,F,1,1,NA,1,1,NA,Yarrow,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0
Actaea,pachypoda,Magnoliidae,Ranunculaceae,0,O,FR,H,HS,11,F,1,1,NA,1,1,A. alba,White Baneberry,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Actaea,rubra,Magnoliidae,Ranunculaceae,0,F,FR,H,HS,0,M,1,1,NA,0,1,NA,Red Baneberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
