family,genus ,species,year,month,day,specimen,collector,folder,town,state,tract,compartment,location.notes,habitat.notes,other.notes,source 
Aceraceae,Acer,negundo,1908,10,7,NA,H.J. Miles,NA,Petersham,MA,NA,NA,NA,NA,note on specimen reads: 'H.M R !',HF herbarium
Aceraceae,Acer,pensylvanicum,1991,6,4,2,T. Jaster,NA,Petersham,MA,PH,7,Old Pierce's Farm,well drained sandy loam,Soil Warming Project,1991 specimen found in 2007
Aceraceae,Acer,pensylvanicum,1947,6,23,36,I.M. Johnston,NA,Petersham,MA,TS,8,NA,NA,NA,HF herbarium
Aceraceae,Acer,pensylvanicum,1947,6,23,52,W.D. Beal Jr.,NA,Petersham,MA,TS,NA,ridge west of Tom Swamp bog,NA,NA,HF herbarium
Aceraceae,Acer,pensylvanicum,1958,6,24,986,M.H. Zimmermann,NA,Petersham,MA,PH,3,NA,NA,NA,HF herbarium
Aceraceae,Acer,pensylvanicum,1947,6,23,1626,C. E. Smith Jr.,NA,Petersham,MA,SC,8,NA,NA,NA,Brandeis
Aceraceae,Acer,pensylvanicum,1934,7,18,5469,H.M. Raup,red,NA,NH,Pisgah,NA,Pisgah tract,NA,NA,HF herbarium
Aceraceae,Acer,pensylvanicum,1910,9,30,NA,P. Haynes,NA,Petersham,MA,NA,NA,NA,NA,note on specimen reads: 'H.M R !',HF herbarium
Aceraceae,Acer,pensylvanicum,1908,5,17,NA,H.J. Miles,NA,Phillipston/Petersham,MA,PH,NA,Home tract,NA,note on specimen reads: 'H.M R !',HF herbarium
Aceraceae,Acer,pensylvanicum,1910,5,5,NA,K. Mills,NA,NA,MA,NA,NA,NA,NA,note on specimen reads: 'H.M R !',HF herbarium
Aceraceae,Acer,platanoides,1911,10,7,NA,H.H. Tryon,NA,Petersham,MA,NA,NA,Petersham Common,NA,NA,HF herbarium
Aceraceae,Acer,platanoides,1909,5,20,NA,H.J. Miles,NA,NA,MA,NA,NA,NA,NA,NA,HF herbarium
Aceraceae,Acer,rubrum,1991,6,4,10,T. Jaster,NA,Petersham,MA,PH,8,Old Pierce's Farm,well drained sandy loam,Soil Warming Project,1991 specimen found in 2007
Aceraceae,Acer,rubrum,1947,8,5,214,W.D. Beal Jr.,NA,Petersham,MA,PH,NA,woods between Kitchen Rd.; and field just N. of HF buildings,NA,NA,HF herbarium
Aceraceae,Acer,rubrum,1947,8,2,343,J. Canright,NA,Petersham,MA,NA,NA,Poor Farm Rd.,damp roadside,NA,HF herbarium
Aceraceae,Acer,rubrum,1934,7,18,5446,H.M. Raup,red,NA,NH,Pisgah,NA,Pisgah tract,NA,NA,HF herbarium
Aceraceae,Acer,rubrum,1910,4,30,NA,K. Mills,NA,Petersham,MA,NA,NA,NA,NA,note on specimen reads: 'H.M R !',HF herbarium
Aceraceae,Acer,rubrum,1909,5,10,NA,H.J. Miles,NA,Petersham,MA,PH,NA,NA,NA,note on specimen reads: 'H.M R !',HF herbarium
Aceraceae,Acer,rubrum,1910,4,30,NA,K. Mills,NA,Petersham,MA,NA,NA,NA,NA,note on specimen reads: 'H.M R !',HF herbarium
Aceraceae,Acer,rubrum,1908,10,7,NA,H.J. Miles,NA,Petersham,MA,NA,NA,NA,NA,note on specimen reads: 'H.M R !',HF herbarium
Aceraceae,Acer,saccharum,1947,7,29,177,W.D. Beal Jr.,NA,Petersham,MA,NA,NA,near beginning of Musnon Turnpike; south facing slope,top of slope,NA,HF herbarium
Aceraceae,Acer,saccharum,1909,5,10,NA,H.J. Miles,NA,Petersham,MA,PH,NA,Harvard House,NA,note on specimen reads: 'H.M R !',HF herbarium
Aceraceae,Acer,saccharum,1908,10,7,NA,H.J. Miles,NA,Petersham,MA,NA,NA,NA,NA,note on specimen reads: 'H.M R !',HF herbarium
Aceraceae,Acer,saccharum,1910,10,NA,NA,Blake,NA,Petersham,MA,NA,NA,NA,NA,note on specimen reads: 'H.M R !',HF herbarium
Aceraceae,Acer,saccharum,1909,5,10,NA,H.J. Miles,NA,NA,MA,NA,NA,NA,NA,note on specimen reads: 'H.M R !',HF herbarium
Aceraceae,Acer,spicatum,1913,8,19,26,S.M. Dohanian,NA,Phillipston/Petersham,MA,PH,NA,NA,NA,NA,HF herbarium
Aceraceae,Acer,spicatum,1947,6,23,32,W.D. Beal Jr.,NA,Petersham,MA,SC,8,SE end of SC 8,NA,NA,HF herbarium
Aceraceae,Acer,spicatum,1947,7,14,127,W.D. Beal Jr.,NA,Petersham,MA,SC,8,beyond abandoned farm,along woods road,NA,HF herbarium
Aceraceae,Acer,spicatum,1947,6,23,1615,C. E. Smith Jr.,NA,Petersham,MA,SC,8,NA,NA,NA,Brandeis
Aceraceae,Acer,spicatum,1947,6,30,1990,C. E. Smith Jr.,NA,Petersham,MA,NA,NA,Pierce Rd.,NA,NA,Brandeis
Aceraceae,Acer,spicatum,1934,7,18,5453,H.M. Raup,red,NA,NH,Pisgah,NA,moist ravine; Pisgah tract,NA,NA,HF herbarium
Aceraceae,Acer,spicatum,1908,10,7,NA,H.J. Miles,NA,Petersham,MA,SC,NA,NA,NA,NA,HF herbarium
Aceraceae,Acer,spicatum,1912,9,25,NA,NA,NA,Phillipston/Petersham,MA,PH,NA,NA,NA,NA,HF herbarium
Aceraceae,Acer,spicatum,1910,9,30,NA,J.S. Rogers,red,NA,MA,NA,NA,South Athol Rd.,NA,note on specimen reads: 'H.M R !',HF herbarium
Aceraceae,Acer,spicatum,1910,9,30,NA,F.S. Fuller & Paul Kneeland,red,NA,MA,NA,NA,South Athol Rd.,NA,note on specimen reads: 'H.M R !',HF herbarium
Acoraceae,Acorus,calamus,1947,7,19,182,I.M. Johnston,NA,Petersham,MA,NA,NA,Junction S. of Petersham Center in bog,in bog,NA,HF herbarium
Acoraceae,Acorus,calamus,1947,7,19,1905,C. E. Smith Jr.,NA,Petersham,MA,NA,NA,near Nichewaug Rd.,NA,NA,Brandeis
Adiantaceae,Adiantum,pedatum,NA,7,12,94,Mrs. Gast,NA,NA,MA,NA,NA,French Place,NA,note on specimen reads: ' ! R. Tryon 1973',HF herbarium
Adiantaceae,Adiantum,pedatum,1947,8,9,201,I.M. Johnston,NA,Petersham,MA,NA,NA,Camel's Hump,ledges on wooded cliffs,note on specimen reads: ' ! R. Tryon 1973',HF herbarium
Adiantaceae,Adiantum,pedatum,1947,8,9,201,I.M. Johnston,NA,Petersham,MA,NA,NA,Camel's Hump,ledges on wooded cliffs,note on specimen reads: ' ! R. Tryon 1973',HF herbarium
Adiantaceae,Adiantum,pedatum,1947,8,20,260,I.M. Johnston,NA,Petersham,MA,TS,4,NA,margin of damp place in shady forest,note on specimen reads: ' ! R. Tryon 1973',HF herbarium
Adiantaceae,Adiantum,pedatum,1947,8,21,291,W.D. Beal Jr.,NA,Petersham,MA,TS,4,eastern part ,moist woods; just out of the swale,note on specimen reads: ' ! R. Tryon 1973',HF herbarium
Adiantaceae,Adiantum,pedatum,1933,8,25,4729,H.M. Raup,NA,Petersham,MA,TS,NA,woods E. of pond; TS tract,rich woods,note on specimen reads: ' ! R. Tryon 1973',HF herbarium
Alismataceae,Alisma,plantago-aquatica,2005,9,20,HF 2005-737,GM,NA,Petersham,MA,TS,8,telephone right-of way at edge of wetland,NA,NA,HF survey 2004-2007
Alismataceae,Sagittaria,latifolia,1957,8,8,91,M.H. Zimmermann,red,Athol,MA,NA,NA,swamp south of Lake Ellis,NA,sheet 1 of 3 specimens,HF herbarium
Alismataceae,Sagittaria,latifolia,1957,8,8,91,M.H. Zimmermann,red,Athol,MA,NA,NA,swamp south of Lake Ellis,NA,sheet 2 of 3 specimens,HF herbarium
Alismataceae,Sagittaria,latifolia,1957,8,8,91,M.H. Zimmermann,red,Athol,MA,NA,NA,swamp south of Lake Ellis,NA,sheet 3 of 3 specimens,HF herbarium
Alismataceae,Sagittaria,latifolia,1947,8,19,274,W.D. Beal Jr.,NA,Athol/Petersham,NA,NA,NA,Riceville Reservoir,along moist shore,NA,HF herbarium
Alismataceae,Sagittaria,latifolia,1933,9,27,5038,H.M. Raup,NA,Petersham,MA,TS,9,Adams Fay Tract,margin of stream,NA,HF herbarium
Alismataceae,Sagittaria,latifolia,1933,9,28,5049,H.M. Raup,NA,Petersham,MA,SC,NA,NA,along bank of stream,NA,HF herbarium
Alismataceae,Sagittaria,latifolia,1934,7,12,5434,H.M. Raup,NA,Petersham,MA,NA,NA,stream near Athol Rd.,along stream,NA,HF herbarium
Alismataceae,Sagittaria,latifolia,1934,7,24,5531,H.M. Raup,NA,Petersham,MA,NA,NA,margin of pond in Tom Swamp,NA,NA,HF herbarium
Alismataceae,Sagittaria,latifolia,2005,8,30,HF 2005-625,GM; KW; JJ,NA,Petersham,MA,TS,11,bog island,NA,NA,HF survey 2004-2007
Amaranthaceae,Amaranthus,retroflexus,2005,9,5,HF 2005-665,GM; JJ,NA,Petersham,MA,PH,2,sawmill,NA,NA,HF survey 2004-2007
Anacardiaceae,Cotinus,obovatus,1934,7,7,5321,Mrs. Gast,NA,NA,MA,NA,NA,NA,NA,updated from Rhus cotinoides; KE '78,HF herbarium
Anacardiaceae,Rhus,copallinum,1908,11,NA,NA,R.R. Chaffee,NA,Petersham,MA,NA,NA,Athol Rd.; near H.F.S,NA,NA,HF herbarium
Anacardiaceae,Rhus,copallinum,1908,10,9,NA,J.G. Jack,NA,Petersham,MA,TS,NA,Meadow Swamp tract,NA,NA,HF herbarium
Anacardiaceae,Rhus,copallinum,2005,9,2,HF 2005-659,GM; JJ,NA,Petersham,MA,PH,9,gravel pit,NA,NA,HF survey 2004-2007
Anacardiaceae,Rhus,glabra,1947,7,14,120,W.D. Beal Jr.,NA,Petersham,MA,SC,8,near abandoned barn,along road,NA,HF herbarium
Anacardiaceae,Rhus,glabra,1947,8,5,202,W.D. Beal Jr.,NA,Petersham,MA,PH,NA,behind HF buildings,along stone wall,NA,HF herbarium
Anacardiaceae,Rhus,glabra,1933,9,26,4934,H.M. Raup,NA,Phillipston/Petersham,MA,PH,NA,NA,NA,NA,HF herbarium
Anacardiaceae,Rhus,glabra,1908,10,7,NA,NA,NA,Petersham,MA,SC,NA,NA,NA,NA,HF herbarium
Anacardiaceae,Rhus,glabra,1908,10,8,NA,J.G. Jack,NA,Petersham,MA,NA,NA,NA,NA,NA,HF herbarium
Anacardiaceae,Rhus,hirta,1947,8,5,201,W.D. Beal Jr.,NA,Petersham,MA,PH,NA,behind HF buildings,stone wall; bordering moist field; near creek,updated from R. typhina,HF herbarium
Anacardiaceae,Rhus,hirta,1933,9,26,4935,H.M. Raup,NA,Phillipston/Petersham,MA,PH,NA,NA,NA,updated from R. typhina,HF herbarium
Anacardiaceae,Toxicodendron,radicans,1947,8,5,215,W.D. Beal Jr.,NA,Petersham,MA,PH,NA,along Kitchen Rd.; N. of HF buildings,on stone wall,updated from Rhus toxicodendron; WL '93,HF herbarium
Apiaceae,Aegopodium,podagraria,2005,7,27,HF 2005-229,GM; KW; JJ,NA,Petersham,MA,PH,9,Rt 32 meadow opp graveyard,NA,NA,HF survey 2004-2007
Apiaceae,Aegopodium,podagraria,2005,7,26,HF 2005-231B,GM; KW; JJ,NA,Petersham,MA,PH,9,Rt 32 meadow opp graveyard,NA,part II of same sample,HF survey 2004-2007
Apiaceae,Aegopodium,podagraria,2005,7,26,HF 2005-231C,GM; KW; JJ,NA,Petersham,MA,PH,9,Rt 32 meadow opp graveyard,NA,part III of same sample,HF survey 2004-2007
Apiaceae,Angelica,atropurpurea,1947,7,6,128,I.M. Johnston,NA,Petersham,MA,NA,NA,road juntion about 1mile NE of Nichewaug,marsh fields,sheet 1 of 2,HF herbarium
Apiaceae,Angelica,atropurpurea,1947,7,6,128,I.M. Johnston,NA,Petersham,MA,NA,NA,road juntion about 1mile NE of Nichewaug,marsh fields,sheet 2 of 2,HF herbarium
Apiaceae,Angelica,atropurpurea,2005,9,19,HF 2005-722A,GM,NA,Petersham,MA,SC,6,island south of Quaker Dr. in Swift River; near Laportea,NA,near Laportea,HF survey 2004-2007
Apiaceae,Angelica,atropurpurea,2005,9,19,HF 2005-722B,GM,NA,Petersham,MA,SC,6,island south of Quaker Dr. in Swift River; near Laportea,NA,near Laportea,HF survey 2004-2007
Apiaceae,Carum,carvi,1947,7,13,13,J. Canright,NA,Petersham,MA,PH,2,NE of Admin. Building,dry field,NA,HF herbarium
Apiaceae,Carum,carvi,1934,7,7,5331,H.M. Raup,NA,Petersham,MA,PH,NA,field just North of Forest School building,NA,NA,HF herbarium
Apiaceae,Cicuta,bulbifera,1947,8,19,232,I.M. Johnston,NA,Athol/Petersham,MA,NA,NA,Riceville Pond,wet; sphagnum meadow,sheet 1 of 2,HF herbarium
Apiaceae,Cicuta,bulbifera,1947,8,19,232,I.M. Johnston,NA,Athol/Petersham,MA,NA,NA,Riceville Pond,wet; sphagnum meadow,sheet 2 of 2,HF herbarium
Apiaceae,Cicuta,bulbifera,1933,9,12,4884,H.M. Raup,NA,Petersham,MA,TS,NA,pond margin,NA,NA,HF herbarium
Apiaceae,Cicuta,maculata,2005,7,12,2005-498,P.B. Tomlinson,red,Orange,MA,NA,NA,Lake Mattawa; Orange; MA; lakeside next to boat ramp,NA,sample I,non HF; 2000-2007
Apiaceae,Cicuta,maculata,2005,7,12,2005-499,P.B. Tomlinson,red,Orange,MA,NA,NA,Lake Mattawa; Orange; MA; lakeside next to boat ramp,NA,Sample II,non HF; 2000-2007
Apiaceae,Cicuta,maculata,2005,7,12,2005-500,P.B. Tomlinson,red,Orange,MA,NA,NA,Lake Mattawa; Orange; MA; lakeside next to boat ramp,NA,Sample III,non HF; 2000-2007
Apiaceae,Cicuta,maculata,2005,7,13,HF 2005-260,GM; KW; JJ,NA,Petersham,MA,TS,6,NA,NA,NA,HF survey 2004-2007
Apiaceae,Cicuta,maculata,2005,8,10,HF 2005-365,GM; KW; JJ,NA,Petersham,MA,SC,6,shore of Connor's Pond,NA,NA,HF survey 2004-2007
Apiaceae,Daucus,carota,2005,9,13,HF 2005-760,GM,NA,Petersham,MA,PH,2,pasture,NA,NA,HF survey 2004-2007
Apiaceae,Heracleum,maximum,NA,7,12,25,Mrs. Gast,NA,NA,MA,NA,NA,Upham place,NA,updated from Hercleum lanatum; KE '78,HF herbarium
