Year, Month, EcoregionIndex, SpeciesName, CohortAge, CohortWoodB, CohortLeafB, MortalityAGEwood, MortalityAGEleaf, MortalityBIOwood, MortalityBIOleaf, availableWater,LAI,tlai,rlai,mineralNalloc, resorbedNalloc, limitLAI, limitH20, limitT, limitCapacity, limitN, maxNPP, Bmax, Bsite, Bcohort, soilTemp, actualWoodNPP, actualLeafNPP, NPPwood, NPPleaf, resorbedNused, mineralNused, Ndemand,deltaWood, deltaLeaf, totalMortalityWood, totalMortalityLeaf, 
1,7,1,querrubr,98,5210.3,9.9,0.05,0.00,3.13,0.00,8.25,1.36,1.38,0.99,0.55,0.08,0.47,0.72,0.95,0.93,0.76,268,32682,15626,5220.2,18.3,42.47,18.20,19.96,8.55,0.00,0.63,0.63,39.30,18.20,3.17,0.00,
1,7,1,querrubr,63,3401.7,8.2,0.00,0.00,2.04,0.00,8.25,0.93,0.96,0.97,0.55,0.28,0.36,0.72,0.95,0.93,1.00,268,32682,15683,3409.9,18.3,42.39,18.17,19.92,8.54,0.00,0.63,0.63,40.34,18.17,2.04,0.00,
1,7,1,acerrubr,63,2066.7,3.0,0.00,0.00,1.24,0.00,8.25,2.83,3.93,0.72,0.55,0.19,0.74,0.72,0.35,0.93,1.00,268,32682,15742,2069.7,18.3,27.16,18.11,12.77,8.51,0.00,0.57,0.57,25.92,18.11,1.24,0.00,
1,7,1,acerrubr,55,2308.0,2.5,0.00,0.00,1.38,0.00,8.25,2.75,4.20,0.66,0.55,0.48,0.73,0.72,0.35,0.92,1.00,268,32682,15786,2310.5,18.3,26.79,17.86,12.59,8.39,0.00,0.56,0.56,25.40,17.86,1.39,0.00,
1,7,1,querrubr,53,2611.7,7.2,0.00,0.00,1.57,0.00,8.25,0.73,0.77,0.95,0.55,0.85,0.29,0.72,0.95,0.92,1.00,268,32682,15829,2618.9,18.3,34.53,14.80,16.23,6.96,0.00,0.00,0.51,32.97,14.80,1.57,0.00,
1,8,1,querrubr,98,5249.6,28.1,0.05,0.00,3.15,0.00,9.31,1.39,1.39,1.00,0.19,0.08,0.48,0.90,0.94,0.92,0.26,268,32682,15877,5277.7,18.1,17.98,7.70,8.45,3.62,0.00,0.27,0.27,14.78,7.70,3.20,0.00,
1,8,1,querrubr,63,3442.0,26.4,0.00,0.00,2.07,0.00,9.31,0.97,0.97,1.00,0.19,0.28,0.37,0.90,0.94,0.92,0.58,268,32682,15900,3468.4,18.1,31.21,13.37,14.67,6.29,0.00,0.46,0.46,29.14,13.37,2.07,0.00,
1,8,1,acerrubr,63,2092.6,21.1,0.00,0.00,1.26,0.00,9.31,3.96,3.96,1.00,0.19,0.19,0.84,0.90,0.33,0.92,0.48,268,32682,15942,2113.7,18.1,17.81,11.87,8.37,5.58,0.00,0.00,0.37,16.55,11.87,1.26,0.00,
1,8,1,acerrubr,55,2333.4,20.4,0.00,0.00,1.40,0.00,9.31,4.22,4.22,1.00,0.19,0.48,0.86,0.90,0.33,0.92,0.84,268,32682,15971,2353.8,18.1,31.87,21.25,14.98,9.99,0.00,0.00,0.67,30.47,21.25,1.40,0.00,
1,8,1,querrubr,53,2644.7,22.0,0.00,0.00,1.59,0.00,9.31,0.77,0.77,1.00,0.19,0.85,0.30,0.90,0.94,0.92,1.00,268,32682,16023,2666.7,18.1,44.65,19.14,20.99,8.99,0.00,0.00,0.66,43.06,19.14,1.59,0.00,
