Time,EcoregionName,EcoregionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco311, 1, 1, 0, 3308.3, 15626, 326, 95.9, 107.8, 96.9, 2.64, 351.2, 10.4, 14.5, 7.3, 7331.2, 1413.5, 557.4, 146, 22, 4.9, 11.9, 0.7, 33.1, 37.9, 848.4, 2389, 0.7, 0.2, 23.6, 17.1, 1.8, 1.8, 0.1, 0.3, 0.1, 0.1, 1.4, 3.7, 16, 281.8, 0.1, -0.1, 0.1, 0.5, 2.6, 3.9, -2.7, 0.2, 95.03, 1.57, 0.3, 0, 0, 5.1, 2.2, 306.1, 0.02, 0, 
1, eco311, 1, 1, -270, 3321.9, 16075, 372.5, 110, 107.7, 54.1, 2.45, 353.7, 8.7, 31, 15.5, 7525.5, 1451, 542.9, 143.8, 28, 8.8, 16.1, 1.6, 37.2, 40, 857.7, 2387, 1.5, 0.4, 24.2, 17.6, 1.8, 1.7, 0.1, 0.4, 0.1, 0.1, 1.8, 3.8, 16.2, 281.6, 0.1, -0.3, 0, 0.4, 2.1, 3.1, -2, 0.2, 1.14, 1.77, 0.27, 0, 0, 4.3, 2.2, 306.6, 0.02, 0, 
2, eco311, 1, 1, -328, 3352.2, 16623, 465.4, 137.9, 152, 55.8, 3.12, 357, 11.8, 35.4, 17.7, 7778.7, 1500, 523.1, 140.4, 33.5, 9.4, 20.1, 1.6, 41.9, 42.6, 882.8, 2384.9, 1.7, 0.4, 25, 18.2, 1.7, 1.7, 0.2, 0.5, 0.1, 0.1, 2.2, 4.1, 16.6, 281.3, 0.1, -0.3, 0.1, 0.6, 3.1, 3.8, -2.7, 0.2, 1.14, 2.02, 0.34, 0, 0, 4.3, 3.1, 308.2, 0.02, 0, 
3, eco311, 1, 1, -381.9, 3391.4, 17274, 530.4, 157.2, 180.6, 57.9, 3.46, 360.3, 13.5, 37.2, 18.6, 8082.4, 1558.6, 506.2, 137.4, 39.5, 11.4, 24.2, 1.9, 46, 45.5, 917.2, 2382.6, 1.8, 0.4, 26, 18.9, 1.6, 1.7, 0.2, 0.6, 0.1, 0.2, 2.5, 4.5, 17.2, 281.1, 0.1, -0.3, 0.1, 0.8, 3.7, 4.3, -3, 0.2, 1.14, 2.42, 0.41, 0, 0, 5.2, 3.7, 309.8, 0.02, 0, 
4, eco311, 1, 1, -215.5, 3427.4, 17618, 363.3, 107.5, 153.9, 59.9, 3.76, 361, 11.5, 8.8, 4.4, 8273.5, 1595.5, 507.8, 137.9, 42.8, 13.5, 25.8, 2.6, 48.7, 47.5, 950.2, 2380.9, 0.4, 0.1, 26.7, 19.4, 1.6, 1.7, 0.2, 0.6, 0.1, 0.2, 2.7, 4.7, 17.9, 280.9, 0.1, -0.2, 0.1, 0.5, 3.3, 3.6, -2.6, 0.1, 1.14, 1.36, 0.28, 0, 0, 5.2, 3.2, 311.2, 0.02, 0, 
5, eco311, 1, 1, -362.4, 3449.8, 18259, 501.4, 147.6, 139.5, 61.4, 3.93, 364.1, 13, 35.2, 17.6, 8547.7, 1648.4, 501.2, 136.8, 35, 7.3, 19.7, 1.1, 42.7, 46.5, 981.7, 2378.9, 1.7, 0.4, 27.5, 20, 1.6, 1.7, 0.2, 0.4, 0.1, 0.1, 2.3, 4.8, 18.7, 280.7, 0.1, -0.3, 0.1, 0.5, 3.9, 4.4, -3.3, 0.2, 1.14, 2.83, 0.52, 0, 0, 5.3, 2.9, 311.2, 0.02, 0, 
6, eco311, 1, 1, -279.2, 3473.9, 18646, 389.7, 114.6, 144, 63.2, 3.03, 364.7, 10.2, 19.9, 9.9, 8745.5, 1686.5, 510.7, 138.7, 44.8, 17.8, 26.4, 3.7, 47.4, 49.1, 1000.1, 2377.3, 1, 0.2, 28.2, 20.5, 1.7, 1.7, 0.2, 0.8, 0.1, 0.2, 2.6, 4.8, 19.2, 280.5, 0.1, -0.2, 0.1, 0.4, 2.6, 3.6, -2.3, 0.1, 1.14, 1.08, 0.25, 0, 0, 6, 3, 311.5, 0.02, 0, 
7, eco311, 1, 1, -352.6, 3489.5, 19281, 472.2, 138.5, 109.4, 64.4, 3.71, 368.9, 11.6, 65.4, 32.7, 8998.5, 1735.2, 512.3, 139.2, 32.6, 5.7, 17.1, 0.7, 41.4, 47.4, 1025.3, 2375.5, 3.2, 0.8, 29, 21, 1.7, 1.7, 0.2, 0.3, 0.1, 0.1, 2.1, 4.9, 20, 280.3, 0.1, -0.2, 0.1, 0.4, 3.5, 3.9, -2.9, 0.1, 1.14, 1.55, 0.34, 0, 0, 5, 2.3, 311.6, 0.02, 0, 
8, eco311, 1, 1, -311.5, 3528.9, 19709, 450, 132.9, 183, 66.5, 4, 370.7, 12.4, 32.4, 16.2, 9232, 1780.3, 520.8, 141.1, 45.6, 13.3, 25.7, 2.3, 49.2, 51.4, 1054.4, 2373.8, 1.6, 0.4, 29.7, 21.6, 1.7, 1.7, 0.2, 0.7, 0.1, 0.2, 2.8, 5.3, 20.7, 280.1, 0.1, -0.2, 0.1, 0.6, 3.3, 3.9, -3, 0.1, 1.14, 1.84, 0.34, 0, 0, 4.9, 3.8, 314.1, 0.03, 0, 
9, eco311, 1, 1, -415.3, 3559.8, 20434, 594.3, 174.3, 184.7, 68.7, 4.44, 373.8, 16.5, 42.5, 21.3, 9562.7, 1843.9, 510.9, 139.4, 40.5, 8.1, 21.5, 1.1, 46.2, 51.5, 1090.5, 2371.6, 2.1, 0.5, 30.8, 22.3, 1.7, 1.7, 0.2, 0.4, 0.1, 0.1, 2.6, 5.4, 21.6, 279.8, 0.1, -0.3, 0.1, 0.7, 4.7, 5.7, -4.2, 0.2, 1.14, 2.02, 0.45, 0, 0, 6.8, 3.9, 314.7, 0.03, 0, 
10, eco311, 1, 1, -401.1, 3586.4, 21111, 569.3, 167.2, 180.4, 71, 4.7, 376.9, 15.6, 49.4, 24.7, 9873.8, 1903.8, 508, 138.9, 38.7, 7, 19.8, 0.9, 44.3, 51.9, 1120.6, 2369.5, 2.4, 0.6, 31.8, 23, 1.6, 1.7, 0.2, 0.4, 0.1, 0.1, 2.4, 5.5, 22.7, 279.6, 0.1, -0.2, 0.1, 0.6, 4.3, 5.3, -4.1, 0.2, 1.11, 1.35, 0.32, 0, 0, 7, 3.8, 315.8, 0.03, 0, 
11, eco311, 1, 1, -408.2, 3611.2, 21789, 579.1, 170.4, 187.3, 73.2, 4.58, 379.6, 16.1, 53.4, 26.7, 10188.4, 1964.4, 506.6, 138.8, 39, 7.6, 20.6, 1, 44.7, 52.9, 1146.2, 2367.4, 2.6, 0.6, 32.8, 23.8, 1.6, 1.7, 0.2, 0.4, 0.1, 0.1, 2.4, 5.7, 23.5, 279.4, 0.1, -0.2, 0.1, 0.7, 4.2, 5.8, -4.3, 0.2, 1.02, 1.76, 0.45, 0, 0, 6.7, 3.9, 316.5, 0.03, 0, 
12, eco311, 1, 1, -369.8, 3639.8, 22406, 551.1, 162.1, 195.3, 75.6, 4.69, 381.7, 16.3, 44.4, 22.2, 10488.3, 2022.2, 510.3, 139.6, 40.8, 7.9, 21.9, 1, 46.3, 54.5, 1173.6, 2365.4, 2.1, 0.5, 33.7, 24.5, 1.6, 1.7, 0.2, 0.4, 0.1, 0.1, 2.6, 5.9, 24.3, 279.1, 0.1, -0.3, 0.1, 0.7, 4.3, 5.7, -4.3, 0.2, 1, 3.28, 0.68, 0, 0, 6.8, 4.1, 317.5, 0.03, 0, 
13, eco311, 1, 1, -451.3, 3667.1, 23145, 636.9, 187.1, 211, 78.1, 4.64, 384.4, 17.7, 42.8, 21.4, 10837.5, 2089.5, 510.5, 139.7, 43.7, 9.6, 23.6, 1.4, 48.1, 56, 1199.9, 2363.2, 2.1, 0.5, 34.9, 25.3, 1.6, 1.7, 0.2, 0.5, 0.1, 0.1, 2.7, 6, 25.1, 278.9, 0.1, -0.2, 0.1, 0.8, 4.6, 6.3, -4.6, 0.2, 0.89, 2.82, 0.5, 0, 0, 7.6, 4.4, 318.3, 0.03, 0, 
14, eco311, 1, 1, -417.4, 3686.3, 23879, 593.6, 175, 188.4, 80.5, 4.13, 387.1, 16.4, 58.3, 29.2, 11166.5, 2153, 516.8, 141, 42.3, 8.7, 23, 1.1, 47.1, 56.6, 1221.5, 2361.1, 2.8, 0.7, 35.9, 26, 1.7, 1.7, 0.2, 0.5, 0.1, 0.1, 2.7, 6.1, 25.7, 278.7, 0.1, -0.2, 0.1, 0.7, 4.3, 5.9, -4.2, 0.2, 0.87, 3.81, 0.62, 0, 0, 7.7, 3.9, 318.2, 0.03, 0, 
15, eco311, 1, 1, -395.2, 3701.4, 24581, 611.4, 179.6, 197.7, 82.9, 5.12, 390.1, 18.9, 61.9, 30.9, 11493.8, 2216, 514.2, 140.7, 35.9, 5.3, 18.5, 0.6, 43.1, 55.6, 1243.9, 2358.8, 3, 0.7, 37, 26.8, 1.7, 1.7, 0.2, 0.3, 0.1, 0.1, 2.3, 6.1, 26.6, 278.4, 0.1, -0.2, 0.1, 0.8, 5, 7, -5.3, 0.2, 0.84, 2.17, 0.45, 0, 0, 6.7, 4.1, 319.3, 0.03, 0, 
16, eco311, 1, 1, -358.8, 3731.5, 25103, 533.6, 156.8, 212, 85.4, 4.24, 390.8, 15.9, 29.4, 14.7, 11771.7, 2269.6, 532.9, 144.4, 49.2, 14, 27.6, 2.3, 51.2, 59.5, 1263.8, 2357, 1.4, 0.4, 37.9, 27.4, 1.7, 1.8, 0.3, 0.7, 0.1, 0.2, 2.9, 6.5, 27.1, 278.2, 0.1, -0.2, 0.1, 0.7, 3.9, 5.7, -4.1, 0.2, 0.93, 3.01, 0.53, 0, 0, 7.7, 4.4, 320.2, 0.03, 0, 
17, eco311, 1, 1, -439, 3754.3, 25858, 621.6, 183, 195.7, 87.7, 4.68, 394.2, 17.6, 45.6, 22.8, 12111.7, 2335.1, 545.7, 147.1, 45.8, 9.9, 25, 1.4, 50, 59.8, 1289.5, 2355, 2.2, 0.5, 38.9, 28.2, 1.8, 1.8, 0.2, 0.5, 0.1, 0.1, 2.8, 6.6, 27.6, 278, 0.1, -0.3, 0.1, 0.8, 4.7, 6.3, -4.6, 0.2, 0.98, 4.91, 0.77, 0, 0, 7.4, 4, 320.7, 0.03, 0, 
18, eco311, 1, 1, -384.7, 3762.2, 26540, 573.8, 168.2, 172.4, 89.9, 4.3, 395.9, 17.1, 63.7, 31.9, 12413.7, 2393.2, 555.5, 149.4, 38.8, 6.8, 20, 0.9, 46, 58.6, 1304.6, 2353, 3.1, 0.7, 39.9, 28.9, 1.8, 1.8, 0.2, 0.4, 0.1, 0.1, 2.5, 6.3, 28, 277.8, 0.1, -0.3, 0.1, 0.6, 4.5, 6.4, -4.4, 0.2, 0.72, 4.28, 0.69, 0, 0, 8, 3.6, 319.7, 0.03, 0, 
19, eco311, 1, 1, -258.9, 3771.7, 26994, 472.4, 138.9, 176.2, 91.9, 4.53, 396.8, 16.8, 46.7, 23.3, 12643.5, 2437.5, 566.6, 151.9, 36.9, 6.4, 19, 0.8, 44.9, 58.4, 1317.3, 2351, 2.3, 0.6, 40.6, 29.4, 1.8, 1.8, 0.2, 0.4, 0.1, 0.1, 2.3, 6.4, 28.6, 277.6, 0.1, -0.2, 0.1, 0.6, 4.2, 6.4, -4.8, 0.2, 0.66, 1.69, 0.34, 0, 0, 6.8, 3.7, 320.3, 0.03, 0, 
20, eco311, 1, 1, -398.9, 3775.6, 27698, 628.6, 184.8, 203.1, 94.2, 5.09, 399.4, 19.7, 50.9, 25.5, 12970.6, 2500.5, 565.2, 152.1, 34.2, 4.8, 17.4, 0.5, 42.8, 58, 1326.2, 2348.7, 2.5, 0.6, 41.7, 30.2, 1.8, 1.8, 0.2, 0.3, 0.1, 0.1, 2.2, 6.6, 29, 277.3, 0.1, -0.2, 0.1, 0.8, 4.8, 7.6, -5.8, 0.2, 0.8, 5.94, 0.98, 0, 0, 7.2, 4.2, 320.8, 0.03, 0, 
21, eco311, 1, 1, -260.6, 3778.6, 28151, 479.9, 141.1, 177.5, 96.3, 4.65, 399.6, 17.1, 34.7, 17.3, 13200.8, 2544.9, 575.3, 154.4, 34.9, 6.5, 18.4, 0.8, 43.4, 58.3, 1330.3, 2346.6, 1.7, 0.4, 42.4, 30.7, 1.9, 1.9, 0.2, 0.4, 0.1, 0.1, 2.2, 6.5, 29.5, 277.1, 0.1, -0.1, 0.1, 0.7, 4, 6.9, -5.1, 0.2, 0.79, 1.71, 0.35, 0, 0, 7.8, 3.7, 320.7, 0.03, 0, 
22, eco311, 1, 1, -264.2, 3765.9, 28624, 461.8, 135.5, 141.7, 97.8, 3.91, 400, 15.9, 44.5, 22.3, 13413.2, 2585.7, 587.1, 157.1, 30.4, 5, 15.3, 0.6, 39.9, 56.9, 1324.6, 2344.5, 2.1, 0.5, 43.1, 31.2, 1.9, 1.9, 0.2, 0.3, 0.1, 0.1, 1.9, 6.4, 29.5, 276.9, 0.1, -0.2, 0.1, 0.5, 3.6, 6.7, -4.9, 0.2, 0.75, 3.59, 0.61, 0, 0, 7.2, 3, 319.3, 0.03, 0, 
