Time,EcoregionName,EcoregionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco311, 1, 1, 0, 3308.3, 15626, 326, 95.9, 107.8, 96.9, 2.64, 351.2, 10.4, 14.5, 7.3, 7331.2, 1413.5, 557.4, 146, 22, 4.9, 11.9, 0.7, 33.1, 37.9, 848.4, 2389, 0.7, 0.2, 23.6, 17.1, 1.8, 1.8, 0.1, 0.3, 0.1, 0.1, 1.4, 3.7, 16, 281.8, 0.1, -0.1, 0.1, 0.5, 2.6, 3.9, -2.7, 0.2, 95.03, 1.57, 0.3, 0, 0, 5.1, 2.2, 306.1, 0.02, 0, 
1, eco311, 1, 1, -270, 3321.9, 16075, 372.5, 110, 107.7, 54.1, 2.45, 353.7, 8.7, 31, 15.5, 7525.5, 1451, 542.9, 143.8, 28, 8.8, 16.1, 1.6, 37.2, 40, 857.7, 2387, 1.5, 0.4, 24.2, 17.6, 1.8, 1.7, 0.1, 0.4, 0.1, 0.1, 1.8, 3.8, 16.2, 281.6, 0.1, -0.3, 0, 0.4, 2.1, 3.1, -2, 0.2, 1.14, 1.77, 0.27, 0, 0, 4.3, 2.2, 306.6, 0.02, 0, 
2, eco311, 1, 1, -335.7, 3354.5, 16660, 474.1, 140.4, 156.9, 55.9, 3.15, 357.3, 11.9, 37.2, 18.6, 7794.5, 1503, 523.2, 140.4, 34.5, 9.7, 20.5, 1.6, 42.5, 42.9, 884.2, 2384.9, 1.8, 0.4, 25.1, 18.2, 1.7, 1.7, 0.2, 0.5, 0.1, 0.1, 2.2, 4.1, 16.6, 281.3, 0.1, -0.3, 0.1, 0.6, 3.2, 3.8, -2.7, 0.2, 1.14, 2.03, 0.34, 0, 0, 4.3, 3.2, 308.4, 0.02, 0, 
3, eco311, 1, 1, -384.3, 3393, 17288, 532.4, 157.7, 178.9, 58, 3.43, 360.3, 13.5, 37.1, 18.6, 8090, 1560.1, 506.4, 137.5, 39.6, 11.3, 24, 1.9, 46, 45.6, 918.8, 2382.6, 1.8, 0.4, 26.1, 18.9, 1.6, 1.7, 0.2, 0.6, 0.1, 0.2, 2.5, 4.5, 17.2, 281.1, 0.1, -0.3, 0.1, 0.8, 3.7, 4.4, -3.1, 0.2, 1.14, 2.43, 0.41, 0, 0, 5.2, 3.7, 309.8, 0.02, 0, 
4, eco311, 1, 1, -210.3, 3429.5, 17625, 359.9, 106.7, 155.2, 59.9, 3.77, 361.1, 11.5, 8.2, 4.1, 8277, 1596.3, 508, 137.9, 42.5, 13.5, 26.2, 2.6, 49, 47.6, 951.9, 2380.9, 0.4, 0.1, 26.7, 19.4, 1.6, 1.7, 0.2, 0.6, 0.1, 0.2, 2.7, 4.7, 18, 280.9, 0.1, -0.3, 0.1, 0.6, 3.3, 3.7, -2.6, 0.1, 1.14, 1.37, 0.29, 0, 0, 5.1, 3.2, 311.2, 0.03, 0, 
5, eco311, 1, 1, -351.1, 3450.8, 18247, 491.8, 145.1, 137.6, 61.4, 3.94, 364.1, 13, 34.1, 17, 8544, 1647.8, 501.3, 136.8, 34, 7.2, 20, 1.1, 42.6, 46.4, 982.8, 2378.9, 1.6, 0.4, 27.5, 20, 1.6, 1.7, 0.2, 0.4, 0.1, 0.1, 2.3, 4.8, 18.7, 280.7, 0.1, -0.3, 0.1, 0.6, 3.8, 4.4, -3.3, 0.2, 1.14, 2.83, 0.52, 0, 0, 5.2, 2.8, 311.2, 0.02, 0, 
6, eco311, 1, 1, -271.5, 3476.3, 18645, 385.1, 113.6, 147.6, 63.2, 3.05, 364.9, 10.3, 19.5, 9.8, 8745.3, 1686.7, 510.8, 138.8, 44.4, 18.1, 27.4, 3.9, 48.1, 49.3, 1001.6, 2377.3, 0.9, 0.2, 28.2, 20.5, 1.7, 1.7, 0.2, 0.8, 0.1, 0.3, 2.6, 4.9, 19.2, 280.5, 0.1, -0.2, 0.1, 0.5, 2.6, 3.6, -2.3, 0.1, 1.14, 1.09, 0.25, 0, 0, 6, 3, 311.7, 0.02, 0, 
7, eco311, 1, 1, -345.5, 3491.8, 19271, 467.2, 137.5, 109.1, 64.3, 3.85, 369.1, 11.7, 64.8, 32.4, 8993.9, 1734.6, 512.3, 139.3, 31.5, 5.6, 17.9, 0.8, 41.7, 47.4, 1027.2, 2375.5, 3.1, 0.8, 29, 21.1, 1.7, 1.7, 0.2, 0.3, 0.1, 0.1, 2.1, 4.9, 20, 280.3, 0.1, -0.3, 0.1, 0.4, 3.5, 3.9, -2.9, 0.1, 1.14, 1.55, 0.35, 0, 0, 4.8, 2.3, 311.8, 0.02, 0, 
8, eco311, 1, 1, -309.4, 3531.1, 19694, 448.5, 132.8, 183.2, 66.5, 4.05, 370.9, 12.4, 32.1, 16.1, 9225.4, 1779.4, 520.7, 141.1, 44.4, 13.3, 26.5, 2.4, 49.5, 51.5, 1056.3, 2373.8, 1.5, 0.4, 29.7, 21.7, 1.7, 1.7, 0.2, 0.7, 0.1, 0.2, 2.8, 5.3, 20.7, 280.1, 0.1, -0.3, 0.1, 0.7, 3.3, 4, -3, 0.1, 1.14, 1.84, 0.34, 0, 0, 4.9, 3.8, 314.2, 0.03, 0, 
9, eco311, 1, 1, -407.4, 3561.4, 20406, 587.9, 172.9, 184, 68.7, 4.48, 373.9, 16.5, 42.1, 21, 9550.7, 1842, 510.7, 139.4, 39.2, 8.1, 22.2, 1.1, 46.3, 51.5, 1092.1, 2371.6, 2, 0.5, 30.8, 22.4, 1.7, 1.7, 0.2, 0.4, 0.1, 0.1, 2.6, 5.4, 21.7, 279.8, 0.1, -0.3, 0.1, 0.7, 4.6, 5.7, -4.2, 0.2, 1.14, 2.02, 0.45, 0, 0, 6.7, 3.8, 314.8, 0.03, 0, 
10, eco311, 1, 1, -396.9, 3590.1, 21093, 568.9, 167.7, 185.4, 70.9, 4.8, 377.3, 15.7, 49.9, 24.9, 9866.8, 1903, 507.7, 138.9, 37.8, 7.1, 21.1, 0.9, 45.1, 52.1, 1123.3, 2369.5, 2.4, 0.6, 31.8, 23.2, 1.6, 1.7, 0.2, 0.4, 0.1, 0.1, 2.5, 5.6, 22.8, 279.6, 0.1, -0.3, 0.1, 0.7, 4.4, 5.4, -4.1, 0.2, 1.11, 1.36, 0.32, 0, 0, 7, 3.8, 316, 0.03, 0, 
11, eco311, 1, 1, -407.7, 3615.9, 21771, 580.8, 171.5, 189.8, 73.2, 4.66, 380, 16.2, 53.7, 26.8, 10180.9, 1963.7, 506.1, 138.7, 38, 7.7, 21.9, 1.1, 45.4, 53.1, 1150, 2367.4, 2.6, 0.6, 32.8, 23.9, 1.6, 1.7, 0.2, 0.4, 0.1, 0.1, 2.5, 5.8, 23.6, 279.4, 0.1, -0.3, 0.1, 0.7, 4.3, 5.8, -4.4, 0.2, 1.02, 1.77, 0.46, 0, 0, 7.3, 3.9, 316.7, 0.03, 0, 
12, eco311, 1, 1, -369.4, 3644.9, 22388, 552.4, 163.1, 197.1, 75.5, 4.74, 382.2, 16.4, 44.7, 22.4, 10480.1, 2021.5, 509.6, 139.5, 39.7, 7.9, 23.1, 1.1, 46.9, 54.7, 1178, 2365.4, 2.1, 0.6, 33.8, 24.6, 1.6, 1.7, 0.2, 0.4, 0.1, 0.1, 2.6, 6, 24.4, 279.1, 0.1, -0.3, 0.1, 0.7, 4.4, 5.8, -4.3, 0.2, 1, 3.29, 0.68, 0, 0, 6.8, 4.1, 317.7, 0.03, 0, 
13, eco311, 1, 1, -451.1, 3672.9, 23127, 638.6, 188.2, 213.5, 78.1, 4.7, 384.9, 17.8, 43.1, 21.5, 10828.8, 2088.7, 509.5, 139.6, 42.6, 9.7, 24.8, 1.4, 48.7, 56.3, 1204.8, 2363.2, 2.1, 0.5, 34.9, 25.4, 1.6, 1.7, 0.2, 0.5, 0.1, 0.1, 2.7, 6.1, 25.2, 278.9, 0.1, -0.2, 0.1, 0.8, 4.6, 6.4, -4.6, 0.2, 0.89, 2.83, 0.5, 0, 0, 7.7, 4.4, 318.6, 0.03, 0, 
14, eco311, 1, 1, -419.3, 3690.7, 23845, 594.5, 175.8, 186.4, 80.4, 4.13, 387.4, 16.4, 58.3, 29.1, 11151.2, 2150.9, 515.5, 140.9, 40.9, 8.6, 23.6, 1.1, 47.1, 56.7, 1225.8, 2361.1, 2.8, 0.7, 36, 26.2, 1.7, 1.7, 0.2, 0.5, 0.1, 0.1, 2.6, 6.1, 25.8, 278.7, 0.1, -0.3, 0.1, 0.7, 4.3, 5.9, -4.3, 0.2, 0.87, 3.82, 0.63, 0, 0, 7.7, 3.8, 318.3, 0.03, 0, 
15, eco311, 1, 1, -403.4, 3710.1, 24594, 623.9, 183.8, 207.8, 82.9, 5.24, 391.1, 19.3, 63.9, 32, 11497.9, 2217.8, 512.8, 140.5, 35.8, 5.5, 20, 0.6, 44.3, 56.2, 1250.8, 2358.8, 3.1, 0.8, 37.1, 27, 1.7, 1.7, 0.2, 0.3, 0.1, 0.1, 2.4, 6.2, 26.8, 278.4, 0.1, -0.3, 0.1, 0.9, 5.1, 7.1, -5.3, 0.2, 0.84, 2.19, 0.46, 0, 0, 6.8, 4.3, 319.7, 0.03, 0, 
16, eco311, 1, 1, -380.9, 3744.7, 25161, 558, 164.4, 222.9, 85.6, 4.34, 392, 16.3, 32.4, 16.2, 11797.5, 2275.6, 531.3, 144.2, 50.3, 14.6, 29.6, 2.4, 53.1, 60.5, 1274.2, 2357, 1.5, 0.4, 38.1, 27.7, 1.7, 1.8, 0.3, 0.8, 0.2, 0.2, 3.1, 6.6, 27.3, 278.2, 0.1, -0.2, 0.1, 0.8, 4, 5.8, -4.2, 0.2, 0.93, 3.06, 0.54, 0, 0, 8, 4.6, 320.8, 0.03, 0, 
17, eco311, 1, 1, -451.5, 3769.6, 25921, 637.1, 188, 200.9, 87.9, 4.75, 395.4, 18, 47.1, 23.5, 12139.9, 2341.7, 544.1, 147, 46.1, 10.1, 26.5, 1.5, 51.3, 60.6, 1302.6, 2355.1, 2.2, 0.6, 39.2, 28.6, 1.8, 1.8, 0.2, 0.6, 0.1, 0.1, 2.9, 6.6, 27.9, 278, 0.1, -0.3, 0.1, 0.8, 4.8, 6.4, -4.6, 0.2, 0.98, 4.99, 0.79, 0, 0, 7.5, 4.1, 321.3, 0.03, 0, 
18, eco311, 1, 1, -391.2, 3779.6, 26611, 584.6, 172, 178.7, 90.1, 4.42, 397.3, 17.5, 64.8, 32.4, 12446.6, 2400.8, 553.8, 149.2, 38.5, 7, 21.7, 0.9, 47.3, 59.5, 1319.8, 2353, 3.1, 0.8, 40.2, 29.3, 1.8, 1.8, 0.2, 0.4, 0.1, 0.1, 2.6, 6.5, 28.3, 277.8, 0.1, -0.4, 0.1, 0.7, 4.6, 6.6, -4.5, 0.2, 0.72, 4.35, 0.7, 0, 0, 8.1, 3.7, 320.4, 0.03, 0, 
19, eco311, 1, 1, -261.9, 3790.2, 27070, 479.7, 141.7, 181, 92.1, 4.69, 398.2, 17.1, 47.1, 23.5, 12679.2, 2445.8, 564.7, 151.8, 36.3, 6.6, 20.5, 0.9, 46.1, 59.2, 1333.9, 2351.1, 2.2, 0.6, 40.9, 29.8, 1.8, 1.8, 0.2, 0.4, 0.1, 0.1, 2.4, 6.6, 29, 277.6, 0.1, -0.3, 0.1, 0.7, 4.3, 6.6, -4.9, 0.2, 0.66, 1.72, 0.35, 0, 0, 6.9, 3.7, 321, 0.03, 0, 
20, eco311, 1, 1, -401.9, 3794.8, 27780, 636.2, 187.9, 208.1, 94.4, 5.23, 400.9, 20, 51.1, 25.5, 13008.9, 2509.4, 563.1, 151.9, 33.4, 4.9, 18.9, 0.5, 43.8, 58.7, 1343.6, 2348.7, 2.4, 0.6, 42, 30.6, 1.8, 1.9, 0.2, 0.3, 0.1, 0.1, 2.2, 6.7, 29.5, 277.3, 0.1, -0.3, 0.1, 0.9, 4.9, 7.7, -5.9, 0.2, 0.8, 6.02, 1, 0, 0, 7.2, 4.3, 321.5, 0.03, 0, 
21, eco311, 1, 1, -261.6, 3798, 28233, 484.6, 143.1, 181, 96.6, 4.73, 401.1, 17.4, 34.7, 17.4, 13240.2, 2554.1, 573, 154.3, 34, 6.6, 19.7, 0.9, 44.3, 59, 1348, 2346.6, 1.6, 0.4, 42.7, 31.2, 1.9, 1.9, 0.2, 0.4, 0.1, 0.1, 2.2, 6.7, 29.9, 277.1, 0.1, -0.2, 0.1, 0.7, 4, 7.1, -5.2, 0.2, 0.79, 1.73, 0.36, 0, 0, 8, 3.7, 321.4, 0.03, 0, 
22, eco311, 1, 1, -260.7, 3784.7, 28704, 462, 136.2, 143.5, 98.1, 3.98, 401.5, 16.1, 44.5, 22.2, 13450.8, 2594.7, 584.6, 157, 29.3, 5, 16.5, 0.6, 40.5, 57.5, 1342, 2344.6, 2.1, 0.6, 43.4, 31.7, 1.9, 1.9, 0.2, 0.3, 0.1, 0.1, 1.9, 6.6, 30, 276.9, 0.1, -0.2, 0.1, 0.5, 3.7, 6.8, -5, 0.2, 0.75, 3.63, 0.62, 0, 0, 7.2, 3, 319.9, 0.03, 0, 
