Time,Month,EcoregionName,EcoregionIndex,NumSites,ppt,airtemp,avgNPPtc,avgResp,avgNEE,Ndep,StreamN,
1, 7, eco311, 1, 1, 13.2, 18.1, 158.64, 30.97, -127.66, 0.09, 0.03, 
1, 8, eco311, 1, 1, 15.3, 17.8, 132.21, 29.81, -102.39, 0.09, 0.04, 
1, 9, eco311, 1, 1, 1.2, 16.3, 52.6, 11.65, -40.95, 0.09, 0, 
1, 10, eco311, 1, 1, 2.5, 4.6, 16.98, 26.77, 9.79, 0.09, 0, 
1, 11, eco311, 1, 1, 13.4, 1.7, 0, 20.82, 20.82, 0.09, 0, 
1, 12, eco311, 1, 1, 6.9, -2.8, 0, 0.46, 0.46, 0.09, 0, 
1, 1, eco311, 1, 1, 5.1, -5.2, 0, 0.4, 0.4, 0.09, 0, 
1, 2, eco311, 1, 1, 5.8, -4.2, 0, 0.42, 0.42, 0.09, 0, 
1, 3, eco311, 1, 1, 11, -1.5, 0, 0.49, 0.49, 0.09, 0, 
1, 4, eco311, 1, 1, 8, 4.8, 1.94, 23.04, 21.09, 0.09, 0.07, 
1, 5, eco311, 1, 1, 6, 12.4, 16.94, 33.65, 16.7, 0.09, 0.09, 
1, 6, eco311, 1, 1, 10.7, 16.9, 103.24, 34.06, -69.18, 0.09, 0.03, 
2, 7, eco311, 1, 1, 15.7, 20.2, 185.3, 39.73, -145.57, 0.09, 0.05, 
2, 8, eco311, 1, 1, 10.8, 20, 122.93, 28.79, -94.14, 0.09, 0.02, 
2, 9, eco311, 1, 1, 13.6, 14.1, 115.59, 56.41, -59.19, 0.09, 0.04, 
2, 10, eco311, 1, 1, 10.5, 7.1, 42.57, 33.73, -8.84, 0.09, 0.02, 
2, 11, eco311, 1, 1, 11.7, 3.1, 0, 24.43, 24.43, 0.09, 0, 
2, 12, eco311, 1, 1, 15.9, -3.1, 0, 0.48, 0.48, 0.09, 0, 
2, 1, eco311, 1, 1, 4.7, -5.2, 0, 0.42, 0.42, 0.09, 0, 
2, 2, eco311, 1, 1, 6.2, -8.6, 0, 0.34, 0.34, 0.09, 0, 
2, 3, eco311, 1, 1, 15.5, -1.7, 0, 0.52, 0.52, 0.09, 0.03, 
2, 4, eco311, 1, 1, 9.7, 7.2, 5.54, 28.55, 23.01, 0.09, 0.16, 
2, 5, eco311, 1, 1, 2.8, 13.5, 33.73, 35.78, 2.05, 0.09, 0.02, 
2, 6, eco311, 1, 1, 8.6, 16.9, 108.78, 29.56, -79.22, 0.09, 0, 
3, 7, eco311, 1, 1, 17.5, 21.8, 214.38, 46.57, -167.8, 0.09, 0.07, 
3, 8, eco311, 1, 1, 15.7, 18.4, 160.29, 33.56, -126.73, 0.09, 0.05, 
3, 9, eco311, 1, 1, 8, 12.6, 104.06, 55.97, -48.09, 0.09, 0.01, 
3, 10, eco311, 1, 1, 3.7, 8.8, 64.26, 40.37, -23.89, 0.09, 0, 
