date,flux_g_C_m2
1993,91.81459103
1993.08,91.92606332
1993.17,45.59568256
1993.25,30.94359064
1993.33,-15.13360611
1993.42,-153.0390783
1993.5,-169.8821262
1993.58,-154.5714866
1993.67,-61.49586786
1993.75,20.39409124
1993.83,63.56430142
1993.92,39.28573256
1994,26.81484639
1994.08,30.76939851
1994.17,40.93762084
1994.25,53.16949054
1994.33,40.89813855
1994.42,-142.683311
1994.5,-151.5835684
1994.58,-131.1635802
1994.67,-64.54697187
1994.75,25.65584999
1994.83,63.52788997
1994.92,38.63660967
1995,30.23324896
1995.08,25.56243585
1995.17,35.02291833
1995.25,37.24891314
1995.33,13.08349856
1995.42,-160.438499
1995.5,-184.0783462
1995.58,-132.4236173
1995.67,-70.01307626
1995.75,34.06600336
1995.83,49.81963716
1995.92,42.80135498
1996,35.60199199
1996.08,36.65091521
1996.17,39.57229761
1996.25,41.44719717
1996.33,29.95644835
1996.42,-133.9186802
1996.5,-137.5588629
1996.58,-151.9809386
1996.67,-76.8711509
1996.75,21.64181667
1996.83,53.36426987
1996.92,49.71967195
1997,43.83553638
1997.08,37.75682466
1997.17,42.8629134
1997.25,35.88150966
1997.33,42.92107549
1997.42,-138.6670842
1997.5,-167.3764864
1997.58,-144.1069803
1997.67,-100.2231736
1997.75,30.16786967
1997.83,86.73338949
1997.92,70.02036422
1998,29.64313724
1998.08,25.07078727
1998.17,33.58669679
1998.25,28.60887093
1998.33,-12.12233817
1998.42,-107.3453409
1998.5,-133.9893238
1998.58,-103.9407501
1998.67,-52.97690468
1998.75,36.76226201
1998.83,60.21532542
1998.92,42.54238509
1999,28.6751842
1999.08,33.32963733
1999.17,30.20905013
1999.25,25.89819203
1999.33,-7.134408245
1999.42,-192.1015448
1999.5,-141.9736627
1999.58,-92.17078077
1999.67,-30.11533983
1999.75,15.88292063
1999.83,67.70774893
1999.92,51.19070585
2000,39.52856991
2000.08,37.7759337
2000.17,32.54657181
2000.25,32.68344377
2000.33,38.11994351
2000.42,-139.937098
2000.5,-169.5531071
2000.58,-135.4098373
2000.67,-88.24907092
2000.75,17.72203141
2000.83,46.6588601
2000.92,29.59686229
2001,35.46231807
2001.08,43.36801082
2001.17,42.66168105
2001.25,34.14779822
2001.33,-35.36127735
2001.42,-164.9934398
2001.5,-199.3775233
2001.58,-181.5964807
2001.67,-113.8292111
2001.75,1.119514105
2001.83,67.26247638
2001.92,51.10749585
2002,39.84145648
2002.08,42.32455017
2002.17,43.05820217
2002.25,55.20589958
2002.33,31.44191663
2002.42,-159.4159076
2002.5,-198.501271
2002.58,-155.8022304
2002.67,-80.38332038
2002.75,2.841876155
2002.83,60.4465162
2002.92,53.83601961
2003,43.85591434
2003.08,44.86974811
2003.17,37.62790072
2003.25,30.59483036
2003.33,12.63645709
2003.42,-127.7813768
2003.5,-190.8930753
2003.58,-134.4096192
2003.67,-102.2762529
2003.75,22.97190301
2003.83,91.63401968
2003.92,63.31728943
2004,40.6230361
2004.08,46.75202924
2004.17,41.13290961
2004.25,48.57550618
2004.33,-11.43033666
2004.42,-199.7181182
2004.5,-218.9013058
2004.58,-186.2328908
2004.67,-123.867804
2004.75,-4.741271721
2004.83,62.32631213
2004.92,51.55708456
2005,20.24337925
2005.08,28.77742272
2005.17,30.58264604
2005.25,15.36168358
2005.33,-5.133122885
2005.42,-224.0194707
2005.5,-191.0832695
2005.58,-155.9826602
2005.67,-140.2196158
2005.75,1.285509561
2005.83,47.84201288
2005.92,31.52937204
2006,36.9889668
2006.08,34.4182206
2006.17,25.42277709
2006.25,17.79203818
2006.33,13.71988523
2006.42,-178.5678915
2006.5,-257.0119095
2006.58,-163.8863364
2006.67,-85.78493702
2006.75,9.230790745
2006.83,44.67026852
2006.92,49.85085506
2007,30.60769395
2007.08,28.3882401
2007.17,42.16199653
2007.25,40.86636874
2007.33,-25.62825484
2007.42,-171.8699395
2007.5,-184.7457244
2007.58,-181.922528
2007.67,-136.9180185
2007.75,-19.47113953
2007.83,21.35553465
2007.92,24.48114558
2008,23.3994156
2008.08,21.37898199
2008.17,15.5080511
2008.25,4.683916259
2008.33,-35.15325236
2008.42,-178.3717961
2008.5,-245.6860098
2008.58,-173.9606897
2008.67,-104.9689455
2008.75,-9.547073645
2008.83,26.96553007
2008.92,47.40337732
2009,61.49685845
2009.08,53.76266502
2009.17,38.29994881
2009.25,45.06596885
2009.33,-9.007482281
2009.42,-150.6166201
2009.5,-177.8252847
2009.58,-188.347104
2009.67,-179.1131858
2009.75,24.8611096
2009.83,53.33750964
2009.92,74.02335947
2010,73.02229225
2010.08,59.79499566
2010.17,27.29287934
2010.25,26.15570433
2010.33,-73.63787642
2010.42,-153.975686
2010.5,-100.7482032
2010.58,-87.67319547
2010.67,-57.1313195
2010.75,43.55873578
2010.83,70.22101635
2010.92,140.0479456
