Year, Month, EcoregionIndex, SpeciesName, CohortAge, CohortWoodB, CohortLeafB, MortalityAGEwood, MortalityAGEleaf, MortalityBIOwood, MortalityBIOleaf, availableWater,LAI,tlai,rlai,mineralNalloc, resorbedNalloc, limitLAI, limitH20, limitT, limitN, maxNPP, Bmax, Bsite, Bcohort, soilTemp, actualWoodNPP, actualLeafNPP, NPPwood, NPPleaf, resorbedNused, mineralNused, Ndemand,deltaWood, deltaLeaf, totalMortalityWood, totalMortalityLeaf, 
1,7,1,tsugcana,231,9059.6,129.3,49.73,0.71,1.81,3.59,9.91,3.22,3.22,1.00,0.31,0.00,0.78,1.00,0.97,0.29,350,42682,100440,9188.8,18.3,21.22,5.30,9.97,2.49,0.01,0.10,0.11,-30.54,0.95,51.76,4.35,
1,7,1,tsugcana,101,50011.4,332.8,14.06,0.09,10.00,9.24,9.91,5.77,5.77,1.00,0.31,0.00,0.93,1.00,0.97,0.24,350,42682,100411,50344.2,18.3,50.25,12.56,23.62,5.90,0.01,0.24,0.25,25.68,3.10,24.57,9.46,
1,7,1,pinustro,101,25260.3,189.4,0.03,0.00,5.05,5.26,9.91,6.36,6.36,1.00,0.31,0.00,0.95,1.00,0.35,0.57,350,26504,100439,25449.8,18.3,52.65,13.16,24.75,6.19,0.02,0.29,0.31,47.05,7.77,5.61,5.39,
1,7,1,pinustro,51,12738.0,200.6,0.00,0.00,2.55,5.57,9.91,5.83,5.83,1.00,0.31,0.00,0.94,1.00,0.35,0.58,350,26504,100494,12938.6,18.3,52.67,13.17,24.76,6.19,0.02,0.29,0.31,49.60,7.47,3.08,5.70,
1,7,1,fagugran,21,1233.1,15.7,0.00,0.00,0.74,0.00,9.91,0.38,0.38,1.00,0.31,0.00,0.16,0.87,0.95,0.74,382,32682,100551,1248.7,18.3,26.77,11.47,12.58,5.39,0.00,0.31,0.31,25.77,11.36,1.01,0.11,
1,7,1,betulent,21,637.5,7.2,0.00,0.00,0.38,0.00,9.91,0.10,0.09,0.95,0.29,0.00,0.05,0.87,0.99,1.00,220,19116,100588,644.7,18.3,6.10,2.61,2.87,1.23,0.00,0.06,0.06,5.66,2.59,0.44,0.03,
1,7,1,betulent,11,278.0,7.3,0.00,0.00,0.17,0.00,9.91,0.10,0.04,0.95,0.21,0.00,0.05,0.87,0.99,1.00,220,19116,100596,285.2,18.3,6.10,2.61,2.87,1.23,0.00,0.06,0.06,5.87,2.59,0.23,0.03,
1,7,1,fagugran,11,336.1,8.3,0.00,0.00,0.20,0.00,9.91,0.11,0.11,0.97,0.22,0.00,0.05,0.87,0.95,1.00,382,32682,100604,344.4,18.3,10.70,4.59,5.03,2.16,0.00,0.12,0.12,10.40,4.54,0.31,0.05,
1,8,1,tsugcana,231,9029.0,130.2,49.57,0.71,1.81,3.62,10.82,3.21,3.21,1.00,0.31,0.00,0.78,1.00,0.97,0.29,350,42682,100619,9159.2,18.1,20.78,5.20,9.77,2.44,0.01,0.10,0.10,-30.79,0.81,51.58,4.38,
1,8,1,tsugcana,101,50037.1,335.9,14.07,0.09,10.01,9.33,10.82,5.77,5.77,1.00,0.31,0.00,0.93,1.00,0.97,0.24,350,42682,100589,50373.0,18.1,49.68,12.42,23.35,5.84,0.01,0.24,0.25,25.10,2.87,24.58,9.55,
