Time, Ecoregion, Species, TempMult, MinJanTempMult, SoilMoistureMult, OtherAdjustMult, ProbEst
1, eco314, abiebals,0.40,1.00,1.00,1.00,0.40
1, eco314, acerrubr,0.57,1.00,1.00,1.00,0.57
1, eco314, acersacc,1.00,1.00,1.00,1.00,1.00
1, eco314, betualle,0.71,1.00,1.00,1.00,0.71
1, eco314, betulent,1.00,0.00,1.00,1.00,0.00
1, eco314, betupapy,0.00,1.00,1.00,1.00,0.00
1, eco314, betupopu,0.94,1.00,1.00,1.00,0.94
1, eco314, caryglab,0.20,1.00,1.00,1.00,0.20
1, eco314, fagugran,0.65,1.00,1.00,1.00,0.65
1, eco314, fraxamer,0.56,1.00,1.00,1.00,0.56
1, eco314, fraxnigr,0.25,1.00,1.00,1.00,0.25
1, eco314, larilari,0.65,1.00,1.00,1.00,0.65
1, eco314, ostrvirg,0.66,1.00,1.00,1.00,0.66
1, eco314, piceglau,0.00,1.00,1.00,1.00,0.00
1, eco314, picemari,0.00,1.00,1.00,1.00,0.00
1, eco314, picerube,0.90,1.00,1.00,1.00,0.90
1, eco314, pinuresi,0.00,1.00,1.00,1.00,0.00
1, eco314, pinurigi,0.65,1.00,1.00,1.00,0.65
1, eco314, pinustro,1.00,1.00,1.00,1.00,1.00
1, eco314, popubals,0.54,1.00,1.00,1.00,0.54
1, eco314, popugran,1.00,1.00,1.00,1.00,1.00
1, eco314, poputrem,0.55,1.00,1.00,1.00,0.55
1, eco314, prunsero,0.65,1.00,1.00,1.00,0.65
1, eco314, queralba,0.70,1.00,1.00,1.00,0.70
1, eco314, quercocc,0.21,1.00,1.00,1.00,0.21
1, eco314, querprin,0.43,1.00,1.00,1.00,0.43
1, eco314, querrubr,0.86,1.00,1.00,1.00,0.86
1, eco314, quervelu,0.61,1.00,1.00,1.00,0.61
1, eco314, thujocci,0.00,1.00,1.00,1.00,0.00
1, eco314, tiliamer,0.99,1.00,1.00,1.00,0.99
1, eco314, tsugcana,0.93,1.00,1.00,1.00,0.93
1, eco314, ulmuamer,0.56,1.00,1.00,1.00,0.56
2, eco314, abiebals,0.85,1.00,1.00,1.00,0.85
2, eco314, acerrubr,0.38,1.00,1.00,1.00,0.38
2, eco314, acersacc,0.87,1.00,1.00,1.00,0.87
2, eco314, betualle,1.00,1.00,1.00,1.00,1.00
2, eco314, betulent,0.76,0.00,1.00,1.00,0.00
2, eco314, betupapy,0.47,1.00,1.00,1.00,0.47
2, eco314, betupopu,0.98,1.00,1.00,1.00,0.98
2, eco314, caryglab,0.00,1.00,1.00,1.00,0.00
2, eco314, fagugran,0.42,1.00,1.00,1.00,0.42
2, eco314, fraxamer,0.34,1.00,1.00,1.00,0.34
2, eco314, fraxnigr,0.90,1.00,1.00,1.00,0.90
2, eco314, larilari,0.91,1.00,1.00,1.00,0.91
2, eco314, ostrvirg,0.45,1.00,1.00,1.00,0.45
2, eco314, piceglau,0.20,1.00,1.00,1.00,0.20
2, eco314, picemari,0.19,1.00,1.00,1.00,0.19
2, eco314, picerube,1.00,1.00,1.00,1.00,1.00
2, eco314, pinuresi,0.69,1.00,1.00,1.00,0.69
2, eco314, pinurigi,0.00,1.00,1.00,1.00,0.00
2, eco314, pinustro,0.91,1.00,1.00,1.00,0.91
2, eco314, popubals,0.90,1.00,1.00,1.00,0.90
2, eco314, popugran,0.91,1.00,1.00,1.00,0.91
2, eco314, poputrem,0.93,1.00,1.00,1.00,0.93
