Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 6182.6, 100440, 843.9, 2.18, 1922, 
1, -144.9, 6176.8, 100735, 804.5, 2.14, 1897.7, 
2, -134.8, 6156.2, 101186, 868.8, 2.15, 1823.8, 
3, -133.3, 6129.5, 101614, 858.5, 2.19, 1761.6, 
4, -253.5, 6108.6, 102143, 899.9, 1.93, 1739.7, 
5, -163.5, 6086.4, 102552, 839.8, 2.11, 1711.6, 
6, -257.6, 6068.1, 103008, 854, 1.97, 1720.4, 
7, -325.9, 6057.1, 103700, 956, 1.9, 1694.3, 
8, -360.9, 6041.5, 104384, 957.1, 1.93, 1684.2, 
9, -421.7, 6013.5, 105326, 1090.9, 1.88, 1614.6, 
10, -478.2, 5976, 106381, 1141.7, 1.89, 1546.5, 
