Time,EcoregionName,EcoregionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco314, 1, 1, 0, 6182.6, 100440, 843.9, 199.6, 192.7, 590.4, 2.18, 635.9, 33.3, 418.5, 89.1, 46790.4, 10719.4, 1922, 306.7, 23.9, 12.6, 11.5, 1.8, 126.3, 154.6, 3701, 2200.8, 8.4, 2.2, 124.3, 129.4, 5.2, 3.7, 0.1, 0.4, 0.1, 0.1, 2.2, 17.3, 73.7, 266.5, 0.2, -1.3, 0, 0.1, 4.1, 19.7, -16.9, 0.2, 225.33, 1.23, 0.26, 0, 0, 8.4, 0.7, 362.6, 0, 0, 
1, eco314, 1, 1, -144.9, 6176.8, 100735, 804.5, 189.6, 186.6, 472.9, 2.14, 636.8, 28.5, 408.1, 86.6, 46939.4, 10750, 1897.7, 301.8, 29.2, 16.4, 13.1, 2.6, 130.5, 155.4, 3691.1, 2199.8, 8.2, 2.1, 124.9, 130, 5.1, 3.7, 0.2, 0.5, 0.1, 0.2, 2.4, 17.2, 73.5, 266.5, 0.1, -1.2, 0, 0.1, 3.5, 16.9, -14, 0.1, 1.14, 1.58, 0.31, 0, 0, 7.9, 0.7, 362.7, 0, 0, 
2, eco314, 1, 1, -134.8, 6156.2, 101186, 868.8, 205.5, 189, 469.1, 2.15, 637.6, 31.7, 412.3, 88.1, 47147.2, 10793.6, 1823.8, 286.5, 27, 14.9, 12.8, 2.3, 125.9, 153.8, 3677.7, 2198.8, 8.3, 2.2, 125.6, 130.7, 5, 3.5, 0.2, 0.5, 0.1, 0.1, 2.4, 17.2, 73.4, 266.4, 0.2, -1.3, 0, 0.2, 4.1, 18.7, -15.6, 0.2, 1.14, 1.8, 0.35, 0, 0, 8.7, 0.7, 362.4, 0, 0, 
3, eco314, 1, 1, -133.3, 6129.5, 101614, 858.5, 203.5, 196.2, 465.4, 2.19, 638.4, 31.8, 409, 87, 47352.6, 10836.4, 1761.6, 274.9, 27.6, 15.5, 13.5, 2.4, 123.5, 152.6, 3655.8, 2197.7, 8.2, 2.2, 126.4, 131.4, 4.8, 3.4, 0.2, 0.5, 0.1, 0.2, 2.4, 17.1, 73.1, 266.3, 0.2, -1.3, 0, 0.2, 4, 18.7, -15.6, 0.2, 1.14, 2.75, 0.49, 0, 0, 8.6, 0.7, 362.1, 0, 0, 
4, eco314, 1, 1, -253.5, 6108.6, 102143, 899.9, 211.3, 193.9, 461.6, 1.93, 639.4, 29.9, 413.7, 86.3, 47597, 10888.9, 1739.7, 272.7, 31.6, 20.5, 14.4, 3.7, 128.1, 152.2, 3631.7, 2196.6, 8.2, 2.1, 127.2, 132.1, 4.7, 3.3, 0.2, 0.6, 0.1, 0.2, 2.4, 16.9, 73.1, 266.3, 0.2, -1.2, 0, 0.2, 3.8, 17.7, -14.5, 0.2, 1.14, 1.23, 0.27, 0, 0, 8.7, 0.7, 361.6, 0, 0, 
5, eco314, 1, 1, -163.5, 6086.4, 102552, 839.8, 198.8, 187.2, 457.2, 2.11, 640.1, 30.2, 413.1, 87.9, 47790.3, 10929.1, 1711.6, 268.3, 26.2, 14.6, 13.1, 2.1, 124.7, 150.9, 3615.2, 2195.6, 8.2, 2.2, 127.9, 132.8, 4.7, 3.3, 0.1, 0.5, 0.1, 0.1, 2.4, 16.8, 72.6, 266.2, 0.2, -1.4, 0, 0.2, 4, 17.7, -14.5, 0.2, 1.14, 2.74, 0.51, 0, 0, 8.3, 0.7, 361.1, 0, 0, 
6, eco314, 1, 1, -257.6, 6068.1, 103008, 854, 201.7, 192.7, 451.5, 1.97, 641.1, 28.1, 411.1, 87.1, 48007.3, 10975, 1720.4, 272.3, 32.6, 21.4, 15, 3.9, 127, 151.1, 3595.3, 2194.7, 8.1, 2.1, 128.7, 133.5, 4.7, 3.3, 0.2, 0.6, 0.1, 0.2, 2.5, 16.8, 72.1, 266.2, 0.1, -1.2, 0, 0.2, 3.6, 16.6, -13.3, 0.1, 1.14, 1.02, 0.23, 0, 0, 8.4, 0.7, 360.6, 0, 0, 
7, eco314, 1, 1, -325.9, 6057.1, 103700, 956, 225.2, 186.9, 444.8, 1.9, 642, 30.2, 435.2, 93.9, 48308.2, 11040, 1694.3, 267.2, 24.1, 13.6, 13.1, 1.9, 126.3, 150.2, 3587, 2193.6, 8.4, 2.4, 129.7, 134.5, 4.6, 3.3, 0.1, 0.4, 0.1, 0.1, 2.5, 16.6, 71.3, 266.1, 0.2, -1.4, 0, 0.3, 4.1, 17.7, -13.9, 0.2, 1.14, 1.36, 0.27, 0, 0, 9.4, 0.7, 359.2, 0, 0, 
8, eco314, 1, 1, -360.9, 6041.5, 104384, 957.1, 225, 201.1, 437.8, 1.93, 643, 29.4, 445.7, 95.1, 48620.2, 11107.6, 1684.2, 266.3, 27.4, 17.1, 14.4, 2.6, 125.7, 149.8, 3573.3, 2192.7, 8.6, 2.4, 130.8, 135.4, 4.6, 3.3, 0.2, 0.5, 0.1, 0.2, 2.6, 16.6, 70, 266, 0.2, -1.4, 0, 0.5, 3.9, 17.5, -13.6, 0.2, 1.14, 1.94, 0.33, 0, 0, 9.3, 0.7, 358, 0, 0, 
9, eco314, 1, 1, -421.7, 6013.5, 105326, 1090.9, 256.3, 210.8, 430.5, 1.88, 643.9, 33.6, 472.6, 100.4, 49034.4, 11198.4, 1614.6, 252.7, 24.7, 15.5, 13.9, 2.3, 122.1, 148.2, 3551.7, 2191.5, 8.9, 2.5, 132.1, 136.7, 4.4, 3.1, 0.1, 0.5, 0.1, 0.1, 2.5, 16.5, 68.5, 266, 0.2, -1.5, 0, 0.5, 4.4, 20.2, -15.7, 0.2, 1.14, 0.99, 0.25, 0, 0, 10.5, 0.7, 356.1, 0, 0, 
10, eco314, 1, 1, -478.2, 5976, 106381, 1141.7, 267.8, 219.5, 423.1, 1.89, 645, 34.5, 502.9, 107.1, 49502.3, 11301.5, 1546.5, 240.5, 23.7, 14.8, 13.5, 1.9, 117.5, 145.9, 3522.2, 2190.3, 9.4, 2.7, 133.6, 138.1, 4.2, 3, 0.1, 0.5, 0.1, 0.1, 2.5, 16.3, 66.6, 265.9, 0.2, -1.6, 0, 0.6, 4.5, 21, -16.1, 0.2, 1.11, 0.42, 0.07, 0, 0, 11, 0.7, 354, 0, 0, 
