Time,Month,EcoregionName,EcoregionIndex,NumSites,ppt,airtemp,avgNPPtc,avgResp,avgNEE,Ndep,StreamN,
1, 7, eco311, 1, 1, 13.2, 18.1, 158.64, 30.97, -127.66, 0.09, 0.03, 
1, 8, eco311, 1, 1, 15.3, 17.8, 132.21, 29.81, -102.39, 0.09, 0.04, 
1, 9, eco311, 1, 1, 1.2, 16.3, 52.6, 11.65, -40.95, 0.09, 0, 
1, 10, eco311, 1, 1, 2.5, 4.6, 16.98, 26.77, 9.79, 0.09, 0, 
1, 11, eco311, 1, 1, 13.4, 1.7, 0, 20.82, 20.82, 0.09, 0, 
1, 12, eco311, 1, 1, 6.9, -2.8, 0, 0.46, 0.46, 0.09, 0, 
1, 1, eco311, 1, 1, 5.1, -5.2, 0, 0.4, 0.4, 0.09, 0, 
1, 2, eco311, 1, 1, 5.8, -4.2, 0, 0.42, 0.42, 0.09, 0, 
1, 3, eco311, 1, 1, 11, -1.5, 0, 0.49, 0.49, 0.09, 0, 
1, 4, eco311, 1, 1, 8, 4.8, 1.94, 23.04, 21.09, 0.09, 0.07, 
1, 5, eco311, 1, 1, 6, 12.4, 16.94, 33.65, 16.7, 0.09, 0.09, 
1, 6, eco311, 1, 1, 10.7, 16.9, 103.24, 34.06, -69.18, 0.09, 0.03, 
2, 7, eco311, 1, 1, 15.7, 20.2, 183.94, 39.73, -144.22, 0.09, 0.05, 
2, 8, eco311, 1, 1, 10.8, 20, 122.56, 28.79, -93.77, 0.09, 0.02, 
2, 9, eco311, 1, 1, 13.6, 14.1, 115.27, 55.17, -60.1, 0.09, 0.04, 
2, 10, eco311, 1, 1, 10.5, 7.1, 41.41, 33.2, -8.21, 0.09, 0.02, 
2, 11, eco311, 1, 1, 11.7, 3.1, 0, 24.06, 24.06, 0.09, 0, 
2, 12, eco311, 1, 1, 15.9, -3.1, 0, 0.47, 0.47, 0.09, 0, 
2, 1, eco311, 1, 1, 4.7, -5.2, 0, 0.42, 0.42, 0.09, 0, 
2, 2, eco311, 1, 1, 6.2, -8.6, 0, 0.34, 0.34, 0.09, 0, 
2, 3, eco311, 1, 1, 15.5, -1.7, 0, 0.51, 0.51, 0.09, 0.03, 
2, 4, eco311, 1, 1, 9.7, 7.2, 4.3, 28.15, 23.85, 0.09, 0.16, 
2, 5, eco311, 1, 1, 2.8, 13.5, 30.28, 35.32, 5.04, 0.09, 0.02, 
2, 6, eco311, 1, 1, 8.6, 16.9, 105.62, 29.22, -76.39, 0.09, 0, 
3, 7, eco311, 1, 1, 17.5, 21.8, 212.66, 46.11, -166.55, 0.09, 0.07, 
3, 8, eco311, 1, 1, 15.7, 18.4, 160.04, 33.3, -126.73, 0.09, 0.05, 
3, 9, eco311, 1, 1, 8, 12.6, 103.46, 56.27, -47.18, 0.09, 0.01, 
3, 10, eco311, 1, 1, 3.7, 8.8, 64.28, 40.49, -23.79, 0.09, 0, 
