Time,Month,EcoregionName,EcoregionIndex,NumSites,ppt,airtemp,avgNPPtc,avgResp,avgNEE,Ndep,StreamN,
1, 7, eco314, 1, 1, 13.2, 18.1, 169.98, 147.5, -22.48, 0.09, 0, 
1, 8, eco314, 1, 1, 15.3, 17.8, 171.78, 142.39, -29.39, 0.09, 0.05, 
1, 9, eco314, 1, 1, 1.2, 16.3, 145.87, 86.84, -59.03, 0.09, 0, 
1, 10, eco314, 1, 1, 2.5, 4.6, 58.93, 67.44, 8.51, 0.09, 0, 
1, 11, eco314, 1, 1, 13.4, 1.7, 51.88, 56.57, 4.69, 0.09, 0, 
1, 12, eco314, 1, 1, 6.9, -2.8, 0, 1.36, 1.35, 0.09, 0, 
1, 1, eco314, 1, 1, 5.1, -5.2, 0, 1.21, 1.21, 0.09, 0, 
1, 2, eco314, 1, 1, 5.8, -4.2, 0, 1.32, 1.32, 0.09, 0, 
1, 3, eco314, 1, 1, 11, -1.5, 0.01, 1.59, 1.58, 0.09, 0, 
1, 4, eco314, 1, 1, 8, 4.8, 98.75, 76.14, -22.61, 0.09, 0.09, 
1, 5, eco314, 1, 1, 6, 12.4, 135.49, 119.42, -16.06, 0.09, 0.17, 
1, 6, eco314, 1, 1, 10.7, 16.9, 161.4, 147.42, -13.98, 0.09, 0, 
2, 7, eco314, 1, 1, 15.7, 20.2, 168.53, 172.98, 4.45, 0.09, 0.06, 
2, 8, eco314, 1, 1, 10.8, 20, 165.58, 152.54, -13.04, 0.09, 0, 
2, 9, eco314, 1, 1, 13.6, 14.1, 166.2, 121.11, -45.09, 0.09, 0.04, 
2, 10, eco314, 1, 1, 10.5, 7.1, 81.35, 77.13, -4.22, 0.09, 0, 
2, 11, eco314, 1, 1, 11.7, 3.1, 56.83, 60.1, 3.27, 0.09, 0, 
2, 12, eco314, 1, 1, 15.9, -3.1, 0.02, 1.3, 1.28, 0.09, 0, 
2, 1, eco314, 1, 1, 4.7, -5.2, 0.01, 1.18, 1.16, 0.09, 0, 
2, 2, eco314, 1, 1, 6.2, -8.6, 0.01, 0.99, 0.98, 0.09, 0, 
2, 3, eco314, 1, 1, 15.5, -1.7, 0.03, 1.54, 1.51, 0.09, 0, 
2, 4, eco314, 1, 1, 9.7, 7.2, 113.22, 86.28, -26.94, 0.09, 0.25, 
2, 5, eco314, 1, 1, 2.8, 13.5, 153.24, 123.41, -29.83, 0.09, 0, 
2, 6, eco314, 1, 1, 8.6, 16.9, 169.22, 140.86, -28.36, 0.09, 0, 
3, 7, eco314, 1, 1, 17.5, 21.8, 172.58, 186.87, 14.29, 0.09, 0.1, 
3, 8, eco314, 1, 1, 15.7, 18.4, 174.26, 141.93, -32.34, 0.09, 0.05, 
3, 9, eco314, 1, 1, 8, 12.6, 148.23, 108.49, -39.73, 0.09, 0, 
3, 10, eco314, 1, 1, 3.7, 8.8, 100.46, 84.83, -15.63, 0.09, 0, 
3, 11, eco314, 1, 1, 8.7, 4.2, 58.76, 63.49, 4.73, 0.09, 0, 
3, 12, eco314, 1, 1, 7.9, -1.8, 0.04, 1.38, 1.34, 0.09, 0, 
3, 1, eco314, 1, 1, 14.7, -10.7, 0.01, 0.84, 0.83, 0.09, 0, 
3, 2, eco314, 1, 1, 5.2, -7.2, 0.02, 1.06, 1.04, 0.09, 0, 
3, 3, eco314, 1, 1, 15.7, -1, 0.05, 1.58, 1.53, 0.09, 0, 
3, 4, eco314, 1, 1, 10, 7, 113.17, 84.15, -29.03, 0.09, 0.24, 
3, 5, eco314, 1, 1, 10.5, 11.2, 129.68, 106.14, -23.54, 0.09, 0.09, 
3, 6, eco314, 1, 1, 8.1, 18.3, 164.76, 147.96, -16.81, 0.09, 0, 
4, 7, eco314, 1, 1, 20.3, 18.8, 178.32, 154.79, -23.53, 0.09, 0.13, 
4, 8, eco314, 1, 1, 4.8, 18.7, 157.48, 100.4, -57.07, 0.09, 0, 
4, 9, eco314, 1, 1, 8, 12.6, 145.67, 109.27, -36.4, 0.09, 0, 
4, 10, eco314, 1, 1, 0, 9.5, 105.1, 86.44, -18.66, 0.09, 0, 
4, 11, eco314, 1, 1, 8.7, 0.6, 49.33, 51.34, 2.02, 0.09, 0, 
4, 12, eco314, 1, 1, 17.8, 0.3, 54.02, 50.42, -3.61, 0.09, 0, 
4, 1, eco314, 1, 1, 8.5, -2.9, 0.05, 1.31, 1.26, 0.09, 0, 
4, 2, eco314, 1, 1, 4.9, -6.4, 0.03, 1.09, 1.07, 0.09, 0, 
4, 3, eco314, 1, 1, 5, 2.3, 73.88, 60.49, -13.39, 0.09, 0, 
4, 4, eco314, 1, 1, 3.9, 4.2, 82.75, 66.95, -15.8, 0.09, 0.09, 
4, 5, eco314, 1, 1, 2.5, 10.6, 122.93, 98.41, -24.51, 0.09, 0.04, 
4, 6, eco314, 1, 1, 0, 15, 141.58, 76.75, -64.83, 0.09, 0, 
5, 7, eco314, 1, 1, 19.9, 19.1, 157.55, 161.14, 3.59, 0.09, 0.12, 
