Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1992, eco314, 1, 98.92, 6.59, 108, 260, 0, 
1993, eco314, 1, 125.7, 7.03, 101, 261, 0, 
1994, eco314, 1, 125.6, 6.86, 104, 247, 0, 
1995, eco314, 1, 84.49, 7.02, 117, 251, 0, 
1996, eco314, 1, 123.26, 7.19, 114, 266, 0, 
1997, eco314, 1, 85.51, 6.84, 111, 265, 0, 
1998, eco314, 1, 91.5, 8.12, 107, 263, 0, 
1999, eco314, 1, 100.56, 8.3, 111, 264, 0, 
2000, eco314, 1, 108.01, 6.98, 105, 274, 0, 
2001, eco314, 1, 80.82, 8.3, 106, 279, 0, 
