year,AGWB,max_AGWB,min_AGWB
2001,247.9535989,328.5360906,162.2604275
2002,263.1318577,426.0645247,109.0449584
2003,267.1078776,434.8089389,110.1757528
2004,280.0819161,439.9999568,168.204115
2005,241.4945165,445.1177046,112.5782478
2006,275.8842665,450.5198341,113.887519
2007,273.4238889,456.7609937,115.6067369
2008,277.1482964,462.2865776,119.1948688
2009,282.0746695,468.4637015,120.6499807
2010,268.3088163,474.7407329,122.4393683
2011,270.9889415,480.961246,123.7056145
2012,251.2564384,491.6396421,70.86612066
