#ppt,,,
,FortBragg,FortBragg,FortBragg
TIMESTEP,MEAN(mm/d),VARIANCE(mm/d^2),STD_DEV(mm/d)
1991-01-01T00:00:00Z,0,0,0
1991-01-02T00:00:00Z,0.04460511,0.005094366,0.071374826
1991-01-03T00:00:00Z,0.07769019,0.062123135,0.24924512
1991-01-04T00:00:00Z,0,0,0
1991-01-05T00:00:00Z,0,0,0
1991-01-06T00:00:00Z,0.43519765,0.42169806,0.6493828
1991-01-07T00:00:00Z,0.92618793,0.7231206,0.850365
1991-01-08T00:00:00Z,0,0,0
1991-01-09T00:00:00Z,0,0,0
1991-01-10T00:00:00Z,0,0,0
1991-01-11T00:00:00Z,0,0,0
1991-01-12T00:00:00Z,0.008313937,3.65E-04,0.019094424
1991-01-13T00:00:00Z,0.008313937,3.65E-04,0.019094424
1991-01-14T00:00:00Z,0,0,0
1991-01-15T00:00:00Z,0,0,0
1991-01-16T00:00:00Z,0,0,0
1991-01-17T00:00:00Z,0,0,0
1991-01-18T00:00:00Z,0,0,0
1991-01-19T00:00:00Z,0,0,0
1991-01-20T00:00:00Z,0,0,0
1991-01-21T00:00:00Z,0,0,0
1991-01-22T00:00:00Z,0,0,0
1991-01-23T00:00:00Z,0,0,0
1991-01-24T00:00:00Z,0,0,0
1991-01-25T00:00:00Z,0,0,0
1991-01-26T00:00:00Z,0,0,0
1991-01-27T00:00:00Z,0,0,0
1991-01-28T00:00:00Z,0,0,0
1991-01-29T00:00:00Z,0,0,0
1991-01-30T00:00:00Z,0,0,0
1991-01-31T00:00:00Z,0,0,0
1991-02-01T00:00:00Z,0,0,0
1991-02-02T00:00:00Z,8.705558,48.5628,6.968702
1991-02-03T00:00:00Z,1.0968435,1.6128874,1.2699951
1991-02-04T00:00:00Z,9.659575,25.781557,5.077554
1991-02-05T00:00:00Z,3.7023804,12.400327,3.5214097
1991-02-06T00:00:00Z,0,0,0
1991-02-07T00:00:00Z,0,0,0
1991-02-08T00:00:00Z,0,0,0
1991-02-09T00:00:00Z,0,0,0
1991-02-10T00:00:00Z,0,0,0
1991-02-11T00:00:00Z,0,0,0
1991-02-12T00:00:00Z,0,0,0
1991-02-13T00:00:00Z,0,0,0
1991-02-14T00:00:00Z,0,0,0
1991-02-15T00:00:00Z,0.029471695,8.96E-04,0.029937668
1991-02-16T00:00:00Z,0,0,0
1991-02-17T00:00:00Z,0,0,0
1991-02-18T00:00:00Z,0,0,0
1991-02-19T00:00:00Z,0,0,0
1991-02-20T00:00:00Z,0,0,0
1991-02-21T00:00:00Z,0,0,0
1991-02-22T00:00:00Z,0,0,0
1991-02-23T00:00:00Z,0,0,0
1991-02-24T00:00:00Z,0,0,0
1991-02-25T00:00:00Z,0,0,0
1991-02-26T00:00:00Z,0.026970664,0.002697439,0.05193688
1991-02-27T00:00:00Z,1.518951,0.20570648,0.45354876
1991-02-28T00:00:00Z,14.130255,78.662315,8.869178
1991-03-01T00:00:00Z,23.022354,44.730328,6.6880736
1991-03-02T00:00:00Z,29.61092,84.346,9.184008
1991-03-03T00:00:00Z,41.92589,407.425,20.18477
1991-03-04T00:00:00Z,34.5109,79.12768,8.895374
1991-03-05T00:00:00Z,1.2244762,2.336718,1.5286328
1991-03-06T00:00:00Z,0.29639906,0.50200754,0.7085249
1991-03-07T00:00:00Z,0.003952694,1.75E-04,0.013245919
1991-03-08T00:00:00Z,0,0,0
1991-03-09T00:00:00Z,1.6120756,25.079678,5.0079613
1991-03-10T00:00:00Z,8.161673,25.525967,5.052323
1991-03-11T00:00:00Z,5.215942,1.2020488,1.0963799
1991-03-12T00:00:00Z,9.049604,46.640713,6.8294005
1991-03-13T00:00:00Z,2.7106156,1.8042989,1.3432419
1991-03-14T00:00:00Z,6.0784087,10.679112,3.2678912
1991-03-15T00:00:00Z,3.7353675,5.8129306,2.411002
1991-03-16T00:00:00Z,5.4279203,27.129122,5.2085624
1991-03-17T00:00:00Z,8.419049,31.776796,5.637091
1991-03-18T00:00:00Z,7.725309,21.736423,4.662234
1991-03-19T00:00:00Z,11.344779,29.04965,5.389773
1991-03-20T00:00:00Z,2.0101454,3.3901753,1.8412429
1991-03-21T00:00:00Z,0,0,0
1991-03-22T00:00:00Z,0.023351304,0.01711735,0.13083328
1991-03-23T00:00:00Z,19.513586,234.49211,15.313135
1991-03-24T00:00:00Z,26.310272,63.156788,7.9471245
1991-03-25T00:00:00Z,21.653933,13.963266,3.7367454
1991-03-26T00:00:00Z,8.990438,35.57395,5.9643903
1991-03-27T00:00:00Z,3.1672368,12.67456,3.5601346
1991-03-28T00:00:00Z,0,0,0
1991-03-29T00:00:00Z,0,0,0
1991-03-30T00:00:00Z,0.9133639,0.58122027,0.76237804
1991-03-31T00:00:00Z,3.0349429,6.1784806,2.485655
1991-04-01T00:00:00Z,4.6833205,16.37832,4.0470138
1991-04-02T00:00:00Z,0,0,0
1991-04-03T00:00:00Z,0,0,0
1991-04-04T00:00:00Z,0,0,0
1991-04-05T00:00:00Z,4.5176363,17.311865,4.1607533
1991-04-06T00:00:00Z,0.6992879,0.5297368,0.72783023
1991-04-07T00:00:00Z,0,0,0
1991-04-08T00:00:00Z,0,0,0
1991-04-09T00:00:00Z,0,0,0
1991-04-10T00:00:00Z,0,0,0
1991-04-11T00:00:00Z,0,0,0
1991-04-12T00:00:00Z,0,0,0
1991-04-13T00:00:00Z,0,0,0
1991-04-14T00:00:00Z,0,0,0
1991-04-15T00:00:00Z,0,0,0
1991-04-16T00:00:00Z,0.31986368,0.68040866,0.82486886
1991-04-17T00:00:00Z,0.022318752,0.001199161,0.0346289
1991-04-18T00:00:00Z,0,0,0
1991-04-19T00:00:00Z,0.37473598,1.1706256,1.0819545
1991-04-20T00:00:00Z,0.8147202,0.2711732,0.52074295
1991-04-21T00:00:00Z,1.0267264,2.60829,1.61502
1991-04-22T00:00:00Z,0.3053901,0.21645823,0.46525073
1991-04-23T00:00:00Z,0.6142109,2.7830944,1.6682608
1991-04-24T00:00:00Z,3.5110269,10.318756,3.212282
1991-04-25T00:00:00Z,2.3077846,2.3771174,1.5417902
1991-04-26T00:00:00Z,0.022318752,0.001199161,0.0346289
1991-04-27T00:00:00Z,0,0,0
1991-04-28T00:00:00Z,0,0,0
1991-04-29T00:00:00Z,0,0,0
1991-04-30T00:00:00Z,0.984142,2.9107933,1.7061048
1991-05-01T00:00:00Z,2.5352454,3.5010796,1.8711171
1991-05-02T00:00:00Z,0.28408134,0.35660088,0.5971607
1991-05-03T00:00:00Z,0.2390996,0.11499577,0.33911026
1991-05-04T00:00:00Z,0,0,0
1991-05-05T00:00:00Z,0,0,0
1991-05-06T00:00:00Z,0,0,0
1991-05-07T00:00:00Z,0.37165615,0.13210003,0.36345568
1991-05-08T00:00:00Z,7.6777225,26.224976,5.1210327
1991-05-09T00:00:00Z,1.4294418,2.0067127,1.4165848
1991-05-10T00:00:00Z,2.6100492,5.0767784,2.2531707
1991-05-11T00:00:00Z,0.092812784,0.029317822,0.17122447
1991-05-12T00:00:00Z,1.3081671,2.1532314,1.4673892
1991-05-13T00:00:00Z,1.7243621,0.35977098,0.5998091
1991-05-14T00:00:00Z,0.24335527,0.05696272,0.23866865
1991-05-15T00:00:00Z,0.35841528,1.3106694,1.1448448
1991-05-16T00:00:00Z,6.6577845,19.62371,4.429866
1991-05-17T00:00:00Z,3.4471788,6.109772,2.4717953
1991-05-18T00:00:00Z,0.24870542,0.07100595,0.26646942
1991-05-19T00:00:00Z,0.5195401,0.54312307,0.7369688
1991-05-20T00:00:00Z,1.8023598,4.4240756,2.1033487
1991-05-21T00:00:00Z,0.49154687,0.5574863,0.74665004
1991-05-22T00:00:00Z,0,0,0
1991-05-23T00:00:00Z,0,0,0
1991-05-24T00:00:00Z,0,0,0
1991-05-25T00:00:00Z,0,0,0
1991-05-26T00:00:00Z,0,0,0
1991-05-27T00:00:00Z,0,0,0
1991-05-28T00:00:00Z,0,0,0
1991-05-29T00:00:00Z,4.044172,15.909056,3.9886158
1991-05-30T00:00:00Z,2.8645823,5.93948,2.4371047
1991-05-31T00:00:00Z,0,0,0
1991-06-01T00:00:00Z,0,0,0
1991-06-02T00:00:00Z,0,0,0
1991-06-03T00:00:00Z,0,0,0
1991-06-04T00:00:00Z,0,0,0
1991-06-05T00:00:00Z,0,0,0
1991-06-06T00:00:00Z,0,0,0
1991-06-07T00:00:00Z,0,0,0
1991-06-08T00:00:00Z,0,0,0
1991-06-09T00:00:00Z,0,0,0
1991-06-10T00:00:00Z,0,0,0
1991-06-11T00:00:00Z,0,0,0
1991-06-12T00:00:00Z,0,0,0
1991-06-13T00:00:00Z,0,0,0
1991-06-14T00:00:00Z,0,0,0
1991-06-15T00:00:00Z,0,0,0
1991-06-16T00:00:00Z,0,0,0
1991-06-17T00:00:00Z,0,0,0
1991-06-18T00:00:00Z,0,0,0
1991-06-19T00:00:00Z,0,0,0
1991-06-20T00:00:00Z,0,0,0
1991-06-21T00:00:00Z,0,0,0
1991-06-22T00:00:00Z,0,0,0
1991-06-23T00:00:00Z,0,0,0
1991-06-24T00:00:00Z,0.61069876,0.7124874,0.8440897
1991-06-25T00:00:00Z,0.10293935,0.02363092,0.15372352
1991-06-26T00:00:00Z,1.7093394,0.90598035,0.95183
1991-06-27T00:00:00Z,8.648893,17.51569,4.185175
1991-06-28T00:00:00Z,5.9051547,6.4578285,2.5412257
1991-06-29T00:00:00Z,1.9212438,4.1129327,2.0280366
1991-06-30T00:00:00Z,0,0,0
1991-07-01T00:00:00Z,0,0,0
1991-07-02T00:00:00Z,0,0,0
1991-07-03T00:00:00Z,0,0,0
1991-07-04T00:00:00Z,0,0,0
1991-07-05T00:00:00Z,0,0,0
1991-07-06T00:00:00Z,0,0,0
1991-07-07T00:00:00Z,0,0,0
1991-07-08T00:00:00Z,0,0,0
1991-07-09T00:00:00Z,0,0,0
1991-07-10T00:00:00Z,0,0,0
1991-07-11T00:00:00Z,0,0,0
1991-07-12T00:00:00Z,0,0,0
1991-07-13T00:00:00Z,0,0,0
1991-07-14T00:00:00Z,0,0,0
1991-07-15T00:00:00Z,0,0,0
1991-07-16T00:00:00Z,0,0,0
1991-07-17T00:00:00Z,0.043316893,0.005551786,0.074510306
1991-07-18T00:00:00Z,0.80738145,0.85868746,0.9266539
1991-07-19T00:00:00Z,2.6922822,3.7239776,1.929761
1991-07-20T00:00:00Z,2.2431254,5.3753176,2.318473
1991-07-21T00:00:00Z,0.32414502,0.5533391,0.7438677
1991-07-22T00:00:00Z,0.049545493,0.014041065,0.118495
1991-07-23T00:00:00Z,0,0,0
1991-07-24T00:00:00Z,0,0,0
1991-07-25T00:00:00Z,0.007760251,6.07E-04,0.024643764
1991-07-26T00:00:00Z,0.0846341,0.072387695,0.2690496
1991-07-27T00:00:00Z,0.14492871,0.116091914,0.34072265
1991-07-28T00:00:00Z,1.1046137,1.5376428,1.2400173
1991-07-29T00:00:00Z,0,0,0
1991-07-30T00:00:00Z,0,0,0
1991-07-31T00:00:00Z,0,0,0
1991-08-01T00:00:00Z,0,0,0
1991-08-02T00:00:00Z,0,0,0
1991-08-03T00:00:00Z,0,0,0
1991-08-04T00:00:00Z,0.14163803,0.12528996,0.35396323
1991-08-05T00:00:00Z,0.12735577,0.050259836,0.22418706
1991-08-06T00:00:00Z,0,0,0
1991-08-07T00:00:00Z,0,0,0
1991-08-08T00:00:00Z,0,0,0
1991-08-09T00:00:00Z,0,0,0
1991-08-10T00:00:00Z,0,0,0
1991-08-11T00:00:00Z,0,0,0
1991-08-12T00:00:00Z,0,0,0
1991-08-13T00:00:00Z,7.1382504,36.894737,6.074104
1991-08-14T00:00:00Z,15.301502,174.5102,13.210231
1991-08-15T00:00:00Z,7.9932485,21.68496,4.656711
