Step,Subplot,Sdl Abs Den: ACRU,Sdl Abs Den: ACSA,Sdl Abs Den: BEAL,Sdl Abs Den: BEPA,Sdl Abs Den: BELE,Sdl Abs Den: FAGR,Sdl Abs Den: TSCA,Sdl Abs Den: FRAM,Sdl Abs Den: PIST,Sdl Abs Den: PRSE,Sdl Abs Den: QURU,Sdl Abs Den: PIRE,Sdl Abs Den: PIAB,Sdl Den Total:,Sapl Abs BA: ACRU,Sapl Abs BA: ACSA,Sapl Abs BA: BEAL,Sapl Abs BA: BEPA,Sapl Abs BA: BELE,Sapl Abs BA: FAGR,Sapl Abs BA: TSCA,Sapl Abs BA: FRAM,Sapl Abs BA: PIST,Sapl Abs BA: PRSE,Sapl Abs BA: QURU,Sapl Abs BA: PIRE,Sapl Abs BA: PIAB,Sapl BA Total:,Sapl Rel BA: ACRU,Sapl Rel BA: ACSA,Sapl Rel BA: BEAL,Sapl Rel BA: BEPA,Sapl Rel BA: BELE,Sapl Rel BA: FAGR,Sapl Rel BA: TSCA,Sapl Rel BA: FRAM,Sapl Rel BA: PIST,Sapl Rel BA: PRSE,Sapl Rel BA: QURU,Sapl Rel BA: PIRE,Sapl Rel BA: PIAB,Sapl Abs Den: ACRU,Sapl Abs Den: ACSA,Sapl Abs Den: BEAL,Sapl Abs Den: BEPA,Sapl Abs Den: BELE,Sapl Abs Den: FAGR,Sapl Abs Den: TSCA,Sapl Abs Den: FRAM,Sapl Abs Den: PIST,Sapl Abs Den: PRSE,Sapl Abs Den: QURU,Sapl Abs Den: PIRE,Sapl Abs Den: PIAB,Sapl Den Total:,Sapl Rel Den: ACRU,Sapl Rel Den: ACSA,Sapl Rel Den: BEAL,Sapl Rel Den: BEPA,Sapl Rel Den: BELE,Sapl Rel Den: FAGR,Sapl Rel Den: TSCA,Sapl Rel Den: FRAM,Sapl Rel Den: PIST,Sapl Rel Den: PRSE,Sapl Rel Den: QURU,Sapl Rel Den: PIRE,Sapl Rel Den: PIAB,Adult Abs BA: ACRU,Adult Abs BA: ACSA,Adult Abs BA: BEAL,Adult Abs BA: BEPA,Adult Abs BA: BELE,Adult Abs BA: FAGR,Adult Abs BA: TSCA,Adult Abs BA: FRAM,Adult Abs BA: PIST,Adult Abs BA: PRSE,Adult Abs BA: QURU,Adult Abs BA: PIRE,Adult Abs BA: PIAB,Adult BA Total:,Adult Rel BA: ACRU,Adult Rel BA: ACSA,Adult Rel BA: BEAL,Adult Rel BA: BEPA,Adult Rel BA: BELE,Adult Rel BA: FAGR,Adult Rel BA: TSCA,Adult Rel BA: FRAM,Adult Rel BA: PIST,Adult Rel BA: PRSE,Adult Rel BA: QURU,Adult Rel BA: PIRE,Adult Rel BA: PIAB,Adult Abs Den: ACRU,Adult Abs Den: ACSA,Adult Abs Den: BEAL,Adult Abs Den: BEPA,Adult Abs Den: BELE,Adult Abs Den: FAGR,Adult Abs Den: TSCA,Adult Abs Den: FRAM,Adult Abs Den: PIST,Adult Abs Den: PRSE,Adult Abs Den: QURU,Adult Abs Den: PIRE,Adult Abs Den: PIAB,Adult Den Total:,Adult Rel Den: ACRU,Adult Rel Den: ACSA,Adult Rel Den: BEAL,Adult Rel Den: BEPA,Adult Rel Den: BELE,Adult Rel Den: FAGR,Adult Rel Den: TSCA,Adult Rel Den: FRAM,Adult Rel Den: PIST,Adult Rel Den: PRSE,Adult Rel Den: QURU,Adult Rel Den: PIRE,Adult Rel Den: PIAB,Natural Dead Sdl Abs Den: ACRU,Natural Dead Sdl Abs Den: ACSA,Natural Dead Sdl Abs Den: BEAL,Natural Dead Sdl Abs Den: BEPA,Natural Dead Sdl Abs Den: BELE,Natural Dead Sdl Abs Den: FAGR,Natural Dead Sdl Abs Den: TSCA,Natural Dead Sdl Abs Den: FRAM,Natural Dead Sdl Abs Den: PIST,Natural Dead Sdl Abs Den: PRSE,Natural Dead Sdl Abs Den: QURU,Natural Dead Sdl Abs Den: PIRE,Natural Dead Sdl Abs Den: PIAB,Natural Dead Sdl Den Total:,Natural Dead Sapl Abs BA: ACRU,Natural Dead Sapl Abs BA: ACSA,Natural Dead Sapl Abs BA: BEAL,Natural Dead Sapl Abs BA: BEPA,Natural Dead Sapl Abs BA: BELE,Natural Dead Sapl Abs BA: FAGR,Natural Dead Sapl Abs BA: TSCA,Natural Dead Sapl Abs BA: FRAM,Natural Dead Sapl Abs BA: PIST,Natural Dead Sapl Abs BA: PRSE,Natural Dead Sapl Abs BA: QURU,Natural Dead Sapl Abs BA: PIRE,Natural Dead Sapl Abs BA: PIAB,Natural Dead Sapl BA Total:,Natural Dead Sapl Abs Den: ACRU,Natural Dead Sapl Abs Den: ACSA,Natural Dead Sapl Abs Den: BEAL,Natural Dead Sapl Abs Den: BEPA,Natural Dead Sapl Abs Den: BELE,Natural Dead Sapl Abs Den: FAGR,Natural Dead Sapl Abs Den: TSCA,Natural Dead Sapl Abs Den: FRAM,Natural Dead Sapl Abs Den: PIST,Natural Dead Sapl Abs Den: PRSE,Natural Dead Sapl Abs Den: QURU,Natural Dead Sapl Abs Den: PIRE,Natural Dead Sapl Abs Den: PIAB,Natural Dead Sapl Den Total:,Natural Dead Adult Abs BA: ACRU,Natural Dead Adult Abs BA: ACSA,Natural Dead Adult Abs BA: BEAL,Natural Dead Adult Abs BA: BEPA,Natural Dead Adult Abs BA: BELE,Natural Dead Adult Abs BA: FAGR,Natural Dead Adult Abs BA: TSCA,Natural Dead Adult Abs BA: FRAM,Natural Dead Adult Abs BA: PIST,Natural Dead Adult Abs BA: PRSE,Natural Dead Adult Abs BA: QURU,Natural Dead Adult Abs BA: PIRE,Natural Dead Adult Abs BA: PIAB,Natural Dead Adult BA Total:,Natural Dead Adult Abs Den: ACRU,Natural Dead Adult Abs Den: ACSA,Natural Dead Adult Abs Den: BEAL,Natural Dead Adult Abs Den: BEPA,Natural Dead Adult Abs Den: BELE,Natural Dead Adult Abs Den: FAGR,Natural Dead Adult Abs Den: TSCA,Natural Dead Adult Abs Den: FRAM,Natural Dead Adult Abs Den: PIST,Natural Dead Adult Abs Den: PRSE,Natural Dead Adult Abs Den: QURU,Natural Dead Adult Abs Den: PIRE,Natural Dead Adult Abs Den: PIAB,Natural Dead Adult Den Total:
0,0,250,0,250,250,250,250,250,250,250,250,250,250,250,3000,0.303026,0,0.189842,0.0146196,0.0495211,0.181486,0.679083,0.00550521,0.0277259,0.00424319,0.024322,0.000374882,0.0124725,1.49222,0.20307,0,0.127221,0.00979721,0.0331861,0.121621,0.455082,0.00368927,0.0185803,0.00284354,0.0162992,0.000251224,0.00835832,112.943,0,90.8286,4.05714,32.1714,111.2,439.086,2.54286,27.5714,2.57143,21.2,0.2,2.85714,847.229,0.133309,0,0.107207,0.00478872,0.0379726,0.131251,0.518261,0.00300138,0.0325431,0.00303511,0.0250228,0.000236064,0.00337234,5.73206,0,0.801681,0.382631,0.527578,0.368497,12.9083,0.0933258,4.40393,0.143131,8.70266,1.92052,0.681895,36.6662,0.156331,0,0.0218643,0.0104355,0.0143887,0.0100501,0.352049,0.00254528,0.120109,0.00390362,0.237348,0.0523784,0.0185974,171.943,0,34.4857,11.2,18.5143,6.68571,222.6,2.65714,42.8286,4.02857,99.1714,22.3714,22.7714,659.257,0.260813,0,0.05231,0.0169888,0.0280836,0.0101413,0.337653,0.00403051,0.0649649,0.00611077,0.150429,0.0339343,0.034541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,891.714,0,234.743,147.743,160.057,268,814.057,135.771,780.743,146.657,319.886,507.743,269.571,4676.69,0.29189,0,0.188177,0.0131894,0.0476818,0.181411,0.674491,0.00512953,0.0276828,0.00399744,0.0245684,0.000405461,0.0117997,1.47042,0.198507,0,0.127975,0.00896983,0.0324273,0.123373,0.458705,0.00348847,0.0188264,0.00271856,0.0167084,0.000275744,0.00802467,106.714,0,84.5143,3.62857,30.0857,106.4,420.571,2.25714,25.6857,2.34286,19.9714,0.2,2.68571,805.057,0.132555,0,0.104979,0.00450722,0.0373709,0.132165,0.522412,0.00280371,0.0319055,0.00291017,0.0248075,0.00024843,0.00333605,5.78838,0,0.807841,0.373895,0.522026,0.362626,12.9804,0.0961086,4.46292,0.1359,8.78036,1.92903,0.680575,36.9201,0.156781,0,0.0218808,0.0101271,0.0141393,0.0098219,0.351581,0.00260315,0.120881,0.00368093,0.237821,0.0522488,0.0184337,169.714,0,35.3429,10.8857,17.9143,6.6,220.4,2.68571,42.3143,3.8,97.8857,22.0857,22.4286,652.057,0.260275,0,0.0542021,0.0166944,0.0274735,0.0101218,0.338007,0.00411883,0.0648935,0.00582771,0.150118,0.0338708,0.0343966,117.6,0,55.9714,126.457,116.714,3.22857,7.65714,126.086,27.2571,112.943,104.457,26.6571,8.28571,833.314,0.0137525,0,0.00761896,0.00167098,0.00307561,0.00695942,0.0248843,0.00021349,0.0019018,0.000424158,0.000833075,0,0.000632075,0.0619663,5.22857,0,4.37143,0.4,2,4.74286,17.0571,0.228571,1.85714,0.228571,1.17143,0,0.142857,37.4286,0.0569341,0,0.00971702,0.00611704,0.0124634,0.0046058,0.094151,0,0.0381514,0.00485293,0.0558266,0.0104222,0.00451074,0.297752,1.68571,0,0.542857,0.2,0.371429,0.0571429,1.62857,0,0.285714,0.171429,0.657143,0.114286,0.142857,5.85714
2,0,1229.51,0,223.714,101.771,121.943,284.857,1344.54,84.4,1270.06,102.886,375.229,733.714,288.8,6161.43,0.28533,0,0.18096,0.0118634,0.0461475,0.180594,0.666262,0.00510343,0.0273135,0.00409034,0.0240693,0.000435947,0.0107679,1.44294,0.197743,0,0.125411,0.00822172,0.0319817,0.125157,0.46174,0.00353684,0.0189291,0.00283473,0.0166808,0.000302125,0.0074625,101.714,0,78.1429,3.31429,28.3714,101.914,402.914,2.17143,23.6,2.14286,18.6286,0.2,2.4,765.514,0.132871,0,0.102079,0.00432949,0.0370619,0.133132,0.526331,0.00283656,0.0308289,0.00279924,0.0243347,0.000261262,0.00313515,5.83876,0,0.821808,0.367536,0.528547,0.363031,13.0443,0.0988931,4.51916,0.133398,8.82903,1.9558,0.674715,37.175,0.157062,0,0.0221065,0.00988665,0.0142178,0.00976548,0.350889,0.00266021,0.121564,0.00358838,0.237499,0.0526108,0.0181497,167.257,0,37,10.6,17.7143,6.65714,218.914,2.68571,41.5143,3.62857,96.5143,21.9143,22.0857,646.486,0.258717,0,0.0572325,0.0163963,0.0274009,0.0102974,0.338622,0.00415433,0.0642153,0.00561276,0.149291,0.0338976,0.0341627,418.2,0,50.4286,67.8571,66.8857,4.2,30.5143,62.9143,82.8286,55.7429,123.4,57.4,7.65714,1028.03,0.0103583,0,0.00623528,0.00133913,0.00216835,0.00678447,0.0227018,4.24149e-005,0.00196269,0.000103755,0.00120338,0,0.000969618,0.0538692,4.17143,0,3.62857,0.257143,1.54286,4.37143,15.5429,0.0571429,2,0.2,1.22857,0,0.257143,33.2571,0.0638685,0,0.0143154,0.00348712,0.00389468,0.00165564,0.0757949,0,0.0330317,0.00109747,0.0682844,0.00393724,0.00370944,0.273076,1.97143,0,0.657143,0.142857,0.171429,0.0571429,1.45714,0,0.457143,0.0285714,0.742857,0.0571429,0.114286,5.85714
3,0,1443.91,0,217.686,79.2857,102.829,301.971,1849.74,61.9714,1709.09,80.4857,419.314,940.943,306.8,7514.03,0.272501,0,0.177789,0.0113083,0.0469355,0.18268,0.656588,0.00480968,0.0272957,0.0035978,0.0231706,0.000461809,0.0095837,1.41672,0.192346,0,0.125493,0.007982,0.0331297,0.128946,0.463456,0.00339494,0.0192668,0.00253952,0.0163551,0.00032597,0.0067647,95.9143,0,72.3143,3.08571,27.1714,98.4857,385.171,2,21.9143,1.8,17.5143,0.2,2.17143,727.743,0.131797,0,0.0993679,0.00424012,0.0373366,0.13533,0.529269,0.00274822,0.0301127,0.0024734,0.0240666,0.000274822,0.00298379,5.90671,0,0.820463,0.360498,0.521369,0.359169,13.0938,0.0996551,4.55559,0.131448,8.88838,1.97738,0.674193,37.3887,0.157981,0,0.0219442,0.0096419,0.0139446,0.00960637,0.350208,0.00266538,0.121844,0.00351572,0.237729,0.052887,0.018032,165.486,0,37.4857,10.3429,17.0571,6.57143,217.543,2.6,40.8571,3.54286,95.2857,21.7143,21.7429,640.229,0.258479,0,0.0585505,0.0161549,0.0266423,0.0102642,0.339789,0.00406105,0.0638165,0.00553374,0.148831,0.0339165,0.0339611,559.743,0,46.9143,43.6286,46.7714,3.97143,49.5429,34.6286,137.514,33.2286,133.4,79.5714,8.94286,1177.86,0.0134023,0,0.00727317,0.000551057,0.000944139,0.00549184,0.0206992,0.000505684,0.00125907,0.000241051,0.00151832,0,0.00112585,0.0530117,4.68571,0,3.82857,0.171429,1.17143,3.42857,15.3143,0.171429,1.57143,0.285714,1,0,0.2,31.8286,0.0470283,0,0.018973,0.00595981,0.0117728,0.000610928,0.110582,0,0.0267711,0.00133299,0.0684639,0.0114257,0.00324925,0.306169,1.45714,0,0.628571,0.171429,0.371429,0.0285714,2,0,0.342857,0.0571429,0.714286,0.142857,0.2,6.11429
4,0,1584.37,0,213.229,68.4571,92.4571,319.114,2327.31,51.4571,2099.06,68.3714,452.857,1120.91,322.6,8720.2,0.260672,0,0.170432,0.0111296,0.0455577,0.182953,0.648652,0.00476329,0.0274688,0.00356896,0.0230003,0.000504934,0.00842289,1.38712,0.187922,0,0.122867,0.00802349,0.0328433,0.131893,0.467623,0.00343393,0.0198027,0.00257292,0.0165812,0.000364015,0.00607219,90.9429,0,66.1143,2.85714,25.3714,94.6857,368.914,1.88571,20.4,1.68571,16.2857,0.2,1.88571,691.229,0.131567,0,0.0956475,0.00413343,0.0367048,0.136982,0.533708,0.00272806,0.0295127,0.00243872,0.0235605,0.00028934,0.00272806,5.95351,0,0.82862,0.349076,0.516333,0.355478,13.1576,0.101984,4.61239,0.125934,8.96674,1.97222,0.670451,37.6104,0.158294,0,0.0220317,0.00928138,0.0137285,0.00945158,0.349841,0.0027116,0.122636,0.00334839,0.238411,0.0524381,0.0178262,163.8,0,38.7429,9.97143,16.5429,6.54286,215.8,2.57143,40.4,3.34286,94.2571,21.2857,21.4571,634.714,0.258069,0,0.0610398,0.0157101,0.0260635,0.0103084,0.339996,0.00405132,0.0636507,0.00526671,0.148503,0.0335359,0.033806,636.657,0,44.5429,31.7429,36.9143,4.42857,66.8286,22.9429,183.257,22.1714,146.171,106.714,8.65714,1311.03,0.0100437,0,0.0080335,0.000546618,0.00228144,0.00622089,0.0227093,0.000286015,0.00142946,0.000180953,0.000512959,0,0.000679073,0.0529239,3.54286,0,3.85714,0.228571,1.68571,3.74286,14.4,0.114286,1.45714,0.114286,1.08571,0,0.2,30.4286,0.0629451,0,0.0148747,0.00773494,0.00924665,0,0.113623,0.000743022,0.0208911,0.00380209,0.0352783,0.0191098,0.00545577,0.293705,1.51429,0,0.714286,0.142857,0.342857,0,1.91429,0.0285714,0.257143,0.142857,0.428571,0.2,0.142857,5.82857
5,0,1685.86,0,211.486,64.0857,88,334.286,2776.97,45.8571,2460.4,61,486.629,1279.23,337.829,9831.63,0.246079,0,0.170037,0.0102774,0.0429583,0.17969,0.639732,0.00460869,0.0275932,0.00338207,0.0218843,0.000547534,0.00812831,1.35492,0.181619,0,0.125496,0.00758524,0.0317055,0.132621,0.472155,0.00340145,0.0203652,0.00249615,0.0161518,0.000404108,0.00599911,85.4571,0,61.2571,2.57143,23.8286,90.3143,353.229,1.74286,19.2,1.57143,15.1143,0.2,1.77143,656.257,0.130219,0,0.0933432,0.00391832,0.0363098,0.13762,0.538247,0.00265575,0.0292568,0.00239453,0.023031,0.000304759,0.00269929,6.02756,0,0.835311,0.332687,0.517352,0.354811,13.1856,0.105119,4.65362,0.121491,9.02451,1.97258,0.659869,37.7906,0.159499,0,0.0221037,0.00880346,0.01369,0.00938888,0.348914,0.00278163,0.123142,0.00321484,0.238803,0.0521976,0.0174612,162.486,0,39.4857,9.48571,16.2,6.65714,213.429,2.57143,39.7143,3.22857,93.0286,20.9429,20.8857,628.114,0.258688,0,0.0628639,0.0151019,0.0257915,0.0105986,0.339793,0.00409389,0.0632278,0.0051401,0.148108,0.0333424,0.0332515,679.4,0,42.0286,25.4857,30.4857,4.97143,88.4286,18.6571,223.314,17.0571,149.714,121.914,9.68571,1411.14,0.01155,0,0.00699773,0.000850003,0.0029201,0.00718594,0.021505,0.00031156,0.00138939,9.53863e-005,0.000964226,0,0.000410589,0.0541799,4,0,3.34286,0.228571,1.37143,4.17143,13.6,0.142857,1.14286,0.0857143,0.971429,0,0.114286,29.1714,0.0419812,0,0.0104726,0.00648289,0.00894242,0.00225497,0.1369,0,0.0282745,0.00547731,0.0555236,0.0189876,0.00997694,0.325274,1.42857,0,0.4,0.228571,0.285714,0.0285714,2.34286,0,0.342857,0.114286,0.742857,0.171429,0.314286,6.4
6,0,1760.09,0,206.629,58.0286,85.5714,349.657,3208.31,41.9714,2782.77,57.8286,505.571,1426.83,352.486,10835.7,0.23659,0,0.167451,0.00979256,0.0401946,0.179563,0.629422,0.00426573,0.0274926,0.00350975,0.02085,0.000589168,0.00691173,1.32663,0.178338,0,0.126223,0.00738151,0.0302982,0.135353,0.474451,0.00321545,0.0207236,0.00264561,0.0157165,0.000444108,0.00520998,80.6286,0,56.7429,2.37143,22.2571,86.7429,338.457,1.57143,17.7143,1.51429,14.0571,0.2,1.48571,623.743,0.129266,0,0.0909716,0.00380193,0.0356832,0.139068,0.542623,0.00251935,0.0284,0.00242774,0.0225368,0.000320645,0.00238193,6.05277,0,0.841741,0.321076,0.517184,0.345,13.2125,0.108572,4.68409,0.118112,9.09819,1.9887,0.655232,37.9432,0.159522,0,0.0221842,0.00846201,0.0136305,0.00909254,0.348219,0.00286143,0.12345,0.00311286,0.239784,0.0524126,0.0172688,159.857,0,40.4,9.14286,16.1143,6.57143,211.886,2.6,39.1714,3.08571,92.0571,20.7143,20.4857,622.086,0.25697,0,0.0649428,0.0146971,0.0259036,0.0105635,0.340605,0.00417949,0.0629679,0.00496027,0.147981,0.0332981,0.0329307,710.857,0,41.2857,23.1429,27.4,5.45714,103.571,16.0286,262.429,13,160.314,136.886,9.14286,1509.51,0.010787,0,0.00638424,0.000566348,0.00243408,0.00560559,0.0221215,0.000280854,0.00159191,3.57478e-005,0.000570736,0,0.000889302,0.0512673,3.94286,0,2.68571,0.171429,1.31429,3.45714,12.6286,0.142857,1.4,0.0571429,0.828571,0,0.228571,26.8571,0.0631022,0,0.0103717,0.00770097,0.00951237,0.00794549,0.0958462,0,0.0538617,0,0.0571222,0.0185971,0.00655061,0.330611,1.77143,0,0.371429,0.171429,0.2,0.114286,1.6,0,0.371429,0,0.6,0.2,0.228571,5.62857
7,0,1834.43,0,204.429,54.5714,84.0857,363.2,3608.63,42.4286,3085.77,54.3429,529.457,1558.09,366.457,11785.9,0.223099,0,0.162966,0.0083771,0.0392851,0.175745,0.616534,0.0041801,0.0269226,0.00307722,0.0188948,0.000632418,0.00562539,1.28534,0.173572,0,0.126788,0.00651743,0.030564,0.136731,0.479666,0.00325214,0.0209459,0.00239409,0.0147003,0.000492025,0.00437658,75.4571,0,52.4857,2.05714,20.9143,83.3143,323.286,1.48571,16.5714,1.31429,12.8,0.2,1.25714,591.143,0.127646,0,0.0887869,0.00347994,0.0353794,0.140938,0.546883,0.00251329,0.0280329,0.0022233,0.021653,0.000338328,0.00212663,6.11056,0,0.848403,0.316511,0.513498,0.339198,13.2404,0.111326,4.68922,0.116265,9.17768,1.99588,0.656167,38.1151,0.160318,0,0.022259,0.00830408,0.0134723,0.00889931,0.34738,0.00292077,0.123028,0.00305038,0.240788,0.0523645,0.0172154,158.2,0,41.1143,9,15.8571,6.62857,209.714,2.57143,38.5143,2.97143,91.2857,20.4286,20.3143,616.6,0.256568,0,0.066679,0.0145962,0.0257171,0.0107502,0.340114,0.00417033,0.0624624,0.00481905,0.148047,0.033131,0.0329456,725.343,0,39.9429,21.1143,25.6286,5.42857,118.457,13.9429,297.257,12.4286,157.914,156.029,10.0286,1583.51,0.0115766,0,0.00546989,0.000840902,0.00166901,0.00851179,0.0230925,0.00031958,0.0014579,0.000363932,0.00135345,0,0.000944952,0.0556005,3.91429,0,2.17143,0.2,1.22857,3.25714,12.9714,0.0857143,1,0.171429,1.02857,0,0.171429,26.2,0.054395,0,0.0130342,0.00432573,0.00801156,0.00889712,0.138686,0.000541588,0.0173436,0.00320892,0.0387134,0.0195665,0.00316273,0.309886,1.37143,0,0.685714,0.114286,0.171429,0.114286,2.28571,0.0285714,0.142857,0.114286,0.342857,0.2,0.114286,5.68572
8,0,1888.43,0,206.486,54.2857,85.3429,376.457,3993.03,41.9143,3357.8,53.8286,547.914,1677.6,379.914,12663,0.212053,0,0.155609,0.00794006,0.0377482,0.173992,0.606526,0.00399575,0.0269633,0.00312901,0.0182167,0.000453051,0.00541702,1.25204,0.169366,0,0.124284,0.00634168,0.0301493,0.138966,0.484429,0.00319139,0.0215354,0.00249912,0.0145496,0.00036185,0.00432655,70.5143,0,47.7429,1.91429,19.7143,80.2857,309.657,1.37143,15.3143,1.22857,11.9714,0.142857,1.2,561.057,0.125681,0,0.0850945,0.00341193,0.0351378,0.143097,0.551917,0.00244437,0.0272954,0.00218974,0.0213373,0.000254621,0.00213882,6.19376,0,0.862329,0.309924,0.508973,0.336599,13.2948,0.11359,4.72168,0.113662,9.21304,2.00837,0.652324,38.329,0.161595,0,0.0224981,0.00808589,0.0132791,0.00878183,0.346859,0.00296354,0.123188,0.00296544,0.240367,0.0523983,0.0170191,156.886,0,42.4,8.77143,15.4571,6.6,207.829,2.54286,37.8286,2.85714,90.1143,20.1714,19.9429,611.4,0.256601,0,0.069349,0.0143465,0.0252816,0.0107949,0.339922,0.00415907,0.0618721,0.00467312,0.14739,0.0329922,0.0326183,742.257,0,38.3714,17.7429,24.5143,5.62857,134.971,14.7143,326.943,9.8,162.829,169.143,10.2571,1657.17,0.0101942,0,0.00583631,0.000291855,0.00165681,0.00807569,0.0204483,0.000351282,0.00166249,7.65399e-005,0.00126277,0.000216613,0.000278395,0.0503513,3.85714,0,2.37143,0.0857143,1.02857,2.97143,11.5714,0.114286,1.2,0.0857143,0.742857,0.0571429,0.0571429,24.1429,0.0364504,0,0.0116323,0.00158445,0.00975365,0.00274586,0.0932015,0.00110033,0.066566,0.00308678,0.0878361,0.0160151,0.00499795,0.33497,1.28571,0,0.485714,0.0857143,0.285714,0.0571429,1.8,0.0285714,0.457143,0.0571429,0.714286,0.171429,0.142857,5.57143
9,0,1948,0,205.2,52.0286,84.0857,390.029,4344.37,41.4857,3599.89,52.6,569.343,1781.14,392.971,13461.1,0.203094,0,0.151025,0.00761764,0.0372515,0.171281,0.594964,0.00361143,0.026923,0.00273464,0.0179644,0.00036794,0.00492518,1.22176,0.166231,0,0.123613,0.00623497,0.03049,0.140192,0.486973,0.00295592,0.0220363,0.00223828,0.0147037,0.000301156,0.00403122,66.2571,0,43.9143,1.74286,18.7714,76.6857,296.2,1.22857,14.2857,1.11429,11.1143,0.114286,1.11429,532.543,0.124417,0,0.0824615,0.00327271,0.0352487,0.143999,0.556199,0.00230699,0.0268255,0.00209239,0.0208702,0.000214604,0.00209239,6.23395,0,0.874837,0.307582,0.508081,0.336621,13.3002,0.116914,4.76584,0.113487,9.27575,2.00924,0.651773,38.4943,0.161945,0,0.0227264,0.00799032,0.0131989,0.00874469,0.345511,0.00303718,0.123806,0.00294814,0.240964,0.0521957,0.0169317,154.657,0,43.5714,8.6,15.1714,6.62857,206.286,2.54286,37.3143,2.8,88.9714,19.8,19.7429,606.086,0.255174,0,0.0718899,0.0141894,0.0250318,0.0109367,0.340357,0.00419554,0.061566,0.00461981,0.146797,0.0326686,0.0325744,751,0,40.0857,17.7143,25,6.25714,150.886,14.5429,358.943,9.51429,163.257,185.714,10.4,1733.31,0.00788231,0,0.00539185,0.000382629,0.00147683,0.00782487,0.022921,0.00034104,0.00153461,8.04776e-005,0.000715143,0.000121514,0.000108277,0.0487805,3.2,0,1.94286,0.142857,0.885714,3.48571,11.5429,0.114286,0.971429,0.0571429,0.771429,0.0285714,0.0285714,23.1714,0.0683253,0,0.00952063,0.00177588,0.00865588,0.00203668,0.141623,0,0.0479101,0.00112351,0.0740504,0.0272419,0.00218858,0.384452,1.8,0,0.314286,0.0857143,0.2,0.0857143,1.82857,0,0.371429,0.0571429,0.657143,0.285714,0.0857143,5.77143
