,Number,Type,Species,DBH,Height,Crown_Radius,Crown_Depth,Crown_Area,Basal_Area
1,1,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
2,2,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
3,3,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
4,4,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
5,5,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
6,6,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
7,7,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
8,8,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
9,9,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
10,10,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
11,11,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
12,12,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
13,13,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
14,14,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
15,15,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
16,16,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
17,17,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
18,18,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
19,19,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
20,20,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
21,21,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
22,22,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
23,23,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
24,24,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
25,25,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
26,26,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
27,27,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
28,28,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
29,29,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
30,30,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
31,31,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
32,32,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
33,33,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
34,34,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
35,35,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
36,36,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
37,37,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
38,38,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
39,39,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
40,40,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
41,41,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
42,42,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
43,43,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
44,44,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
45,45,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
46,46,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
47,47,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
48,48,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
49,49,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
50,50,Sapling,TSCA,9.9,7.483387341,0.99,8.3754,3.077514,0.007697705
51,51,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
52,52,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
53,53,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
54,54,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
55,55,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
56,56,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
57,57,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
58,58,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
59,59,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
60,60,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
61,61,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
62,62,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
63,63,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
64,64,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
65,65,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
66,66,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
67,67,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
68,68,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
69,69,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
70,70,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
71,71,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
72,72,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
73,73,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
74,74,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
75,75,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
76,76,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
77,77,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
78,78,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
79,79,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
80,80,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
81,81,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
82,82,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
83,83,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
84,84,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
85,85,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
86,86,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
87,87,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
88,88,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
89,89,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
90,90,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
