"","Species","Type","DBH","CCR"
"650","PIAB","Adult",10.1122463161,627257.795775959
"649","PIAB","Adult",10.1637653653,627119.620064479
"648","PIAB","Adult",10.3425629883,626249.658991391
"647","PIAB","Adult",10.3940820375,625897.096622305
"646","PIAB","Adult",10.4213606113,625861.341868633
"645","PIAB","Adult",10.5728796605,625228.710540543
"644","PIAB","Adult",10.5759177589,625225.200466915
"643","PIAB","Adult",10.5759177589,625221.688375771
"642","PIAB","Adult",10.6243987097,624849.122705925
"641","PIAB","Adult",10.6274368081,624845.578341499
"640","PIAB","Adult",10.6274368081,624842.031949727
"639","PIAB","Adult",10.6516772835,624675.888925098
"638","PIAB","Adult",10.6516772835,624672.326336709
"636","PIAB","Adult",10.7031963327,624468.455148281
"635","PIAB","Adult",10.7031963327,624464.858014152
"634","PIAB","Adult",10.7031963327,624461.260880024
"633","PIAB","Adult",10.7274368081,624324.460464402
"632","PIAB","Adult",10.7274368081,624320.847018327
"631","PIAB","Adult",10.7274368081,624317.233572253
"630","PIAB","Adult",10.7304749065,624313.620126178
"629","PIAB","Adult",10.7304749065,624310.004633098
"628","PIAB","Adult",10.7304749065,624306.389140018
"627","PIAB","Adult",10.7304749065,624302.773646938
"626","PIAB","Adult",10.7547153819,624150.702333085
"625","PIAB","Adult",10.7547153819,624147.070486532
"624","PIAB","Adult",10.7547153819,624143.43863998
"623","PIAB","Adult",10.7789558573,623942.622115677
"622","PIAB","Adult",10.8062344311,623904.190180374
"621","PIAB","Adult",10.8062344311,623900.523454713
"620","PIAB","Adult",10.8304749065,623896.856729052
"619","PIAB","Adult",10.8304749065,623893.17353459
"618","PIAB","Adult",10.8304749065,623889.490340127
"617","PIAB","Adult",10.8819939557,623739.038294814
"616","PIAB","Adult",10.8819939557,623735.319976131
"615","PIAB","Adult",10.8819939557,623731.601657448
"614","PIAB","Adult",10.8819939557,623727.883338765
"613","PIAB","Adult",10.8819939557,623724.165020082
"612","PIAB","Adult",10.9819939557,623214.529466761
"611","PIAB","Adult",10.9819939557,623210.742495156
"610","PIAB","Adult",10.9819939557,623206.955523551
"609","PIAB","Adult",10.9819939557,623203.168551946
"608","PIAB","Adult",11.0819939557,622578.070302117
"607","PIAB","Adult",11.0819939557,622574.21404959
"606","PIAB","Adult",11.0819939557,622570.357797063
"605","PIAB","Adult",11.0819939557,622566.501544536
"604","PIAB","Adult",11.0819939557,622562.645292009
"603","PIAB","Adult",11.1819939557,622050.833575725
"602","PIAB","Adult",11.1819939557,622046.907414275
"601","PIAB","Adult",11.2819939557,621825.862001186
"600","PIAB","Adult",11.2819939557,621821.865302815
"599","PIAB","Adult",11.2819939557,621817.868604444
"598","PIAB","Adult",11.2819939557,621813.871906072
"597","PIAB","Adult",11.2819939557,621809.875207701
"596","PIAB","Adult",11.3819939557,621556.484523936
"595","PIAB","Adult",11.3819939557,621552.416660643
"594","PIAB","Adult",11.3819939557,621548.348797349
"593","PIAB","Adult",11.4819939557,621371.760363573
"592","PIAB","Adult",11.4819939557,621367.620707358
"591","PIAB","Adult",11.5819939557,621107.376055593
"590","PIAB","Adult",11.5819939557,621103.163978456
"589","PIAB","Adult",11.5819939557,621098.951901319
"588","PIAB","Adult",11.5819939557,621094.739824181
"587","PIAB","Adult",11.6819939557,620866.861197972
"586","PIAB","Adult",11.6819939557,620862.576071913
"585","PIAB","Adult",11.6819939557,620858.290945853
"584","PIAB","Adult",11.6819939557,620854.005819794
"583","PIAB","Adult",11.6819939557,620849.720693735
"582","PIAB","Adult",11.7819939557,620650.513438126
"581","PIAB","Adult",11.8819939557,620406.54677038
"580","PIAB","Adult",11.8819939557,620402.113662477
"579","PIAB","Adult",11.8819939557,620397.680554573
"578","PIAB","Adult",11.8819939557,620393.24744667
"577","PIAB","Adult",11.9819939557,620098.821594702
"576","PIAB","Adult",11.9819939557,620094.313553876
"575","PIAB","Adult",11.9819939557,620089.805513051
"574","PIAB","Adult",12.0819939557,619886.170540176
"573","PIAB","Adult",12.0819939557,619881.586938429
"572","PIAB","Adult",12.0819939557,619877.003336681
"571","PIAB","Adult",12.0819939557,619872.419734934
"570","PIAB","Adult",12.0819939557,619867.836133186
"569","PIAB","Adult",12.1819939557,619604.128313931
"568","PIAB","Adult",12.2819939557,619327.128833113
"567","PIAB","Adult",12.2819939557,619322.392225522
"566","PIAB","Adult",12.2819939557,619317.65561793
"565","PIAB","Adult",12.2819939557,619312.919010338
"564","PIAB","Adult",12.3819939557,619058.738812079
"563","PIAB","Adult",12.3819939557,619053.924759565
"562","PIAB","Adult",12.3819939557,619049.110707052
"561","PIAB","Adult",12.3819939557,619044.296654538
"560","PIAB","Adult",12.3819939557,619039.482602024
"559","PIAB","Adult",12.4819939557,618798.152919357
"558","PIAB","Adult",12.4819939557,618793.260793922
"557","PIAB","Adult",12.4819939557,618788.368668486
"556","PIAB","Adult",12.4819939557,618783.47654305
"555","PIAB","Adult",12.5819939557,618517.859496825
"554","PIAB","Adult",12.5819939557,618512.888670468
"553","PIAB","Adult",12.5819939557,618507.91784411
"552","PIAB","Adult",12.5819939557,618502.947017752
"551","PIAB","Adult",12.5819939557,618497.976191395
"550","PIAB","Adult",12.6819939557,618278.562327884
"549","PIAB","Adult",12.6819939557,618273.512172604
"548","PIAB","Adult",12.6819939557,618268.462017324
"547","PIAB","Adult",12.6819939557,618263.411862045
"546","PIAB","Adult",12.6819939557,618258.361706765
"545","PIAB","Adult",12.6819939557,618253.311551485
"544","PIAB","Adult",12.6819939557,618248.261396206
"543","PIAB","Adult",12.6819939557,618243.211240926
"542","PIAB","Adult",12.7819939557,618040.750374676
"541","PIAB","Adult",12.7819939557,618035.620262474
"540","PIAB","Adult",12.7819939557,618030.490150272
"539","PIAB","Adult",12.7819939557,618025.36003807
"538","PIAB","Adult",12.9819939557,617503.253371774
"537","PIAB","Adult",12.9819939557,617497.961461728
"536","PIAB","Adult",12.9819939557,617492.669551682
"535","PIAB","Adult",12.9819939557,617487.377641636
"534","PIAB","Adult",12.9819939557,617482.08573159
"533","PIAB","Adult",13.0819939557,617220.199508874
"532","PIAB","Adult",13.0819939557,617214.825757906
"531","PIAB","Adult",13.0819939557,617209.452006938
"530","PIAB","Adult",13.2819939557,616652.753440569
"529","PIAB","Adult",13.2819939557,616647.214123757
"528","PIAB","Adult",13.2819939557,616641.674806945
"527","PIAB","Adult",13.2819939557,616636.135490133
"526","PIAB","Adult",13.3819939557,616396.54586644
"525","PIAB","Adult",13.4819939557,616117.057559832
"524","PIAB","Adult",13.4819939557,616111.350165176
"523","PIAB","Adult",13.4819939557,616105.64277052
"522","PIAB","Adult",13.5819939557,615820.484561422
"521","PIAB","Adult",13.5819939557,615814.692185843
"520","PIAB","Adult",13.5819939557,615808.899810265
"519","PIAB","Adult",13.5819939557,615803.107434687
"518","PIAB","Adult",13.5819939557,615797.315059109
"517","PIAB","Adult",13.5819939557,615791.522683531
"516","PIAB","Adult",13.5819939557,615785.730307953
"515","PIAB","Adult",13.6819939557,615499.137656321
"514","PIAB","Adult",13.6819939557,615493.259671821
"513","PIAB","Adult",13.6819939557,615487.381687321
"512","PIAB","Adult",13.6819939557,615481.503702821
"511","PIAB","Adult",13.6819939557,615475.625718321
"510","PIAB","Adult",13.6819939557,615469.747733821
"509","PIAB","Adult",13.6819939557,615463.86974932
"508","PIAB","Adult",13.7819939557,615187.825474741
"507","PIAB","Adult",13.7819939557,615181.861253319
"506","PIAB","Adult",13.7819939557,615175.897031897
"505","PIAB","Adult",13.7819939557,615169.932810474
"504","PIAB","Adult",13.7819939557,615163.968589052
"503","PIAB","Adult",13.7819939557,615158.00436763
"501","PIAB","Adult",13.8819939557,614783.980037072
"500","PIAB","Adult",13.8819939557,614777.928950727
"499","PIAB","Adult",13.8819939557,614771.877864383
"498","PIAB","Adult",13.9819939557,614492.559604984
"497","PIAB","Adult",13.9819939557,614486.421025717
"496","PIAB","Adult",13.9819939557,614480.282446451
"495","PIAB","Adult",13.9819939557,614474.143867185
"494","PIAB","Adult",14.0819939557,614203.331188299
"493","PIAB","Adult",14.0819939557,614197.104488111
"492","PIAB","Adult",14.0819939557,614190.877787922
"491","PIAB","Adult",14.0819939557,614184.651087734
"490","PIAB","Adult",14.0819939557,614178.424387546
"489","PIAB","Adult",14.0819939557,614172.197687357
"488","PIAB","Adult",14.0819939557,614165.970987169
"487","PIAB","Adult",14.1819939557,613852.238952365
"486","PIAB","Adult",14.1819939557,613845.923503255
"485","PIAB","Adult",14.1819939557,613839.608054144
"484","PIAB","Adult",14.1819939557,613833.292605034
"483","PIAB","Adult",14.2819939557,613583.402571462
"482","PIAB","Adult",14.2819939557,613576.99774543
"481","PIAB","Adult",14.2819939557,613570.592919398
"480","PIAB","Adult",14.2819939557,613564.188093365
"479","PIAB","Adult",14.2819939557,613557.783267333
"478","PIAB","Adult",14.3819939557,613325.548177963
"477","PIAB","Adult",14.3819939557,613319.053347009
"476","PIAB","Adult",14.3819939557,613312.558516054
"475","PIAB","Adult",14.3819939557,613306.0636851
"474","PIAB","Adult",14.3819939557,613299.568854146
"473","PIAB","Adult",14.3819939557,613293.074023191
"472","PIAB","Adult",14.4819939557,613059.590389432
"471","PIAB","Adult",14.4819939557,613053.004925555
"470","PIAB","Adult",14.4819939557,613046.419461679
"469","PIAB","Adult",14.4819939557,613039.833997802
"468","PIAB","Adult",14.4819939557,613033.248533926
"467","PIAB","Adult",14.5819939557,612725.09065545
"466","PIAB","Adult",14.5819939557,612718.413930652
"465","PIAB","Adult",14.5819939557,612711.737205853
"464","PIAB","Adult",14.5819939557,612705.060481055
"463","PIAB","Adult",14.5819939557,612698.383756256
"462","PIAB","Adult",14.7819939557,611929.596124573
"461","PIAB","Adult",14.7819939557,611922.73499393
"460","PIAB","Adult",14.8819939557,611493.371222465
"459","PIAB","Adult",14.8819939557,611486.4169469
"458","PIAB","Adult",14.8819939557,611479.462671335
"457","PIAB","Adult",14.8819939557,611472.508395771
"456","PIAB","Adult",14.8819939557,611465.554120206
"455","PIAB","Adult",14.9819939557,611077.957971055
"454","PIAB","Adult",14.9819939557,611070.909922568
"453","PIAB","Adult",14.9819939557,611063.861874081
"452","PIAB","Adult",14.9819939557,611056.813825594
"451","PIAB","Adult",15.0819939557,610645.288660362
"450","PIAB","Adult",15.0819939557,610638.146210953
"449","PIAB","Adult",15.0819939557,610631.003761544
"448","PIAB","Adult",15.1819939557,610262.432849631
"447","PIAB","Adult",15.1819939557,610255.1953713
"446","PIAB","Adult",15.1819939557,610247.957892969
"445","PIAB","Adult",15.1819939557,610240.720414638
"444","PIAB","Adult",15.1819939557,610233.482936307
"443","PIAB","Adult",15.2819939557,609922.485519448
"442","PIAB","Adult",15.2819939557,609915.152384195
"441","PIAB","Adult",15.2819939557,609907.819248942
"440","PIAB","Adult",15.2819939557,609900.486113689
"439","PIAB","Adult",15.2819939557,609893.152978437
"438","PIAB","Adult",15.2819939557,609885.819843184
"437","PIAB","Adult",15.2819939557,609878.486707931
"436","PIAB","Adult",15.3819939557,609635.453403101
"435","PIAB","Adult",15.3819939557,609628.023982926
"434","PIAB","Adult",15.3819939557,609620.594562751
"433","PIAB","Adult",15.3819939557,609613.165142576
"432","PIAB","Adult",15.5819939557,609040.801413929
"431","PIAB","Adult",15.5819939557,609033.17753991
"430","PIAB","Adult",15.5819939557,609025.553665891
"429","PIAB","Adult",15.5819939557,609017.929791872
"428","PIAB","Adult",15.5819939557,609010.305917853
"427","PIAB","Adult",15.5819939557,609002.682043834
"426","PIAB","Adult",15.6819939557,608736.552269551
"425","PIAB","Adult",15.6819939557,608728.83022661
"424","PIAB","Adult",15.6819939557,608721.108183669
"423","PIAB","Adult",15.7819939557,608402.443726325
"422","PIAB","Adult",15.7819939557,608394.622886462
"421","PIAB","Adult",15.7819939557,608386.802046599
"420","PIAB","Adult",15.7819939557,608378.981206736
"419","PIAB","Adult",15.7819939557,608371.160366873
"418","PIAB","Adult",15.7819939557,608363.33952701
"417","PIAB","Adult",15.7819939557,608355.518687147
"416","PIAB","Adult",15.7819939557,608347.697847284
"415","PIAB","Adult",15.8819939557,607996.632982039
"414","PIAB","Adult",15.9819939557,607667.884768062
"413","PIAB","Adult",15.9819939557,607659.864450355
"412","PIAB","Adult",15.9819939557,607651.844132648
"411","PIAB","Adult",15.9819939557,607643.82381494
"410","PIAB","Adult",15.9819939557,607635.803497233
"409","PIAB","Adult",16.0819939557,607396.364357701
"408","PIAB","Adult",16.0819939557,607388.243359072
"407","PIAB","Adult",16.0819939557,607380.122360443
"406","PIAB","Adult",16.0819939557,607372.001361814
"405","PIAB","Adult",16.0819939557,607363.880363184
"404","PIAB","Adult",16.0819939557,607355.759364555
"403","PIAB","Adult",16.0819939557,607347.638365926
"402","PIAB","Adult",16.0819939557,607339.517367297
"401","PIAB","Adult",16.1819939557,606976.088356098
"400","PIAB","Adult",16.1819939557,606967.866048547
"399","PIAB","Adult",16.1819939557,606959.643740995
"398","PIAB","Adult",16.1819939557,606951.421433444
"397","PIAB","Adult",16.1819939557,606943.199125893
"396","PIAB","Adult",16.1819939557,606934.976818342
"395","PIAB","Adult",16.1819939557,606926.75451079
"394","PIAB","Adult",16.1819939557,606918.532203239
"393","PIAB","Adult",16.1819939557,606910.309895688
"392","PIAB","Adult",16.1819939557,606902.087588137
"391","PIAB","Adult",16.2819939557,606571.454988663
"390","PIAB","Adult",16.2819939557,606563.13074419
"389","PIAB","Adult",16.2819939557,606554.806499717
"388","PIAB","Adult",16.2819939557,606546.482255244
"387","PIAB","Adult",16.3819939557,606233.077441512
"386","PIAB","Adult",16.3819939557,606224.650632117
"385","PIAB","Adult",16.4819939557,605958.336307535
"384","PIAB","Adult",16.4819939557,605949.806305217
"383","PIAB","Adult",16.4819939557,605941.2763029
"382","PIAB","Adult",16.4819939557,605932.746300583
"381","PIAB","Adult",16.4819939557,605924.216298265
"380","PIAB","Adult",16.4819939557,605915.686295948
"379","PIAB","Adult",16.4819939557,605907.156293631
"378","PIAB","Adult",16.4819939557,605898.626291313
"377","PIAB","Adult",16.5819939557,605562.967222277
"376","PIAB","Adult",16.5819939557,605554.333399038
"375","PIAB","Adult",16.5819939557,605545.699575798
"374","PIAB","Adult",16.5819939557,605537.065752559
"373","PIAB","Adult",16.5819939557,605528.431929319
"372","PIAB","Adult",16.5819939557,605519.79810608
"371","PIAB","Adult",16.6819939557,605163.55887175
"370","PIAB","Adult",16.6819939557,605154.820599588
"369","PIAB","Adult",16.6819939557,605146.082327427
"368","PIAB","Adult",16.7819939557,604861.540790865
"367","PIAB","Adult",16.7819939557,604852.697441782
"366","PIAB","Adult",16.7819939557,604843.854092698
"365","PIAB","Adult",16.7819939557,604835.010743615
"364","PIAB","Adult",16.7819939557,604826.167394531
"363","PIAB","Adult",16.7819939557,604817.324045448
"362","PIAB","Adult",16.8819939557,604515.074968408
"361","PIAB","Adult",16.8819939557,604506.125914402
"360","PIAB","Adult",16.8819939557,604497.176860397
"359","PIAB","Adult",16.8819939557,604488.227806391
"358","PIAB","Adult",16.8819939557,604479.278752386
"357","PIAB","Adult",16.9819939557,604153.617092923
"355","PIAB","Adult",17.0819939557,603797.81941567
"354","PIAB","Adult",17.0819939557,603788.65706782
"353","PIAB","Adult",17.1819939557,603493.377736486
"352","PIAB","Adult",17.1819939557,603484.107799715
"351","PIAB","Adult",17.1819939557,603474.837862943
"350","PIAB","Adult",17.1819939557,603465.567926171
"349","PIAB","Adult",17.2819939557,603106.287220605
"348","PIAB","Adult",17.2819939557,603096.909066911
"347","PIAB","Adult",17.2819939557,603087.530913217
"346","PIAB","Adult",17.2819939557,603078.152759524
"345","PIAB","Adult",17.2819939557,603068.77460583
"344","PIAB","Adult",17.3819939557,602755.629111041
"343","PIAB","Adult",17.3819939557,602746.142112425
"342","PIAB","Adult",17.3819939557,602736.655113809
"341","PIAB","Adult",17.3819939557,602727.168115193
"340","PIAB","Adult",17.4819939557,602462.533951934
"339","PIAB","Adult",17.4819939557,602452.937480396
"338","PIAB","Adult",17.4819939557,602443.341008859
"337","PIAB","Adult",17.4819939557,602433.744537321
"336","PIAB","Adult",17.4819939557,602424.148065783
"335","PIAB","Adult",17.4819939557,602414.551594245
"334","PIAB","Adult",17.5819939557,602077.151079415
"333","PIAB","Adult",17.5819939557,602067.444506955
"332","PIAB","Adult",17.6819939557,601723.133368675
"331","PIAB","Adult",17.6819939557,601713.316067293
"330","PIAB","Adult",17.6819939557,601703.498765912
"329","PIAB","Adult",17.6819939557,601693.68146453
"328","PIAB","Adult",17.6819939557,601683.864163148
"327","PIAB","Adult",17.7819939557,601456.455132873
"326","PIAB","Adult",17.7819939557,601446.526474569
"325","PIAB","Adult",17.7819939557,601436.597816265
"324","PIAB","Adult",17.7819939557,601426.669157961
"323","PIAB","Adult",17.8819939557,601059.810998917
"322","PIAB","Adult",17.8819939557,601049.770355691
"321","PIAB","Adult",17.8819939557,601039.729712465
"320","PIAB","Adult",17.8819939557,601029.689069239
"319","PIAB","Adult",17.8819939557,601019.648426013
"318","PIAB","Adult",17.8819939557,601009.607782787
"317","PIAB","Adult",17.8819939557,600999.567139561
"316","PIAB","Adult",17.9819939557,600664.444492466
"315","PIAB","Adult",17.9819939557,600654.291236318
"314","PIAB","Adult",17.9819939557,600644.13798017
"313","PIAB","Adult",18.0819939557,600405.99769807
"312","PIAB","Adult",18.0819939557,600395.731201
"311","PIAB","Adult",18.0819939557,600385.46470393
"310","PIAB","Adult",18.0819939557,600375.19820686
"309","PIAB","Adult",18.0819939557,600364.93170979
"308","PIAB","Adult",18.0819939557,600354.66521272
"307","PIAB","Adult",18.0819939557,600344.39871565
"306","PIAB","Adult",18.1819939557,600007.906041333
"305","PIAB","Adult",18.1819939557,599997.525675341
"304","PIAB","Adult",18.1819939557,599987.145309349
"303","PIAB","Adult",18.2819939557,599621.794732341
"302","PIAB","Adult",18.2819939557,599611.299869427
"301","PIAB","Adult",18.2819939557,599600.805006513
"300","PIAB","Adult",18.2819939557,599590.310143599
"299","PIAB","Adult",18.2819939557,599579.815280685
"298","PIAB","Adult",18.2819939557,599569.320417771
"297","PIAB","Adult",18.3819939557,599263.984174221
"296","PIAB","Adult",18.3819939557,599253.374186385
"295","PIAB","Adult",18.3819939557,599242.764198549
"294","PIAB","Adult",18.3819939557,599232.154210712
"293","PIAB","Adult",18.3819939557,599221.544222876
"292","PIAB","Adult",18.3819939557,599210.93423504
"291","PIAB","Adult",18.3819939557,599200.324247204
"290","PIAB","Adult",18.3819939557,599189.714259368
"289","PIAB","Adult",18.3819939557,599179.104271532
"288","PIAB","Adult",18.4819939557,598932.528978369
"287","PIAB","Adult",18.4819939557,598921.80323761
"286","PIAB","Adult",18.4819939557,598911.077496852
"285","PIAB","Adult",18.4819939557,598900.351756094
"284","PIAB","Adult",18.4819939557,598889.626015336
"283","PIAB","Adult",18.4819939557,598878.900274578
"282","PIAB","Adult",18.4819939557,598868.17453382
"281","PIAB","Adult",18.4819939557,598857.448793061
"280","PIAB","Adult",18.4819939557,598846.723052303
"279","PIAB","Adult",18.5819939557,598411.889542439
"278","PIAB","Adult",18.5819939557,598401.047420759
"277","PIAB","Adult",18.6819939557,597969.735115299
"276","PIAB","Adult",18.6819939557,597958.775984697
"275","PIAB","Adult",18.6819939557,597947.816854095
"274","PIAB","Adult",18.6819939557,597936.857723493
"273","PIAB","Adult",18.7819939557,597505.273118543
"272","PIAB","Adult",18.7819939557,597494.196351019
"271","PIAB","Adult",18.7819939557,597483.119583495
"270","PIAB","Adult",18.7819939557,597472.04281597
"269","PIAB","Adult",18.7819939557,597460.966048446
"268","PIAB","Adult",18.7819939557,597449.889280922
"267","PIAB","Adult",18.8819939557,597223.993726937
"266","PIAB","Adult",18.8819939557,597212.79869449
"265","PIAB","Adult",18.8819939557,597201.603662044
"264","PIAB","Adult",18.8819939557,597190.408629598
"263","PIAB","Adult",18.9819939557,596781.541015351
"262","PIAB","Adult",18.9819939557,596770.227089983
"261","PIAB","Adult",18.9819939557,596758.913164614
"260","PIAB","Adult",18.9819939557,596747.599239246
"259","PIAB","Adult",18.9819939557,596736.285313878
"258","PIAB","Adult",18.9819939557,596724.971388509
"257","PIAB","Adult",19.0819939557,596477.544458009
"256","PIAB","Adult",19.0819939557,596466.111011718
"255","PIAB","Adult",19.0819939557,596454.677565428
"254","PIAB","Adult",19.0819939557,596443.244119137
"253","PIAB","Adult",19.0819939557,596431.810672847
"252","PIAB","Adult",19.0819939557,596420.377226557
"251","PIAB","Adult",19.0819939557,596408.943780266
"250","PIAB","Adult",19.1819939557,596106.726041372
"249","PIAB","Adult",19.1819939557,596095.172446159
"248","PIAB","Adult",19.1819939557,596083.618850947
"247","PIAB","Adult",19.1819939557,596072.065255734
"246","PIAB","Adult",19.1819939557,596060.511660522
"245","PIAB","Adult",19.2819939557,595732.961987686
"244","PIAB","Adult",19.2819939557,595721.287615552
"243","PIAB","Adult",19.2819939557,595709.613243417
"242","PIAB","Adult",19.2819939557,595697.938871283
"241","PIAB","Adult",19.2819939557,595686.264499148
"240","PIAB","Adult",19.3819939557,595348.702634165
"239","PIAB","Adult",19.3819939557,595336.906857108
"238","PIAB","Adult",19.3819939557,595325.111080052
"237","PIAB","Adult",19.4819939557,595030.055382731
"236","PIAB","Adult",19.4819939557,595018.137572752
"235","PIAB","Adult",19.4819939557,595006.219762773
"234","PIAB","Adult",19.4819939557,594994.301952795
"233","PIAB","Adult",19.4819939557,594982.384142816
"232","PIAB","Adult",19.5819939557,594634.510433927
"231","PIAB","Adult",19.5819939557,594622.469963026
"230","PIAB","Adult",19.5819939557,594610.429492125
"229","PIAB","Adult",19.5819939557,594598.389021225
"228","PIAB","Adult",19.6819939557,594246.825325998
"227","PIAB","Adult",19.6819939557,594234.661566175
"226","PIAB","Adult",19.6819939557,594222.497806353
"225","PIAB","Adult",19.6819939557,594210.33404653
"224","PIAB","Adult",19.7819939557,593807.005649747
"223","PIAB","Adult",19.7819939557,593794.717973002
"222","PIAB","Adult",19.7819939557,593782.430296258
"221","PIAB","Adult",19.7819939557,593770.142619513
"220","PIAB","Adult",19.7819939557,593757.854942768
"219","PIAB","Adult",19.8819939557,593309.058395213
"218","PIAB","Adult",19.8819939557,593296.646173546
"217","PIAB","Adult",19.8819939557,593284.233951879
"216","PIAB","Adult",19.8819939557,593271.821730212
"215","PIAB","Adult",19.9819939557,593030.340338782
"214","PIAB","Adult",19.9819939557,593017.802944193
"213","PIAB","Adult",19.9819939557,593005.265549604
"212","PIAB","Adult",20.0819939557,592629.833982284
"211","PIAB","Adult",20.0819939557,592617.170786773
"210","PIAB","Adult",20.0819939557,592604.507591262
"209","PIAB","Adult",20.0819939557,592591.844395751
"208","PIAB","Adult",20.0819939557,592579.181200241
"207","PIAB","Adult",20.0819939557,592566.51800473
"206","PIAB","Adult",20.1819939557,592199.165907086
"205","PIAB","Adult",20.1819939557,592186.376282653
"204","PIAB","Adult",20.1819939557,592173.58665822
"203","PIAB","Adult",20.2819939557,591724.607272746
"202","PIAB","Adult",20.2819939557,591711.690591391
"201","PIAB","Adult",20.2819939557,591698.773910036
"200","PIAB","Adult",20.2819939557,591685.857228681
"199","PIAB","Adult",20.2819939557,591672.940547326
"198","PIAB","Adult",20.3819939557,591371.55923981
"197","PIAB","Adult",20.3819939557,591358.514873533
"196","PIAB","Adult",20.3819939557,591345.470507256
"195","PIAB","Adult",20.3819939557,591332.426140979
"194","PIAB","Adult",20.3819939557,591319.381774702
"193","PIAB","Adult",20.4819939557,590883.394299136
"192","PIAB","Adult",20.4819939557,590870.221619937
"191","PIAB","Adult",20.5819939557,590527.647476477
"190","PIAB","Adult",20.5819939557,590514.345856356
"189","PIAB","Adult",20.6819939557,590086.620191307
"188","PIAB","Adult",20.6819939557,590073.189002264
"187","PIAB","Adult",20.6819939557,590059.757813221
"186","PIAB","Adult",20.6819939557,590046.326624178
"185","PIAB","Adult",20.6819939557,590032.895435134
"184","PIAB","Adult",20.7819939557,589652.578873272
"183","PIAB","Adult",20.7819939557,589639.017487307
"182","PIAB","Adult",20.8819939557,589298.0727613
"181","PIAB","Adult",20.8819939557,589284.380550413
"180","PIAB","Adult",20.8819939557,589270.688339526
"179","PIAB","Adult",20.8819939557,589256.996128639
"178","PIAB","Adult",20.8819939557,589243.303917752
"177","PIAB","Adult",20.8819939557,589229.611706864
"176","PIAB","Adult",20.9819939557,588754.492625932
"175","PIAB","Adult",20.9819939557,588740.668962123
"174","PIAB","Adult",20.9819939557,588726.845298314
"173","PIAB","Adult",20.9819939557,588713.021634504
"172","PIAB","Adult",20.9819939557,588699.197970695
"171","PIAB","Adult",21.0819939557,588362.340715878
"170","PIAB","Adult",21.0819939557,588348.384971146
"169","PIAB","Adult",21.0819939557,588334.429226415
"168","PIAB","Adult",21.1819939557,587857.829271353
"167","PIAB","Adult",21.1819939557,587843.740817699
"166","PIAB","Adult",21.1819939557,587829.652364046
"165","PIAB","Adult",21.1819939557,587815.563910393
"164","PIAB","Adult",21.1819939557,587801.475456739
"163","PIAB","Adult",21.1819939557,587787.387003086
"162","PIAB","Adult",21.1819939557,587773.298549433
"161","PIAB","Adult",21.1819939557,587759.21009578
