,species,type,MeanGrowth,SE,,,,
1,TSCA,sapling,0.223240263,0.028164099,0.02433334,0.1,1,0.846
2,TSCA,adult,0.424856,1.17E-05,,,,
3,QURU,sapling,0.234801765,0.031708322,,,,
4,QURU,adult,0.281517621,0.005012701,,,,
5,PIST,sapling,0.374868261,0.036590627,,,,
6,PIST,adult,0.64484181,0.004638225,,,,
7,PIRE,sapling,0.47856,0.036367577,,,,
8,PIRE,adult,0.64358678,0.004626895,,,,
9,PIAB,sapling,0.306406429,0.028384663,,,,
10,PIAB,adult,0.289627391,0.002705528,,,,
11,FRAM,sapling,0.272575,0.033999189,,,,
12,FRAM,adult,0.500656703,1.99E-05,,,,
13,FAGR,sapling,0.171532911,0.01531593,,,,
14,FAGR,adult,0.181158911,0.005441895,,,,
,BELE,sapling,,,,,,
,BELE ,adult,,,,,,
15,BEPA,sapling,0.211481707,0.020289557,,,,
16,BEPA,adult,0.146095964,0.002808374,,,,
17,BEAL,sapling,0.725410833,0.027817619,,,,
18,BEAL,adult,0.185154545,0.002670746,,,,
19,ACSA,sapling,0.301997739,0.008271048,,,,
20,ACSA,adult,0.301997739,0.008271048,,,,
21,ACRU,sapling,0.177431042,0.019969248,,,,
22,ACRU,adult,0.412365826,1.64E-05,,,,
