Time,Species,X,Y,Diam 10,Height,Light,Growth,F7,F8
1,ACRU,0,1,0.19992,0.279389,0,0,0,0
2,ACRU,0,1,0.231362,0.307504,100,0.157209,0,0
3,ACRU,0,1,0.267748,0.340008,100,0.181934,0,0
4,ACRU,0,1,0.309858,0.37758,100,0.210547,0,0
5,ACRU,0,1,0.35859,0.421001,100,0.24366,0,0
6,ACRU,0,1,0.414986,0.471172,100,0.281981,0,0
7,ACRU,0,1,0.480252,0.529128,100,0.326329,0,0
8,ACRU,0,1,0.555782,0.596057,100,0.377652,0,0
9,ACRU,0,1,0.643192,0.673323,100,0.437046,0,0
10,ACRU,0,1,0.744348,0.762489,100,0.505782,0,0
11,ACRU,0,1,0.861413,0.86534,100,0.585327,0,0
12,ACRU,0,1,0.99689,0.983918,100,0.677383,0,0
13,ACRU,0,1,1.15367,1.12054,100,0.783917,0,0
14,ACRU,0,1,1.33511,1.27786,100,0.907205,0,0
