,Time,Species,X,Y,Diam10,Height,Light,Growth ,NA,NP
1,1,ACSA,0,1,0.200072,0.279526,0,0,0,0
2,2,ACSA,0,1,0.224886,0.301716,100,0.12407,0,0
3,3,ACSA,0,1,0.252778,0.32664,100,0.139458,0,0
4,4,ACSA,0,1,0.284129,0.354629,100,0.156754,0,0
5,5,ACSA,0,1,0.319368,0.386058,100,0.176195,0,0
6,6,ACSA,0,1,0.358977,0.421346,100,0.198048,0,0
7,7,ACSA,0,1,0.403499,0.46096,100,0.222611,0,0
8,8,ACSA,0,1,0.453543,0.505425,100,0.25022,0,0
9,9,ACSA,0,1,0.509794,0.555324,100,0.281254,0,0
10,10,ACSA,0,1,0.573021,0.611312,100,0.316136,0,0
11,11,ACSA,0,1,0.64409,0.674117,100,0.355345,0,0
12,12,ACSA,0,1,0.723973,0.744551,100,0.399416,0,0
13,13,ACSA,0,1,0.813764,0.82352,100,0.448954,0,0
14,14,ACSA,0,1,0.914691,0.91203,100,0.504636,0,0
15,15,ACSA,0,1,1.02814,1.0112,100,0.567223,0,0
16,16,ACSA,0,1,1.15565,1.12226,100,0.637573,0,0
17,17,ACSA,0,1,1.29898,1.2466,100,0.716648,0,0
