"","Time","Species","F1","F2","F3","F4","F5","F6","F7","F8"
"1","1","BEAL","0","1","0.200032","0.27949","0","0","0","0"
"2","2","BEAL","0","1","0.233426","0.309349","100","0.166968","0","0"
"3","3","BEAL","0","1","0.272394","0.344156","100","0.194841","0","0"
"4","4","BEAL","0","1","0.317868","0.384721","100","0.227368","0","0"
"5","5","BEAL","0","1","0.370933","0.431989","100","0.265325","0","0"
"6","6","BEAL","0","1","0.432857","0.487052","100","0.309619","0","0"
"7","7","BEAL","0","1","0.505118","0.551179","100","0.361307","0","0"
"8","8","BEAL","0","1","0.589443","0.625835","100","0.421624","0","0"
"9","9","BEAL","0","1","0.687845","0.712717","100","0.49201","0","0"
"10","10","BEAL","0","1","0.802674","0.813778","100","0.574146","0","0"
"11","11","BEAL","0","1","0.936673","0.931271","100","0.669995","0","0"
"12","12","BEAL","0","1","1.09304","1.06778","100","0.781844","0","0"
"13","13","BEAL","0","1","1.27551","1.22628","100","0.912366","0","0"
"14","14","BEAL","0","1","1.48845","1.11634","3.29571","0","0","1.06468"
"15","15","BEAL","0","1","2.53435","1.90076","4.58333","-1","-1","5.22951"
"16","16","BEAL","0","1","3.65103","2.73827","5.88962","-1","-1","5.58339"
"17","17","BEAL","0","1","4.56196","3.42147","6.90535","-1","-1","4.55464"
"18","18","BEAL","0","1","5.42483","4.06862","7.828","-1","-1","4.31438"
"19","19","BEAL","0","1","6.45717","4.84288","8.88356","-1","-1","5.16171"
"20","20","BEAL","0","1","7.30576","5.47932","9.71349","-1","-1","4.24296"
"21","21","BEAL","0","1","8.4091","6.30683","10.744","-1","-1","5.51669"
"22","22","BEAL","0","1","9.57917","7.18438","11.7797","-1","-1","5.85037"
"23","23","BEAL","0","1","10.4018","7.80133","12.4743","-1","-1","4.11301"
"24","24","BEAL","0","1","11.4144","8.56078","13.2931","-1","-1","5.06297"
"25","25","BEAL","0","1","12.2007","9.15052","13.9024","-1","-1","3.93158"
"26","26","BEAL","0","1","13.095","9.82127","14.5685","-1","-1","4.47167"
"27","27","BEAL","0","1","10.44","15.1584","-1","-1","4.1249","0"
"28","28","BEAL","0","1","10.7528","15.4481","-1","-1","1.56422","0"
"29","29","BEAL","0","1","11.0664","15.7327","-1","-1","1.56782","0"
"30","30","BEAL","0","1","11.3806","16.0123","-1","-1","1.57071","0"
"31","31","BEAL","0","1","11.6951","16.2868","-1","-1","1.57295","0"
"32","32","BEAL","0","1","12.0101","16.5562","-1","-1","1.57458","0"
"33","33","BEAL","0","1","12.3252","16.8204","-1","-1","1.57565","0"
"34","34","BEAL","0","1","12.6404","17.0796","-1","-1","1.57619","0"
"35","35","BEAL","0","1","12.9557","17.3337","-1","-1","1.57624","0"
"36","36","BEAL","0","1","13.2708","17.5827","-1","-1","1.57583","0"
"37","37","BEAL","0","1","13.5858","17.8267","-1","-1","1.57501","0"
"38","38","BEAL","0","1","13.9006","18.0657","-1","-1","1.5738","0"
"39","39","BEAL","0","1","14.215","18.2998","-1","-1","1.57223","0"
"40","40","BEAL","0","1","14.5291","18.529","-1","-1","1.57033","0"
"41","41","BEAL","0","1","14.8427","18.7535","-1","-1","1.56811","0"
"42","42","BEAL","0","1","15.1559","18.9731","-1","-1","1.56562","0"
"43","43","BEAL","0","1","15.4684","19.1882","-1","-1","1.56286","0"
"44","44","BEAL","0","1","15.7804","19.3986","-1","-1","1.55986","0"
"45","45","BEAL","0","1","16.0917","19.6045","-1","-1","1.55665","0"
"46","46","BEAL","0","1","16.4024","19.806","-1","-1","1.55322","0"
"47","47","BEAL","0","1","16.7123","20.0031","-1","-1","1.54961","0"
"48","48","BEAL","0","1","17.0215","20.1959","-1","-1","1.54583","0"
"49","49","BEAL","0","1","17.3298","20.3845","-1","-1","1.54189","0"
"50","50","BEAL","0","1","17.6374","20.5691","-1","-1","1.53781","0"
"51","51","BEAL","0","1","17.9441","20.7495","-1","-1","1.5336","0"
